,Concept_ID,mn,pt
0,Auge::N,нүд,olho
1,Ohr::N,чих,orelha
2,Nase::N,хамар,nariz
3,Mund::N,ам,boca
4,Zahn::N,шүд,dente
5,Zunge::N,хэл,língua
6,Lippe::N,уруул,lábio
7,Wange::N,хацар,face
8,Gesicht::N,царай,cara
9,Gesicht::N,царай,rosto
10,Gesicht::N,нүүр,cara
11,Gesicht::N,нүүр,rosto
12,Stirn::N,дух,testa
13,Haar::N,үс,cabelo
14,Schnurrbart::N,дээд сахал,bigode
15,Schnurrbart::N,живэр сахал,bigode
16,Bart::N,сахал,barba
17,Kinn::N,эрүү,queixo
18,Kiefer[Anatomie]::N,эрүү,maxila
19,Kiefer[Anatomie]::N,эрүү,mandíbula
20,Kehle::N,хоолой,garganta
21,Hals::N,хүзүү,colo
22,Hals::N,хүзүү,pescoço
23,Genick::N,шил,nuca
24,Genick::N,хүзүү,nuca
25,Kopf::N,толгой,cabeça
26,Rücken::N,ар,dorso
27,Rücken::N,ар,costas
28,Rücken::N,нуруу,dorso
29,Rücken::N,нуруу,costas
30,Bauch::N,хэвлий,ventre
31,Bauch::N,хэвлий,barriga
32,Bauch::N,гэдэс,ventre
33,Bauch::N,гэдэс,barriga
34,Nabel::N,хүйс,umbigo
35,Busen::N,хөх,seio
36,Brust::N,цээж,peito
37,Schulter::N,мөр,ombro
38,Schulter::N,бугалга,ombro
39,Arm::N,гар,braço
40,Ellenbogen::N,тохой,cotovelo
41,Hand::N,гар,mão
42,Hand::N,алга,mão
43,Handfläche::N,алга,palma
44,Handfläche::N,алга,palma da mão
45,Finger::N,хуруу,dedo
46,Fingernagel::N,хурууны хумс,unha
47,Nagel[Anatomie]::N,хумс,unha
48,Zeh::N,хуруу,dedo do pé
49,Fuß::N,хөл,pé
50,Ferse::N,өсгий,calcanhar
51,Knie::N,өвдөг,joelho
52,Oberschenkel::N,гуя,coxa
53,Bein::N,хөл,perna
54,Körper::N,бие,corpo
55,Haut::N,арьс,pele
56,Blut::N,цус,sangue
57,Ader::N,судас,veia
58,Sehne::N,бүлх,tendão
59,Sehne::N,шандас,tendão
60,Knochen::N,яс,osso
61,Gehirn::N,тархи,cérebro
62,Herz::N,зүрх,coração
63,Magen::N,ходоод,estômago
64,Leber::N,элэг,fígado
65,Atem::N,амьсгаа,fôlego
66,Hunger::N,өлсгөлөн,fome
67,Träne::N,нулимс,lágrima
