,Concept_ID,tr,vep
0,Auge::N,göz,sil'm
1,Ohr::N,kulak,korv
2,Nase::N,burun,nena
3,Mund::N,ağız,su
4,Zahn::N,diş,pi
5,Zahn::N,diş,hambaz
6,Zunge::N,dil,kel'
7,Lippe::N,dudak,hul'
8,Wange::N,yanak,modpolišk
9,Gesicht::N,yüz,mod
10,Stirn::N,alın,oc
11,Haar::N,saç,tuk
12,Haar::N,saç,hibuz
13,Schnurrbart::N,bıyık,habinod
14,Bart::N,sakal,bard
15,Kinn::N,çene,löug
16,Kiefer[Anatomie]::N,çene,hambazlu
17,Kehle::N,boğaz,kurk
18,Hals::N,boyun,kagl
19,Hals::N,gerdan,kagl
20,Genick::N,ense,tagarai
21,Kopf::N,baş,pä
22,Kopf::N,kafa,pä
23,Rücken::N,arka,sel'g
24,Bauch::N,karın,vac
25,Bauch::N,karın,koht
26,Nabel::N,göbek,naba
27,Busen::N,koyun,niža
28,Brust::N,göğüs,rind
29,Schulter::N,omuz,oug
30,Arm::N,kol,käzi
31,Ellenbogen::N,dirsek,künambruz
32,Hand::N,el,käzi
33,Hand::N,el,käzitera
34,Handfläche::N,avuç,kämen
35,Handfläche::N,el ayası,kämen
36,Finger::N,parmak,sor'm
37,Fingernagel::N,el tırnağı,künz'
38,Nagel[Anatomie]::N,tırnak,künz'
39,Zeh::N,ayak parmağı,barbaz
40,Fuß::N,ayak,jaug
41,Ferse::N,topuk,kand
42,Knie::N,diz,komb
43,Knie::N,diz,pol'v
44,Oberschenkel::N,uyluk,riiže
45,Bein::N,bacak,jaug
46,Körper::N,vücut,hibj
47,Haut::N,cilt,nahk
48,Blut::N,kan,čak
49,Blut::N,kan,veri
50,Ader::N,damar,son'
51,Sehne::N,kiriş,jände
52,Knochen::N,kemik,lu
53,Gehirn::N,beyin,aivod
54,Herz::N,kalp,südäin
55,Herz::N,yürek,südäin
56,Magen::N,mide,südäikoht
57,Leber::N,karaciğer,maks
58,Atem::N,nefes,hengaiduz
