,Concept_ID,hu,el
0,Auge::N,szem,μάτι
1,Auge::N,szem,οφθαλμός
2,Ohr::N,fül,αυτί
3,Nase::N,orr,μύτη
4,Mund::N,száj,στόμα
5,Zahn::N,fog,δόντι
6,Zunge::N,nyelv,γλώσσα
7,Lippe::N,ajak,χείλος
8,Wange::N,orca,παρειά
9,Wange::N,orca,μάγουλο
10,Gesicht::N,arc,πρόσωπο
11,Stirn::N,homlok,μέτωπο
12,Haar::N,haj,μαλλιά
13,Schnurrbart::N,bajusz,μουστάκι
14,Bart::N,szakáll,γένια
15,Kinn::N,áll,πιγούνι
16,Kiefer[Anatomie]::N,állkapocs,σαγόνι
17,Kehle::N,gége,λαρύγγι
18,Kehle::N,torok,λαρύγγι
19,Hals::N,nyak,λαιμός
20,Genick::N,tarkó,σβέρκος
21,Kopf::N,fő,κεφάλι
22,Kopf::N,fej,κεφάλι
23,Rücken::N,hát,ράχη
24,Bauch::N,has,κοιλιά
25,Nabel::N,köldök,αφαλός
26,Busen::N,mell,στήθος
27,Busen::N,kebel,στήθος
28,Brust::N,mell,στήθος
29,Schulter::N,váll,ώμος
30,Arm::N,kar,χέρι
31,Arm::N,kar,μπράτςο
32,Ellenbogen::N,könyök,αγκώνας
33,Hand::N,kéz,χέρι
34,Handfläche::N,tenyér,παλάμη
35,Finger::N,ujj,δάχτυλο
36,Fingernagel::N,köröm,νύχι
37,Nagel[Anatomie]::N,köröm,νύχι
38,Zeh::N,lábujj,δάχτυλο του ποδιού
39,Fuß::N,láb,πόδι
40,Ferse::N,sarok,φτέρνα
41,Knie::N,térd,γόνατο
42,Oberschenkel::N,comb,μηρός
43,Bein::N,láb,πόδι
44,Bein::N,lábszár,πόδι
45,Körper::N,test,σώμα
46,Körper::N,test,κορμί
47,Haut::N,bőr,πετσί
48,Blut::N,vér,αίμα
49,Ader::N,ér,φλέβα
50,Sehne::N,ín,νεύρο
51,Sehne::N,ín,τένοντας
52,Knochen::N,csont,οστό
53,Knochen::N,csont,κόκκαλο
54,Gehirn::N,agy,μυαλό
55,Gehirn::N,agy,εγκέφαλος
56,Gehirn::N,agyvelő,μυαλό
57,Gehirn::N,agyvelő,εγκέφαλος
58,Herz::N,szív,καρδιά
59,Magen::N,gyomor,στομάχι
60,Leber::N,máj,ήπαρ
61,Leber::N,máj,συκωτί
62,Atem::N,lehelet,αναπνοή
63,Atem::N,lélegzet,αναπνοή
64,Hunger::N,éhség,πείνα
65,Träne::N,könny,δάκρυ
66,Geschmack::N,íz,γεύση
67,Geruch::N,szag,οσμή
68,Geruch::N,szag,μυρωδία
69,Schlaf::N,álom,ύπνος
70,Schlaf::N,alvás,ύπνος
71,Traum::N,álom,όνειρο
72,Himmel::N,ég,ουρανός
73,Himmel::N,menny,ουρανός
74,Sonne::N,nap,ήλιος
75,Mond::N,hold,σελήνη
76,Mond::N,hold,φεγγάρι
77,Stern::N,csillag,άστρο
78,Stern::N,csillag,αστέρι
79,Luft::N,levegő,αέρας
80,Wind::N,szél,αέρας
81,Wind::N,szél,άνεμος
82,Welle::N,hullám,κύμα
83,Wasser::N,víz,νερό
84,Stein::N,kő,πέτρα
85,Boden::N,föld,χώμα
86,Boden::N,talaj,χώμα
87,Erde::N,föld,γη
88,Staub::N,por,σκόνη
89,Rauch::N,füst,καπνός
90,Funke::N,szikra,σπίθα
91,Funke::N,szikra,σπινθήρας
92,Feuer::N,tűz,φωτιά
93,Licht::N,fény,φως
94,Schatten::N,árnyék,σκιά
95,Schatten::N,árnyék,ίσκιος
96,Wetter::N,idő,καιρός
97,Wetter::N,időjárás,καιρός
98,Nebel::N,köd,ομίχλη
99,Wolke::N,felhő,σύννεφο
100,Regen::N,eső,βροχή
101,Schnee::N,hó,χιόνι
102,Eis::N,jég,πάγος
103,Frost::N,fagy,παγωνία
104,Kälte::N,hideg,κρύο
105,Kälte::N,hideg,ψύχος
106,Hitze::N,hő,ζέστη
107,Hitze::N,hőség,ζέστη
108,Raureif::N,zúzmara,πάχνη
109,Regenbogen::N,szivárvány,ουράνιο τόξο
110,Donner::N,dörgés,βροντή
111,Donner::N,mennydörgés,βροντή
112,Strömung::N,áramlat,ρεύμα
113,Tropfen::N,csepp,στάλα
114,Schaum::N,hab,αφρός
115,Schaum::N,tajték,αφρός
116,Schmutz::N,piszok,βρωμιά
117,See::N,tó,λίμνη
118,Sumpf::N,mocsár,βάλτος
119,Moor::N,láp,έλος
120,Wiese::N,rét,λιβάδι
121,Wiese::N,mező,λιβάδι
122,Wald::N,erdő,δάσος
123,Hügel::N,domb,λόφος
124,Anhöhe::N,magaslat,ύψωμα
125,Berg::N,hegy,όρος
126,Berg::N,hegy,βουνό
127,Gipfel::N,csúcs,κορυφή
128,Höhle::N,barlang,σπηλιά
129,Abhang::N,lejtő,πλαγιά
130,Quelle::N,forrás,πηγή
131,Quelle::N,forrás,βρύση
132,Bach::N,patak,ρυάκι
133,Fluss::N,folyó,ποτάμι
134,Fluss::N,folyó,ποταμός
135,Ufer::N,part,όχθη
136,Küste::N,tengerpart,ακτή
137,Küste::N,tengerpart,ακρογιαλιά
138,Festland::N,szárazföld,στεριά
139,Meer::N,tenger,θάλασσα
140,Bucht::N,öböl,κόλπος
