,Concept_ID,mhr,bg
0,Auge::N,шинча́,око
1,Ohr::N,пы́лыш,ухо
2,Nase::N,нер,нос
3,Mund::N,умша́,уста
4,Zahn::N,пӱй,зъб
5,Zunge::N,йы́лме,език
6,Lippe::N,тӱ́рвӧ,устна
7,Wange::N,шӱ́ргӧ,буза
8,Gesicht::N,чури́й,лице
9,Gesicht::N,чури́й,образ
10,Stirn::N,саҥга́,чело
11,Haar::N,ӱп,коса
12,Haar::N,ӱп,косъм
13,Schnurrbart::N,ӧ́рыш,мустаци
14,Bart::N,понда́ш,брада
15,Kinn::N,оҥыла́ш,брада
16,Kinn::N,оҥыла́ш,брадичка
17,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,челюст
18,Kiefer[Anatomie]::N,пӱйората́,челюст
19,Kehle::N,лога́р,гърло
20,Hals::N,шӱй,врат
21,Genick::N,шӱйло́дыш,тил
22,Kopf::N,вуй,глава
23,Rücken::N,туп,гръб
24,Bauch::N,мӱ́шкыр,корем
25,Nabel::N,кы́лымде,пъп
26,Busen::N,чы́зе,бозка
27,Brust::N,оҥ,гръд
28,Schulter::N,ва́че,рамо
29,Schulter::N,ва́че,плещи
30,Arm::N,кид,ръка
31,Ellenbogen::N,кынерву́й,лакът
32,Hand::N,кид,ръка
33,Hand::N,кид,китка
34,Hand::N,копа́,ръка
35,Hand::N,копа́,китка
36,Handfläche::N,со́во,длан
37,Finger::N,парня́,пръст
38,Fingernagel::N,кидкӱ́ч,нокът
39,Fingernagel::N,парнягӱ́ч,нокът
40,Nagel[Anatomie]::N,кӱч,нокът
41,Zeh::N,йолварня́,пръст на крак
42,Fuß::N,йол,крак
43,Fuß::N,йол,нога
44,Fuß::N,йолкопа́,крак
45,Fuß::N,йолкопа́,нога
46,Ferse::N,тага́н,пета
47,Knie::N,пулву́й,коляно
48,Oberschenkel::N,э́рде,бедро
49,Bein::N,йол,крак
50,Bein::N,йол,нога
51,Körper::N,кап,тяло
52,Haut::N,кова́ште,кожа
53,Blut::N,вӱр,кръв
54,Ader::N,шӧн,вена
55,Ader::N,шӧн,артерия
56,Sehne::N,шӧн,жила
57,Sehne::N,шӧн,сухожилие
58,Sehne::N,кӱсе́н,жила
59,Sehne::N,кӱсе́н,сухожилие
60,Knochen::N,лу,кост
61,Gehirn::N,вем,мозък
62,Gehirn::N,вуйве́м,мозък
63,Herz::N,шӱм,сърце
64,Magen::N,пага́р,стомах
65,Leber::N,мокш,черен дроб
66,Atem::N,шӱ́лыш,дишане
67,Hunger::N,шужыма́ш,глад
68,Träne::N,шинчавӱ́д,сълза
69,Geschmack::N,там,вкус
70,Geruch::N,пуш,миризма
71,Schlaf::N,о́мо,сън
72,Traum::N,йӱдо́мо,сън
73,Himmel::N,кава́,небе
74,Sonne::N,ке́че,слънце
75,Mond::N,ты́лзе,луна
76,Mond::N,ты́лзе,месец
77,Stern::N,шӱ́дыр,звезда
78,Luft::N,юж,въздух
79,Wind::N,марде́ж,вятър
80,Welle::N,то́лкын,вълна
81,Wasser::N,вӱд,вода
82,Stein::N,кӱ,камък
83,Boden::N,рок,земя
84,Boden::N,рок,почва
85,Erde::N,мла́нде,земя
86,Erde::N,мла́нде,почва
87,Staub::N,пура́к,прах
88,Rauch::N,шикш,дим
89,Rauch::N,шикш,пушек
90,Funke::N,сеске́м,искра
91,Funke::N,тулйы́п,искра
92,Feuer::N,тул,огън
93,Licht::N,со́то,светлина
94,Schatten::N,ӱ́мыл,сянка
95,Wetter::N,иге́че,време
96,Nebel::N,тӱтыра́,мъгла
97,Wolke::N,пыл,облак
98,Regen::N,йӱр,дъжд
99,Schnee::N,лум,сняг
100,Eis::N,ий,лед
101,Frost::N,чатлама́,мраз
102,Kälte::N,йӱ́штӧ,студ
103,Hitze::N,шо́кшо,жега
104,Hitze::N,шо́кшо,горещина
105,Raureif::N,пӧрш,скреж
106,Raureif::N,пӧрш,слана
107,Raureif::N,по́кшым,скреж
108,Raureif::N,по́кшым,слана
109,Regenbogen::N,шонанпы́л,дъга
110,Donner::N,кӱ́дырчӧ,гръм
111,Strömung::N,йо́гын,течение
112,Tropfen::N,чӱча́лтыш,капка
113,Schaum::N,шоҥ,пяна
114,Schmutz::N,лавыра́,кал
115,Schmutz::N,лавыра́,мръсотия
116,See::N,ер,езеро
117,Sumpf::N,лӱ́кӧ,блато
118,Moor::N,куп,мочурище
119,Wiese::N,о́лык,ливада
120,Wald::N,чодыра́,гора
121,Hügel::N,арка́,рид
122,Hügel::N,арка́,хълм
123,Anhöhe::N,тӧва́,могила
124,Anhöhe::N,тӧва́,възвишение
125,Anhöhe::N,кӱкшака́,могила
126,Anhöhe::N,кӱкшака́,възвишение
127,Berg::N,ку́рык,планина
128,Gipfel::N,чаҥга́,връх
129,Gipfel::N,курыкву́й,връх
130,Höhle::N,пеще́р,пещера
131,Höhle::N,курыкпо́мыш,пещера
132,Abhang::N,та́йыл,склон
133,Abhang::N,та́йыл,стръмнина
134,Quelle::N,важ,извор
135,Quelle::N,вӱдшинча́,извор
136,Bach::N,изэҥе́р,поток
137,Fluss::N,эҥе́р,река
138,Ufer::N,сер,бряг
139,Küste::N,вӱдтӱ́р,бряг
140,Küste::N,вӱдтӱ́р,крайбрежие
141,Festland::N,мла́нде,суша
142,Meer::N,те́ҥыз,море
143,Bucht::N,икса́,залив
144,Insel::N,отро́,остров
145,Blume::N,пеле́дыш,цвете
146,Gras::N,шу́до,трева
147,Wurzel::N,вож,корен
148,Baum::N,пуше́ҥге,дърво
149,Stamm::N,йы́тыр,стъбло
150,Rinde::N,шӱм,кора
151,Ast::N,укш,клон
152,Zweig::N,торма́к,клон
153,Blatt::N,лышта́ш,лист
154,Birke::N,куэ́,бреза
155,Kiefer[Baum]::N,пӱ́нчӧ,бор
156,Weide[Baum]::N,уа́,върба
157,Tanne::N,кож,ела
158,Horn::N,шур,рог
159,Feder::N,пы́стыл,перо
160,Fell::N,кова́ште,кожа
161,Flügel::N,шу́лдыр,крило
162,Klaue::N,кӱч,нокът
163,Kralle::N,ла́па,нокът
164,Kralle::N,копа́,нокът
165,Schwanz::N,поч,опашка
166,Ei::N,му́но,яйце
167,Nest::N,пыжа́ш,гнездо
