,Concept_ID,is,tr
0,Auge::N,auga,göz
1,Ohr::N,eyra,kulak
2,Nase::N,nef,burun
3,Mund::N,munnur,ağız
4,Zahn::N,tönn,diş
5,Zunge::N,tunga,dil
6,Lippe::N,vör,dudak
7,Wange::N,kinn,yanak
8,Wange::N,vangi,yanak
9,Gesicht::N,andlit,yüz
10,Stirn::N,enni,alın
11,Haar::N,hár,saç
12,Schnurrbart::N,yfirskegg,bıyık
13,Bart::N,skegg,sakal
14,Kinn::N,haka,çene
15,Kiefer[Anatomie]::N,kjálki,çene
16,Kiefer[Anatomie]::N,skoltur,çene
17,Kehle::N,kverk,boğaz
18,Hals::N,háls,boyun
19,Hals::N,háls,gerdan
20,Genick::N,hnakki,ense
21,Kopf::N,höfuð,baş
22,Kopf::N,höfuð,kafa
23,Rücken::N,hryggur,arka
24,Bauch::N,kviður,karın
25,Nabel::N,nafli,göbek
26,Busen::N,barmur,koyun
27,Brust::N,brjóst,göğüs
28,Schulter::N,öxl,omuz
29,Arm::N,armur,kol
30,Ellenbogen::N,olnbogi,dirsek
31,Hand::N,hönd,el
32,Handfläche::N,lófi,avuç
33,Handfläche::N,lófi,el ayası
34,Finger::N,fingur,parmak
35,Fingernagel::N,fingurnögl,el tırnağı
36,Nagel[Anatomie]::N,nögl,tırnak
37,Zeh::N,tá,ayak parmağı
38,Fuß::N,fótur,ayak
39,Ferse::N,hæll,topuk
40,Knie::N,kné,diz
41,Oberschenkel::N,læri,uyluk
42,Bein::N,fótleggur,bacak
43,Körper::N,búkur,vücut
44,Körper::N,líkami,vücut
45,Haut::N,húð,cilt
46,Haut::N,skinn,cilt
47,Blut::N,blóð,kan
48,Ader::N,æð,damar
49,Sehne::N,sin,kiriş
50,Knochen::N,bein,kemik
51,Gehirn::N,heili,beyin
52,Herz::N,hjarta,kalp
53,Herz::N,hjarta,yürek
54,Magen::N,magi,mide
55,Leber::N,lifur,karaciğer
56,Atem::N,andi,nefes
57,Atem::N,andardráttur,nefes
58,Hunger::N,hungur,açlık
59,Träne::N,tár,gözyaşı
60,Geschmack::N,smekkur,tat
61,Geschmack::N,smekkur,lezzet
62,Geruch::N,lykt,koku
63,Schlaf::N,svefn,uyku
64,Traum::N,draumur,düş
65,Traum::N,draumur,rüya
66,Himmel::N,himinn,gök
67,Sonne::N,sól,güneş
68,Mond::N,tungl,ay
69,Stern::N,stjarna,yıldız
70,Luft::N,loft,hava
71,Wind::N,vindur,yel
72,Wind::N,vindur,rüzgâr
73,Welle::N,alda,dalga
74,Welle::N,bylgja,dalga
75,Wasser::N,vatn,su
76,Stein::N,steinn,taş
77,Boden::N,botn,yer
78,Boden::N,botn,zemin
79,Erde::N,jörð,toprak
80,Staub::N,ryk,toz
81,Staub::N,duft,toz
82,Rauch::N,reykur,duman
83,Funke::N,neisti,kıvılcım
84,Feuer::N,eldur,ateş
85,Licht::N,ljós,ışık
86,Schatten::N,skuggi,gölge
87,Wetter::N,veður,hava
88,Nebel::N,þoka,pus
89,Wolke::N,ský,bulut
90,Regen::N,regn,yağmur
91,Schnee::N,snjór,kar
92,Eis::N,ís,buz
93,Frost::N,frost,don
94,Kälte::N,kuldi,soğukluk
95,Hitze::N,hiti,sıcaklık
96,Raureif::N,hrím,kırç
97,Regenbogen::N,regnbogi,gökkuşağı
98,Donner::N,þruma,gök gürlemesi
99,Strömung::N,straumur,akıntı
100,Strömung::N,straumur,cereyan
101,Tropfen::N,dropi,damla
102,Schaum::N,froða,köpük
103,Schmutz::N,óhreinindi,çamur
104,Schmutz::N,óhreinindi,pislik
105,See::N,stöðuvatn,göl
106,Sumpf::N,fen,batak
107,Moor::N,mýri,cılgıt
108,Wiese::N,engi,çimen
109,Wald::N,skógur,koru
110,Wald::N,skógur,orman
111,Hügel::N,hæð,tepe
112,Hügel::N,hóll,tepe
113,Anhöhe::N,hæð,tümsek
114,Anhöhe::N,hæð,yükseklik
115,Anhöhe::N,hóll,tümsek
116,Anhöhe::N,hóll,yükseklik
117,Berg::N,fell,dağ
118,Berg::N,fjall,dağ
119,Gipfel::N,tindur,zirve
120,Höhle::N,hellir,in
121,Höhle::N,hellir,mağara
122,Abhang::N,hlíð,bayır
123,Abhang::N,brekka,bayır
124,Quelle::N,lind,pınar
125,Quelle::N,lind,kaynak
126,Quelle::N,uppspretta,pınar
127,Quelle::N,uppspretta,kaynak
128,Bach::N,lækur,çay
129,Bach::N,lækur,dere
130,Fluss::N,á,nehir
131,Fluss::N,fljót,nehir
132,Ufer::N,árbakki,kıyı
133,Ufer::N,árbakki,sahil
134,Ufer::N,sjávarbakki,kıyı
135,Ufer::N,sjávarbakki,sahil
136,Küste::N,strönd,kıyı
137,Küste::N,strönd,sahil
138,Festland::N,meginland,kara
139,Meer::N,haf,deniz
140,Meer::N,sjór,deniz
141,Bucht::N,vík,koy
142,Bucht::N,vík,körfez
143,Insel::N,eyja,ada
144,Blume::N,blóm,çiçek
145,Gras::N,gras,ot
146,Gras::N,gras,çim
147,Wurzel::N,rót,kök
148,Baum::N,tré,ağaç
149,Stamm::N,stofn,gövde
150,Rinde::N,börkur,kabuk
151,Ast::N,grein,dal
152,Ast::N,grein,budak
153,Zweig::N,angi,dal
154,Zweig::N,kvistur,dal
155,Blatt::N,blað,yaprak
156,Birke::N,birki,huş
157,Kiefer[Baum]::N,fura,çam
158,Weide[Baum]::N,víðir,söğüt
159,Tanne::N,greni,çam
160,Tanne::N,greni,köknar
161,Horn::N,horn,boynuz
162,Feder::N,fjöður,tüy
163,Fell::N,skinn,post
164,Flügel::N,vængur,kanat
165,Klaue::N,kló,pençe
166,Kralle::N,kló,tırnak
167,Schwanz::N,rófa,kuyruk
168,Schwanz::N,skott,kuyruk
169,Ei::N,egg,yumurta
170,Nest::N,hreiður,yuva
171,Bau::N,greni,in
172,Bau::N,bæli,in
173,Tier::N,dýr,hayvan
174,Herde::N,hjörð,sürü
175,Kuh::N,kýr,inek
176,Bulle::N,boli,boğa
177,Pferd::N,hestur,at
178,Pferd::N,hestur,beygir
179,Schaf::N,kind,koyun
180,Schwein::N,svín,domuz
181,Hund::N,hundur,it
182,Hund::N,hundur,köpek
183,Katze::N,köttur,kedi
184,Bär::N,björn,ayı
185,Eichhörnchen::N,íkorni,sincap
186,Elch::N,elgur,büyük kuzey geyiği
187,Fuchs::N,refur,tilki
188,Hase::N,héri,tavşan
189,Maus::N,mús,fare
190,Maus::N,mús,sıçan
191,Wolf::N,úlfur,kurt
192,Vogel::N,fugl,kuş
193,Schwarm::N,sægur,sürü
194,Huhn::N,hæna,tavuk
195,Hahn::N,hani,horoz
196,Gans::N,gæs,kaz
197,Adler::N,örn,kartal
198,Adler::N,örn,karakuş
199,Ente::N,önd,ördek
200,Eule::N,uggla,baykuş
201,Kranich::N,trana,turna
202,Krähe::N,kráka,karga
203,Kuckuck::N,gaukur,guguk
204,Schwan::N,svanur,kuğu
205,Fisch::N,fiskur,balık
206,Barsch::N,aborri,hani
207,Barsch::N,aborri,levrek
208,Hecht::N,gedda,turnabalığı
209,Schlange[Tier]::N,naðra,yılan
210,Wurm::N,ormur,kurt
211,Wurm::N,ormur,solucan
212,Spinne::N,kónguló,örümcek
213,Ameise::N,maur,karınca
214,Laus::N,lús,bit
215,Mücke::N,mý,sivrisinek
216,Mücke::N,mýfluga,sivrisinek
217,Fliege::N,fluga,sinek
218,Schmetterling::N,fiðrildi,kelebek
219,Beere::N,ber,tane
220,Apfel::N,epli,elma
221,Pilz::N,sveppur,mantar
222,Zwiebel::N,laukur,soğan
223,Saat::N,fræ,ekin
224,Saat::N,útsæði,ekin
225,Korn::N,korn,tane
226,Heu::N,hey,kuru ot
227,Schale::N,hýði,kabuk
228,Grube::N,gryfja,çukur
229,Falle::N,gildra,tuzak
230,Schlinge::N,snara,ilmik
231,Spur::N,spor,iz
232,Asche::N,aska,kül
233,Dreck::N,óþverri,pislik
234,Eisen::N,járn,demir
235,Gold::N,gull,altın
236,Silber::N,silfur,gümüş
237,Kohle::N,kol,kömür
238,Glas::N,gler,cam
239,Lehm::N,leir,balçık
240,Sand::N,sandur,kum
241,Mensch::N,maður,insan
242,Mensch::N,manneskja,insan
243,Mann::N,maður,adam
244,Mann::N,maður,erkek
245,Mann::N,karlmaður,adam
246,Mann::N,karlmaður,erkek
247,Frau::N,kona,bayan
248,Kind::N,barn,çocuk
249,Kind::N,krakki,çocuk
250,Junge::N,drengur,erkek çocuk
251,Mädchen::N,stelpa,kız
252,Familie::N,fjölskylda,aile
253,Großvater::N,afi,dede
254,Großvater::N,afi,büyükbaba
255,Großmutter::N,amma,nine
256,Großmutter::N,amma,büyükanne
257,Eltern::N,foreldrar,ebeveyn
258,Eltern::N,foreldrar,ana baba
259,Vater::N,faðir,ata
260,Vater::N,faðir,baba
261,Mutter::N,móðir,ana
262,Mutter::N,móðir,anne
263,Sohn::N,sonur,oğul
264,Tochter::N,dóttir,kız
265,Tochter::N,dóttir,kız evlât
266,Bruder::N,bróðir,abi
267,Bruder::N,bróðir,erkek kardeş
268,Schwester::N,systir,abla
269,Schwester::N,systir,kız kardeş
270,Onkel::N,föðurbróðir,dayı
271,Tante::N,frænka,hala
272,Tante::N,frænka,teyze
273,Tante::N,móðursystir,hala
274,Tante::N,móðursystir,teyze
275,Ehemann::N,eiginmaður,koca
276,Ehefrau::N,eiginkona,karı
277,Freude::N,gleði,neşe
278,Freude::N,gleði,sevinç
279,Gelächter::N,hlátur,gülme
280,Gelächter::N,hlátur,kahkaha
281,Glück::N,gæfa,mutluluk
282,Kummer::N,sorg,dert
283,Kummer::N,sorg,keder
284,Wunsch::N,ósk,arzu
285,Wunsch::N,ósk,istek
286,Lust::N,fýsn,arzu
287,Lust::N,fýsn,heves
288,Lust::N,löngun,arzu
289,Lust::N,löngun,heves
290,Geist::N,andi,tin
291,Gedanke::N,hugsun,fikir
292,Gedanke::N,hugsun,düşünce
293,Gedächtnis::N,minni,bellek
294,Verstand::N,vit,zekâ
295,Sinn::N,merking,anlam
296,Grund::N,ástæða,sebep
297,Wahrheit::N,sannleikur,doğruluk
298,Wahrheit::N,sannleikur,gerçeklik
299,Gespräch::N,samtal,görüşme
300,Märchen::N,ævintýri,masal
301,Erzählung::N,saga,öykü
302,Erzählung::N,saga,hikâye
303,Nachricht::N,frétt,haber
304,Neuigkeit::N,frétt,haber
305,Name::N,nafn,ad
306,Name::N,nafn,isim
307,Rätsel::N,gáta,bilmece
308,Rede::N,ræða,söylev
309,Rede::N,ræða,konuşma
310,Sprache::N,mál,dil
311,Sprache::N,mál,lisan
312,Sprache::N,tungumál,dil
313,Sprache::N,tungumál,lisan
314,Stimme::N,rödd,ses
315,Wort::N,orð,kelime
316,Zeichen::N,tákn,işaret
317,Zeichen::N,merki,işaret
318,Ruf::N,kall,çağırma
319,Lärm::N,hávaði,şamata
320,Lärm::N,hávaði,gürültü
321,Laut::N,hljóð,ses
322,Ton::N,tónn,ses
