,Concept_ID,he,ca
0,Auge::N,עין,ull
1,Ohr::N,אזן,orella
2,Nase::N,אף,nas
3,Nase::N,חטם,nas
4,Mund::N,פה,boca
5,Zahn::N,שן,dent
6,Zunge::N,לשון,llēngua
7,Lippe::N,שפה,llavi
8,Wange::N,לחי,galta
9,Gesicht::N,פנים,cara
10,Stirn::N,מצח,front
11,Haar::N,שערה,cabēll
12,Schnurrbart::N,שפם,bigoti
13,Bart::N,זקן,barba
14,Kinn::N,סנטר,mentó
15,Kinn::N,סנטר,barbeta
16,Kiefer[Anatomie]::N,לסת,queix
17,Kiefer[Anatomie]::N,לסת,mandíbula
18,Kehle::N,גרון,gola
19,Kehle::N,גרון,gorja
20,Hals::N,צואר,coll
21,Genick::N,ערף,nuca
22,Kopf::N,ראש,cap
23,Rücken::N,גב,esquena
24,Bauch::N,בטן,panxa
25,Nabel::N,טבור,llombrígol
26,Busen::N,שד,pit
27,Busen::N,שד,mama
28,Brust::N,חזה,pit
29,Schulter::N,כתף,espatlla
30,Arm::N,זרוע,braç
31,Ellenbogen::N,מרפק,colze
32,Hand::N,יד,mà
33,Handfläche::N,כף יד,palma
34,Finger::N,אצבע,dit
35,Fingernagel::N,צפרן,ungla
36,Nagel[Anatomie]::N,צפרן,ungla
37,Zeh::N,אצבע,dit del peu
38,Fuß::N,רגל,peu
39,Ferse::N,עקב,taló
40,Knie::N,ברך,genoll
41,Oberschenkel::N,ירך,cuixa
42,Bein::N,רגל,cama
43,Körper::N,גוף,cos
44,Haut::N,עור,pell
45,Blut::N,דם,sang
46,Ader::N,וריד,vena
47,Sehne::N,גיד,tendó
48,Knochen::N,עצם,os
49,Gehirn::N,מוח,cervell
50,Herz::N,לב,cor
51,Magen::N,קבה,estómac
52,Leber::N,כבד,fetge
53,Atem::N,נשימה,alè
54,Atem::N,נשימה,hàlit
55,Hunger::N,רעב,fam
56,Hunger::N,רעב,gana
57,Träne::N,דמעה,llàgrima
58,Geschmack::N,טעם,gust
59,Geschmack::N,טעם,sabor
60,Geruch::N,ריח,olor
61,Schlaf::N,שנה,son
62,Traum::N,חלום,somni
63,Himmel::N,שמים,celm
64,Sonne::N,שמש,sol
65,Mond::N,ירח,lluna
66,Stern::N,כוכב,estel
67,Stern::N,כוכב,estrella
68,Luft::N,אויר,aire
69,Wind::N,רוח,vent
70,Welle::N,גל,ona
71,Wasser::N,מים,āigua
72,Stein::N,אבן,pedra
73,Boden::N,קרקע,sòl
74,Erde::N,אדמה,terra
75,Staub::N,אבק,pols
76,Rauch::N,עשן,fum
77,Funke::N,ניצוץ,guspira
78,Funke::N,ניצוץ,centella
79,Feuer::N,אש,foc
80,Licht::N,אור,llum
81,Schatten::N,צל,ombra
82,Wetter::N,מזג אויר,temps
83,Nebel::N,ערפל,boira
84,Wolke::N,ענן,núvol
85,Regen::N,גשם,pluja
86,Schnee::N,שלג,neu
87,Eis::N,קרח,gel
88,Eis::N,קרח,glaç
89,Frost::N,צנה,glaçada
90,Kälte::N,קר,fred
91,Hitze::N,חם,calor
92,Raureif::N,כפור,gebre
93,Regenbogen::N,קשת,arc iris
94,Donner::N,רעם,tro
95,Strömung::N,זרימה,corrent
96,Tropfen::N,טפה,gota
97,Schaum::N,קצף,escuma
98,Schmutz::N,לכלוך,brutícia
99,See::N,אגם,llac
100,Sumpf::N,בצה,pantà
101,Moor::N,בצה,pantà
102,Wiese::N,מרעה,prat
103,Wiese::N,מרעה,prada
104,Wald::N,יער,bosc
105,Hügel::N,תל,puig
106,Hügel::N,תל,pujol
107,Anhöhe::N,מעלה,turó
108,Berg::N,הר,muntanya
109,Gipfel::N,פסגה,cim
110,Höhle::N,מערה,cova
111,Abhang::N,מדרון,coster
112,Abhang::N,שפוע,coster
113,Quelle::N,מעין,font
114,Bach::N,נחל,riera
115,Fluss::N,נהר,riu
116,Ufer::N,גדה,riba
117,Küste::N,חוף,costa
118,Festland::N,יבשה,terra ferma
119,Meer::N,ים,mar
120,Bucht::N,מפרץ,cala
121,Bucht::N,מפרץ,badia
122,Insel::N,אי,illa
123,Blume::N,פרח,flor
124,Gras::N,דשא,herba
125,Wurzel::N,שרש,rel
126,Wurzel::N,שרש,arrel
127,Baum::N,עץ,arbre
128,Stamm::N,גזע,tronc
129,Rinde::N,קלפת עץ,escorça
130,Ast::N,ענף,branca
131,Zweig::N,ענף,ram
132,Blatt::N,עלה,fulla
133,Birke::N,שדר,bedoll
134,Kiefer[Baum]::N,ארן,pi
135,Weide[Baum]::N,ערבה,salze
136,Tanne::N,אשוח,avet
137,Horn::N,קרן,corn
138,Horn::N,קרן,banya
139,Feder::N,נוצה,ploma
140,Fell::N,פרוה,pell
141,Flügel::N,כנף,ala
142,Klaue::N,טלף,urpa
143,Kralle::N,טפר,grapa
144,Schwanz::N,זנב,cua
145,Ei::N,ביצה,ou
146,Nest::N,קן,niu
147,Bau::N,מחלה,cau
148,Tier::N,חיה,animāl
149,Herde::N,עדר,ramat
150,Kuh::N,פרה,vaca
151,Bulle::N,פר,toro
152,Pferd::N,סוס,cavāll
153,Schaf::N,כבשה,be
154,Schaf::N,כבשה,ovella
155,Schwein::N,חזיר,bacó
156,Hund::N,כלב,ca
157,Hund::N,כלב,gos
158,Katze::N,חתול,gat
159,Bär::N,דב,ós
160,Eichhörnchen::N,סנאי,esquirol
161,Elch::N,דישון,ant
162,Fuchs::N,שועל,guilla
163,Hase::N,ארנב,llebre
164,Maus::N,עכבר,ratolí
165,Wolf::N,זאב,llop
166,Vogel::N,צפור,au
167,Vogel::N,צפור,ocēll
168,Schwarm::N,נחיל,bandada
169,Schwarm::N,להקה,bandada
170,Huhn::N,תרנגלת,gallina
171,Hahn::N,תרנגול,gall
172,Gans::N,אוז,oca
173,Adler::N,עיט,àguila
174,Ente::N,ברוז,ànec
175,Eule::N,ינשוף,òliba
176,Eule::N,ינשוף,mussol
177,Kranich::N,עגור,grua
178,Kranich::N,כרוכיה,grua
179,Krähe::N,עורב,cornella
180,Kuckuck::N,קוקיה,cucut
181,Schwan::N,ברבור,cigne
182,Fisch::N,דג,peix
183,Barsch::N,אוקונוס,perca
184,Hecht::N,זאב הים,lluç
185,Schlange[Tier]::N,נחש,serp
186,Wurm::N,תולעת,cuc
187,Spinne::N,עכביש,aranya
188,Ameise::N,נמלה,formiga
189,Laus::N,כנה,poll
190,Mücke::N,יתוש,mosquit
191,Fliege::N,זבוב,mosca
192,Schmetterling::N,פרפר,papallona
