,Concept_ID,es,nl
0,Auge::N,ojo,oog
1,Ohr::N,oreja,oor
2,Nase::N,nariz,neus
3,Mund::N,boca,mond
4,Zahn::N,diente,tand
5,Zunge::N,lengua,tong
6,Lippe::N,labio,lip
7,Wange::N,mejilla,wang
8,Gesicht::N,cara,gelaat
9,Gesicht::N,cara,gezicht
10,Stirn::N,frente,voorhoofd
11,Haar::N,cabello,haar
12,Schnurrbart::N,bigote,snor
13,Bart::N,barba,baard
14,Kinn::N,barbilla,kin
15,Kiefer[Anatomie]::N,mandíbula,kaak
16,Kehle::N,garganta,keel
17,Kehle::N,garganta,strot
18,Hals::N,cuello,hals
19,Genick::N,nuca,nek
20,Genick::N,cerviz,nek
21,Kopf::N,cabeza,hoofd
22,Rücken::N,espalda,rug
23,Bauch::N,vientre,buik
24,Nabel::N,ombligo,navel
25,Busen::N,pecho,boezem
26,Brust::N,pecho,borst
27,Schulter::N,hombro,schouder
28,Arm::N,brazo,arm
29,Ellenbogen::N,codo,elleboog
30,Hand::N,mano,hand
31,Handfläche::N,palma,handpalm
32,Finger::N,dedo,vinger
33,Fingernagel::N,uña,nagel
34,Nagel[Anatomie]::N,uña,nagel
35,Zeh::N,dedo del pie,teen
36,Fuß::N,pie,voet
37,Ferse::N,talón,hak
38,Ferse::N,talón,hiel
39,Knie::N,rodilla,knie
40,Oberschenkel::N,muslo,dij
41,Bein::N,pierna,been
42,Körper::N,cuerpo,lichaam
43,Haut::N,piel,huid
44,Blut::N,sangre,bloed
45,Ader::N,vena,ader
46,Sehne::N,tendón,pees
47,Knochen::N,hueso,bot
48,Knochen::N,hueso,been
49,Knochen::N,hueso,knook
50,Gehirn::N,cerebro,hersenen
51,Gehirn::N,encéfalo,hersenen
52,Herz::N,corazón,hart
53,Magen::N,estómago,maag
54,Leber::N,hígado,lever
55,Atem::N,aliento,adem
56,Hunger::N,hambre,honger
57,Träne::N,lágrima,traan
58,Geschmack::N,gusto,smaak
59,Geruch::N,olor,geur
60,Schlaf::N,sueño,slaap
61,Traum::N,sueño,droom
62,Traum::N,ensueño,droom
