,Concept_ID,bn,ady
0,Auge::N,চক্ষু,нэ
1,Ohr::N,কর্ণ,тхьакӏу́м
2,Nase::N,নাক,пэ
3,Mund::N,মুখ,жэ
4,Zahn::N,দাঁত,цэ
5,Zunge::N,জিহবা,бзэгу
6,Lippe::N,অধর,ӏупшӏэ́
7,Wange::N,গণ্ড,нэкӏу́шъу
8,Gesicht::N,মুখমণ্ডল,нэ́гу
9,Stirn::N,কপাল,натӏэ́
10,Haar::N,চুল,шъхьацы́
11,Schnurrbart::N,গোঁফ,
12,Bart::N,শ্মশ্রু,жакӏэ́
13,Kinn::N,চিবুক,жэкӏэпэпкъ
14,Kiefer[Anatomie]::N,চোয়াল,жэпкъы́
15,Kehle::N,কণ্ঠ,чый
16,Hals::N,গল,пшъэ
17,Genick::N,ঘাড়,шъхьэпхэтыку
18,Kopf::N,মাথা,шъхьэ́
19,Rücken::N,পৃষ্ঠ,кӏыбы́
20,Bauch::N,উদর,ныбэ́
21,Nabel::N,নাভি,
22,Busen::N,স্তন,бгъэ́
23,Brust::N,বুক,бгъэ́
24,Schulter::N,স্কন্ধ,блыпкъ
25,Arm::N,বাহু,ӏэ
26,Ellenbogen::N,কনুই,ӏэнтэ́гъу
27,Hand::N,হাত,ӏэтхьэцу
28,Handfläche::N,করতল,ӏэ́гу
29,Finger::N,আঙ্গুল,ӏэхъуа́мб
30,Fingernagel::N,হাতের নখ,ӏэбжъа́н
31,Nagel[Anatomie]::N,নখ,ӏэбжъа́н
32,Zeh::N,আঙ্গুল,ӏэхъуа́мб
33,Fuß::N,পা,лъэгу
34,Ferse::N,গোড়ালি,лъэдакъэ
35,Knie::N,হাঁটু,лъагуа́ндж
36,Oberschenkel::N,ঊরু,ко
37,Bein::N,পা,лъакъо́
38,Körper::N,দেহ,пкъышъол
39,Haut::N,ত্বক,кӏы́шъу
40,Blut::N,রক্ত,лъы
41,Ader::N,শিরা,льытф
42,Sehne::N,কণ্ডরা,фэ
43,Knochen::N,অস্থি,къупшъхьэ́
44,Gehirn::N,মস্তিষ্ক,куцӏы
45,Herz::N,হৃৎপিণ্ড,гу
46,Magen::N,পাকস্থলী,мышкӏу
47,Leber::N,যকৃৎ,шӏу
48,Atem::N,শ্বাস,къэщэныр
