,Concept_ID,pt,de
0,Auge::N,olho,Auge
1,Ohr::N,orelha,Ohr
2,Nase::N,nariz,Nase
3,Mund::N,boca,Mund
4,Zahn::N,dente,Zahn
5,Zunge::N,língua,Zunge
6,Lippe::N,lábio,Lippe
7,Wange::N,face,Wange
8,Gesicht::N,cara,Gesicht
9,Gesicht::N,rosto,Gesicht
10,Stirn::N,testa,Stirn
11,Haar::N,cabelo,Haar
12,Schnurrbart::N,bigode,Schnurrbart
13,Bart::N,barba,Bart
14,Kinn::N,queixo,Kinn
15,Kiefer[Anatomie]::N,maxila,Kiefer
16,Kiefer[Anatomie]::N,mandíbula,Kiefer
17,Kehle::N,garganta,Kehle
18,Hals::N,colo,Hals
19,Hals::N,pescoço,Hals
20,Genick::N,nuca,Genick
21,Kopf::N,cabeça,Kopf
22,Rücken::N,dorso,Rücken
23,Rücken::N,costas,Rücken
24,Bauch::N,ventre,Bauch
25,Bauch::N,barriga,Bauch
26,Nabel::N,umbigo,Nabel
27,Busen::N,seio,Busen
28,Brust::N,peito,Brust
29,Schulter::N,ombro,Schulter
30,Arm::N,braço,Arm
31,Ellenbogen::N,cotovelo,Ellenbogen
32,Hand::N,mão,Hand
33,Handfläche::N,palma,Handfläche
34,Handfläche::N,palma da mão,Handfläche
35,Finger::N,dedo,Finger
36,Fingernagel::N,unha,Fingernagel
37,Nagel[Anatomie]::N,unha,Nagel
38,Zeh::N,dedo do pé,Zeh
39,Fuß::N,pé,Fuß
40,Ferse::N,calcanhar,Ferse
41,Knie::N,joelho,Knie
42,Oberschenkel::N,coxa,Oberschenkel
43,Bein::N,perna,Bein
44,Körper::N,corpo,Körper
45,Haut::N,pele,Haut
46,Blut::N,sangue,Blut
47,Ader::N,veia,Ader
48,Sehne::N,tendão,Sehne
49,Knochen::N,osso,Knochen
50,Gehirn::N,cérebro,Gehirn
51,Herz::N,coração,Herz
52,Magen::N,estômago,Magen
53,Leber::N,fígado,Leber
54,Atem::N,fôlego,Atem
55,Hunger::N,fome,Hunger
56,Träne::N,lágrima,Träne
57,Geschmack::N,gosto,Geschmack
58,Geruch::N,odor,Geruch
59,Geruch::N,cheiro,Geruch
60,Schlaf::N,sono,Schlaf
61,Traum::N,sonho,Traum
62,Himmel::N,céu,Himmel
63,Sonne::N,sol,Sonne
64,Mond::N,lua,Mond
65,Stern::N,estrela,Stern
66,Luft::N,ar,Luft
67,Wind::N,vento,Wind
68,Welle::N,onda,Welle
69,Wasser::N,água,Wasser
70,Stein::N,pedra,Stein
71,Boden::N,solo,Boden
72,Erde::N,terra,Erde
73,Staub::N,pó,Staub
74,Rauch::N,fumo,Rauch
75,Funke::N,faísca,Funke
76,Funke::N,centelha,Funke
77,Feuer::N,fogo,Feuer
78,Licht::N,luz,Licht
79,Schatten::N,sombra,Schatten
80,Wetter::N,tempo,Wetter
81,Nebel::N,nevoeiro,Nebel
82,Wolke::N,nuvem,Wolke
83,Regen::N,chuva,Regen
84,Schnee::N,neve,Schnee
85,Eis::N,gelo,Eis
86,Frost::N,gelo,Frost
87,Frost::N,geada,Frost
88,Kälte::N,frio,Kälte
89,Hitze::N,ardor,Hitze
90,Raureif::N,geada,Raureif
91,Regenbogen::N,arco-iris,Regenbogen
92,Donner::N,trovão,Donner
93,Strömung::N,corrente,Strömung
94,Tropfen::N,gota,Tropfen
95,Schaum::N,espuma,Schaum
96,Schmutz::N,sujidade,Schmutz
97,Schmutz::N,imundície,Schmutz
98,See::N,lago,See
99,Sumpf::N,charco,Sumpf
100,Sumpf::N,pântano,Sumpf
101,Moor::N,pântano,Moor
102,Wiese::N,prado,Wiese
103,Wald::N,bosque,Wald
104,Wald::N,floresta,Wald
105,Hügel::N,colina,Hügel
106,Anhöhe::N,alto,Anhöhe
107,Anhöhe::N,outeiro,Anhöhe
108,Berg::N,monte,Berg
109,Berg::N,montanha,Berg
110,Gipfel::N,pico,Gipfel
111,Höhle::N,caverna,Höhle
112,Abhang::N,encosta,Abhang
113,Quelle::N,fonte,Quelle
114,Bach::N,regato,Bach
115,Bach::N,ribeiro,Bach
116,Fluss::N,rio,Fluss
117,Ufer::N,beira,Ufer
118,Küste::N,costa,Küste
119,Festland::N,terra firme,Festland
120,Meer::N,mar,Meer
121,Bucht::N,baía,Bucht
122,Insel::N,ilha,Insel
123,Blume::N,flor,Blume
124,Gras::N,erva,Gras
125,Wurzel::N,raiz,Wurzel
126,Baum::N,árvore,Baum
127,Stamm::N,tronco,Stamm
128,Rinde::N,casca,Rinde
129,Ast::N,ramo,Ast
130,Zweig::N,galho,Zweig
131,Blatt::N,folha,Blatt
132,Birke::N,bétula,Birke
133,Kiefer[Baum]::N,pinheiro,Kiefer
134,Weide[Baum]::N,salgueiro,Weide
135,Tanne::N,abeto,Tanne
136,Horn::N,corno,Horn
137,Horn::N,chifre,Horn
138,Feder::N,pena,Feder
139,Fell::N,pele,Fell
140,Flügel::N,asa,Flügel
141,Klaue::N,pata,Klaue
142,Kralle::N,unha,Kralle
143,Kralle::N,garra,Kralle
144,Schwanz::N,rabo,Schwanz
145,Schwanz::N,cauda,Schwanz
146,Ei::N,ovo,Ei
147,Nest::N,ninho,Nest
148,Bau::N,toca,Bau
149,Bau::N,covil,Bau
150,Tier::N,animal,Tier
151,Herde::N,rebanho,Herde
152,Kuh::N,vaca,Kuh
153,Bulle::N,touro,Bulle
154,Pferd::N,cavalo,Pferd
155,Schaf::N,ovelha,Schaf
156,Schwein::N,porco,Schwein
157,Hund::N,cão,Hund
158,Katze::N,gata,Katze
159,Bär::N,urso,Bär
160,Eichhörnchen::N,esquilo,Eichhörnchen
161,Elch::N,alce,Elch
162,Fuchs::N,raposa,Fuchs
163,Hase::N,lebre,Hase
164,Maus::N,rato,Maus
165,Wolf::N,lobo,Wolf
166,Vogel::N,ave,Vogel
167,Vogel::N,pássaro,Vogel
168,Schwarm::N,bando,Schwarm
169,Schwarm::N,enxame,Schwarm
170,Huhn::N,galinha,Huhn
171,Hahn::N,galo,Hahn
172,Gans::N,ganso,Gans
173,Adler::N,águia,Adler
174,Ente::N,pata,Ente
175,Eule::N,mocho,Eule
176,Eule::N,coruja,Eule
177,Kranich::N,grou,Kranich
178,Krähe::N,gralha,Krähe
179,Kuckuck::N,cuco,Kuckuck
180,Schwan::N,cisne,Schwan
181,Fisch::N,peixe,Fisch
182,Barsch::N,perca,Barsch
183,Hecht::N,lúcio,Hecht
184,Schlange[Tier]::N,serpente,Schlange
185,Wurm::N,verme,Wurm
186,Spinne::N,aranha,Spinne
187,Ameise::N,formiga,Ameise
188,Laus::N,piolho,Laus
189,Mücke::N,mosquito,Mücke
190,Fliege::N,mosca,Fliege
191,Schmetterling::N,borboleta,Schmetterling
192,Beere::N,bago,Beere
193,Apfel::N,maçã,Apfel
194,Pilz::N,fungo,Pilz
195,Pilz::N,cogumelo,Pilz
196,Zwiebel::N,cebola,Zwiebel
197,Saat::N,sementeira,Saat
198,Korn::N,grão,Korn
199,Heu::N,feno,Heu
200,Schale::N,casca,Schale
201,Grube::N,cova,Grube
202,Grube::N,fossa,Grube
203,Falle::N,armadilha,Falle
204,Schlinge::N,laço,Schlinge
205,Spur::N,pista,Spur
206,Spur::N,vestígio,Spur
207,Asche::N,cinza,Asche
208,Dreck::N,sujidade,Dreck
209,Eisen::N,ferro,Eisen
210,Gold::N,ouro,Gold
211,Silber::N,prata,Silber
212,Kohle::N,carvão,Kohle
213,Glas::N,vidro,Glas
214,Lehm::N,barro,Lehm
215,Lehm::N,argila,Lehm
216,Sand::N,areia,Sand
217,Mensch::N,homem,Mensch
218,Mensch::N,pessoa,Mensch
219,Mann::N,homem,Mann
220,Frau::N,mulher,Frau
221,Kind::N,filho,Kind
222,Kind::N,criança,Kind
223,Junge::N,rapaz,Junge
224,Junge::N,menino,Junge
225,Mädchen::N,menina,Mädchen
226,Mädchen::N,rapariga,Mädchen
227,Familie::N,família,Familie
228,Großvater::N,avô,Großvater
229,Großmutter::N,avó,Großmutter
230,Eltern::N,pais,Eltern
231,Vater::N,pai,Vater
232,Mutter::N,mãe,Mutter
233,Sohn::N,filho,Sohn
234,Tochter::N,filha,Tochter
235,Bruder::N,irmão,Bruder
236,Schwester::N,irmã,Schwester
237,Onkel::N,tio,Onkel
238,Tante::N,tia,Tante
239,Ehemann::N,esposo,Ehemann
240,Ehefrau::N,esposa,Ehefrau
241,Freude::N,prazer,Freude
242,Freude::N,alegria,Freude
243,Gelächter::N,risada,Gelächter
244,Gelächter::N,gargalhada,Gelächter
245,Glück::N,felicidade,Glück
246,Kummer::N,aflição,Kummer
247,Kummer::N,desgosto,Kummer
248,Wunsch::N,desejo,Wunsch
249,Lust::N,vontade,Lust
250,Geist::N,mente,Geist
251,Geist::N,espírito,Geist
252,Gedanke::N,ideia,Gedanke
253,Gedanke::N,pensamento,Gedanke
254,Gedächtnis::N,memória,Gedächtnis
255,Verstand::N,razão,Verstand
256,Verstand::N,inteligência,Verstand
257,Sinn::N,sentido,Sinn
258,Sinn::N,significado,Sinn
259,Grund::N,causa,Grund
260,Grund::N,motivo,Grund
261,Wahrheit::N,verdade,Wahrheit
262,Gespräch::N,conversa,Gespräch
263,Gespräch::N,conversação,Gespräch
264,Märchen::N,conto,Märchen
265,Erzählung::N,conto,Erzählung
266,Erzählung::N,narrativa,Erzählung
267,Nachricht::N,mensagem,Nachricht
268,Neuigkeit::N,notícia,Neuigkeit
269,Neuigkeit::N,novidade,Neuigkeit
270,Name::N,nome,Name
271,Rätsel::N,adivinha,Rätsel
272,Rede::N,oração,Rede
273,Rede::N,discurso,Rede
274,Sprache::N,língua,Sprache
275,Stimme::N,voz,Stimme
276,Wort::N,palavra,Wort
277,Zeichen::N,marca,Zeichen
278,Ruf::N,grito,Ruf
279,Ruf::N,chamada,Ruf
280,Lärm::N,ruído,Lärm
281,Lärm::N,barulho,Lärm
282,Laut::N,som,Laut
283,Ton::N,tom,Ton
284,Lied::N,canção,Lied
285,Ruhe::N,calma,Ruhe
286,Ruhe::N,silêncio,Ruhe
287,Leute::N,gente,Leute
288,Leute::N,pessoas,Leute
289,Volk::N,povo,Volk
290,Volk::N,nação,Volk
291,Arbeit::N,trabalho,Arbeit
292,Gast::N,hóspede,Gast
293,Gast::N,convidado,Gast
294,Geschenk::N,prenda,Geschenk
295,Geschenk::N,presente,Geschenk
296,Spiel::N,jogo,Spiel
297,Gesellschaft::N,companhia,Gesellschaft
298,Hilfe::N,ajuda,Hilfe
299,Hilfe::N,socorro,Hilfe
300,Freund::N,amigo,Freund
301,Kamerad::N,camarada,Kamerad
302,Angelegenheit::N,assunto,Angelegenheit
303,Anzahl::N,número,Anzahl
304,Anzahl::N,quantidade,Anzahl
305,Art::N,tipo,Art
306,Art::N,espécie,Art
307,Stück::N,pedaço,Stück
308,Teil::N,peça,Teil
309,Teil::N,parte,Teil
310,Hälfte::N,metade,Hälfte
311,Kreis::N,círculo,Kreis
312,Kreuz::N,cruz,Kreuz
313,Linie::N,linha,Linie
314,Strich::N,traço,Strich
315,Abstand::N,distância,Abstand
316,Entfernung::N,distância,Entfernung
317,Gegend::N,área,Gegend
318,Gegend::N,região,Gegend
319,Platz::N,lugar,Platz
320,Ort::N,sítio,Ort
321,Seite::N,lado,Seite
322,Mitte::N,meio,Mitte
323,Gegenstand::N,objecto,Gegenstand
324,Sache::N,coisa,Sache
325,Rand::N,bordo,Rand
326,Rand::N,margem,Rand
327,Kante::N,borda,Kante
328,Kante::N,aresta,Kante
329,Ecke::N,esquina,Ecke
330,Spitze::N,ponta,Spitze
331,Ende::N,cabo,Ende
332,Ende::N,extremo,Ende
333,Loch::N,furo,Loch
334,Loch::N,buraco,Loch
335,Winkel::N,canto,Winkel
336,Winkel::N,ângulo,Winkel
337,Muster::N,padrão,Muster
338,Muster::N,desenho,Muster
339,Größe::N,tamanho,Größe
340,Länge::N,comprimento,Länge
341,Höhe::N,altura,Höhe
342,Höhe::N,altitude,Höhe
343,Gewicht::N,peso,Gewicht
344,Menge::N,quantidade,Menge
345,Haufen::N,pilha,Haufen
346,Reihe::N,fila,Reihe
347,Boot::N,barco,Boot
348,Ruder::N,remo,Ruder
349,Schlitten::N,trenó,Schlitten
350,Ski::N,esqui,Ski
351,Lagerfeuer::N,fogueira,Lagerfeuer
352,Last::N,carga,Last
353,Gang::N,curso,Gang
354,Gang::N,caminhada,Gang
355,Schritt::N,passo,Schritt
356,Norden::N,norte,Norden
357,Süden::N,sul,Süden
358,Westen::N,oeste,Westen
359,Westen::N,ocidente,Westen
360,Osten::N,este,Osten
361,Osten::N,leste,Osten
362,Osten::N,oriente,Osten
363,Holz::N,madeira,Holz
364,Brett::N,tábua,Brett
365,Brett::N,prancha,Brett
366,Platte::N,laje,Platte
367,Platte::N,chapa,Platte
368,Stütze::N,apoio,Stütze
369,Stütze::N,suporte,Stütze
370,Stange::N,vara,Stange
371,Stange::N,barra,Stange
372,Stock::N,pau,Stock
373,Stock::N,bengala,Stock
374,Stab::N,bastão,Stab
375,Rohr::N,cano,Rohr
376,Haus::N,casa,Haus
377,Heim::N,lar,Heim
378,Heim::N,casa,Heim
379,Ofen::N,estufa,Ofen
380,Ofen::N,aquecedor,Ofen
381,Fußboden::N,piso,Fußboden
382,Tisch::N,mesa,Tisch
383,Stuhl::N,cadeira,Stuhl
384,Wiege::N,berço,Wiege
385,Bett::N,cama,Bett
386,Regal::N,estante,Regal
387,Regal::N,prateleira,Regal
388,Kiste::N,caixa,Kiste
389,Fenster::N,janela,Fenster
390,Tür::N,porta,Tür
391,Tor::N,portão,Tor
392,Zaun::N,cerca,Zaun
393,Zaun::N,vedação,Zaun
394,Dach::N,telhado,Dach
395,Leiter::N,escada,Leiter
396,Leiter::N,escada móvel,Leiter
397,Besen::N,vassoura,Besen
398,Spaten::N,pá,Spaten
399,Schaufel::N,pá,Schaufel
400,Gabel::N,garfo,Gabel
401,Löffel::N,colher,Löffel
402,Messer::N,faca,Messer
403,Nagel::N,cravo,Nagel
404,Netz::N,rede,Netz
405,Haken::N,gancho,Haken
406,Griff::N,asa,Griff
407,Griff::N,cabo,Griff
408,Schloss::N,fechadura,Schloss
409,Bild::N,imagem,Bild
410,Figur::N,figura,Figur
411,Puppe::N,boneca,Puppe
412,Beutel::N,saco,Beutel
413,Beutel::N,bolsa,Beutel
414,Bündel::N,fardo,Bündel
415,Tasche::N,saco,Tasche
416,Tasche::N,bolso,Tasche
417,Eimer::N,balde,Eimer
418,Deckel::N,tampa,Deckel
419,Geschirr::N,louça,Geschirr
420,Sack::N,saca,Sack
421,Tasse::N,chávena,Tasse
422,Topf::N,tacho,Topf
423,Topf::N,panela,Topf
424,Kessel::N,caldeira,Kessel
425,Essen::N,refeição,Essen
426,Nahrung::N,comida,Nahrung
427,Nahrung::N,alimento,Nahrung
428,Speise::N,prato,Speise
429,Fleisch::N,carne,Fleisch
430,Getreide::N,cereais,Getreide
431,Brei::N,puré,Brei
432,Brot::N,pão,Brot
433,Scheibe::N,fatia,Scheibe
434,Fett::N,banha,Fett
435,Fett::N,gordura,Fett
436,Butter::N,manteiga,Butter
437,Öl::N,azeite,Öl
438,Salz::N,sal,Salz
439,Suppe::N,sopa,Suppe
440,Suppe::N,caldo,Suppe
441,Honig::N,mel,Honig
442,Milch::N,leite,Milch
443,Tee::N,chá,Tee
444,Leder::N,couro,Leder
445,Wolle::N,lã,Wolle
446,Stoff::N,pano,Stoff
447,Stoff::N,tecido,Stoff
448,Nadel::N,agulha,Nadel
449,Faden::N,fio,Faden
450,Knopf::N,botão,Knopf
451,Knoten::N,nó,Knoten
452,Farbe::N,corante,Farbe
453,Kleidung::N,roupa,Kleidung
454,Kleidung::N,vestuário,Kleidung
455,Hemd::N,camisa,Hemd
456,Kragen::N,gola,Kragen
457,Ärmel::N,manga,Ärmel
458,Hose::N,calça,Hose
459,Gürtel::N,cinto,Gürtel
460,Mütze::N,boné,Mütze
461,Mütze::N,barrete,Mütze
462,Schuh::N,sapato,Schuh
463,Stiefel::N,bota,Stiefel
464,Ring::N,anel,Ring
465,Band::N,fita,Band
466,Band::N,faixa,Band
467,Kamm::N,pente,Kamm
468,Spiegel::N,espelho,Spiegel
469,Riemen::N,correia,Riemen
470,Schnur::N,corda,Schnur
471,Schnur::N,cordel,Schnur
472,Leine::N,trela,Leine
473,Decke::N,cobertor,Decke
474,Kissen::N,almofada,Kissen
475,Tuch::N,pano,Tuch
476,Handtuch::N,toalha,Handtuch
477,Kraft::N,força,Kraft
478,Stärke::N,força,Stärke
479,Gesundheit::N,saúde,Gesundheit
480,Krankheit::N,doença,Krankheit
481,Krankheit::N,enfermidade,Krankheit
482,Schmerz::N,dor,Schmerz
483,Wunde::N,chaga,Wunde
484,Wunde::N,ferida,Wunde
485,Fieber::N,febre,Fieber
486,Arznei::N,remédio,Arznei
487,Brücke::N,ponte,Brücke
488,Brunnen::N,poço,Brunnen
489,Weide::N,pastagem,Weide
490,Pfad::N,senda,Pfad
491,Pfad::N,trilho,Pfad
492,Weg::N,caminho,Weg
493,Straße::N,via,Straße
494,Straße::N,estrada,Straße
495,Dorf::N,aldeia,Dorf
496,Stadt::N,cidade,Stadt
497,Brief::N,carta,Brief
498,Buch::N,livro,Buch
499,Buchstabe::N,letra,Buchstabe
500,Zeitung::N,jornal,Zeitung
501,Leben::N,vida,Leben
502,Tod::N,morte,Tod
503,Grab::N,túmulo,Grab
504,Grab::N,sepultura,Grab
505,Kirche::N,igreja,Kirche
506,Sünde::N,pecado,Sünde
507,Gott::N,deus,Gott
508,Arbeiter::N,operário,Arbeiter
509,Arbeiter::N,trabalhador,Arbeiter
510,Chef::N,chefe,Chef
511,Chef::N,patrão,Chef
512,Meister::N,mestre,Meister
513,Arzt::N,médico,Arzt
514,Lehrer::N,professor,Lehrer
515,Geld::N,dinheiro,Geld
516,Geschäft::N,negócio,Geschäft
517,Laden::N,loja,Laden
518,Preis::N,preço,Preis
519,Ware::N,mercadoria,Ware
520,Nutzen::N,proveito,Nutzen
521,Reichtum::N,riqueza,Reichtum
522,Welt::N,mundo,Welt
523,Land::N,país,Land
524,Staat::N,Estado,Staat
525,König::N,rei,König
526,Macht::N,poder,Macht
527,Macht::N,potência,Macht
528,Grenze::N,fronteira,Grenze
529,Krieg::N,guerra,Krieg
530,Feind::N,inimigo,Feind
531,Gewalt::N,violência,Gewalt
532,Kampf::N,luta,Kampf
533,Kampf::N,combate,Kampf
534,Bogen[Waffe]::N,arco,Bogen
535,Pfeil::N,seta,Pfeil
536,Pfeil::N,flecha,Pfeil
537,Gewehr::N,espingarda,Gewehr
538,Fehler::N,erro,Fehler
539,Fehler::N,falha,Fehler
540,Lüge::N,mentira,Lüge
541,Schaden::N,dano,Schaden
542,Schaden::N,estrago,Schaden
543,Unglück::N,desgraça,Unglück
544,Schuld::N,culpa,Schuld
545,Alter::N,idade,Alter
546,Schluss::N,fim,Schluss
547,Zeit::N,tempo,Zeit
548,Tag::N,dia,Tag
549,Morgen::N,manhã,Morgen
550,Mittag::N,meio-dia,Mittag
551,Abend::N,noite,Abend
552,Abend::N,tardinha,Abend
553,Nacht::N,noite,Nacht
554,Woche::N,semana,Woche
555,Monat::N,mês,Monat
556,Jahr::N,ano,Jahr
557,Frühling::N,primavera,Frühling
558,Sommer::N,verão,Sommer
559,Herbst::N,outono,Herbst
560,Winter::N,inverno,Winter
561,Januar::N,Janeiro,Januar
562,Februar::N,Fevereiro,Februar
563,März::N,Março,März
564,April::N,Abril,April
565,Mai::N,Maio,Mai
566,Juni::N,Junho,Juni
567,Juli::N,Julho,Juli
568,August::N,Agosto,August
569,September::N,Setembro,September
570,Oktober::N,Outubro,Oktober
571,November::N,Novembro,November
572,Dezember::N,Dezembro,Dezember
573,Montag::N,segunda-feira,Montag
574,Dienstag::N,terça-feira,Dienstag
575,Mittwoch::N,quarta-feira,Mittwoch
576,Donnerstag::N,quinta-feira,Donnerstag
577,Freitag::N,sexta-feira,Freitag
578,Samstag::N,sábado,Samstag
579,Sonntag::N,domingo,Sonntag
580,groß::A,grande,groß
581,klein::A,pequeno,klein
582,lang::A,comprido,lang
583,kurz::A,curto,kurz
584,breit::A,largo,breit
585,schmal::A,estreito,schmal
586,dicht::A,denso,dicht
587,dick[Gegenstand]::A,grosso,dick
588,dünn::A,delgado,dünn
589,fein::A,fino,fein
590,fein::A,subtil,fein
591,fest::A,firme,fest
592,fest::A,sólido,fest
593,flach::A,plano,flach
594,glatt::A,liso,glatt
595,hart::A,duro,hart
596,weich::A,mole,weich
597,rund::A,redondo,rund
598,spitz::A,agudo,spitz
599,scharf::A,afiado,scharf
600,stumpf::A,rombo,stumpf
601,schwer::A,pesado,schwer
602,schön::A,belo,schön
603,schön::A,bonito,schön
604,heiß::A,quente,heiß
605,warm::A,quente,warm
606,kalt::A,frio,kalt
607,kühl::A,fresco,kühl
608,frisch::A,fresco,frisch
609,feucht::A,húmido,feucht
610,nass::A,molhado,nass
611,trocken::A,seco,trocken
612,voll::A,cheio,voll
613,leer::A,vazio,leer
614,offen::A,aberto,offen
615,geschlossen::A,fechado,geschlossen
616,sauber::A,limpo,sauber
617,schmutzig::A,sujo,schmutzig
618,roh::A,cru,roh
619,reif::A,maduro,reif
620,lecker::A,delicioso,lecker
621,süß::A,doce,süß
622,bitter::A,amargo,bitter
623,sauer::A,azedo,sauer
624,hell::A,claro,hell
625,dunkel::A,escuro,dunkel
626,dunkel::A,sombrio,dunkel
627,schwarz::A,preto,schwarz
628,weiß::A,branco,weiß
629,rot::A,vermelho,rot
630,gelb::A,amarelo,gelb
631,blau::A,azul,blau
632,grün::A,verde,grün
633,grau::A,cinzento,grau
634,bunt::A,colorido,bunt
635,billig::A,barato,billig
