,Concept_ID,ta,cy
0,Auge::N,கண்,llygad
1,Ohr::N,காது,clust
2,Nase::N,மூக்கு,trwyn
3,Mund::N,வாய்,ceg
4,Zahn::N,பல்,dant
5,Zunge::N,நாக்கு,tafod
6,Lippe::N,உதடு,gwefus
7,Wange::N,கன்னம்,boch
8,Gesicht::N,முகம்,wyneb
9,Stirn::N,முன்னெற்றி,talcen
10,Haar::N,முடி,blew
11,Schnurrbart::N,மீசை,mwstas
12,Bart::N,தாடி,barf
13,Kinn::N,கீழதாடை,gên
14,Kiefer[Anatomie]::N,தாடை,gên
15,Kehle::N,தொண்டை,gwddf
16,Hals::N,கழுத்து,gwddf
17,Genick::N,கழுத்து,gwar
18,Genick::N,கழுத்து,gwegil
19,Kopf::N,தலை,pen
20,Rücken::N,முதுகு,cefn
21,Bauch::N,வயிறு,bol
22,Nabel::N,தொப்புள்,bogail
23,Busen::N,மார்பகம்,bron
24,Brust::N, மார்பு,brest
25,Schulter::N,தோள்பட்டை,ysgwydd
26,Arm::N,கரம்,braich
27,Ellenbogen::N,முழங்கை,penelin
28,Hand::N,கை,llaw
29,Handfläche::N,உள்ளங்கை,palf
30,Finger::N,விரல்,bys
31,Fingernagel::N,விரல் நகம்,ewin
32,Nagel[Anatomie]::N,நகம்,ewin
33,Zeh::N,கால்விரல்,bys troed
34,Fuß::N,கால்,troed
35,Ferse::N,குதிகால்,sawdl
36,Knie::N,முழங்கால்,glin
37,Oberschenkel::N,தொடை,clun
38,Bein::N,கால்,coes
39,Körper::N,உடல்,corff
40,Haut::N,சருமம்,croen
41,Blut::N,இரத்தம்,gwaed
42,Ader::N,நாளம்,gwythïen
43,Sehne::N,தசைநார்,gewyn
44,Knochen::N,எலுமபு,asgwrn
45,Gehirn::N,மூனை,ymennydd
46,Herz::N,இதயம,calon
47,Magen::N,வயிறு,cylla
48,Magen::N,வயிறு,stumog
49,Leber::N,கல்லீரல்,iau
50,Atem::N,மூச்சு,anadl
51,Hunger::N,பசி,newyn
52,Träne::N,கண்ணீர்,deigryn
53,Geschmack::N,நறுமணம்,cyflas
54,Geruch::N,துர்நாற்றம்,aroglau
55,Schlaf::N,தூக்கம்,cwsg
56,Traum::N,கனவு,breuddwyd
57,Himmel::N,வானம்,awyr
58,Sonne::N,சூரியன்,haul
59,Mond::N,சந்திரன்,lleuad
60,Stern::N,நட்சத்திரம்,seren
61,Luft::N,காறறு,awyr
62,Wind::N,காற்று,gwynt
63,Welle::N,அலை,ton
64,Wasser::N,நீர்,dŵr
65,Stein::N,கல்,carreg
66,Boden::N,தரை,llawr
67,Erde::N,மண்,pridd
68,Staub::N,தூசி,llwch
69,Rauch::N,புகை,mwg
70,Funke::N,தீப்பொறி,gwreichioni
71,Feuer::N,தீ,tân
72,Licht::N,வெளிச்சம்,golau
73,Schatten::N,நிழல்,cysgod
74,Wetter::N,வானிலை,tywydd
75,Nebel::N,பனிமூட்டம்,niwl
76,Wolke::N,மேகம்,cwmwl
77,Regen::N,மழை,glaw
78,Schnee::N,உறைபனி,ôd
79,Schnee::N,உறைபனி,eira
80,Eis::N,பனிக்கட்டி,iâ
81,Frost::N,உறைபனி,rhew
82,Kälte::N,குளிர்ந்த,oerni
83,Kälte::N,குளிர்ந்த,annwyd
84,Hitze::N,சூடு,gwres
85,Raureif::N,உறைபனி வெண்திரை,barrug
86,Regenbogen::N,வானவில்,enfys
87,Donner::N,இடி,tyrfau
88,Strömung::N,நீரோட்டம்,cerrynt
89,Tropfen::N,துளி,dafn
90,Tropfen::N,துளி,diferyn
91,Schaum::N,நுரை,ewyn
92,Schmutz::N,அழுக்கு,baw
93,Schmutz::N,அழுக்கு,budreddi
94,See::N,ஏரி,llyn
95,Sumpf::N,சதுப்பு நிலம்,cors
96,Moor::N,முட்புதற்காடு,rhos
97,Wiese::N,பசும் புல்தரை,dôl
98,Wald::N,காடு,coedwig
99,Hügel::N,குன்று,bryn
100,Anhöhe::N,பதுக்கை,bryn
101,Berg::N,மலை,mynydd
102,Gipfel::N,உச்சி மாநாடு,copa
103,Höhle::N,குகை,ogof
104,Abhang::N,சரிவு,llethr
105,Quelle::N,மூலம்,tarddiad
106,Quelle::N,மூலம்,ffynhonnell
107,Bach::N,ஓடை,nant
108,Bach::N,ஓடை,afonig
109,Bach::N,ஓடை,cornant
110,Fluss::N,ஆறு,afon
111,Ufer::N,நீர்க்கரை,glan
112,Küste::N,கடற்கரை,traeth
113,Küste::N,கடற்கரை,arfordir
114,Festland::N,நிலம்,tir
115,Meer::N,கடல்,môr
116,Bucht::N,சிறுகுடா,bae
117,Insel::N,தீவு,ynys
118,Blume::N,பூ,blodyn
119,Gras::N,புல்தரை,glaswellt
120,Wurzel::N,வேர்,gwreiddyn
121,Baum::N,மரம்,coeden
122,Stamm::N,அடிமரம்,colfen
123,Stamm::N,அடிமரம்,boncyff
124,Rinde::N,பட்டை,rhisgl
125,Rinde::N,மரப்பட்டை,rhisgl
126,Ast::N,கினை,cangen
127,Zweig::N,குச்சி,cainc
128,Zweig::N,குச்சி,cangen
129,Blatt::N,இலை,deilen
130,Birke::N,பிர்ச் மரம்,bedwen
131,Kiefer[Baum]::N,தேவதாரு மரம்,pinwydden
132,Weide[Baum]::N,மர வகைகளுள் ஒன்று,helygen
133,Tanne::N,சாதிக்கய்,ffynidwydden
134,Horn::N,கொம்பு,corn
135,Feder::N,இறகு,plufyn
136,Fell::N,மென்முடி,ffwr
137,Flügel::N,இறக்கை,adain
138,Klaue::N,நகம்,crafanc
139,Kralle::N,நகம்,ewin
140,Schwanz::N,வால்,cwt
141,Schwanz::N,வால்,cynffon
142,Ei::N,முட்டை,wy
143,Nest::N,கூடு,nyth
144,Bau::N,குகை,ffau
145,Tier::N,விலங்கு,anifail
146,Herde::N,கூட்டம்,praidd
147,Herde::N,கூட்டம்,diadell
148,Kuh::N,பசு,buwch
149,Bulle::N,காளை,tarw
150,Pferd::N,குதிரை,ceffyl
151,Schaf::N,செம்மறிஆடு,dafad
152,Schwein::N,பன்றி,mochyn
153,Hund::N,நாய்,ci
154,Katze::N,பூனை,cath
155,Bär::N,கரடி,arth
156,Eichhörnchen::N,அணில்,gwiwer
157,Elch::N,கடம்பை,elc
158,Fuchs::N,நரி,cadno
159,Hase::N,முயல்,ysgyfarnog
160,Maus::N,எலி,llygoden
161,Wolf::N,ஓநாய்,blaidd
162,Vogel::N,பறவை,aderyn
163,Schwarm::N,தொகுதி,haid
164,Huhn::N,கோழிக்குஞசு,cyw
165,Hahn::N,சேவல்,ceiliog
166,Gans::N,பெண் வாத்து,gŵydd
167,Adler::N,பருநது,eryr
168,Ente::N,வாத்து,hwyad
169,Eule::N,ஆந்தை,tylluan
170,Kranich::N,நாரை,garan
171,Kranich::N,நாரை,crychydd
172,Krähe::N,காகம்,brân
173,Kuckuck::N,குயில்,cog
174,Kuckuck::N,குயில்,cwcw
175,Schwan::N,அன்னம்,alarch
176,Fisch::N,மீன்,pysgod
177,Barsch::N,பேர்ச்,draenog
178,Hecht::N,கோலாச்சி மீன்,penhwyad
179,Schlange[Tier]::N,பாம்பு,neidr
180,Wurm::N,புழு,abwydyn
181,Wurm::N,புழு,pryf genwair
182,Spinne::N,சிலந்தி,cor
183,Spinne::N,சிலந்தி,pryf copyn
184,Ameise::N,எறும்பு,morgrugyn
185,Laus::N,பேன்,lleuen
186,Mücke::N,கொசுவினப்பூச்சி,gwybedyn
187,Fliege::N,ஈ,cleren
188,Schmetterling::N,வண்ணத்துப்பூச்சி,glöyn byw
189,Schmetterling::N,வண்ணத்துப்பூச்சி,iâr fach yr haf
190,Beere::N,சதைப்பழம்,aeronen
191,Apfel::N,ஆப்பிள பழம்,afal
192,Pilz::N,காளான்,madarch
193,Zwiebel::N,வெங்காயம்,nionyn
194,Zwiebel::N,வெங்காயம்,winwnsyn
195,Saat::N,விதை,had
196,Korn::N,தானியம்,grawn
197,Heu::N,வைக்கோல்,gwair
198,Schale::N,தோல்,croen
199,Schale::N,தோல்,plisgyn
200,Grube::N,குழி,pwll
201,Grube::N,குழி,pydew
202,Falle::N,பொறி,magl
203,Schlinge::N,கண்ணி,cwlwm rhedeg
204,Spur::N,சுவடு,ôl
205,Asche::N,சாம்பல்,lludw
206,Dreck::N,அழுக்கு,baw
207,Dreck::N,அழுக்கு,budreddi
208,Eisen::N,இரும்பு,haearn
209,Gold::N,தங்கம்,aur
210,Silber::N,வெள்ளி,arian
211,Kohle::N,நிலக்கரி,glo
212,Glas::N,கண்ணாடி,gwydr
213,Lehm::N,களிமண்,clai
214,Sand::N,மணல்,tywod
215,Mensch::N,மனிதர்கள்,dyn
216,Mann::N,மனிதன்,dyn
217,Frau::N,பெண்,merch
218,Frau::N,பெண்,gwraig
219,Kind::N,குழந்தை,plentyn
220,Junge::N,பையன்,hogyn
221,Junge::N,பையன்,bachgen
222,Mädchen::N,சிறுமி,merch
223,Mädchen::N,சிறுமி,geneth
224,Familie::N,குடும்பம்,teulu
225,Familie::N,குடும்பம்,tylwyth
226,Großvater::N,தாத்தா,taid
227,Großvater::N,தாத்தா,tad-cu
228,Großmutter::N,பாட்டி,nain
229,Großmutter::N,பாட்டி,mam-gu
230,Eltern::N,பெற்றோர்,rhieni
231,Vater::N,தந்தை,tad
232,Mutter::N,தாய்,mam
233,Sohn::N,மகன்,mab
234,Tochter::N,மகள்,merch
235,Bruder::N,சகோதரன்,brawd
236,Schwester::N,அக்கா,chwaer
237,Onkel::N,தாய் மாமன்,ewythr
238,Tante::N,அத்தை,modryb
239,Ehemann::N,கணவன்,gŵr
240,Ehefrau::N,மனைவி,gwraig
241,Freude::N,கொண்டாட்டம்,gorfoledd
242,Gelächter::N,சிரிப்பு,chwerthin
243,Glück::N,மகிழ்ச்சி,hapusrwydd
244,Kummer::N,துயரம்,galar
245,Wunsch::N,விருப்பம்,dymuniad
246,Lust::N,விருப்பம்,chwant
247,Geist::N,ஆன்மா,ysbryd
248,Gedanke::N,எண்ணம்,meddwl
249,Gedächtnis::N,ஞாபகம்,cof
250,Verstand::N,மனம்,meddwl
251,Sinn::N,அர்த்தம்,ystyr
252,Grund::N,காரணம்,achos
253,Grund::N,காரணம்,rheswm
254,Wahrheit::N,உண்நை,gwir
255,Wahrheit::N,உண்நை,gwirionedd
256,Gespräch::N,பெசு,sgwrs
257,Märchen::N,நம்பத்தகாத கதை,chwedl werin
258,Erzählung::N,கதை,stori
259,Nachricht::N,செய்தி,neges
260,Neuigkeit::N,செய்தி,newydd
261,Name::N,பெயர்,enw
262,Rätsel::N,புதிர்,pos
263,Rede::N,பேச்சு,araith
264,Sprache::N,மொழி,iaith
265,Stimme::N,குரல்,llais
266,Wort::N,வார்த்தை,gair
267,Zeichen::N,குறி,arwydd
268,Ruf::N,அழைப்பு,galwad
269,Lärm::N,சத்தம்,trwst
270,Laut::N,ஒலி,sain
271,Ton::N,குரல்,tôn
272,Lied::N,பாட்டு,cân
273,Ruhe::N,அமைதி,tawelwch
274,Leute::N,மக்கள்,pobl
275,Volk::N,மக்கள்,pobl
276,Arbeit::N,வேலை,gwaith
277,Gast::N,விருந்தாளி,gwestai
278,Geschenk::N,பரிசுப் பொருள்,rhodd
279,Geschenk::N,பரிசுப் பொருள்,anrheg
280,Spiel::N,விளையாட்டு,chwarae
281,Gesellschaft::N,சமுதாயம்,cwmni
282,Hilfe::N,உதவி,cymorth
283,Freund::N,நண்பன்,cyfaill
284,Kamerad::N,உடனிருப்பவன்,cydymaith
285,Angelegenheit::N,செய்தி,pwnc
286,Anzahl::N,எண்ணிக்கை,cyfrif
287,Art::N,வகை,bath
288,Stück::N,துண்டம்,darn
289,Teil::N,பகுதி,rhan
290,Hälfte::N,பாதி,hanner
291,Kreis::N,வட்டம்,cylch
292,Kreuz::N,சிலுவை,croes
293,Linie::N,கோடு,llinell
294,Strich::N,வாத நோய்,strôc
295,Strich::N,வாத நோய்,trawiad
296,Abstand::N,இடைவெளி,bwlch
297,Abstand::N,இடைவெளி,pellter
298,Entfernung::N,தூரம்,pellter
299,Gegend::N,வட்டாரம்,cylch
