,Concept_ID,bn,nl
0,Auge::N,চক্ষু,oog
1,Ohr::N,কর্ণ,oor
2,Nase::N,নাক,neus
3,Mund::N,মুখ,mond
4,Zahn::N,দাঁত,tand
5,Zunge::N,জিহবা,tong
6,Lippe::N,অধর,lip
7,Wange::N,গণ্ড,wang
8,Gesicht::N,মুখমণ্ডল,gelaat
9,Gesicht::N,মুখমণ্ডল,gezicht
10,Stirn::N,কপাল,voorhoofd
11,Haar::N,চুল,haar
12,Schnurrbart::N,গোঁফ,snor
13,Bart::N,শ্মশ্রু,baard
14,Kinn::N,চিবুক,kin
15,Kiefer[Anatomie]::N,চোয়াল,kaak
16,Kehle::N,কণ্ঠ,keel
17,Kehle::N,কণ্ঠ,strot
18,Hals::N,গল,hals
19,Genick::N,ঘাড়,nek
20,Kopf::N,মাথা,hoofd
21,Rücken::N,পৃষ্ঠ,rug
22,Bauch::N,উদর,buik
23,Nabel::N,নাভি,navel
24,Busen::N,স্তন,boezem
25,Brust::N,বুক,borst
26,Schulter::N,স্কন্ধ,schouder
27,Arm::N,বাহু,arm
28,Ellenbogen::N,কনুই,elleboog
29,Hand::N,হাত,hand
30,Handfläche::N,করতল,handpalm
31,Finger::N,আঙ্গুল,vinger
32,Fingernagel::N,হাতের নখ,nagel
33,Nagel[Anatomie]::N,নখ,nagel
34,Zeh::N,আঙ্গুল,teen
35,Fuß::N,পা,voet
36,Ferse::N,গোড়ালি,hak
37,Ferse::N,গোড়ালি,hiel
38,Knie::N,হাঁটু,knie
39,Oberschenkel::N,ঊরু,dij
40,Bein::N,পা,been
41,Körper::N,দেহ,lichaam
42,Haut::N,ত্বক,huid
43,Blut::N,রক্ত,bloed
44,Ader::N,শিরা,ader
45,Sehne::N,কণ্ডরা,pees
46,Knochen::N,অস্থি,bot
47,Knochen::N,অস্থি,been
48,Knochen::N,অস্থি,knook
49,Gehirn::N,মস্তিষ্ক,hersenen
50,Herz::N,হৃৎপিণ্ড,hart
51,Magen::N,পাকস্থলী,maag
52,Leber::N,যকৃৎ,lever
53,Atem::N,শ্বাস,adem
54,Hunger::N,ক্ষুধা,honger
55,Träne::N,অশ্রু,traan
56,Geschmack::N,স্বাদ,smaak
57,Geruch::N,গন্ধ,geur
58,Schlaf::N,ঘুম,slaap
59,Traum::N,স্বপ্ন,droom
60,Himmel::N,আকাশ,hemel
61,Sonne::N,সূর্য,zon
62,Mond::N,চন্দ্র,maan
63,Stern::N,নক্ষত্র,ster
64,Luft::N,বায়ু,lucht
65,Wind::N,বাতাস,wind
