,Concept_ID,ta,zh
0,Auge::N,கண்,眼睛
1,Ohr::N,காது,耳朵
2,Nase::N,மூக்கு,鼻子
3,Mund::N,வாய்,嘴
4,Zahn::N,பல்,牙齿
5,Zunge::N,நாக்கு,舌头
6,Lippe::N,உதடு,嘴唇
7,Wange::N,கன்னம்,面颊
8,Gesicht::N,முகம்,脸
9,Stirn::N,முன்னெற்றி,额
10,Haar::N,முடி,头发
11,Schnurrbart::N,மீசை,髭须
12,Bart::N,தாடி,胡子
13,Kinn::N,கீழதாடை,下巴
14,Kiefer[Anatomie]::N,தாடை,颌
15,Kehle::N,தொண்டை,嗓子
16,Hals::N,கழுத்து,颈
17,Genick::N,கழுத்து,后颈
18,Kopf::N,தலை,头
19,Rücken::N,முதுகு,背
20,Bauch::N,வயிறு,肚子
21,Nabel::N,தொப்புள்,肚脐
22,Busen::N,மார்பகம்,胸脯
23,Brust::N, மார்பு,胸
24,Schulter::N,தோள்பட்டை,肩膀
25,Arm::N,கரம்,臂膀
26,Ellenbogen::N,முழங்கை,肘
27,Hand::N,கை,手
28,Handfläche::N,உள்ளங்கை,手掌
29,Finger::N,விரல்,手指
30,Fingernagel::N,விரல் நகம்,指甲
31,Nagel[Anatomie]::N,நகம்,指甲
32,Zeh::N,கால்விரல்,脚趾
33,Fuß::N,கால்,脚
34,Ferse::N,குதிகால்,后跟
35,Knie::N,முழங்கால்,膝
36,Oberschenkel::N,தொடை,大腿
37,Bein::N,கால்,腿
38,Körper::N,உடல்,身体
39,Haut::N,சருமம்,皮肤
40,Blut::N,இரத்தம்,血
41,Ader::N,நாளம்,血管
42,Sehne::N,தசைநார்,腱
43,Knochen::N,எலுமபு,骨
44,Gehirn::N,மூனை,脑
45,Herz::N,இதயம,心
46,Magen::N,வயிறு,胃
47,Leber::N,கல்லீரல்,肝
48,Atem::N,மூச்சு,呼吸
49,Hunger::N,பசி,饿
50,Träne::N,கண்ணீர்,眼泪
51,Geschmack::N,நறுமணம்,味道
52,Geruch::N,துர்நாற்றம்,气味
53,Schlaf::N,தூக்கம்,睡眠
54,Traum::N,கனவு,梦
55,Himmel::N,வானம்,天空
56,Sonne::N,சூரியன்,太阳
57,Mond::N,சந்திரன்,月亮
58,Stern::N,நட்சத்திரம்,星
59,Luft::N,காறறு,空气
60,Wind::N,காற்று,风
61,Welle::N,அலை,波
62,Wasser::N,நீர்,水
63,Stein::N,கல்,石头
64,Boden::N,தரை,地面
65,Erde::N,மண்,地
66,Staub::N,தூசி,灰尘
67,Rauch::N,புகை,烟
68,Funke::N,தீப்பொறி,火花
69,Feuer::N,தீ,火
70,Licht::N,வெளிச்சம்,光
71,Schatten::N,நிழல்,影子
72,Wetter::N,வானிலை,天气
73,Nebel::N,பனிமூட்டம்,雾
74,Wolke::N,மேகம்,云
75,Regen::N,மழை,雨
76,Schnee::N,உறைபனி,雪
77,Eis::N,பனிக்கட்டி,冰
78,Frost::N,உறைபனி,霜冻
79,Kälte::N,குளிர்ந்த,寒冷
80,Hitze::N,சூடு,炎热
81,Raureif::N,உறைபனி வெண்திரை,霜
82,Regenbogen::N,வானவில்,虹
83,Donner::N,இடி,雷
84,Strömung::N,நீரோட்டம்,水流
85,Tropfen::N,துளி,滴
86,Schaum::N,நுரை,泡沫
87,Schmutz::N,அழுக்கு,赃物
88,See::N,ஏரி,湖
89,Sumpf::N,சதுப்பு நிலம்,沼泽
90,Moor::N,முட்புதற்காடு,沼泽
91,Wiese::N,பசும் புல்தரை,草地
92,Wald::N,காடு,森林
93,Hügel::N,குன்று,丘陵
94,Anhöhe::N,பதுக்கை,山丘
95,Berg::N,மலை,山
96,Gipfel::N,உச்சி மாநாடு,峰
97,Höhle::N,குகை,洞穴
98,Abhang::N,சரிவு,斜坡
99,Quelle::N,மூலம்,泉
100,Bach::N,ஓடை,溪
101,Fluss::N,ஆறு,河流
102,Ufer::N,நீர்க்கரை,岸
103,Küste::N,கடற்கரை,海岸
104,Festland::N,நிலம்,大陆
105,Meer::N,கடல்,海
106,Bucht::N,சிறுகுடா,海湾
107,Insel::N,தீவு,岛
108,Blume::N,பூ,花
109,Gras::N,புல்தரை,草
110,Wurzel::N,வேர்,根
111,Baum::N,மரம்,树
112,Stamm::N,அடிமரம்,树干
113,Rinde::N,பட்டை,树皮
114,Rinde::N,மரப்பட்டை,树皮
115,Ast::N,கினை,树枝
116,Zweig::N,குச்சி,树枝
117,Blatt::N,இலை,叶子
118,Birke::N,பிர்ச் மரம்,桦木
119,Kiefer[Baum]::N,தேவதாரு மரம்,松树
120,Weide[Baum]::N,மர வகைகளுள் ஒன்று,柳树
121,Tanne::N,சாதிக்கய்,冷杉
122,Horn::N,கொம்பு,角
123,Feder::N,இறகு,羽毛
124,Fell::N,மென்முடி,皮毛
125,Flügel::N,இறக்கை,翅膀
126,Klaue::N,நகம்,爪子
127,Kralle::N,நகம்,爪子
128,Schwanz::N,வால்,尾巴
129,Ei::N,முட்டை,蛋
130,Nest::N,கூடு,巢
131,Bau::N,குகை,穴
132,Tier::N,விலங்கு,动物
133,Herde::N,கூட்டம்,群
134,Kuh::N,பசு,母牛
135,Bulle::N,காளை,公牛
136,Pferd::N,குதிரை,马
137,Schaf::N,செம்மறிஆடு,羊
138,Schwein::N,பன்றி,猪
139,Hund::N,நாய்,狗
140,Katze::N,பூனை,猫
141,Bär::N,கரடி,熊
142,Eichhörnchen::N,அணில்,松鼠
143,Elch::N,கடம்பை,麋鹿
144,Fuchs::N,நரி,狐狸
145,Hase::N,முயல்,兔子
146,Maus::N,எலி,老鼠
147,Wolf::N,ஓநாய்,狼
148,Vogel::N,பறவை,鸟
149,Schwarm::N,தொகுதி,群
150,Huhn::N,கோழிக்குஞசு,鸡
151,Hahn::N,சேவல்,公鸡
152,Gans::N,பெண் வாத்து,鹅
153,Adler::N,பருநது,鹰
154,Ente::N,வாத்து,鸭
155,Eule::N,ஆந்தை,猫头鹰
156,Kranich::N,நாரை,鹤
157,Krähe::N,காகம்,乌鸦
158,Kuckuck::N,குயில்,布谷鸟
159,Schwan::N,அன்னம்,天鹅
160,Fisch::N,மீன்,鱼
161,Barsch::N,பேர்ச்,鲈鱼
162,Hecht::N,கோலாச்சி மீன்,狗鱼
163,Schlange[Tier]::N,பாம்பு,蛇
164,Wurm::N,புழு,蠕虫
165,Spinne::N,சிலந்தி,蜘蛛
166,Ameise::N,எறும்பு,蚂蚁
167,Laus::N,பேன்,虱子
168,Mücke::N,கொசுவினப்பூச்சி,蚊子
169,Fliege::N,ஈ,苍蝇
170,Schmetterling::N,வண்ணத்துப்பூச்சி,蝴蝶
171,Beere::N,சதைப்பழம்,将果
172,Apfel::N,ஆப்பிள பழம்,苹果
173,Pilz::N,காளான்,蘑菇
174,Zwiebel::N,வெங்காயம்,洋葱
175,Saat::N,விதை,种子
176,Korn::N,தானியம்,谷粒
177,Heu::N,வைக்கோல்,干草
178,Schale::N,தோல்,壳
179,Grube::N,குழி,坑
180,Falle::N,பொறி,圈套
181,Schlinge::N,கண்ணி,活扣
182,Spur::N,சுவடு,踪迹
183,Asche::N,சாம்பல்,灰烬
184,Dreck::N,அழுக்கு,污垢
185,Eisen::N,இரும்பு,铁
186,Gold::N,தங்கம்,金子
187,Silber::N,வெள்ளி,银
188,Kohle::N,நிலக்கரி,煤
189,Glas::N,கண்ணாடி,玻璃
190,Lehm::N,களிமண்,粘土
191,Sand::N,மணல்,沙
192,Mensch::N,மனிதர்கள்,人
193,Mann::N,மனிதன்,男子
194,Frau::N,பெண்,妇女
195,Kind::N,குழந்தை,小孩
196,Junge::N,பையன்,男孩
197,Mädchen::N,சிறுமி,女孩
198,Familie::N,குடும்பம்,家庭
199,Großvater::N,தாத்தா,祖父
200,Großmutter::N,பாட்டி,祖母
201,Eltern::N,பெற்றோர்,父母
202,Vater::N,தந்தை,父亲
203,Mutter::N,தாய்,母亲
204,Sohn::N,மகன்,儿子
205,Tochter::N,மகள்,女儿
206,Bruder::N,சகோதரன்,兄弟
207,Schwester::N,அக்கா,姐妹
208,Onkel::N,தாய் மாமன்,伯父
209,Tante::N,அத்தை,阿姨
210,Ehemann::N,கணவன்,丈夫
211,Ehefrau::N,மனைவி,妻子
212,Freude::N,கொண்டாட்டம்,愉快
213,Gelächter::N,சிரிப்பு,大笑
214,Glück::N,மகிழ்ச்சி,运气
215,Kummer::N,துயரம்,苦恼
216,Wunsch::N,விருப்பம்,愿望
217,Lust::N,விருப்பம்,乐趣
218,Geist::N,ஆன்மா,精神
219,Gedanke::N,எண்ணம்,思想
220,Gedächtnis::N,ஞாபகம்,记性
221,Verstand::N,மனம்,理智
222,Sinn::N,அர்த்தம்,感觉
223,Grund::N,காரணம்,理由
224,Wahrheit::N,உண்நை,真理
225,Gespräch::N,பெசு,谈话
226,Märchen::N,நம்பத்தகாத கதை,童话
227,Erzählung::N,கதை,故事
228,Nachricht::N,செய்தி,消息
229,Neuigkeit::N,செய்தி,新闻
230,Name::N,பெயர்,名字
231,Rätsel::N,புதிர்,谜语
232,Rede::N,பேச்சு,讲话
233,Sprache::N,மொழி,语言
234,Stimme::N,குரல்,声音
235,Wort::N,வார்த்தை,词
236,Zeichen::N,குறி,标记
237,Ruf::N,அழைப்பு,呼喊
238,Lärm::N,சத்தம்,噪音
239,Laut::N,ஒலி,响声
240,Ton::N,குரல்,声音
241,Lied::N,பாட்டு,歌曲
242,Ruhe::N,அமைதி,安静
243,Leute::N,மக்கள்,人们
244,Volk::N,மக்கள்,人民
245,Arbeit::N,வேலை,劳动
246,Gast::N,விருந்தாளி,客人
247,Geschenk::N,பரிசுப் பொருள்,礼物
248,Spiel::N,விளையாட்டு,游戏
249,Gesellschaft::N,சமுதாயம்,陪同
250,Hilfe::N,உதவி,帮助
251,Freund::N,நண்பன்,朋友
252,Kamerad::N,உடனிருப்பவன்,同志
253,Angelegenheit::N,செய்தி,事情
254,Anzahl::N,எண்ணிக்கை,数目
255,Art::N,வகை,种类
256,Stück::N,துண்டம்,块
257,Teil::N,பகுதி,部分
258,Hälfte::N,பாதி,一半
259,Kreis::N,வட்டம்,圆
260,Kreuz::N,சிலுவை,十字架
261,Linie::N,கோடு,线条
262,Strich::N,வாத நோய்,划
263,Abstand::N,இடைவெளி,距离
264,Entfernung::N,தூரம்,距离
265,Gegend::N,வட்டாரம்,地区
266,Platz::N,வெற்றிடம்,场所
267,Ort::N,இடம்,地点
268,Seite::N,பக்கம்,面
269,Mitte::N,இடைப்பகுதி,中间
270,Gegenstand::N,உருப்படி,物品
271,Sache::N,பொருள்,物
272,Rand::N,தொங்கு,边
273,Kante::N,விளிம்பு,棱
274,Ecke::N,மூலை,角
275,Spitze::N,முனை,尖
276,Ende::N,முடிவு,结尾
277,Loch::N,துளை,洞
278,Winkel::N,கோணம்,角度
279,Muster::N,பாங்கு,模型
280,Größe::N,அளவு,大小
281,Länge::N,நீளம்,长度
