,Concept_ID,ko,el
0,Auge::N,눈,μάτι
1,Auge::N,눈,οφθαλμός
2,Ohr::N,귀,αυτί
3,Nase::N,코,μύτη
4,Mund::N,입,στόμα
5,Zahn::N,이,δόντι
6,Zunge::N,혀,γλώσσα
7,Lippe::N,입술,χείλος
8,Wange::N,뺨,παρειά
9,Wange::N,뺨,μάγουλο
10,Gesicht::N,얼굴,πρόσωπο
11,Stirn::N,이마,μέτωπο
12,Haar::N,털,μαλλιά
13,Schnurrbart::N,윗수몀,μουστάκι
14,Schnurrbart::N,코밑수염,μουστάκι
15,Bart::N,수엄,γένια
16,Kinn::N,아래턱,πιγούνι
17,Kiefer[Anatomie]::N,턱,σαγόνι
18,Kehle::N,인후,λαρύγγι
19,Hals::N,목,λαιμός
20,Genick::N,먹덜이,σβέρκος
21,Kopf::N,머리,κεφάλι
22,Rücken::N,든,ράχη
23,Bauch::N,배,κοιλιά
24,Nabel::N,배꼽,αφαλός
25,Busen::N,가슴속,στήθος
26,Brust::N,가슴,στήθος
27,Schulter::N,어깨,ώμος
28,Arm::N,팔,χέρι
29,Arm::N,팔,μπράτςο
30,Ellenbogen::N,팔쿰치,αγκώνας
31,Hand::N,손,χέρι
32,Handfläche::N,손바닥,παλάμη
33,Finger::N,속가락,δάχτυλο
34,Fingernagel::N,손톱,νύχι
35,Nagel[Anatomie]::N,손톱,νύχι
36,Zeh::N,발가락,δάχτυλο του ποδιού
37,Fuß::N,발,πόδι
38,Ferse::N,발꿈치,φτέρνα
39,Knie::N,무릎,γόνατο
40,Oberschenkel::N,허벅다리,μηρός
41,Bein::N,다리,πόδι
42,Körper::N,구간,σώμα
43,Körper::N,구간,κορμί
44,Haut::N,살갗,πετσί
45,Blut::N,피,αίμα
46,Ader::N,정맥,φλέβα
47,Sehne::N,현,νεύρο
48,Sehne::N,현,τένοντας
49,Knochen::N,뼈,οστό
50,Knochen::N,뼈,κόκκαλο
51,Gehirn::N,뇌,μυαλό
52,Gehirn::N,뇌,εγκέφαλος
53,Gehirn::N,뇌수,μυαλό
54,Gehirn::N,뇌수,εγκέφαλος
55,Herz::N,염통,καρδιά
56,Magen::N,위,στομάχι
57,Leber::N,간,ήπαρ
58,Leber::N,간,συκωτί
59,Atem::N,기식,αναπνοή
60,Hunger::N,공복,πείνα
61,Träne::N,눈물,δάκρυ
62,Geschmack::N,기호,γεύση
63,Geruch::N,냄새,οσμή
64,Geruch::N,냄새,μυρωδία
65,Schlaf::N,수면,ύπνος
66,Traum::N,쿰,όνειρο
67,Himmel::N,하늘,ουρανός
68,Sonne::N,해,ήλιος
69,Mond::N,달,σελήνη
70,Mond::N,달,φεγγάρι
71,Stern::N,별,άστρο
72,Stern::N,별,αστέρι
73,Luft::N,동준,αέρας
74,Luft::N,가스채,αέρας
75,Wind::N,바람,αέρας
76,Wind::N,바람,άνεμος
77,Welle::N,물결,κύμα
78,Wasser::N,물,νερό
79,Stein::N,돌,πέτρα
80,Boden::N,바닥,χώμα
81,Erde::N,흙,γη
82,Staub::N,먼지,σκόνη
83,Rauch::N,연기,καπνός
84,Funke::N,불티,σπίθα
85,Funke::N,불티,σπινθήρας
86,Feuer::N,불,φωτιά
87,Licht::N,불,φως
88,Schatten::N,어스레함,σκιά
89,Schatten::N,어스레함,ίσκιος
90,Wetter::N,기상,καιρός
91,Nebel::N,안개,ομίχλη
92,Wolke::N,구름,σύννεφο
93,Regen::N,비,βροχή
94,Schnee::N,눈,χιόνι
95,Eis::N,얼음,πάγος
96,Frost::N,혹한,παγωνία
97,Kälte::N,추위,κρύο
98,Kälte::N,추위,ψύχος
99,Kälte::N,차가움,κρύο
100,Kälte::N,차가움,ψύχος
101,Hitze::N,고온,ζέστη
102,Hitze::N,더위,ζέστη
103,Regenbogen::N,무지개,ουράνιο τόξο
104,Donner::N,뇌명,βροντή
105,Strömung::N,유동,ρεύμα
106,Tropfen::N,물방울,στάλα
107,Schaum::N,포말,αφρός
108,Schmutz::N,때,βρωμιά
109,See::N,호수,λίμνη
110,Sumpf::N,습지,βάλτος
111,Moor::N,저습지,έλος
112,Wiese::N,목초지,λιβάδι
113,Wald::N,숲,δάσος
114,Hügel::N,언덕,λόφος
115,Anhöhe::N,언덕,ύψωμα
116,Berg::N,산,όρος
117,Berg::N,산,βουνό
118,Gipfel::N,졀졍,κορυφή
119,Höhle::N,공동,σπηλιά
120,Abhang::N,몰매,πλαγιά
121,Quelle::N,근원,πηγή
122,Quelle::N,근원,βρύση
123,Bach::N,내,ρυάκι
124,Fluss::N,강,ποτάμι
125,Fluss::N,강,ποταμός
126,Ufer::N,강변,όχθη
127,Ufer::N,바닷가,όχθη
128,Küste::N,해변,ακτή
129,Küste::N,해변,ακρογιαλιά
130,Küste::N,해변가,ακτή
131,Küste::N,해변가,ακρογιαλιά
132,Festland::N,본토,στεριά
133,Meer::N,바다,θάλασσα
134,Bucht::N,협만,κόλπος
135,Insel::N,섬,νησί
136,Insel::N,섬,νήσος
137,Blume::N,꽃,άνθος
138,Blume::N,꽃,λουλούδι
139,Gras::N,풀,χόρτο
140,Gras::N,풀,χορτάρι
141,Wurzel::N,뿌리,ρίζα
142,Baum::N,나무,δέντρο
143,Stamm::N,대,κορμός
144,Rinde::N,나무껍질,φλούδα
145,Ast::N,가지,κλαδί
146,Zweig::N,가지,κλαδί
147,Zweig::N,가지,κλάδος
148,Blatt::N,잎,φύλλο
149,Birke::N,자작나무,σημύδα
150,Kiefer[Baum]::N,소나무,πεύκο
151,Weide[Baum]::N,쉬양버들,ιτιά
152,Tanne::N,전나무,έλατο
153,Horn::N,뿔,κέρας
154,Horn::N,뿔,κέρατο
155,Feder::N,깃털,φτερό
156,Fell::N,피혁모피,δέρμα
157,Fell::N,피혁모피,τομάρι
158,Flügel::N,날개,πτερύγιο
159,Klaue::N,갈고리 발톺,κουλό
160,Kralle::N,발툭,νύχι
161,Schwanz::N,꼬리,ουρά
162,Ei::N,알,αβγό
163,Nest::N,보금자리,φωλιά
164,Bau::N,굴,φωλιά
165,Tier::N,짐승,ζώο
166,Herde::N,가축의떼,κοπάδι
167,Kuh::N,암소,αγελάδα
168,Bulle::N,황소,ταύρος
169,Pferd::N,말,άλογο
170,Schaf::N,양,πρόβατο
171,Schwein::N,돼지,γουρούνι
172,Hund::N,개,σκυλί
173,Hund::N,개,σκύλος
174,Katze::N,고양이,γάτα
175,Bär::N,콤,άρκτος
176,Bär::N,콤,αρκούδα
177,Eichhörnchen::N,다람쥐,βερβερίτσα
178,Elch::N,고라니,άλκη
179,Fuchs::N,여우,αλεπού
180,Hase::N,토끼,λαγός
181,Maus::N,쥐,ποντικός
182,Wolf::N,늑대,λύκος
183,Vogel::N,새,πουλί
184,Schwarm::N,뗴,σμήνος
185,Huhn::N,암탉,κότα
186,Huhn::N,암탉,όρνιθα
187,Hahn::N,수탉,πετεινός
188,Gans::N,거위,χήνα
189,Adler::N,수리,αετός
190,Ente::N,오리,πάπια
191,Eule::N,부엉이,κουκουβάγια
192,Kranich::N,두루미,γερανός
193,Krähe::N,까마귀,καρακάξα
194,Kuckuck::N,뻐꾸기,κούκος
195,Schwan::N,배조,κύκνος
196,Fisch::N,물고기,ψάρι
197,Barsch::N,농어,πέρκα
198,Hecht::N,에속스,λούτσος
199,Schlange[Tier]::N,뱀,φίδι
200,Wurm::N,벌레,σκουλήκι
201,Spinne::N,거미,αράχνη
202,Ameise::N,개미,μυρμήγκι
203,Laus::N,이,ψείρα
204,Mücke::N,모기,κουνούπι
205,Fliege::N,날기,μύγα
206,Schmetterling::N,나비,πεταλούδα
207,Beere::N,장과,ρόγα
208,Apfel::N,사과,μήλο
209,Pilz::N,고방이,μανιτάρι
210,Zwiebel::N,양파,κρεμμύδι
211,Saat::N,씨,σπόρος
212,Korn::N,알맹이,σπυρί
213,Heu::N,건초,σανός
214,Schale::N,피상,τσόφλι
215,Falle::N,함정,παγίδα
216,Schlinge::N,올가미,θηλειά
217,Schlinge::N,멜빵붕대,θηλειά
218,Spur::N,발지국,ίχνος
219,Asche::N,재,στάχτη
220,Dreck::N,똥,βρωμιά
221,Dreck::N,오물,βρωμιά
222,Eisen::N,쇠,σίδερο
223,Eisen::N,철,σίδερο
224,Gold::N,항금,μάλαμα
225,Gold::N,항금,χρυσάφι
226,Silber::N,은,ασήμι
227,Silber::N,은,άργυρος
228,Kohle::N,슻,κάρβουνο
229,Glas::N,유리,γυαλί
230,Lehm::N,찰흙,πηλός
231,Sand::N,모래,άμμος
232,Mensch::N,사람,άνθρωπος
233,Mann::N,남자,άνδρας
234,Frau::N,여자,γυναίκα
235,Kind::N,아이,παιδί
236,Junge::N,소녁,αγόρι
237,Mädchen::N,소녀,κοπέλα
238,Mädchen::N,소녀,κορίτσι
239,Familie::N,가족,οικογένεια
240,Großvater::N,할아버지,παππούς
241,Großmutter::N,할머니,γιαγιά
242,Eltern::N,어버오,γονείς
243,Vater::N,아버지,πατέρας
244,Mutter::N,어머니,μητέρα
245,Sohn::N,아들,γιος
246,Tochter::N,딸기,κόρη
247,Bruder::N,형제,αδελφός
248,Schwester::N,누이,αδελφή
249,Onkel::N,백부,θείος
250,Tante::N,아주머니,θεία
251,Ehemann::N,남편,σύζυγος
252,Ehefrau::N,아내,σύζυγος
253,Freude::N,기쁨,χαρά
254,Gelächter::N,웃음,γέλια
255,Glück::N,즐거움,ευτυχία
256,Kummer::N,슬픔,έγνοια
257,Wunsch::N,소망,επιθυμία
258,Geist::N,할기,πνέυμα
259,Gedanke::N,상념,σκέψη
260,Gedächtnis::N,기억,μνήμη
261,Verstand::N,분별,νους
262,Verstand::N,지능,νους
263,Sinn::N,센스,νόημα
264,Grund::N,까닭,λόγος
265,Wahrheit::N,참,αλήθεια
266,Wahrheit::N,진실,αλήθεια
267,Gespräch::N,대화,συνομιλία
268,Märchen::N,동화,παραμύθι
269,Erzählung::N,이야기,διήγημα
270,Neuigkeit::N,뉴스,νέο
271,Name::N,이름,όνομα
272,Rätsel::N,수수께끼,αίνιγμα
273,Rede::N,연설,λόγος
274,Rede::N,연설,ομιλία
275,Sprache::N,말,γλώσσα
276,Stimme::N,목소리,φωνή
277,Wort::N,낱말,λέξη
278,Zeichen::N,신호,σημείο
279,Ruf::N,부름,κραυγή
280,Lärm::N,소동,θόρυβος
281,Laut::N,음성,ήχος
282,Ton::N,목소리,ήχος
283,Ton::N,목소리,τόνος
284,Lied::N,노래,τραγούδι
285,Ruhe::N,쉼,ησυχία
286,Leute::N,사람들,κόσμος
287,Leute::N,사람들,άνθρωποι
288,Volk::N,국중,λαός
289,Arbeit::N,근로,εργασία
290,Arbeit::N,너무,εργασία
291,Gast::N,손님,επισκέπτης
292,Geschenk::N,행하,δώρο
293,Spiel::N,무리,παιχνίδι
294,Gesellschaft::N,교제,κοινωνία
295,Hilfe::N,거들음,βοήθεια
296,Hilfe::N,보좌,βοήθεια
297,Freund::N,친구,φίλος
298,Kamerad::N,동실자,σύντροφος
299,Angelegenheit::N,용무,υπόθεση
300,Anzahl::N,어떤,αριθμός
301,Anzahl::N,수,αριθμός
302,Art::N,정류,είδος
303,Stück::N,일부분,κομμάτι
304,Teil::N,몱,μέρος
305,Teil::N,구훠,μέρος
306,Hälfte::N,2분의,μισό
307,Kreis::N,고리,κύκλος
308,Kreuz::N,열십자,σταυρός
309,Linie::N,선,γραμμή
310,Strich::N,스침,γραμμή
311,Abstand::N,거리,απόσταση
