,Concept_ID,et,kn
0,Auge::N,silm,ಕಣ್ಣು
1,Ohr::N,kõrv,ಕಿವಿ
2,Nase::N,nina,ಮೂಗು
3,Mund::N,suu,ಬಾಯಿ
4,Zahn::N,hammas,ಹಲ್ಲು
5,Zunge::N,keel,ನಾಲಿಗೆ
6,Lippe::N,huul,ತುಟಿ
7,Wange::N,põsk,ಗಲ್ಲ
8,Gesicht::N,nägu,ಮುಖ
9,Stirn::N,otsmik,ಹಣೆ
10,Haar::N,juus,ಕೂದಲು
11,Schnurrbart::N,vurrud,ಮೀಸೆ
12,Schnurrbart::N,vuntsid,ಮೀಸೆ
13,Bart::N,habe,ಗಡ್ಡ
14,Kinn::N,lõug,ಗದ್ದ
15,Kiefer[Anatomie]::N,lõualuu,ದವಡೆ
16,Kehle::N,kõri,ಗಂಟಲು
17,Hals::N,kael,ಕೊರಳು
18,Genick::N,kukal,ಹಿಂಗತ್ತು
19,Kopf::N,pea,ತಲೆ
20,Rücken::N,selg,ಬೆನ್ನು
21,Bauch::N,kõht,ಹೊಟ್ಟೆ
22,Nabel::N,naba,ಹೊಕ್ಕುಳು
23,Busen::N,rind,ಸ್ತನ
24,Brust::N,rind,ಎದೆ
25,Schulter::N,õlg,ಭುಜ
26,Arm::N,käsivars,ತೋಳು
27,Ellenbogen::N,küünarnukk,ಮೊಣಕೈ
28,Hand::N,käsi,ಕೈ
29,Handfläche::N,pihk,ಅಂಗೈ
30,Finger::N,sõrm,ಕೈಬೆರಳು
31,Fingernagel::N,küüs,ಉಗುರು
32,Nagel[Anatomie]::N,küüs,ಉಗುರು
33,Zeh::N,varvas,ಕಾಲ್ಬೆರಳು
34,Fuß::N,jalg,ಪಾದ
35,Ferse::N,kand,ಹಿಮ್ಮಡಿ
36,Knie::N,põlv,ಮಂಡಿ
37,Oberschenkel::N,reis,ತೊಡೆ
38,Bein::N,jalg,ಕಾಲು
39,Körper::N,ihu,ದೇಹ
40,Körper::N,keha,ದೇಹ
41,Haut::N,nahk,ಚರ್ಮ
42,Blut::N,veri,ರಕ್ತ
43,Ader::N,veen,ನರ
44,Sehne::N,kõõlus,ನರ
45,Knochen::N,luu,ಮೂಳೆ
46,Gehirn::N,aju,ಮಿದುಳು
47,Herz::N,süda,ಹೃದಯ
48,Magen::N,magu,ಉದರ
49,Leber::N,maks,ಯಕೃತ್ತು
50,Atem::N,hingeõhk,ಉಸಿರು
51,Atem::N,hingamine,ಉಸಿರು
52,Hunger::N,nälg,ಹಸಿವು
53,Träne::N,pisar,ಕಣ್ಣೀರು
54,Geschmack::N,maitse,ರುಚಿ
55,Geruch::N,lõhn,ವಾಸನೆ
56,Schlaf::N,uni,ನಿದ್ರೆ
57,Traum::N,unenägu,ಕನಸು
58,Himmel::N,taevas,ಬಾನು
59,Sonne::N,päike,ಸೂರ್ಯ
60,Mond::N,kuu,ಚಂದ್ರ
61,Stern::N,täht,ಚುಕ್ಕಿ
62,Luft::N,õhk,ವಾಯು
63,Wind::N,tuul,ಗಾಳಿ
64,Welle::N,laine,ಅಲೆ
65,Wasser::N,vesi,ನೀರು
66,Stein::N,kivi,ಕಲ್ಲು
67,Boden::N,maa,ನೆಲ
68,Boden::N,pinnas,ನೆಲ
69,Erde::N,maa,ಭೂಮಿ
70,Staub::N,põrm,ದೂಳು
71,Rauch::N,suits,ಹೊಗೆ
72,Funke::N,säde,ಕಿಡಿ
73,Feuer::N,tuli,ಬೆಂಕಿ
74,Licht::N,valgus,ಬೆಳಕು
75,Schatten::N,vari,ನೆರಳು
76,Wetter::N,ilm,ಹವ
77,Nebel::N,udu,ಮಂಜು
78,Wolke::N,pilv,ಮೋಡ
79,Regen::N,sadu,ಮಳೆ
80,Schnee::N,lumi,ಹಿಮ
81,Eis::N,jää,ಮಂಜುಗಡ್ಡೆ
82,Frost::N,pakane,ಮಂಜು
83,Kälte::N,külm,ಹಿಮ
84,Kälte::N,külmus,ಹಿಮ
85,Hitze::N,kuumus,ಉಷ್ಣ
86,Hitze::N,palavus,ಉಷ್ಣ
87,Raureif::N,härmatis,ಇಬ್ಬನಿ
88,Regenbogen::N,vikerkaar,ಇಂದ್ರಚಾಪ
89,Donner::N,kõu,ಗುಡುಗು
90,Donner::N,müristamine,ಗುಡುಗು
91,Strömung::N,voolus,ಪ್ರವಾಹ
92,Strömung::N,jõevool,ಪ್ರವಾಹ
93,Tropfen::N,tilk,ತೊಟ್ಟು
94,Schaum::N,vaht,ನೊರೆ
95,Schmutz::N,pori,ಕಸ
96,Schmutz::N,mustus,ಕಸ
97,See::N,järv,ಸರೋವರ
98,Sumpf::N,soo,ಜೌಗುಸ್ಥಳ
99,Moor::N,raba,ಬಂಜರು ಭೂಮಿ
100,Wiese::N,aas,ಹುಲ್ಲುಗಾವಲು
101,Wiese::N,nurm,ಹುಲ್ಲುಗಾವಲು
102,Wald::N,mets,ಕಾಡು
103,Hügel::N,küngas,ಗುಡ್ಡೆ
104,Anhöhe::N,küngas,ದಿಬ್ಬ
105,Berg::N,mägi,ಮಲೆ
106,Berg::N,mägi,ಪರ್ವತ
107,Gipfel::N,mäetipp,ಶೃಂಗ
108,Höhle::N,koobas,ಗುಹೆ
109,Abhang::N,nõlvak,ಇಳಿಜಾರು
110,Quelle::N,allikas,ಮೂಲ
111,Bach::N,oja,ತೊರೆ
112,Fluss::N,jõgi,ನದಿ
113,Ufer::N,kallas,ತೀರ
114,Küste::N,rannik,ದಂಡೆ
115,Festland::N,mander,ಭೂಮಿ
116,Festland::N,maismaa,ಭೂಮಿ
117,Meer::N,meri,ಕಡಲು
118,Bucht::N,laht,ಖಾರಿ
119,Insel::N,saar,ದ್ವೀಪ
120,Blume::N,lill,ಸುಮ
121,Gras::N,rohi,ಹುಲ್ಲು
122,Wurzel::N,juur,ಬೇರು
123,Baum::N,puu,ಮರ
124,Stamm::N,tüvi,ಕಾಂಡ
125,Rinde::N,koor,ತೂಗಟಿ
126,Ast::N,oks,ಶಾಖೆ
127,Zweig::N,oks,ರೆಂಬೆ
128,Blatt::N,leht,ಎಲೆ
129,Birke::N,kask,ಬರ್ಚ್ ಮರ
130,Kiefer[Baum]::N,mänd,ದೇವದಾರು ಮರ
131,Weide[Baum]::N,paju,ವಿಲೋಮರ
132,Tanne::N,nulg,ಭದ್ರದಾರು
133,Horn::N,sarv,ಕೊಂಬು
134,Feder::N,sulg,ಪುಕ್ಕ
135,Fell::N,karvkate,ರೋಮ
136,Fell::N,karusnahk,ರೋಮ
137,Flügel::N,tiib,ರೆಕ್ಕೆ
138,Flügel::N,tiivik,ರೆಕ್ಕೆ
139,Klaue::N,küüs,ಪಂಜ
140,Kralle::N,küünis,ಉಗುರು
141,Schwanz::N,saba,ಬಾಲ
142,Ei::N,muna,ಮೊಟ್ಟೆ
143,Nest::N,pesa,ಗೂಡು
144,Bau::N,urg,ಅಡಗುದಾಣ
145,Tier::N,loom,ಪ್ರಾಣಿ
146,Herde::N,kari,ಗುಂಪು
147,Kuh::N,lehm,ಹಸು
148,Bulle::N,pull,ಗೂಳಿ
149,Pferd::N,hobune,ಕುದುರೆ
150,Schaf::N,lammas,ಕುರಿ
151,Schwein::N,siga,ಹಂದಿ
152,Hund::N,koer,ನಾಯಿ
153,Katze::N,kass,ಬೆಕ್ಕು
154,Bär::N,karu,ಕರಡಿ
155,Eichhörnchen::N,orav,ಉಡುತೆ
156,Elch::N,põder,ಕಡವೆ
157,Fuchs::N,rebane,ನರಿ
158,Hase::N,jänes,ಮೊಲ
159,Maus::N,hiir,ಇಲಿ
160,Wolf::N,hunt,ತೋಳ
161,Vogel::N,lind,ಪಕ್ಷಿ
162,Schwarm::N,parv,ಗುಂಪು
163,Huhn::N,kana,ಚಿಕ್
164,Hahn::N,kukk,ಹುಂಜ
165,Gans::N,hani,ವರಟೆ
166,Adler::N,kotkas,ಗರುಡ
167,Ente::N,part,ಬಾತು
168,Eule::N,kakk,ಗೂಬೆ
169,Eule::N,öökull,ಗೂಬೆ
170,Kranich::N,kurg,ಕೊಕ್ಕರ
171,Krähe::N,vares,ಕಾಗೆ
172,Kuckuck::N,kägu,ಕೋಗಿಲೆ
173,Schwan::N,luik,ಹಂಸಪಕ್ಷಿ
174,Fisch::N,kala,ಮೀನು
175,Barsch::N,ahven,ಪರ್ಚ್ ಮೀನು
176,Hecht::N,haug,ಪೈಕ್ ಮೀನು
177,Schlange[Tier]::N,uss,ಹಾವು
178,Wurm::N,uss,ಹುಳು
179,Wurm::N,vagel,ಹುಳು
180,Spinne::N,ämblik,ಊರ್ಣನಾಭ
181,Ameise::N,sipelgas,ಇರುವೆ
182,Laus::N,täi,ಹೇನು
183,Mücke::N,sääsk,ಸೊಳ್ಳೆ
184,Fliege::N,kärbes,ನೊಣ
185,Schmetterling::N,liblikas,ಪತಂಗ
186,Beere::N,mari,ನಯವಣ್ಣು
187,Apfel::N,õun,ಸೇಬು
188,Pilz::N,seen,ಅಣಬೆ
189,Zwiebel::N,sibul,ನೀರುಳ್ಳಿ
190,Saat::N,seeme,ಬಿತ್ತ
191,Korn::N,iva,ಬೀಜ
192,Korn::N,tera,ಬೀಜ
193,Heu::N,hein,ಕರಡ
194,Schale::N,koor,ಹೊಟ್ಟು
195,Grube::N,kaevand,ಗುಂಡಿ
196,Falle::N,lõks,ಬೋನು
197,Falle::N,püünis,ಬೋನು
198,Schlinge::N,aas,ಉರುಲು
199,Spur::N,jälg,ಜಾಡು
200,Asche::N,tuhk,ಬೂದಿ
201,Dreck::N,saast,ಹೊಲಸು
202,Dreck::N,mustus,ಹೊಲಸು
203,Eisen::N,raud,ಕಬ್ಬಿಣ
204,Gold::N,kuld,ಚಿನ್ನ
205,Silber::N,hõbe,ಬೆಳ್ಳಿ
206,Kohle::N,süsi,ಕಲ್ಲಿದ್ದಲು
207,Glas::N,klaas,ಗಾಜು
208,Lehm::N,savi,ಜೇಡಿಮಣ್ಣು
209,Sand::N,liiv,ಮರಳು
210,Mensch::N,inimene,ಪುರುಷ
211,Mann::N,mees,ಆಳು
212,Frau::N,naine,ಹೆಣ್ಣು
213,Kind::N,laps,ಮಗು
214,Junge::N,poiss,ಹುಡುಗ
215,Mädchen::N,tüdruk,ಹುಡುಗಿ
216,Familie::N,perekond,ಕುಟುಂಬ
217,Großvater::N,vanaisa,ಅಜ್ಜ
218,Großmutter::N,vanaema,ಅಮ್ಮ
219,Eltern::N,vanemad,ಹೆತ್ತವರು
220,Vater::N,isa,ತಂದೆ
221,Mutter::N,ema,ಅಮ್ಮ
222,Sohn::N,poeg,ಮಗ 
223,Tochter::N,tütar,ಮಗಳು
224,Bruder::N,vend,ತಮ್ಮ
225,Schwester::N,õde,ತಂಗಿ
226,Onkel::N,onu,ಸೋದರಮಾವ
227,Onkel::N,onu,ದೊಡ್ಡಪ್ಪ
228,Tante::N,tädi,ಚಿಕ್ಕಮ್ಮ
229,Ehemann::N,mees,ಗಂಡ
230,Ehemann::N,abikaasa,ಗಂಡ
231,Ehefrau::N,naine,ಹೆಂಡತಿ
232,Ehefrau::N,abikaasa,ಹೆಂಡತಿ
233,Freude::N,rõõm,ನಲಿವು
234,Gelächter::N,naer,ನಗೆ
235,Glück::N,õnn,ಆನಂದ
236,Kummer::N,mure,ದುಃಖ
237,Kummer::N,kurbus,ದುಃಖ
238,Wunsch::N,soov,ಬಯಕೆ
239,Lust::N,himu,ಇಷ್ಟ
240,Geist::N,vaim,ಆತ್ಮ
241,Gedanke::N,mõte,ಯೋಚನೆ
242,Gedächtnis::N,mälu,ಸ್ಮರಣೆ
243,Verstand::N,aru,ಮನಸ್ಸು
244,Verstand::N,mõistus,ಮನಸ್ಸು
245,Sinn::N,tähendus,ಅರ್ಥ
246,Grund::N,põhjus,ಕಾರಣ
247,Wahrheit::N,tõde,ಸತ್ಯ
248,Gespräch::N,kõne,ಸಂಭಾಷಣೆ
249,Gespräch::N,vestlus,ಸಂಭಾಷಣೆ
250,Märchen::N,muinasjutt,ಸುಳ್ಳು ಕಥೆ
251,Erzählung::N,jutustus,ಕಥೆ
252,Nachricht::N,teade,ಸಂದೇಶ
253,Neuigkeit::N,uudis,ಸುದ್ದಿ
254,Name::N,nimi,ಹೆಸರು
255,Rätsel::N,mõistatus,ಒಗಟು
256,Rede::N,kõne,ಮಾತು
257,Sprache::N,keel,ಭಾಷೆ
258,Stimme::N,hääl,ಧ್ವನಿ
259,Wort::N,sõna,ಮಾತು
260,Zeichen::N,märk,ಗುರುತು
261,Ruf::N,hüüe,ಕೂಗು
262,Lärm::N,müra,ಸದ್ದು
263,Laut::N,hääl,ಶಬ್ದ
264,Ton::N,toon,ನಾದ
265,Lied::N,laul,ಗಾನ
266,Ruhe::N,rahu,ಶಾಂತಿ
267,Ruhe::N,vaikus,ಶಾಂತಿ
268,Leute::N,inimesed,ಮಂದಿ
269,Volk::N,rahvas,ಜನಾಂಗ
270,Arbeit::N,töö,ಕೆಲಸ
271,Gast::N,külaline,ಅತಿಥಿ
272,Geschenk::N,kingitus,ಕಾಣಿಕೆ
273,Spiel::N,mäng,ಆಟ
274,Gesellschaft::N,selts,ಸಂಗ
275,Hilfe::N,abi,ಸಹಾಯ
276,Freund::N,sõber,ಸ್ನೇಹಿತ
277,Kamerad::N,sõber,ಜೊತೆಗಾರ
278,Angelegenheit::N,asi,ವಿಚಾರ
279,Anzahl::N,arv,ಎಣಿಕೆ
280,Anzahl::N,hulk,ಎಣಿಕೆ
281,Art::N,liik,ತರ
282,Stück::N,tükk,ತುಂಡು
283,Teil::N,osa,ಭಾಗ
284,Hälfte::N,pool,ಅರ್ಧ
285,Kreis::N,ring,ವೃತ್ತ
286,Kreuz::N,rist,ಶಿಲುಬೆ
287,Linie::N,joon,ರೀಖೆ
288,Strich::N,joon,ಗೀಟು
289,Abstand::N,vahe,ಅಂತರ
290,Entfernung::N,kaugus,ದೂರ
291,Entfernung::N,vahemaa,ದೂರ
