,Concept_ID,fi,uk
190,Spinne::N,hämähäkki,павук
191,Ameise::N,muurahainen,мурашка
192,Laus::N,täi,воша
193,Mücke::N,sääski,комар
194,Mücke::N,hyttynen,комар
195,Fliege::N,kärpänen,муха
196,Schmetterling::N,perhonen,метелик
197,Beere::N,marja,ягода
198,Apfel::N,omena,яблуко
199,Pilz::N,sieni,гриб
200,Zwiebel::N,sipuli,цибуля
201,Saat::N,siemenet,сім’я
202,Korn::N,jyvä,зерно
203,Korn::N,vilja,зерно
204,Heu::N,heinä,сіно
205,Schale::N,kuori,шкірка
206,Grube::N,kuoppa,яма
207,Falle::N,loukku,пастка
208,Schlinge::N,ansa,петля
209,Spur::N,jälki,слід
210,Asche::N,tuhka,зола
211,Asche::N,tuhka,попіл
212,Dreck::N,lika,бруд
213,Eisen::N,rauta,залізо
214,Gold::N,kulta,золото
215,Silber::N,hopea,срібло
216,Kohle::N,hiili,вугілля
217,Glas::N,lasi,скло
218,Lehm::N,savi,глина
219,Sand::N,hiekka,пісок
220,Mensch::N,ihminen,людина
221,Mann::N,mies,чоловік
222,Frau::N,nainen,жінка
223,Kind::N,lapsi,дитина
224,Junge::N,poika,хлопець
225,Mädchen::N,tyttö,дівчина
226,Familie::N,perhe,сім’я
227,Familie::N,perhe,родина
228,Großvater::N,isoisä,дідусь
229,Großmutter::N,isoäiti,бабуся
230,Eltern::N,vanhemmat,батьки
231,Vater::N,isä,батько
232,Mutter::N,äiti,мати
233,Sohn::N,poika,син
234,Tochter::N,tytär,дочка
235,Bruder::N,veli,брат
236,Schwester::N,sisko,сестра
237,Onkel::N,eno,дядько
238,Onkel::N,setä,дядько
239,Tante::N,täti,тітка
240,Ehemann::N,mies,чоловік
241,Ehemann::N,aviomies,чоловік
242,Ehefrau::N,vaimo,жінка
243,Ehefrau::N,vaimo,дружина
244,Ehefrau::N,aviovaimo,жінка
245,Ehefrau::N,aviovaimo,дружина
246,Freude::N,ilo,радощі
247,Freude::N,riemu,радощі
248,Gelächter::N,nauru,сміх
249,Glück::N,onni,щастя
250,Kummer::N,suru,горе
