,Concept_ID,tr,ml
0,Auge::N,göz,കണ്ണ്
1,Ohr::N,kulak,ചെവി
2,Nase::N,burun,മൂക്ക്
3,Mund::N,ağız,വായ
4,Zahn::N,diş,പല്ല്
5,Zunge::N,dil,നാക്ക്
6,Lippe::N,dudak,ചുണ്ട്
7,Wange::N,yanak,കവിൾത്തടം
8,Gesicht::N,yüz,മുഖം
9,Stirn::N,alın,നെറ്റി
10,Haar::N,saç,തലമുടി
11,Schnurrbart::N,bıyık,മീശ
12,Bart::N,sakal,താടിരോമം
13,Kinn::N,çene,താടി
14,Kiefer[Anatomie]::N,çene,താടിയെല്ല്
15,Kehle::N,boğaz,കണ്ഠനാളം
16,Hals::N,boyun,കഴുത്ത്
17,Hals::N,gerdan,കഴുത്ത്
18,Genick::N,ense,പിടലി
19,Kopf::N,baş,തല
20,Kopf::N,kafa,തല
21,Rücken::N,arka,മുതുക്
22,Bauch::N,karın,നയറ്
23,Nabel::N,göbek,നാഭി
24,Busen::N,koyun,സ്തനം
25,Brust::N,göğüs,സ്തനം
26,Schulter::N,omuz,തോൾ
27,Arm::N,kol,കൈ
28,Ellenbogen::N,dirsek,കൈമുട്ട്
29,Hand::N,el,കൈ
30,Handfläche::N,avuç,ഉള്ളം കൈ
31,Handfläche::N,el ayası,ഉള്ളം കൈ
32,Finger::N,parmak,വിരൽ
33,Fingernagel::N,el tırnağı,നഖം
34,Nagel[Anatomie]::N,tırnak,നഖം
35,Zeh::N,ayak parmağı,കാൽവിരൽ
36,Fuß::N,ayak,കാൽപ്പാദം
37,Ferse::N,topuk,ഉപ്പൂറ്റി
38,Knie::N,diz,കാൽമുട്ട്
39,Oberschenkel::N,uyluk,തുട
40,Bein::N,bacak,കാൽ
41,Körper::N,vücut,ശരീരം
42,Haut::N,cilt,ചർമ്മം
43,Blut::N,kan,രക്തം
44,Ader::N,damar,ഞരമ്പ്
45,Sehne::N,kiriş,സ്നായു
46,Knochen::N,kemik,അസ്ഥി
47,Gehirn::N,beyin,തലച്ചോറ്
48,Herz::N,kalp,ഹൃദയം
49,Herz::N,yürek,ഹൃദയം
50,Magen::N,mide,വയർ
51,Leber::N,karaciğer,കരൾ
52,Atem::N,nefes,ശ്വാസം
53,Hunger::N,açlık,വിശപ്പ്
54,Träne::N,gözyaşı,കണ്ണീർ
55,Geschmack::N,tat,രുചി
56,Geschmack::N,lezzet,രുചി
57,Geruch::N,koku,ഗന്ധം
58,Schlaf::N,uyku,ഉറകും
59,Traum::N,düş,സ്വപ്നം
60,Traum::N,rüya,സ്വപ്നം
61,Himmel::N,gök,ആകാശം
62,Sonne::N,güneş,സൂര്യൻ
63,Mond::N,ay,ചന്ദ്രൻ
64,Stern::N,yıldız,നക്ഷത്രം
65,Luft::N,hava,കാറ്റ്
66,Wind::N,yel,കാറ്റ്
67,Wind::N,rüzgâr,കാറ്റ്
68,Welle::N,dalga,തിരമാല
69,Wasser::N,su,വെള്ളം
70,Stein::N,taş,ശില
71,Stein::N,taş,കല്ല്
72,Boden::N,yer,തറ
73,Boden::N,yer,നിലം
74,Boden::N,zemin,തറ
75,Boden::N,zemin,നിലം
76,Erde::N,toprak,മണ്ണ്
77,Staub::N,toz,പൊടി
78,Rauch::N,duman,പുക
79,Funke::N,kıvılcım,തീപ്പൊരി
80,Feuer::N,ateş,തീ
81,Licht::N,ışık,വിളക്ക്
82,Licht::N,ışık,സൂര്യപ്രകാശം
83,Schatten::N,gölge,തണൽ
84,Wetter::N,hava,കാലാവസ്ഥ
85,Nebel::N,pus,മൂടൽമഞ്ഞ്
86,Wolke::N,bulut,മേഘം
87,Regen::N,yağmur,മഴ
88,Schnee::N,kar,മഞ്ഞ്
89,Eis::N,buz,ഐസ്
90,Frost::N,don,മൂടൽമഞ്ഞ്
91,Kälte::N,soğukluk,തണുപ്പ്
92,Hitze::N,sıcaklık,ചൂട്
93,Raureif::N,kırç,കോടമഞ്ഞ്
94,Regenbogen::N,gökkuşağı,മഴവില്ല്
95,Donner::N,gök gürlemesi,ഇടി
96,Strömung::N,akıntı,പ്രവാഹം
97,Strömung::N,cereyan,പ്രവാഹം
98,Tropfen::N,damla,തുള്ളി
99,Schaum::N,köpük,നുര
100,Schmutz::N,çamur,അഴുക്ക്
101,Schmutz::N,pislik,അഴുക്ക്
102,See::N,göl,തടാകം
103,Sumpf::N,batak,ചതുപ്പുനിലം
104,Moor::N,cılgıt,പാഴ്നിലം
105,Wiese::N,çimen,പുൽത്തകിടി
106,Wald::N,koru,വനം
107,Wald::N,koru,കാട്
108,Wald::N,orman,വനം
109,Wald::N,orman,കാട്
110,Hügel::N,tepe,കുന്ന്
111,Anhöhe::N,tümsek,ഉയർന്ന ഭൂമി
112,Anhöhe::N,yükseklik,ഉയർന്ന ഭൂമി
113,Berg::N,dağ,പർവ്വതം
114,Gipfel::N,zirve,ഉച്ചകോടി
115,Höhle::N,in,ഗുഹ
116,Höhle::N,mağara,ഗുഹ
117,Abhang::N,bayır,ചരിവ്
118,Quelle::N,pınar,ഉറവിടം
119,Quelle::N,kaynak,ഉറവിടം
120,Bach::N,çay,അരുവി
121,Bach::N,dere,അരുവി
122,Fluss::N,nehir,നദി
123,Ufer::N,kıyı,തീരം
124,Ufer::N,sahil,തീരം
125,Küste::N,kıyı,കടൽത്തീരം
126,Küste::N,sahil,കടൽത്തീരം
127,Festland::N,kara,കര
128,Meer::N,deniz,കടൽ
129,Bucht::N,koy,ഉൾക്കടല്
130,Bucht::N,körfez,ഉൾക്കടല്
131,Insel::N,ada,ദ്വീപ്
132,Blume::N,çiçek,പൂവ്
133,Gras::N,ot,പുല്ല്
134,Gras::N,çim,പുല്ല്
135,Wurzel::N,kök,വേര്
136,Baum::N,ağaç,മരം
137,Stamm::N,gövde,തായ്ത്തടി
138,Rinde::N,kabuk,പട്ട
139,Ast::N,dal,ശാഖ
140,Ast::N,budak,ശാഖ
141,Zweig::N,dal,ശാഖ
142,Blatt::N,yaprak,ഇല
143,Birke::N,huş,പൂവരശ്
144,Kiefer[Baum]::N,çam,പൈൻമരം
145,Weide[Baum]::N,söğüt,വില്ലോ
146,Tanne::N,çam,ദേവദാരു
147,Tanne::N,köknar,ദേവദാരു
148,Horn::N,boynuz,മൃഗത്തിൻറെ കൊമ്പ്
149,Feder::N,tüy,തൂവൽ
150,Fell::N,post,മൃദുരോമം
151,Flügel::N,kanat,ചിറക്
152,Klaue::N,pençe,നഖം
153,Kralle::N,tırnak,നഖം
154,Schwanz::N,kuyruk,വാൽ
155,Ei::N,yumurta,മുട്ട
156,Nest::N,yuva,കൂട്
157,Bau::N,in,മാളം
158,Tier::N,hayvan,മൃഗം
159,Herde::N,sürü,കൂട്ടം
160,Kuh::N,inek,പശു
161,Bulle::N,boğa,കാള
162,Pferd::N,at,കുതിര
163,Pferd::N,beygir,കുതിര
164,Schaf::N,koyun,ആട്
165,Schwein::N,domuz,പന്നി
166,Hund::N,it,നായ്
167,Hund::N,köpek,നായ്
168,Katze::N,kedi,പൂച്ച
169,Bär::N,ayı,കരടി
170,Eichhörnchen::N,sincap,അണ്ണാൻ
171,Elch::N,büyük kuzey geyiği,കടമാന്
172,Fuchs::N,tilki,കുറുക്കൻ
173,Hase::N,tavşan,മുയൽ
174,Maus::N,fare,ചുണ്ടലി
175,Maus::N,sıçan,ചുണ്ടലി
176,Wolf::N,kurt,ചെന്നായ
177,Vogel::N,kuş,പക്ഷി
178,Schwarm::N,sürü,കൂട്ടം
179,Huhn::N,tavuk,കോഴി
180,Hahn::N,horoz,പൂവൻകോഴി
181,Gans::N,kaz,അരയന്നം
182,Adler::N,kartal,കഴുകൻ
183,Adler::N,karakuş,കഴുകൻ
184,Ente::N,ördek,താറാവ്
185,Eule::N,baykuş,മൂങ്ങ
186,Kranich::N,turna,കൊക്ക്
187,Krähe::N,karga,കാക്ക
188,Kuckuck::N,guguk,കുയിൽ
