,Concept_ID,de,he
0,Auge::N,Auge,עין
1,Ohr::N,Ohr,אזן
2,Nase::N,Nase,אף
3,Nase::N,Nase,חטם
4,Mund::N,Mund,פה
5,Zahn::N,Zahn,שן
6,Zunge::N,Zunge,לשון
7,Lippe::N,Lippe,שפה
8,Wange::N,Wange,לחי
9,Gesicht::N,Gesicht,פנים
10,Stirn::N,Stirn,מצח
11,Haar::N,Haar,שערה
12,Schnurrbart::N,Schnurrbart,שפם
13,Bart::N,Bart,זקן
14,Kinn::N,Kinn,סנטר
15,Kiefer[Anatomie]::N,Kiefer,לסת
16,Kehle::N,Kehle,גרון
17,Hals::N,Hals,צואר
18,Genick::N,Genick,ערף
19,Kopf::N,Kopf,ראש
20,Rücken::N,Rücken,גב
21,Bauch::N,Bauch,בטן
22,Nabel::N,Nabel,טבור
23,Busen::N,Busen,שד
24,Brust::N,Brust,חזה
25,Schulter::N,Schulter,כתף
26,Arm::N,Arm,זרוע
27,Ellenbogen::N,Ellenbogen,מרפק
28,Hand::N,Hand,יד
29,Handfläche::N,Handfläche,כף יד
30,Finger::N,Finger,אצבע
31,Fingernagel::N,Fingernagel,צפרן
32,Nagel[Anatomie]::N,Nagel,צפרן
33,Zeh::N,Zeh,אצבע
34,Fuß::N,Fuß,רגל
35,Ferse::N,Ferse,עקב
36,Knie::N,Knie,ברך
37,Oberschenkel::N,Oberschenkel,ירך
38,Bein::N,Bein,רגל
39,Körper::N,Körper,גוף
40,Haut::N,Haut,עור
41,Blut::N,Blut,דם
42,Ader::N,Ader,וריד
43,Sehne::N,Sehne,גיד
44,Knochen::N,Knochen,עצם
45,Gehirn::N,Gehirn,מוח
46,Herz::N,Herz,לב
47,Magen::N,Magen,קבה
48,Leber::N,Leber,כבד
49,Atem::N,Atem,נשימה
50,Hunger::N,Hunger,רעב
51,Träne::N,Träne,דמעה
52,Geschmack::N,Geschmack,טעם
53,Geruch::N,Geruch,ריח
54,Schlaf::N,Schlaf,שנה
55,Traum::N,Traum,חלום
56,Himmel::N,Himmel,שמים
57,Sonne::N,Sonne,שמש
58,Mond::N,Mond,ירח
59,Stern::N,Stern,כוכב
60,Luft::N,Luft,אויר
61,Wind::N,Wind,רוח
62,Welle::N,Welle,גל
63,Wasser::N,Wasser,מים
64,Stein::N,Stein,אבן
65,Boden::N,Boden,קרקע
66,Erde::N,Erde,אדמה
67,Staub::N,Staub,אבק
68,Rauch::N,Rauch,עשן
69,Funke::N,Funke,ניצוץ
70,Feuer::N,Feuer,אש
71,Licht::N,Licht,אור
72,Schatten::N,Schatten,צל
73,Wetter::N,Wetter,מזג אויר
74,Nebel::N,Nebel,ערפל
75,Wolke::N,Wolke,ענן
76,Regen::N,Regen,גשם
77,Schnee::N,Schnee,שלג
78,Eis::N,Eis,קרח
79,Frost::N,Frost,צנה
80,Kälte::N,Kälte,קר
81,Hitze::N,Hitze,חם
82,Raureif::N,Raureif,כפור
83,Regenbogen::N,Regenbogen,קשת
84,Donner::N,Donner,רעם
85,Strömung::N,Strömung,זרימה
86,Tropfen::N,Tropfen,טפה
87,Schaum::N,Schaum,קצף
88,Schmutz::N,Schmutz,לכלוך
89,See::N,See,אגם
90,Sumpf::N,Sumpf,בצה
91,Moor::N,Moor,בצה
92,Wiese::N,Wiese,מרעה
93,Wald::N,Wald,יער
94,Hügel::N,Hügel,תל
95,Anhöhe::N,Anhöhe,מעלה
96,Berg::N,Berg,הר
97,Gipfel::N,Gipfel,פסגה
98,Höhle::N,Höhle,מערה
99,Abhang::N,Abhang,מדרון
100,Abhang::N,Abhang,שפוע
101,Quelle::N,Quelle,מעין
102,Bach::N,Bach,נחל
103,Fluss::N,Fluss,נהר
104,Ufer::N,Ufer,גדה
105,Küste::N,Küste,חוף
106,Festland::N,Festland,יבשה
107,Meer::N,Meer,ים
108,Bucht::N,Bucht,מפרץ
109,Insel::N,Insel,אי
110,Blume::N,Blume,פרח
111,Gras::N,Gras,דשא
112,Wurzel::N,Wurzel,שרש
113,Baum::N,Baum,עץ
114,Stamm::N,Stamm,גזע
115,Rinde::N,Rinde,קלפת עץ
116,Ast::N,Ast,ענף
117,Zweig::N,Zweig,ענף
118,Blatt::N,Blatt,עלה
119,Birke::N,Birke,שדר
120,Kiefer[Baum]::N,Kiefer,ארן
121,Weide[Baum]::N,Weide,ערבה
122,Tanne::N,Tanne,אשוח
123,Horn::N,Horn,קרן
124,Feder::N,Feder,נוצה
125,Fell::N,Fell,פרוה
126,Flügel::N,Flügel,כנף
127,Klaue::N,Klaue,טלף
128,Kralle::N,Kralle,טפר
129,Schwanz::N,Schwanz,זנב
130,Ei::N,Ei,ביצה
131,Nest::N,Nest,קן
132,Bau::N,Bau,מחלה
133,Tier::N,Tier,חיה
134,Herde::N,Herde,עדר
135,Kuh::N,Kuh,פרה
136,Bulle::N,Bulle,פר
137,Pferd::N,Pferd,סוס
138,Schaf::N,Schaf,כבשה
139,Schwein::N,Schwein,חזיר
140,Hund::N,Hund,כלב
141,Katze::N,Katze,חתול
142,Bär::N,Bär,דב
143,Eichhörnchen::N,Eichhörnchen,סנאי
144,Elch::N,Elch,דישון
145,Fuchs::N,Fuchs,שועל
146,Hase::N,Hase,ארנב
147,Maus::N,Maus,עכבר
148,Wolf::N,Wolf,זאב
149,Vogel::N,Vogel,צפור
150,Schwarm::N,Schwarm,נחיל
151,Schwarm::N,Schwarm,להקה
152,Huhn::N,Huhn,תרנגלת
153,Hahn::N,Hahn,תרנגול
154,Gans::N,Gans,אוז
155,Adler::N,Adler,עיט
156,Ente::N,Ente,ברוז
157,Eule::N,Eule,ינשוף
158,Kranich::N,Kranich,עגור
159,Kranich::N,Kranich,כרוכיה
160,Krähe::N,Krähe,עורב
