,Concept_ID,pl,el
0,Auge::N,oko,μάτι
1,Auge::N,oko,οφθαλμός
2,Ohr::N,ucho,αυτί
3,Nase::N,nos,μύτη
4,Mund::N,usta,στόμα
5,Zahn::N,ząb,δόντι
6,Zunge::N,język,γλώσσα
7,Lippe::N,warga,χείλος
8,Wange::N,policzek,παρειά
9,Wange::N,policzek,μάγουλο
10,Gesicht::N,twarz,πρόσωπο
11,Stirn::N,czoło,μέτωπο
12,Haar::N,włos,μαλλιά
13,Haar::N,włosy,μαλλιά
14,Schnurrbart::N,wąsy,μουστάκι
15,Bart::N,broda,γένια
16,Kinn::N,podbródek,πιγούνι
17,Kiefer[Anatomie]::N,czeluść,σαγόνι
18,Kehle::N,gardło,λαρύγγι
19,Hals::N,szyja,λαιμός
20,Genick::N,kark,σβέρκος
21,Kopf::N,głowa,κεφάλι
22,Rücken::N,plecy,ράχη
23,Rücken::N,grzbiet,ράχη
24,Bauch::N,brzuch,κοιλιά
25,Nabel::N,pępek,αφαλός
26,Busen::N,biust,στήθος
27,Brust::N,pierś,στήθος
28,Schulter::N,bark,ώμος
29,Schulter::N,ramię,ώμος
30,Arm::N,ręka,χέρι
31,Arm::N,ręka,μπράτςο
32,Arm::N,ramię,χέρι
33,Arm::N,ramię,μπράτςο
34,Ellenbogen::N,łokieć,αγκώνας
35,Hand::N,dłoń,χέρι
36,Handfläche::N,dłoń,παλάμη
37,Finger::N,palec,δάχτυλο
38,Fingernagel::N,paznokieć,νύχι
39,Nagel[Anatomie]::N,paznokieć,νύχι
40,Zeh::N,palec,δάχτυλο του ποδιού
41,Fuß::N,stopa,πόδι
42,Ferse::N,pięta,φτέρνα
43,Knie::N,kolano,γόνατο
44,Oberschenkel::N,udo,μηρός
45,Bein::N,noga,πόδι
46,Körper::N,ciało,σώμα
47,Körper::N,ciało,κορμί
48,Haut::N,skóra,πετσί
49,Blut::N,krew,αίμα
50,Ader::N,żyła,φλέβα
51,Sehne::N,ścięgno,νεύρο
52,Sehne::N,ścięgno,τένοντας
53,Knochen::N,kość,οστό
54,Knochen::N,kość,κόκκαλο
55,Gehirn::N,mózg,μυαλό
56,Gehirn::N,mózg,εγκέφαλος
57,Herz::N,serce,καρδιά
58,Magen::N,żołądek,στομάχι
59,Leber::N,wątroba,ήπαρ
60,Leber::N,wątroba,συκωτί
61,Atem::N,dech,αναπνοή
62,Atem::N,oddech,αναπνοή
63,Hunger::N,głód,πείνα
64,Träne::N,łza,δάκρυ
65,Geschmack::N,smak,γεύση
66,Geruch::N,woń,οσμή
67,Geruch::N,woń,μυρωδία
68,Geruch::N,zapach,οσμή
69,Geruch::N,zapach,μυρωδία
70,Schlaf::N,sen,ύπνος
71,Traum::N,sen,όνειρο
72,Himmel::N,niebo,ουρανός
73,Sonne::N,słońce,ήλιος
74,Mond::N,księżyc,σελήνη
75,Mond::N,księżyc,φεγγάρι
76,Stern::N,gwiazda,άστρο
77,Stern::N,gwiazda,αστέρι
78,Luft::N,powietrze,αέρας
79,Wind::N,wiatr,αέρας
80,Wind::N,wiatr,άνεμος
81,Welle::N,fala,κύμα
82,Wasser::N,woda,νερό
83,Stein::N,kamień,πέτρα
84,Boden::N,grunt,χώμα
85,Erde::N,ziemia,γη
86,Staub::N,pył,σκόνη
87,Staub::N,kurz,σκόνη
88,Rauch::N,dym,καπνός
89,Funke::N,iskra,σπίθα
90,Funke::N,iskra,σπινθήρας
91,Feuer::N,ogień,φωτιά
92,Licht::N,światło,φως
93,Schatten::N,cień,σκιά
94,Schatten::N,cień,ίσκιος
95,Wetter::N,pogoda,καιρός
96,Nebel::N,mgła,ομίχλη
97,Wolke::N,obłok,σύννεφο
98,Wolke::N,chmura,σύννεφο
99,Regen::N,deszcz,βροχή
100,Schnee::N,śnieg,χιόνι
101,Eis::N,lód,πάγος
102,Frost::N,mróz,παγωνία
103,Kälte::N,chłód,κρύο
104,Kälte::N,chłód,ψύχος
105,Hitze::N,gorąco,ζέστη
106,Raureif::N,szron,πάχνη
107,Regenbogen::N,tęcza,ουράνιο τόξο
108,Donner::N,grzmot,βροντή
109,Strömung::N,nurt,ρεύμα
110,Tropfen::N,kropla,στάλα
111,Schaum::N,piana,αφρός
112,Schmutz::N,brud,βρωμιά
113,See::N,jezioro,λίμνη
114,Sumpf::N,bagno,βάλτος
115,Moor::N,bagno,έλος
116,Wiese::N,łąka,λιβάδι
117,Wald::N,las,δάσος
118,Hügel::N,pagórek,λόφος
119,Anhöhe::N,wzgórze,ύψωμα
120,Berg::N,góra,όρος
121,Berg::N,góra,βουνό
122,Gipfel::N,szczyt,κορυφή
123,Gipfel::N,wierzchołek,κορυφή
124,Höhle::N,pieczara,σπηλιά
125,Abhang::N,stok,πλαγιά
126,Abhang::N,zbocze,πλαγιά
127,Quelle::N,zdrój,πηγή
128,Quelle::N,zdrój,βρύση
129,Quelle::N,źródło,πηγή
130,Quelle::N,źródło,βρύση
131,Bach::N,potok,ρυάκι
132,Bach::N,strumień,ρυάκι
133,Fluss::N,rzeka,ποτάμι
134,Fluss::N,rzeka,ποταμός
135,Ufer::N,brzeg,όχθη
136,Küste::N,wybrzeże,ακτή
137,Küste::N,wybrzeże,ακρογιαλιά
138,Festland::N,ląd,στεριά
139,Meer::N,morze,θάλασσα
140,Bucht::N,zatoka,κόλπος
141,Insel::N,wyspa,νησί
142,Insel::N,wyspa,νήσος
143,Blume::N,kwiat,άνθος
144,Blume::N,kwiat,λουλούδι
145,Gras::N,trawa,χόρτο
146,Gras::N,trawa,χορτάρι
147,Wurzel::N,korzeń,ρίζα
148,Baum::N,drzewo,δέντρο
149,Stamm::N,pień,κορμός
150,Rinde::N,kora,φλούδα
151,Ast::N,gałąź,κλαδί
152,Zweig::N,gałąź,κλαδί
153,Zweig::N,gałąź,κλάδος
154,Blatt::N,liść,φύλλο
155,Birke::N,brzoza,σημύδα
156,Kiefer[Baum]::N,sosna,πεύκο
157,Weide[Baum]::N,wierzba,ιτιά
158,Tanne::N,jodła,έλατο
159,Horn::N,róg,κέρας
160,Horn::N,róg,κέρατο
161,Feder::N,pióro,φτερό
