,Concept_ID,ku,ru
0,Auge::N,çav,глаз
1,Ohr::N,guh,ухо
2,Nase::N,bêvil,нос
3,Mund::N,dev,рот
4,Zahn::N,didan,зуб
5,Zunge::N,ziman,язык
6,Lippe::N,lêv,губа
7,Wange::N,dêm,щека
8,Wange::N,hinarik,щека
9,Gesicht::N,rû,лицо
10,Stirn::N,enî,лоб
11,Haar::N,por,волос
12,Haar::N,por,волосы
13,Schnurrbart::N,simbêl,ус
14,Schnurrbart::N,simbêl,усы
15,Bart::N,rih,борода
16,Kinn::N,zenî,подбородок
17,Kiefer[Anatomie]::N,arguşk,челюсть
18,Kehle::N,qirik,горло
19,Hals::N,stû,шея
20,Hals::N,qirik,шея
21,Genick::N,stû,затылок
22,Kopf::N,serî,голова
23,Rücken::N,pişt,спина
24,Bauch::N,ûr,живот
25,Bauch::N,zik,живот
26,Nabel::N,navik,пупок
27,Busen::N,sîng,женская грудь
28,Brust::N,sîng,грудь
29,Schulter::N,mil,плечо
30,Arm::N,çepil,рука
31,Ellenbogen::N,enîşk,локоть
32,Hand::N,dest,кисть
33,Handfläche::N,kefadest,ладонь
34,Finger::N,tilî,палец
35,Fingernagel::N,neynuk,ноготь
36,Nagel[Anatomie]::N,bizmar,ноготь
37,Zeh::N,tilî linga,палец
38,Fuß::N,ling,ступня
39,Ferse::N,pahnî,пята
40,Ferse::N,pahnî,пятка
41,Knie::N,kabok,колено
42,Oberschenkel::N,rahn,бедро
43,Bein::N,çip,нога
44,Körper::N,laş,тело
45,Körper::N,gowde,тело
46,Haut::N,çerm,кожа
47,Blut::N,xwîn,кровь
48,Ader::N,reh,вена
49,Ader::N,reh,сосуд
50,Sehne::N,reh,жила
51,Sehne::N,reh,тетива
52,Sehne::N,reh,сухожилие
53,Knochen::N,hestî,кость
54,Gehirn::N,mêjî,мозг
55,Herz::N,dil,сердце
56,Magen::N,navêş,желудок
57,Leber::N,kezeb,печень
58,Atem::N,hilm,дух
59,Atem::N,hilm,дыхание
60,Hunger::N,birçîtî,голод
61,Träne::N,hêstir,слеза
62,Geschmack::N,tam,вкус
63,Geruch::N,bêhn,запах
64,Schlaf::N,xew,сон
65,Traum::N,xewn,сновидение
66,Himmel::N,ezman,небо
67,Sonne::N,roj,солнце
68,Mond::N,heyv,луна
69,Stern::N,stêrk,звезда
70,Luft::N,ba,воздух
71,Wind::N,ba,ветер
72,Welle::N,şewl,волна
73,Wasser::N,av,вода
74,Stein::N,kevir,камень
75,Boden::N,herd,почва
76,Erde::N,ax,земля
77,Staub::N,toz,пыль
78,Rauch::N,dû,дым
79,Funke::N,çirûşk,искра
80,Feuer::N,agir,огонь
81,Licht::N,ronahî,свет
82,Schatten::N,sî,тень
83,Wetter::N,hewa,погода
84,Nebel::N,mij,туман
85,Wolke::N,ewr,облако
