,Concept_ID,hi,sah
0,Auge::N,आँख,харах
1,Auge::N,चक्षु,харах
2,Ohr::N,कान,кулгаах
3,Ohr::N,कर्ण,кулгаах
4,Nase::N,नाक,мурун
5,Nase::N,नासा,мурун
6,Mund::N,मुख,айах
7,Mund::N,मुँह,айах
8,Zahn::N,दंत,тиис
9,Zahn::N,दाँत,тиис
10,Zunge::N,जीभ,тыл
11,Zunge::N,ज़बान,тыл
12,Zunge::N,जिह्वा,тыл
13,Lippe::N,ओंठ,уос
14,Lippe::N,होंठ,уос
15,Wange::N,गाल,иэдэс
16,Wange::N,कपोल,иэдэс
17,Gesicht::N,मुँह,сирэй
18,Gesicht::N,चेहरा,сирэй
19,Stirn::N,माथा,сүүс
20,Stirn::N,मस्तक,сүүс
21,Haar::N,बाल,баттах
22,Schnurrbart::N,मूँछें,уос бытыга
23,Bart::N,दाढ़ी,сэҥийэ бытыга
24,Kinn::N,चिबुक,сэҥийэ
25,Kiefer[Anatomie]::N,जबड़ा,сыҥаах
26,Kehle::N,गला,тамах
27,Kehle::N,गला,күөмэй
28,Hals::N,गला,моой
29,Hals::N,गरदन,моой
30,Genick::N,गरदन,кэтэх
31,Genick::N,ग्रीवा,кэтэх
32,Kopf::N,सिर,бас
33,Kopf::N,शीर्ष,бас
34,Rücken::N,पीठ,көҕүс
35,Bauch::N,उदर,ис
36,Nabel::N,नाभि,киин
37,Nabel::N,ढोंढी,киин
38,Busen::N,कुच,эмиий
39,Busen::N,स्तन,эмиий
40,Brust::N,वक्ष,түөс
41,Schulter::N,कंधा,сарын
42,Schulter::N,स्कंध,сарын
43,Arm::N,बाँह,илии
44,Arm::N,बाज़ू,илии
45,Ellenbogen::N,कुहनी,тоҕонох
46,Hand::N,हाथ,илии
47,Hand::N,हस्त,илии
48,Handfläche::N,हथेली,ытыс
49,Finger::N,उँगली,тарбах
50,Finger::N,अँगुली,тарбах
51,Fingernagel::N,नख,тыҥырах
52,Fingernagel::N,नाख़ून,тыҥырах
53,Nagel[Anatomie]::N,नख,тыҥырах
54,Nagel[Anatomie]::N,नाख़ून,тыҥырах
55,Zeh::N,उँगली,тарбах
56,Zeh::N,पाँव की उँगली,тарбах
57,Fuß::N,चरण,уллуҥах
58,Fuß::N,पाँव,уллуҥах
59,Ferse::N,एड़ी,тилэх
60,Knie::N,जानु,тобук
61,Knie::N,जानु,дьилбэк
62,Knie::N,घुटना,тобук
63,Knie::N,घुटना,дьилбэк
64,Oberschenkel::N,उरु,уллук
65,Oberschenkel::N,उरु,өттүк
66,Bein::N,टाँग,атах
67,Körper::N,तन,бэйэ
68,Körper::N,देह,бэйэ
69,Körper::N,शरीर,бэйэ
70,Haut::N,चर्म,тирии
71,Haut::N,त्वचा,тирии
72,Blut::N,लहू,хаан
73,Blut::N,ख़ून,хаан
74,Ader::N,रग,вена
75,Ader::N,रग,күөх_тымыр
76,Ader::N,शिरा,вена
77,Ader::N,शिरा,күөх_тымыр
78,Sehne::N,कंडरा,иҥиир
79,Sehne::N,स्नायु,иҥиир
80,Knochen::N,अस्थि,уҥуох
81,Knochen::N,अस्थि,уҥгуох
82,Gehirn::N,दिमाग़,мэйии
83,Gehirn::N,मस्तिष्क,мэйии
84,Herz::N,दिल,сүрэх
85,Herz::N,हृदय,сүрэх
86,Magen::N,मेदा,куртах
87,Magen::N,अमाशय,куртах
88,Leber::N,जिगर,быар
89,Leber::N,यकृत्,быар
90,Atem::N,दम,тыын
91,Atem::N,साँस,тыын
92,Atem::N,श्वास,тыын
93,Hunger::N,भूख,аас
94,Hunger::N,क्षुधा,аас
95,Träne::N,आँसू,харах уута
96,Träne::N,अश्रु,харах уута
97,Geschmack::N,स्वाद,амтан
98,Geschmack::N,ज़ायक़ा,амтан
99,Geruch::N,बू,сыт
100,Geruch::N,गंध,сыт
101,Schlaf::N,नींद,утуйуу
102,Schlaf::N,निद्रा,утуйуу
103,Traum::N,सपना,түүл
104,Traum::N,स्वप्न,түүл
105,Himmel::N,आकाश,халлаан
106,Himmel::N,आसमान,халлаан
107,Sonne::N,रवि,күн
108,Sonne::N,सूरज,күн
109,Sonne::N,सूर्य,күн
110,Mond::N,चाँद,ый
111,Mond::N,चंद्र,ый
112,Stern::N,तारा,сулус
113,Stern::N,सितारा,сулус
114,Luft::N,हवा,салгын
115,Luft::N,वायु,салгын
116,Wind::N,पाद,тыал
117,Welle::N,लहर,долгун
118,Welle::N,लहर,балхаан
119,Welle::N,तरंग,долгун
120,Welle::N,तरंग,балхаан
121,Wasser::N,जल,уу
122,Wasser::N,पानी,уу
123,Stein::N,पत्थर,таас
124,Boden::N,मिट्टी,сир
125,Erde::N,भूमि,буор
126,Erde::N,ज़मीन,буор
127,Staub::N,धूल,быыл
128,Rauch::N,धूआँ,буруо
129,Rauch::N,धुम्र,буруо
130,Funke::N,चिनगारी,кыым
131,Funke::N,स्फुलिंग,кыым
132,Feuer::N,आग,уот
133,Feuer::N,आतिश,уот
134,Feuer::N,अग्नि,уот
135,Licht::N,रोशनी,уот
136,Licht::N,प्रकाश,уот
137,Schatten::N,छाया,күлүк
138,Schatten::N,परछाई,күлүк
139,Wetter::N,ऋतु,күн-дьыл
140,Wetter::N,मौसम,күн-дьыл
141,Nebel::N,धुँध,туман
142,Nebel::N,कुहरा,туман
143,Wolke::N,मेघ,былыт
144,Wolke::N,अभ्र,былыт
145,Regen::N,मेंह,самыыр
146,Regen::N,बारिश,самыыр
147,Schnee::N,हिम,хаар
148,Schnee::N,बर्फ़,хаар
149,Eis::N,हिम,муус
150,Eis::N,बर्फ़,муус
