,Concept_ID,ab,it
0,Auge::N,ала,occhio
1,Ohr::N,алымҳа,orecchio
2,Nase::N,аҧынҵа,naso
3,Mund::N,аҧышə,bocca
4,Zahn::N,ахаҧыц,dente
5,Zunge::N,абз,lingua
6,Lippe::N,ақьышə,labbro
7,Wange::N,аӡамҩа,guancia
8,Gesicht::N,аҿы,viso
9,Gesicht::N,аҿы,faccia
10,Stirn::N,алахь,fronte
11,Haar::N,ахəыц,capello
12,Schnurrbart::N,аҧаҵа,baffi
13,Schnurrbart::N,аҧаҵа,mustacchi
14,Bart::N,ажакьа,barba
15,Kinn::N,ацламкəыгə,mento
16,Kiefer[Anatomie]::N,ацламҳəа,mascella
17,Kehle::N,ахəда,gola
18,Hals::N,ахəда,collo
19,Genick::N,ахəдаџьал,nuca
20,Kopf::N,ахы,capo
21,Kopf::N,ахы,testa
22,Rücken::N,азқəа,dorso
23,Rücken::N,азқəа,schiena
24,Bauch::N,амгəа,ventre
25,Nabel::N,аҷапан,ombelico
26,Busen::N,агəыҧҳəы,seno
27,Brust::N,агəышҧы,petto
28,Schulter::N,ажəҩахыр,spalla
29,Arm::N,амахəар,braccio
30,Ellenbogen::N,амашьхəылҵ,gomito
31,Hand::N,анапы,mano
32,Handfläche::N,анапсаргəыҵа,palma
33,Finger::N,анацəа,dito
34,Fingernagel::N,анапхыц,unghia
35,Nagel[Anatomie]::N,ашьапхыц,unghia
36,Zeh::N,ашьацəа,dito del piede
37,Fuß::N,ашьапсыргəыҵа,piede
38,Ferse::N,ашьхəа,tallone
39,Ferse::N,ашьхəа,calcagno
40,Knie::N,ашьамхы,ginocchio
41,Oberschenkel::N,ауаҭəа,fèmore
42,Bein::N,ашьапы,gamba
43,Körper::N,ацəеижь,corpo
44,Haut::N,ацəа,pelle
45,Blut::N,ашьа,sangue
46,Ader::N,ада,vena
47,Sehne::N,адаш,tèndine
48,Knochen::N,абаҩ,osso
49,Gehirn::N,ахшлыбаҩ,cervello
50,Gehirn::N,ахшыбаҩ,cervello
51,Herz::N,агəы,cuore
52,Magen::N,аца,stòmaco
53,Magen::N,ацар,stòmaco
54,Leber::N,агəаҵəа,fegato
55,Atem::N,аҧсыҧлагаҩгара,fiato
56,Atem::N,аҧсыҧлагаҩгара,respiro
57,Hunger::N,амла,fame
58,Träne::N,алабжыш,làcrima
59,Geschmack::N,агьама,gusto
60,Geschmack::N,агьама,sapore
61,Geruch::N,афҩы,odore
62,Schlaf::N,ацəа,sonno
63,Traum::N,аҧхыӡ,sogno
64,Himmel::N,ажəҩан,cielo
65,Sonne::N,амра,sole
66,Mond::N,амза,luna
67,Stern::N,аеҵəа,stella
68,Luft::N,аҳаир,aria
69,Wind::N,аҧша,vento
70,Welle::N,ацəқəырҧа,onda
71,Wasser::N,аӡы,acqua
72,Stein::N,ахаҳə,sasso
73,Stein::N,ахаҳə,pietra
74,Boden::N,адгьыл,suolo
75,Boden::N,адгьыл,terreno
76,Erde::N,адгьыл,terra
77,Staub::N,асаба,polvere
78,Rauch::N,алҩа,fumo
79,Funke::N,акəиц,scintilla
80,Funke::N,ацҧхь,scintilla
81,Feuer::N,амца,fuoco
82,Licht::N,алашара,luce
83,Schatten::N,ашəшьыра,ombra
84,Wetter::N,амш,tempo
85,Nebel::N,анаҟəа,nebbia
86,Wolke::N,аҧсҭҳəа,nube
87,Wolke::N,аҧсҭҳəа,nùvola
88,Regen::N,ақəа,pioggia
89,Schnee::N,асы,neve
90,Eis::N,аҵаа,ghiaccio
91,Frost::N,аҵаа,gelo
92,Kälte::N,ахьҭа,freddo
93,Hitze::N,ашоура,caldo
94,Hitze::N,ашоура,calura
95,Raureif::N,аҵааҧшқа,brina
96,Regenbogen::N,ацəаҟəа,arcobaleno
97,Donner::N,адыд,tuono
98,Strömung::N,аиасра,corrente
99,Strömung::N,амҩасра,corrente
100,Tropfen::N,ацəыкəбар,goccia
101,Schaum::N,ашəах,spuma
102,Schaum::N,ашəах,schiuma
103,Schmutz::N,алымт,sudiciume
104,See::N,аӡиа,lago
105,Sumpf::N,аӡмах,palude
106,Wiese::N,адəы,prato
107,Wald::N,абна,bosco
108,Wald::N,абна,foresta
109,Hügel::N,ахəы,colle
110,Hügel::N,ахəы,collina
111,Anhöhe::N,аҳаракыра,altura
112,Berg::N,ашьха,monte
113,Berg::N,ашьха,montagna
114,Gipfel::N,ацəқəа,cima
115,Höhle::N,аҳаҧы,grotta
116,Höhle::N,аҳаҧы,caverna
117,Abhang::N,анаара,pendìo
118,Quelle::N,аҵҵырҭа,sorgente
119,Bach::N,акəараҷҷа,ruscello
120,Fluss::N,аӡиас,fiume
121,Ufer::N,ахықə,riva
122,Küste::N,ахықə,costa
123,Festland::N,абарра,terraferma
124,Meer::N,амшын,mare
125,Bucht::N,аӡбжьахала,cala
126,Insel::N,адгьылбжьаха,ìsola
127,Blume::N,ашəҭ,fiore
128,Gras::N,аҳасакьын,erba
129,Wurzel::N,адац,radice
130,Baum::N,аҵла,àlbero
131,Stamm::N,ашьапы,tronco
132,Rinde::N,ацəа,corteccia
133,Ast::N,амахə,ramo
134,Ast::N,амахəҭа,ramo
135,Zweig::N,амахə,ramo
136,Zweig::N,амахəҭа,ramo
137,Blatt::N,абҕьы,foglia
138,Birke::N,аҵааҵла,betulla
139,Kiefer[Baum]::N,амза,pino
140,Weide[Baum]::N,аҧслыш,sàlice
141,Tanne::N,аҧсаӡ,abete
142,Horn::N,атəыҩа,corno
143,Feder::N,ахӡы,penna
144,Fell::N,ацəа,manto
145,Fell::N,ацəа,pelame
146,Flügel::N,амҵəыжəа,ala
147,Klaue::N,ашьапхыц,grinfia
148,Schwanz::N,аҵыхəа,coda
149,Ei::N,акəтаӷь,uovo
150,Nest::N,аҭра,nido
151,Nest::N,аҵысҭра,nido
152,Bau::N,аҭыҩра,covo
153,Tier::N,аҧстəы,bestia
154,Tier::N,аҧстəы,animale
155,Tier::N,агыгшəыг,bestia
156,Tier::N,агыгшəыг,animale
157,Herde::N,агəарҭа,gregge
158,Kuh::N,ажə,vacca
159,Bulle::N,ацə,toro
160,Pferd::N,аҽы,cavallo
161,Schaf::N,ауаса,pècora
162,Schwein::N,аҳəа,porco
163,Schwein::N,аҳəа,maiale
164,Hund::N,ала,cane
165,Katze::N,ацгəы,gatta
166,Bär::N,амшə,orso
167,Eichhörnchen::N,аеш,scoiàttolo
168,Elch::N,аҽаҩа,alce
169,Fuchs::N,абгахəыҷы,volpe
170,Hase::N,ажьа,lepre
171,Maus::N,аҳəынаҧ,topo
172,Maus::N,аҳəынаҧ,sorcio
173,Wolf::N,абгаду,lupo
174,Vogel::N,аҧсаатə,uccello
175,Huhn::N,акəты,gallina
176,Hahn::N,арбаҕь,gallo
177,Gans::N,аҟыз,oca
178,Adler::N,ауарба,àquila
179,Ente::N,акəата,ànatra
180,Eule::N,аты,gufo
181,Eule::N,аты,civetta
182,Kranich::N,апҟа,gru
183,Krähe::N,аҟəараан,cornacchia
184,Kuckuck::N,акəыкəу,cuccù
185,Kuckuck::N,акəыкəу,cùculo
186,Schwan::N,агьад,cigno
187,Fisch::N,аҧсыӡ,pesce
188,Barsch::N,ацəыбла,pèrsico
189,Hecht::N,ахиаала,luccio
190,Schlange[Tier]::N,амаҭ,serpente
191,Wurm::N,ахəа,baco
192,Wurm::N,ахəа,verme
193,Wurm::N,ахəац,baco
194,Wurm::N,ахəац,verme
195,Spinne::N,абызкаҭаҳа,ragno
196,Ameise::N,ашышкамс,formica
197,Laus::N,аҵа,pidocchio
198,Mücke::N,акəыбры,zanzara
199,Fliege::N,амҵ,mosca
