,Concept_ID,la,sq
0,Auge::N,oculus,sy
1,Ohr::N,auris,vesh
2,Nase::N,nasus,hundë
3,Mund::N,os,gojë
4,Zahn::N,dens,dhëmb
5,Zunge::N,lingua,gjuhë
6,Lippe::N,labrum,buzë
7,Wange::N,gena,faqe
8,Wange::N,gena,mollëz
9,Gesicht::N,vultus,fytyrë
10,Stirn::N,frons,ballë
11,Haar::N,capillus,flokë
12,Schnurrbart::N,barba labri superioris,mustaqe
13,Bart::N,barba,mjekër
14,Kinn::N,mentum,mjekër
15,Kiefer[Anatomie]::N,mala,nofull
16,Kehle::N,iugulums,fyt
17,Kehle::N,iugulums,grykë
18,Hals::N,collum,qafë
19,Genick::N,cervices,arrëz
20,Kopf::N,caput,kokë
21,Rücken::N,tergum,kurriz
22,Bauch::N,venter,bark
23,Nabel::N,umbilicus,kërthizë
24,Busen::N,sinus,gji
25,Brust::N,pectus,gjoks
26,Brust::N,pectus,kraharor
27,Schulter::N,umerus,sup
28,Schulter::N,umerus,krah
29,Arm::N,bracchium,krah
30,Ellenbogen::N,cubitum,bërryl
31,Hand::N,manus,dorë
32,Handfläche::N,palma,pëllëmbë
33,Finger::N,digitus,gisht
34,Fingernagel::N,unguiculus,thua
35,Nagel[Anatomie]::N,unguis,thua
36,Zeh::N,digitus,gisht i këmbës
37,Fuß::N,pes,këmbë
38,Ferse::N,calx,thembër
39,Knie::N,genu,gju
40,Oberschenkel::N,femur,kofshë
41,Bein::N,crus,këmbë
42,Körper::N,corpus,trup
43,Haut::N,cutis,lëkurë
44,Haut::N,pellis,lëkurë
45,Blut::N,sanguis,gjak
46,Ader::N,vena,venë
47,Sehne::N,nervus,dell
48,Knochen::N,os,asht
49,Knochen::N,os,kockë
50,Gehirn::N,cerebrum,tru
51,Herz::N,cor,zemër
52,Herz::N,animus,zemër
53,Magen::N,stomachus,stomak
54,Leber::N,iecur,mëlçi
55,Atem::N,spiritus,frymë
56,Hunger::N,fames,uri
57,Träne::N,lacrima,lot
58,Geschmack::N,sapor,shije
59,Geschmack::N,gustus,shije
60,Geruch::N,odor,erë
61,Schlaf::N,somnus,gjumë
62,Traum::N,somnium,ëndërr
63,Himmel::N,caelum,qiell
64,Sonne::N,sol,diell
65,Mond::N,luna,hënë
66,Stern::N,sidus,yll
67,Stern::N,stella,yll
68,Luft::N,aer,ajër
69,Wind::N,ventus,erë
70,Welle::N,unda,valë
71,Welle::N,unda,dallgë
72,Wasser::N,aqua,ujë
73,Stein::N,lapis,gur
74,Boden::N,solum,tokë
75,Boden::N,solum,truall
76,Erde::N,terra,dhe
77,Erde::N,terra,baltë
78,Staub::N,pulvis,pluhur
79,Rauch::N,fumus,tym
80,Funke::N,scintilla,xixë
81,Funke::N,scintilla,shkëndijë
82,Feuer::N,ignis,zjarr
83,Licht::N,lux,dritë
84,Licht::N,lumen,dritë
85,Schatten::N,umbra,hije
86,Wetter::N,caelum,mot
87,Wetter::N,tempestas,mot
88,Nebel::N,nebula,mjegull
89,Wolke::N,nubes,re
90,Regen::N,imber,shi
91,Regen::N,pluvia,shi
92,Schnee::N,nix,borë
93,Eis::N,glacies,akull
94,Frost::N,gelu,ngricë
95,Kälte::N,frigus,të ftohtë
96,Hitze::N,calor,vapë
97,Hitze::N,calor,nxehtësi
98,Hitze::N,aestus,vapë
99,Hitze::N,aestus,nxehtësi
100,Raureif::N,pruina,cikmë
101,Regenbogen::N,arcus,ylber
102,Donner::N,tonitrus,gjëmim
103,Donner::N,tonitrus,bubullimë
104,Strömung::N,fluctus,rrymë
105,Tropfen::N,gutta,pikë
106,Schaum::N,spuma,shkumë
107,Schmutz::N,sordes,baltë
108,Schmutz::N,squalor,baltë
109,See::N,lacus,liqen
110,Sumpf::N,palus,batak
111,Moor::N,palus,kënetë
112,Wiese::N,pratum,livadh
113,Wald::N,silva,pyll
114,Hügel::N,collis,kodër
115,Anhöhe::N,specula,bregore
116,Berg::N,mons,mal
117,Gipfel::N,vertex,kulm
118,Höhle::N,caverna,shpellë
119,Höhle::N,caverna,zgafelle
120,Höhle::N,spelunca,shpellë
121,Höhle::N,spelunca,zgafelle
122,Abhang::N,declivum,shpat
123,Abhang::N,declivum,tatëpjetë
124,Quelle::N,fons,krua
125,Quelle::N,fons,burim
126,Bach::N,rivus,virua
127,Fluss::N,flumen,lumë
128,Ufer::N,ripa,breg
129,Küste::N,litus,anëdet
130,Küste::N,litus,bregdet
131,Festland::N,continens,kontinent
132,Meer::N,mare,det
133,Bucht::N,sinus,gji deti
134,Insel::N,insula,ishull
135,Insel::N,insula,ujdhesë
136,Blume::N,flos,lule
137,Gras::N,herba,bar
138,Gras::N,gramen,bar
139,Wurzel::N,radix,rrënjë
140,Baum::N,arbor,pemë
141,Stamm::N,truncus,trung
142,Rinde::N,cortex,lëvore
143,Ast::N,ramus,degë
144,Zweig::N,ramus,bisk
145,Blatt::N,folium,fletë
146,Blatt::N,folium,gjethe
147,Birke::N,betulla,mështekën
148,Kiefer[Baum]::N,pinus,pishë
149,Weide[Baum]::N,salix,shelg
150,Tanne::N,abies,bredh
151,Horn::N,cornu,bri
152,Feder::N,penna,pupël
153,Fell::N,pellis,lëkurë
154,Flügel::N,ala,krah
155,Flügel::N,ala,fletë
156,Klaue::N,unguis,kthetër
157,Kralle::N,unguis,thua
158,Kralle::N,unguis,kthetër
159,Schwanz::N,cauda,bisht
160,Ei::N,ovum,vezë
161,Nest::N,nidus,fole
162,Bau::N,cavum,strofkë
163,Bau::N,latibulum,strofkë
164,Tier::N,bestia,kafshë
165,Herde::N,grex,kope
166,Herde::N,grex,grigjë
167,Kuh::N,vacca,lopë
168,Bulle::N,taurus,dem
169,Pferd::N,equus,kalë
170,Schaf::N,ovis,dele
171,Schwein::N,sus,derr
172,Schwein::N,porcus,derr
173,Hund::N,canis,qen
174,Katze::N,felis,mace
175,Bär::N,ursus,ari
176,Eichhörnchen::N,sciurus,ketër
177,Elch::N,alces,dre brilopatë
178,Fuchs::N,vulpes,dhelpër
179,Hase::N,lepus,lepur
180,Maus::N,mus,mi
181,Wolf::N,lupus,ujk
182,Vogel::N,avis,zog
183,Vogel::N,avis,shpend
184,Schwarm::N,examen,luzmë
185,Huhn::N,gallina,pulë
186,Hahn::N,gallus,gjel
187,Hahn::N,gallus,këndes
188,Gans::N,anser,patë
189,Adler::N,aquila,shqiponjë
190,Ente::N,anas,rosë
191,Eule::N,ulula,buf
192,Eule::N,noctua,buf
193,Kranich::N,grus,lejlek
194,Kranich::N,grus,kurrillë
195,Krähe::N,cornix,sorrë
196,Kuckuck::N,cuculus,qyqe
197,Schwan::N,olor,mjellmë
198,Schwan::N,cycnus,mjellmë
199,Fisch::N,piscis,peshk
200,Barsch::N,perca,purtekë
201,Hecht::N,esox,mlysh
202,Schlange[Tier]::N,serpens,gjarpër
203,Wurm::N,vermis,krimb
204,Spinne::N,aranea,marimangë
205,Ameise::N,formica,thnegël
206,Ameise::N,formica,milingonë
207,Laus::N,pediculus,morr
208,Mücke::N,culex,kunup
209,Mücke::N,culex,mushkonjë
210,Fliege::N,musca,mizë
211,Schmetterling::N,papilio,flutur
212,Beere::N,baca,frutë
213,Beere::N,baca,manaferrë
214,Apfel::N,malum,mollë
215,Pilz::N,fungus,kërpudhë
216,Zwiebel::N,cepa,qepë
217,Saat::N,seges,farë
218,Korn::N,granum,grurë
219,Korn::N,granum,kokërr
220,Heu::N,faenum,sanë
221,Schale::N,putamen,lëkurë
222,Grube::N,fovea,gropë
223,Falle::N,pedica,kurth
224,Falle::N,pedica,grackë
225,Schlinge::N,laqueus,nyjë
226,Spur::N,vestigium,gjurmë
227,Asche::N,cinis,hi
228,Dreck::N,lutum,baltë
229,Eisen::N,ferrum,hekur
230,Gold::N,aurum,ar
231,Gold::N,aurum,flori
232,Silber::N,argentum,argjend
233,Kohle::N,carbo,qymyr
234,Glas::N,vitrum,qelq
235,Lehm::N,lutum,argjilë
236,Sand::N,arena,rërë
237,Mensch::N,homo,njeri
238,Mann::N,vir,burrë
239,Mann::N,vir,mashkull
240,Frau::N,mulier,grua
241,Frau::N,mulier,femër
242,Kind::N,puer,kalama
243,Kind::N,infans,kalama
244,Junge::N,puer,djalë
245,Mädchen::N,puella,gocë
246,Mädchen::N,puella,vajzë
247,Familie::N,familia,familje
248,Großvater::N,avus,gjysh
249,Großmutter::N,avia,gjyshe
250,Eltern::N,parentes,prindër
251,Vater::N,pater,atë
252,Mutter::N,mater,nënë
253,Sohn::N,filius,bir
254,Tochter::N,filia,bijë
255,Bruder::N,frater,vëlla
256,Schwester::N,soror,motër
257,Onkel::N,patruus,dajë
258,Onkel::N,patruus,xhaxha
259,Onkel::N,avunculus,dajë
260,Onkel::N,avunculus,xhaxha
261,Tante::N,amita,teze
262,Tante::N,amita,hallë
263,Ehemann::N,maritus,burrë
264,Ehemann::N,maritus,bashkëshort
265,Ehefrau::N,uxor,grua
266,Ehefrau::N,uxor,bashkëshorte
267,Freude::N,gaudium,gaz
268,Freude::N,gaudium,gëzim
269,Freude::N,laetitia,gaz
270,Freude::N,laetitia,gëzim
271,Gelächter::N,risus,qeshje
272,Glück::N,felicitas,lumturi
273,Kummer::N,aegritudo,brengë
274,Kummer::N,aegritudo,pikëllim
275,Wunsch::N,voluntas,dëshirë
276,Wunsch::N,desiderium,dëshirë
277,Lust::N,libido,epsh
278,Lust::N,libido,dashuri
279,Lust::N,voluptas,epsh
280,Lust::N,voluptas,dashuri
281,Geist::N,mens,frymë
282,Geist::N,mens,shpirt
283,Geist::N,animus,frymë
284,Geist::N,animus,shpirt
285,Gedanke::N,sententia,ide
286,Gedanke::N,sententia,mendim
287,Gedächtnis::N,memoria,kujtesë
288,Verstand::N,ratio,mend
289,Verstand::N,ingenium,mend
290,Sinn::N,sensus,kuptim
291,Grund::N,causa,arsye
292,Wahrheit::N,veritas,vërtetë
293,Gespräch::N,sermo,bisedim
294,Märchen::N,fabula,përrallë
295,Erzählung::N,fabula,tregim
296,Erzählung::N,narratio,tregim
297,Nachricht::N,nuntius,lajm
298,Neuigkeit::N,novitas,risi
299,Name::N,nomen,emër
300,Rätsel::N,aenigma,gjëzë
301,Rätsel::N,aenigma,gjëegjëzë
302,Rede::N,oratio,fjalim
303,Sprache::N,lingua,gjuhë
304,Stimme::N,vox,zë
305,Wort::N,verbum,fjalë
306,Wort::N,vocabulum,fjalë
307,Zeichen::N,signum,shenjë
308,Ruf::N,clamor,thirrmë
309,Lärm::N,strepitus,zhurmë
310,Laut::N,sonus,tingull
311,Ton::N,sonus,ton
312,Lied::N,carmen,këngë
313,Ruhe::N,quies,qetësi
314,Leute::N,homines,botë
315,Leute::N,homines,njerëz
316,Volk::N,populus,popull
317,Arbeit::N,labor,punë
318,Gast::N,hospes,mik
319,Gast::N,hospes,mysafir
320,Gast::N,conviva,mik
321,Gast::N,conviva,mysafir
322,Geschenk::N,munus,dhuratë
323,Geschenk::N,munus,peshqesh
324,Spiel::N,ludus,lojë
325,Gesellschaft::N,societas,shoqëri
326,Hilfe::N,auxilium,ndihmë
327,Hilfe::N,subsidium,ndihmë
328,Freund::N,amicus,mik
329,Kamerad::N,socius,shok
330,Angelegenheit::N,res,punë
331,Anzahl::N,numerus,sasi
332,Art::N,genus,lloj
333,Stück::N,frustum,copë
334,Stück::N,fragmentum,copë
335,Teil::N,pars,pjesë
336,Hälfte::N,dimidium,gjysmë
337,Kreis::N,orbis,qark
338,Kreis::N,orbis,rreth
339,Kreis::N,circus,qark
340,Kreis::N,circus,rreth
341,Kreuz::N,crux,kryq
342,Linie::N,linea,vijë
343,Strich::N,lineamentum,vizë
344,Abstand::N,intervallum,distancë
345,Entfernung::N,spatium,largim
346,Gegend::N,loca,vise
347,Gegend::N,loca,krahinë
348,Gegend::N,regio,vise
349,Gegend::N,regio,krahinë
350,Platz::N,locus,shesh
351,Ort::N,locus,vend
352,Seite::N,latus,anë
353,Mitte::N,medium,mes
354,Gegenstand::N,res,send
355,Sache::N,res,gjë
356,Sache::N,res,send
357,Rand::N,margo,qoshe
358,Kante::N,angulus,teh
359,Ecke::N,angulus,qoshe
360,Spitze::N,cacumen,majë
361,Ende::N,caput,skaj
362,Ende::N,caput,bisht
363,Loch::N,foramen,vrimë
364,Winkel::N,angulus,kënd
365,Muster::N,exemplum,mostër
366,Größe::N,magnitudo,madhësi
367,Länge::N,longitudo,gjatësi
368,Höhe::N,altitudo,lartësi
369,Gewicht::N,pondus,peshë
370,Menge::N,copia,sasi
371,Haufen::N,acervus,grumbull
372,Reihe::N,ordo,radhë
373,Reihe::N,ordo,rresht
374,Boot::N,navicula,barkë
375,Boot::N,navicula,lundër
376,Ruder::N,remus,rrem
377,Schlitten::N,sclodia,sajë
378,Ski::N,narta,ski
379,Lagerfeuer::N,ignis,flakadan
380,Lagerfeuer::N,ignis,zjarr i madh
381,Last::N,onus,barrë
382,Gang::N,cursus,ecje
383,Schritt::N,gradus,hap
384,Norden::N,septentriones,veri
385,Süden::N,meridies,jug
386,Westen::N,occidens,perëndim
387,Osten::N,oriens,lindje
388,Holz::N,lignum,dru
389,Brett::N,tabula,dërrasë
390,Platte::N,lamina,pllakë
391,Stütze::N,adminiculum,shtyllë
392,Stütze::N,adminiculum,mbështetesë
393,Stange::N,pertica,shufër
394,Stock::N,baculum,dajak
395,Stab::N,scipio,shkop
396,Rohr::N,tubus,tub
397,Haus::N,aedes,shtëpi
398,Heim::N,domicilium,konak
399,Heim::N,domicilium,shtëpi
400,Ofen::N,fornax,sobë
401,Ofen::N,fornax,stufë
402,Fußboden::N,solum,dysheme
403,Tisch::N,mensa,tryezë
404,Stuhl::N,sella,karrige
405,Wiege::N,cunae,djep
406,Bett::N,lectus,shtrat
407,Regal::N,foruli,raft
408,Kiste::N,cista,kuti
409,Fenster::N,fenestra,dritare
410,Tür::N,ianua,derë
411,Tor::N,porta,portë
412,Zaun::N,saepes,gardh
413,Dach::N,tectum,çati
414,Leiter::N,scalae,shkallë
415,Besen::N,scopae,fshesë
416,Spaten::N,pala,lopatë
417,Schaufel::N,pala,qyrek
418,Gabel::N,fuscinula,pirun
419,Löffel::N,coclear,lugë
420,Messer::N,culter,thikë
421,Nagel::N,clavus,gozhdë
422,Netz::N,rete,rrjetë
423,Haken::N,hamus,grep
