,Concept_ID,zh,mrj
0,Auge::N,眼睛,сӹнзӓ
1,Ohr::N,耳朵,пӹлӹш
2,Nase::N,鼻子,нер
3,Mund::N,嘴,ышма
4,Zahn::N,牙齿,пӱ
5,Zunge::N,舌头,йӹлмӹ
6,Lippe::N,嘴唇,тӹрвӹ
7,Wange::N,面颊,шӹргӹ
8,Gesicht::N,脸,лицӓ
9,Stirn::N,额,лепкӓ
10,Haar::N,头发,ӱп
11,Schnurrbart::N,髭须,öрш
12,Bart::N,胡子,пандаш
13,Kinn::N,下巴,онгылаш
14,Kiefer[Anatomie]::N,颌,пӱ арата
15,Kehle::N,嗓子,логер
16,Hals::N,颈,шӱ
17,Genick::N,后颈,ланга
18,Kopf::N,头,вуй
19,Rücken::N,背,туп
20,Bauch::N,肚子,мӹшкӹр
21,Nabel::N,肚脐,кӹлӹмдӹ
22,Busen::N,胸脯,цӹзӹ
23,Brust::N,胸,мел
24,Schulter::N,肩膀,ӹнгӹжӓ
25,Arm::N,臂膀,кид
26,Ellenbogen::N,肘,кӹнервуй
27,Hand::N,手,лапа
28,Handfläche::N,手掌,кид лапа
29,Finger::N,手指,парня
30,Fingernagel::N,指甲,кӹч
31,Nagel[Anatomie]::N,指甲,кӹч
32,Zeh::N,脚趾,парня
33,Fuß::N,脚,ял лапа
34,Ferse::N,后跟,ялгавал
35,Ferse::N,后跟,ял кавал
36,Knie::N,膝,пылвуй
37,Oberschenkel::N,大腿,ӓрдӹ
38,Bein::N,腿,ял
39,Körper::N,身体,монгыр
40,Haut::N,皮肤,кавашты
41,Blut::N,血,вӹр
42,Ader::N,血管,вӹршӓр
43,Sehne::N,腱,кукшышӱн
44,Knochen::N,骨,лу
45,Gehirn::N,脑,вим
46,Herz::N,心,шӱм
47,Magen::N,胃,шӱм
48,Leber::N,肝,мокш
49,Atem::N,呼吸,шӱлӹш
50,Hunger::N,饿,шужымаш
51,Träne::N,眼泪,сӹнзӓвӹд
52,Geschmack::N,味道,тот
53,Geruch::N,气味,пыш
54,Schlaf::N,睡眠,ом
55,Traum::N,梦,ом
56,Himmel::N,天空,пӹлгом
57,Sonne::N,太阳,кечӹ
58,Mond::N,月亮,тӹлзӹ
59,Stern::N,星,шӹдӹр
60,Luft::N,空气,юж
61,Luft::N,空气,воздух
62,Wind::N,风,мардеж
63,Welle::N,波,ко
64,Welle::N,波,коэ
65,Wasser::N,水,вӹд
66,Stein::N,石头,кӱ
67,Boden::N,地面,рок
68,Erde::N,地,свет
69,Staub::N,灰尘,пырак
70,Rauch::N,烟,шӹкш
71,Funke::N,火花,ип
72,Funke::N,火花,тылип
73,Feuer::N,火,тыл
74,Licht::N,光,соты
75,Licht::N,光,валгыды
76,Schatten::N,影子,ӹмӹл
77,Wetter::N,天气,игечӹ
78,Nebel::N,雾,тӹтӹрӓ
79,Wolke::N,云,пӹл
80,Regen::N,雨,юр
81,Schnee::N,雪,лым
82,Eis::N,冰,и
83,Frost::N,霜冻,ӱштӹ
84,Kälte::N,寒冷,ӱштӹ
85,Hitze::N,炎热,шокшы
86,Raureif::N,霜,пöрш
87,Regenbogen::N,虹,шанавӹл
88,Donner::N,雷,хӹдӹртӹш
89,Strömung::N,水流,йогы
90,Tropfen::N,滴,капльы
91,Tropfen::N,滴,капльык
92,Schaum::N,泡沫,шонг
93,Schmutz::N,赃物,лявӹрӓ
94,See::N,湖,йӓр
95,Sumpf::N,沼泽,лӱкӹ
96,Moor::N,沼泽,куп
97,Wiese::N,草地,алык
98,Wald::N,森林,шӹргӹ
99,Hügel::N,丘陵,пӱгӹрикӓ
100,Anhöhe::N,山丘,кӱкшикӓ
101,Berg::N,山,кырык
102,Gipfel::N,峰,неркӓ
103,Höhle::N,洞穴,ы́раж
104,Abhang::N,斜坡,полом
105,Quelle::N,泉,вӹдсӹнзӓ
106,Bach::N,溪,ӓнгӹр
107,Fluss::N,河流,вӹд
108,Ufer::N,岸,сир
109,Küste::N,海岸,сир
110,Festland::N,大陆,мӱлӓндӹ
111,Meer::N,海,тангыж
112,Bucht::N,海湾,вӹдъял
113,Insel::N,岛,острок
114,Blume::N,花,пеледӹш
115,Gras::N,草,шуды
116,Wurzel::N,根,важ
117,Baum::N,树,пушӓнгӹ
118,Stamm::N,树干,пушӓнгӹ тӹнг
119,Rinde::N,树皮,каргыж
120,Ast::N,树枝,укш
121,Zweig::N,树枝,укш
122,Blatt::N,叶子,листӹ
123,Birke::N,桦木,куги
124,Kiefer[Baum]::N,松树,йӓктӹ
125,Weide[Baum]::N,柳树,уа
126,Tanne::N,冷杉,кож
127,Horn::N,角,шур
128,Feder::N,羽毛,пын
129,Fell::N,皮毛,кавашты
130,Flügel::N,翅膀,шылдыр
131,Klaue::N,爪子,кӹч
132,Kralle::N,爪子,лапа
133,Schwanz::N,尾巴,пач
134,Ei::N,蛋,мыны
135,Nest::N,巢,пӹжӓш
136,Bau::N,穴,ыраж
137,Tier::N,动物,во́льык
138,Herde::N,群,кӹтö
139,Kuh::N,母牛,ышкал
140,Bulle::N,公牛,ӱшкӱж
141,Pferd::N,马,имни
142,Schaf::N,羊,шарык
143,Schwein::N,猪,сасна
144,Hund::N,狗,пи
145,Katze::N,猫,коти
146,Bär::N,熊,мöскӓ
147,Eichhörnchen::N,松鼠,ур
148,Elch::N,麋鹿,шарды
149,Fuchs::N,狐狸,рӹвӹж
150,Hase::N,兔子,морен
151,Maus::N,老鼠,каля
152,Wolf::N,狼,пирӹ
153,Vogel::N,鸟,кек
154,Schwarm::N,群,цуца
155,Huhn::N,鸡,цӹвӹ
156,Hahn::N,公鸡,ӓптӓн
157,Gans::N,鹅,комбы
158,Adler::N,鹰,кучкыж
159,Ente::N,鸭,лыды
160,Eule::N,猫头鹰,тымана
161,Kranich::N,鹤,тырня
162,Kranich::N,鹤,тыртня
163,Krähe::N,乌鸦,лудыгарак
164,Kuckuck::N,布谷鸟,куку
165,Schwan::N,天鹅,йӱксӹ
166,Fisch::N,鱼,кол
167,Barsch::N,鲈鱼,алангы
168,Hecht::N,狗鱼,нуж
169,Hecht::N,狗鱼,нужгол
170,Schlange[Tier]::N,蛇,кӹшкы
171,Wurm::N,蠕虫,шукш
172,Spinne::N,蜘蛛,ӓнгӹремшӹ
173,Ameise::N,蚂蚁,кыткы
174,Laus::N,虱子,ти
175,Mücke::N,蚊子,кужнер
176,Mücke::N,蚊子,кужынер
177,Fliege::N,苍蝇,шӹнгӓ
178,Schmetterling::N,蝴蝶,лӹпӹ
179,Beere::N,将果,мöр
180,Apfel::N,苹果,олма
181,Pilz::N,蘑菇,понгы
182,Zwiebel::N,洋葱,охыра
183,Saat::N,种子,нӱшмӹ
184,Saat::N,种子,нӱшмӱ
185,Korn::N,谷粒,пӹрцӹ
186,Heu::N,干草,шуды
187,Schale::N,壳,аваха
188,Schale::N,壳,карлангы
189,Grube::N,坑,йӓм
190,Falle::N,圈套,лӱдӹ
191,Falle::N,圈套,лӱдӹш
192,Schlinge::N,活扣,онгы
193,Spur::N,踪迹,кишӓ
194,Asche::N,灰烬,ломых
195,Asche::N,灰烬,ломпыж
196,Dreck::N,污垢,лявӹрӓ
197,Eisen::N,铁,кӹртни
198,Gold::N,金子,шöртни
199,Gold::N,金子,шöртньӹ
200,Silber::N,银,ши
201,Kohle::N,煤,шӱ
202,Glas::N,玻璃,охоница
203,Lehm::N,粘土,шун
204,Sand::N,沙,ошма
205,Mensch::N,人,эдем
206,Mann::N,男子,пӱэргӹ
207,Frau::N,妇女,ӹдӹрӓмӓш
208,Kind::N,小孩,ӓзӓ
209,Kind::N,小孩,шачшы
210,Junge::N,男孩,рвезӹ
211,Junge::N,男孩,ӹрвезӹ
212,Mädchen::N,女孩,ӹдӹрӓш
213,Familie::N,家庭,йиш
214,Familie::N,家庭,семня
215,Großvater::N,祖父,тьоти
216,Großmutter::N,祖母,папа
217,Eltern::N,父母,ӓтя-ӓвӓ
218,Vater::N,父亲,ӓтя
219,Mutter::N,母亲,ӓвӓ
220,Sohn::N,儿子,эргӹ
221,Tochter::N,女儿,ӹдӹр
222,Bruder::N,兄弟,ӹза
223,Schwester::N,姐妹,ӓкӓ
224,Onkel::N,伯父,кугуза
225,Tante::N,阿姨,куака
226,Ehemann::N,丈夫,мары
227,Ehefrau::N,妻子,вӓтӹ
228,Freude::N,愉快,ӹвӹртӹмӓш
229,Gelächter::N,大笑,ваштылмаш
230,Glück::N,运气,пиӓл
231,Kummer::N,苦恼,ясы
232,Wunsch::N,愿望,охата
233,Wunsch::N,愿望,шанымаш
234,Lust::N,乐趣,шӓр
235,Lust::N,乐趣,охата
236,Lust::N,乐趣,шанымаш
237,Geist::N,精神,тух
238,Gedanke::N,思想,шанымаш
239,Gedächtnis::N,记性,ӓш
240,Verstand::N,理智,ыш
241,Sinn::N,感觉,кын
242,Grund::N,理由,вир
243,Wahrheit::N,真理,тöр
244,Gespräch::N,谈话,хытырымаш
245,Märchen::N,童话,ямак
246,Erzählung::N,故事,шайыштмаш
247,Nachricht::N,消息,увертӓрӹмӓш
248,Neuigkeit::N,新闻,увер
249,Name::N,名字,лӹм
250,Rätsel::N,谜语,тышты
251,Rede::N,讲话,шая
252,Rede::N,讲话,шамак
253,Sprache::N,语言,йӹлмӹ
254,Stimme::N,声音,юк
255,Wort::N,词,шамак
256,Zeichen::N,标记,палӹ
257,Ruf::N,呼喊,сӹгӹрӹмӓш
258,Lärm::N,噪音,юкланымащ
259,Laut::N,响声,юк
260,Ton::N,声音,юк
261,Lied::N,歌曲,мыры
262,Ruhe::N,安静,тыр
263,Leute::N,人们,эдемвлӓ
264,Volk::N,人民,халык
265,Arbeit::N,劳动,пӓшӓ
266,Gast::N,客人,хына
267,Geschenk::N,礼物,подарка
268,Spiel::N,游戏,мадыш
269,Gesellschaft::N,陪同,йӓл
270,Gesellschaft::N,陪同,йӓлвлӓ
271,Hilfe::N,帮助,палшык
272,Freund::N,朋友,тӓнг
273,Kamerad::N,同志,тос
274,Angelegenheit::N,事情,дела
275,Angelegenheit::N,事情,йела
276,Angelegenheit::N,事情,йыла
277,Angelegenheit::N,事情,пӓшӓ
278,Anzahl::N,数目,шот
279,Art::N,种类,цӹре
280,Stück::N,块,лаштык
281,Teil::N,部分,пай
282,Teil::N,部分,часть
283,Hälfte::N,一半,пел
284,Kreis::N,圆,тӹртӹш
285,Kreuz::N,十字架,крестӹ
286,Linie::N,线条,
287,Strich::N,划,
288,Abstand::N,距离,ло
289,Entfernung::N,距离,ло
290,Gegend::N,地区,вӓр
291,Platz::N,场所,вӓр
292,Ort::N,地点,вӓр
293,Seite::N,面,öрдӹж
294,Mitte::N,中间,ло
295,Gegenstand::N,物品,хӓдӹр
296,Sache::N,物,хӓдӹр
