,Concept_ID,mhr,kn
0,Auge::N,шинча́,ಕಣ್ಣು
1,Ohr::N,пы́лыш,ಕಿವಿ
2,Nase::N,нер,ಮೂಗು
3,Mund::N,умша́,ಬಾಯಿ
4,Zahn::N,пӱй,ಹಲ್ಲು
5,Zunge::N,йы́лме,ನಾಲಿಗೆ
6,Lippe::N,тӱ́рвӧ,ತುಟಿ
7,Wange::N,шӱ́ргӧ,ಗಲ್ಲ
8,Gesicht::N,чури́й,ಮುಖ
9,Stirn::N,саҥга́,ಹಣೆ
10,Haar::N,ӱп,ಕೂದಲು
11,Schnurrbart::N,ӧ́рыш,ಮೀಸೆ
12,Bart::N,понда́ш,ಗಡ್ಡ
13,Kinn::N,оҥыла́ш,ಗದ್ದ
14,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,ದವಡೆ
15,Kiefer[Anatomie]::N,пӱйората́,ದವಡೆ
16,Kehle::N,лога́р,ಗಂಟಲು
17,Hals::N,шӱй,ಕೊರಳು
18,Genick::N,шӱйло́дыш,ಹಿಂಗತ್ತು
19,Kopf::N,вуй,ತಲೆ
20,Rücken::N,туп,ಬೆನ್ನು
21,Bauch::N,мӱ́шкыр,ಹೊಟ್ಟೆ
22,Nabel::N,кы́лымде,ಹೊಕ್ಕುಳು
23,Busen::N,чы́зе,ಸ್ತನ
24,Brust::N,оҥ,ಎದೆ
25,Schulter::N,ва́че,ಭುಜ
26,Arm::N,кид,ತೋಳು
27,Ellenbogen::N,кынерву́й,ಮೊಣಕೈ
28,Hand::N,кид,ಕೈ
29,Hand::N,копа́,ಕೈ
30,Handfläche::N,со́во,ಅಂಗೈ
31,Finger::N,парня́,ಕೈಬೆರಳು
32,Fingernagel::N,кидкӱ́ч,ಉಗುರು
33,Fingernagel::N,парнягӱ́ч,ಉಗುರು
34,Nagel[Anatomie]::N,кӱч,ಉಗುರು
35,Zeh::N,йолварня́,ಕಾಲ್ಬೆರಳು
36,Fuß::N,йол,ಪಾದ
37,Fuß::N,йолкопа́,ಪಾದ
38,Ferse::N,тага́н,ಹಿಮ್ಮಡಿ
39,Knie::N,пулву́й,ಮಂಡಿ
40,Oberschenkel::N,э́рде,ತೊಡೆ
41,Bein::N,йол,ಕಾಲು
42,Körper::N,кап,ದೇಹ
43,Haut::N,кова́ште,ಚರ್ಮ
44,Blut::N,вӱр,ರಕ್ತ
45,Ader::N,шӧн,ನರ
46,Sehne::N,шӧн,ನರ
47,Sehne::N,кӱсе́н,ನರ
48,Knochen::N,лу,ಮೂಳೆ
49,Gehirn::N,вем,ಮಿದುಳು
50,Gehirn::N,вуйве́м,ಮಿದುಳು
51,Herz::N,шӱм,ಹೃದಯ
52,Magen::N,пага́р,ಉದರ
53,Leber::N,мокш,ಯಕೃತ್ತು
54,Atem::N,шӱ́лыш,ಉಸಿರು
55,Hunger::N,шужыма́ш,ಹಸಿವು
56,Träne::N,шинчавӱ́д,ಕಣ್ಣೀರು
57,Geschmack::N,там,ರುಚಿ
58,Geruch::N,пуш,ವಾಸನೆ
59,Schlaf::N,о́мо,ನಿದ್ರೆ
60,Traum::N,йӱдо́мо,ಕನಸು
61,Himmel::N,кава́,ಬಾನು
62,Sonne::N,ке́че,ಸೂರ್ಯ
63,Mond::N,ты́лзе,ಚಂದ್ರ
64,Stern::N,шӱ́дыр,ಚುಕ್ಕಿ
65,Luft::N,юж,ವಾಯು
66,Wind::N,марде́ж,ಗಾಳಿ
67,Welle::N,то́лкын,ಅಲೆ
68,Wasser::N,вӱд,ನೀರು
69,Stein::N,кӱ,ಕಲ್ಲು
70,Boden::N,рок,ನೆಲ
71,Erde::N,мла́нде,ಭೂಮಿ
72,Staub::N,пура́к,ದೂಳು
73,Rauch::N,шикш,ಹೊಗೆ
74,Funke::N,сеске́м,ಕಿಡಿ
75,Funke::N,тулйы́п,ಕಿಡಿ
76,Feuer::N,тул,ಬೆಂಕಿ
77,Licht::N,со́то,ಬೆಳಕು
78,Schatten::N,ӱ́мыл,ನೆರಳು
79,Wetter::N,иге́че,ಹವ
80,Nebel::N,тӱтыра́,ಮಂಜು
81,Wolke::N,пыл,ಮೋಡ
82,Regen::N,йӱр,ಮಳೆ
83,Schnee::N,лум,ಹಿಮ
84,Eis::N,ий,ಮಂಜುಗಡ್ಡೆ
85,Frost::N,чатлама́,ಮಂಜು
86,Kälte::N,йӱ́штӧ,ಹಿಮ
87,Hitze::N,шо́кшо,ಉಷ್ಣ
88,Raureif::N,пӧрш,ಇಬ್ಬನಿ
89,Raureif::N,по́кшым,ಇಬ್ಬನಿ
90,Regenbogen::N,шонанпы́л,ಇಂದ್ರಚಾಪ
91,Donner::N,кӱ́дырчӧ,ಗುಡುಗು
92,Strömung::N,йо́гын,ಪ್ರವಾಹ
93,Tropfen::N,чӱча́лтыш,ತೊಟ್ಟು
94,Schaum::N,шоҥ,ನೊರೆ
95,Schmutz::N,лавыра́,ಕಸ
96,See::N,ер,ಸರೋವರ
97,Sumpf::N,лӱ́кӧ,ಜೌಗುಸ್ಥಳ
98,Moor::N,куп,ಬಂಜರು ಭೂಮಿ
99,Wiese::N,о́лык,ಹುಲ್ಲುಗಾವಲು
100,Wald::N,чодыра́,ಕಾಡು
101,Hügel::N,арка́,ಗುಡ್ಡೆ
102,Anhöhe::N,тӧва́,ದಿಬ್ಬ
103,Anhöhe::N,кӱкшака́,ದಿಬ್ಬ
104,Berg::N,ку́рык,ಮಲೆ
105,Berg::N,ку́рык,ಪರ್ವತ
106,Gipfel::N,чаҥга́,ಶೃಂಗ
107,Gipfel::N,курыкву́й,ಶೃಂಗ
108,Höhle::N,пеще́р,ಗುಹೆ
109,Höhle::N,курыкпо́мыш,ಗುಹೆ
110,Abhang::N,та́йыл,ಇಳಿಜಾರು
111,Quelle::N,важ,ಮೂಲ
112,Quelle::N,вӱдшинча́,ಮೂಲ
113,Bach::N,изэҥе́р,ತೊರೆ
114,Fluss::N,эҥе́р,ನದಿ
115,Ufer::N,сер,ತೀರ
116,Küste::N,вӱдтӱ́р,ದಂಡೆ
117,Festland::N,мла́нде,ಭೂಮಿ
118,Meer::N,те́ҥыз,ಕಡಲು
119,Bucht::N,икса́,ಖಾರಿ
120,Insel::N,отро́,ದ್ವೀಪ
121,Blume::N,пеле́дыш,ಸುಮ
122,Gras::N,шу́до,ಹುಲ್ಲು
123,Wurzel::N,вож,ಬೇರು
124,Baum::N,пуше́ҥге,ಮರ
125,Stamm::N,йы́тыр,ಕಾಂಡ
126,Rinde::N,шӱм,ತೂಗಟಿ
127,Ast::N,укш,ಶಾಖೆ
128,Zweig::N,торма́к,ರೆಂಬೆ
129,Blatt::N,лышта́ш,ಎಲೆ
130,Birke::N,куэ́,ಬರ್ಚ್ ಮರ
131,Kiefer[Baum]::N,пӱ́нчӧ,ದೇವದಾರು ಮರ
132,Weide[Baum]::N,уа́,ವಿಲೋಮರ
133,Tanne::N,кож,ಭದ್ರದಾರು
134,Horn::N,шур,ಕೊಂಬು
135,Feder::N,пы́стыл,ಪುಕ್ಕ
136,Fell::N,кова́ште,ರೋಮ
