,Concept_ID,ku,tt
0,Auge::N,çav,күз
1,Ohr::N,guh,колак
2,Nase::N,bêvil,борын
3,Mund::N,dev,авыз
4,Mund::N,dev,тамак
5,Zahn::N,didan,теш
6,Zunge::N,ziman,тел
7,Lippe::N,lêv,ирен
8,Wange::N,dêm,яңак
9,Wange::N,hinarik,яңак
10,Gesicht::N,rû,йөз
11,Stirn::N,enî,маңгай
12,Haar::N,por,чәч
13,Schnurrbart::N,simbêl,мыек
14,Bart::N,rih,сакал
15,Kinn::N,zenî,ияк
16,Kiefer[Anatomie]::N,arguşk,казналык
17,Kehle::N,qirik,тамак
18,Hals::N,stû,бугаз
19,Hals::N,qirik,бугаз
20,Genick::N,stû,җилкә
21,Kopf::N,serî,баш
22,Rücken::N,pişt,сырт
23,Bauch::N,ûr,корсак
24,Bauch::N,zik,корсак
25,Nabel::N,navik,кендек
26,Busen::N,sîng,түш
27,Brust::N,sîng,имчәк
28,Brust::N,sîng,күкрәк
29,Schulter::N,mil,иңбаш
30,Schulter::N,mil,кулбаш
31,Arm::N,çepil,кул
32,Ellenbogen::N,enîşk,терсәк
33,Hand::N,dest,кул
34,Handfläche::N,kefadest,уч
35,Finger::N,tilî,бармак
36,Fingernagel::N,neynuk,тырнак
37,Nagel[Anatomie]::N,bizmar,тырнак
38,Zeh::N,tilî linga,бармак
39,Fuß::N,ling,табан
40,Ferse::N,pahnî,үкчә
41,Knie::N,kabok,тез
42,Oberschenkel::N,rahn,бот
43,Bein::N,çip,аяк
44,Körper::N,laş,тән
45,Körper::N,laş,җисем
46,Körper::N,gowde,тән
47,Körper::N,gowde,җисем
48,Haut::N,çerm,тире
49,Blut::N,xwîn,кан
50,Ader::N,reh,тамыр
51,Sehne::N,reh,сеңер
52,Knochen::N,hestî,сөяк
53,Gehirn::N,mêjî,ми
54,Herz::N,dil,йөрәк
55,Magen::N,navêş,ашказаны
56,Leber::N,kezeb,бавыр
57,Atem::N,hilm,сулыш
58,Hunger::N,birçîtî,ачлык
59,Träne::N,hêstir,яшь
60,Geschmack::N,tam,тәм
61,Geschmack::N,tam,зәвык
62,Geruch::N,bêhn,ис
63,Schlaf::N,xew,йокы
64,Traum::N,xewn,төш
65,Himmel::N,ezman,күк
66,Sonne::N,roj,кояш
67,Mond::N,heyv,ай
68,Stern::N,stêrk,йолдыз
69,Luft::N,ba,һава
70,Wind::N,ba,җил
71,Welle::N,şewl,дулкын
72,Wasser::N,av,су
73,Stein::N,kevir,таш
74,Boden::N,herd,туфрак
75,Erde::N,ax,җир
76,Staub::N,toz,тузан
77,Rauch::N,dû,төтен
78,Funke::N,çirûşk,очкын
79,Feuer::N,agir,ут
80,Licht::N,ronahî,якты
81,Schatten::N,sî,күләгә
82,Wetter::N,hewa,һава
83,Nebel::N,mij,томан
84,Wolke::N,ewr,болыт
85,Regen::N,baran,яңгыр
86,Schnee::N,berf,кар
87,Eis::N,qeşa,боз
88,Frost::N,xûsik,суык
89,Frost::N,xûsik,салкын
90,Kälte::N,serma,суык
91,Kälte::N,serma,салкын
92,Hitze::N,germayî,эсселек
93,Raureif::N,şext,бәс
94,Raureif::N,şext,сыкы
95,Regenbogen::N,heftreng,салават күпере
96,Donner::N,gire-gir,күкрәү
97,Strömung::N,şewl,агыш'агым
98,Tropfen::N,dilop,тамчы
99,Schaum::N,kef,күбек
100,Schmutz::N,gemar,пычрак
101,See::N,gol,күл
102,Sumpf::N,hezek,саз
103,Moor::N,mafêl,торфлык
104,Wiese::N,sûrik,болын
105,Wald::N,çiya,урман
106,Wald::N,daristan,урман
107,Hügel::N,gir,калку
108,Anhöhe::N,sere gir,үр
109,Berg::N,kaş,тау
110,Gipfel::N,sere gir,оч
111,Höhle::N,şikeft,мәгарә
112,Abhang::N,kaş,кабырга
113,Quelle::N,kanî,чишмә
114,Bach::N,çem,елга
115,Fluss::N,çem,дәрья
116,Fluss::N,rûbar,дәрья
117,Ufer::N,kevî,су кырые
118,Küste::N,berav,яр буе
119,Festland::N,bejahî,коры җир
120,Meer::N,behr,диңгез
121,Bucht::N,derav,бухта
122,Bucht::N,derav,култык
123,Insel::N,girav,атау
124,Insel::N,girav,утрау
125,Blume::N,kulînk,чәчкә
126,Gras::N,giha,үлән
127,Wurzel::N,reh,тамыр
128,Baum::N,dar,агач
129,Stamm::N,bavik,кәүсә
130,Rinde::N,qaqil,кабык
131,Ast::N,gulî,ботак
132,Zweig::N,şax,ботак
133,Zweig::N,şax,тармак
134,Blatt::N,pel,яфрак
135,Birke::N,dara sipî,каен
136,Kiefer[Baum]::N,dara bî,нарат
137,Weide[Baum]::N,dara belalûk,тал
138,Tanne::N,merx,чыршы
139,Horn::N,strô,мөгез
140,Feder::N,pîrtîk,йон
141,Fell::N,heyar,тире
142,Flügel::N,per,канат
143,Klaue::N,napîk,тырнак
144,Kralle::N,dinik,тырнак
145,Kralle::N,dirnax,тырнак
146,Schwanz::N,dûv,койрык
147,Ei::N,hêk,күкәй
148,Ei::N,hêk,йомырка
149,Nest::N,hêlîn,оя
150,Bau::N,avahî,өн
151,Tier::N,heywan,хайван
152,Herde::N,hoz,көтү
153,Kuh::N,çêlek,сыер
154,Bulle::N,ga,үгез
155,Pferd::N,hesp,ат
156,Schaf::N,mîh,сарык
157,Schwein::N,beraz,дуңгыз
158,Hund::N,seh,эт
159,Katze::N,pişîk,песи
160,Bär::N,hirç,аю
161,Eichhörnchen::N,pilûr,тиен
162,Elch::N,pazkovî,поши
163,Fuchs::N,rovî,төлке
164,Hase::N,kîroşk,куян
165,Maus::N,mişk,тычкан
166,Wolf::N,gur,бүре
167,Vogel::N,çûk,кош
168,Schwarm::N,lufik,көтү
169,Huhn::N,mirîşk,тавык
170,Hahn::N,dîk,әтәч
171,Gans::N,qaz,каз
172,Adler::N,eylo,каракош
173,Ente::N,werdek,үрдәк
174,Eule::N,bûm,ябалак
175,Eule::N,kund,ябалак
176,Kranich::N,quling,торна
177,Krähe::N,qijik,карга
178,Kuckuck::N,pepûk,күке
179,Kuckuck::N,pepûk,кәккүк
180,Schwan::N,qû,аккош
181,Fisch::N,masî,балык
182,Barsch::N,okûn,алабуга
183,Hecht::N,mesîyê lûf,чуртан
184,Schlange[Tier]::N,mar,елан
185,Wurm::N,kurm,корт
186,Spinne::N,pîrê,үрмәкүч
187,Ameise::N,mîro,кырмыска
188,Ameise::N,gêrîk,кырмыска
189,Laus::N,spi,бет
190,Mücke::N,mêş,черки
191,Mücke::N,mêş,озынборын
192,Fliege::N,mêş,чебен
193,Schmetterling::N,perperîk,күбәләк
194,Beere::N,hirç,җиләк
195,Apfel::N,sêv,алма
196,Pilz::N,bîrov,гөмбә
197,Zwiebel::N,pîvaz,суган
198,Zwiebel::N,pîvaz,суганбаш
199,Saat::N,tov,орлык
200,Korn::N,dexl,иген
201,Korn::N,dexl,орлык
202,Heu::N,sap,печән
203,Schale::N,qaşik,кабык
204,Grube::N,çahl,баз
205,Grube::N,çahl,чокыр
206,Falle::N,dafik,тозак
207,Falle::N,dafik,капкын
208,Schlinge::N,dahf,элмәк
209,Spur::N,rêç,эз
210,Asche::N,xweli,көл
211,Dreck::N,gemarî,пычрак
212,Eisen::N,hesing,тимер
213,Gold::N,zêr,алтын
214,Silber::N,zîv,көмеш
215,Kohle::N,komir,күмер
216,Glas::N,qedeh,пыяла
217,Lehm::N,kelpîç,балчык
218,Sand::N,qûm,ком
219,Mensch::N,mirov,адәм
220,Mensch::N,mirov,инсан
221,Mann::N,mêr,ир
222,Frau::N,jin,хатын
223,Kind::N,zarok,бала
224,Junge::N,kur,малай
225,Mädchen::N,keç,кыз
226,Mädchen::N,keçik,кыз
227,Familie::N,malbat,гаилә
228,Großvater::N,bapîr,бабай
229,Großmutter::N,pîrik,әби
230,Eltern::N,bavudê,ата-ана
231,Vater::N,bav,ата
232,Mutter::N,dê,ана
233,Mutter::N,dayik,ана
234,Sohn::N,kur,ул
235,Tochter::N,keç,кыз
236,Bruder::N,bira,кардәш
237,Schwester::N,xweh,апа
238,Schwester::N,xweh,сеңел
239,Onkel::N,am,дәдә
240,Onkel::N,am,дәдәй
241,Onkel::N,xal,дәдә
242,Onkel::N,xal,дәдәй
243,Tante::N,metik,түти
244,Tante::N,metik,тәтәй
245,Tante::N,xaltîk,түти
246,Tante::N,xaltîk,тәтәй
247,Ehemann::N,mêr,ир
248,Ehefrau::N,kulfet,хатын
249,Freude::N,kêfxweşî,сөенеч
250,Gelächter::N,pîrqînî,көлү
251,Gelächter::N,pîrqînî,көлеш
252,Glück::N,bext,бәхет
253,Kummer::N,derd,хәсрәт
254,Wunsch::N,daxwaz,теләк
255,Wunsch::N,xwestek,теләк
256,Lust::N,şewq,теләк
257,Lust::N,şewq,теләү
258,Geist::N,aqil,рух
259,Gedanke::N,fikir,уй
260,Gedanke::N,fikir,фикер
261,Gedächtnis::N,aqil,хәтер
262,Verstand::N,fêm,акыл
263,Sinn::N,aqil,мәгънә
264,Grund::N,asas,сәбәп
265,Wahrheit::N,rastî,хак
266,Gespräch::N,guftûgo,әңгәмә
