,Concept_ID,ja,ro
0,Auge::N,目,ochi
1,Ohr::N,耳,ureche
2,Nase::N,鼻,nas
3,Mund::N,口,gură
4,Zahn::N,歯,dinte
5,Zunge::N,舌,limbă
6,Lippe::N,唇,buză
7,Wange::N,頬,bucă
8,Wange::N,頬,obraz
9,Gesicht::N,顔,față
10,Gesicht::N,顔,figură
11,Stirn::N,額,frunte
12,Haar::N,髪,păr
13,Schnurrbart::N,口髭,mustață
14,Bart::N,髭,barbă
15,Kinn::N,顎,bărbie
16,Kiefer[Anatomie]::N,顎,falcă
17,Kehle::N,喉,beregată
18,Hals::N,首,gât
19,Genick::N,首,ceafă
20,Kopf::N,頭,cap
21,Rücken::N,背中,dos
22,Rücken::N,背中,spate
23,Rücken::N,背中,spinare
24,Bauch::N,腹,burtă
25,Bauch::N,腹,pântece
26,Bauch::N,お腹,burtă
27,Bauch::N,お腹,pântece
28,Nabel::N,へそ,buric
29,Busen::N,乳房,sân
30,Brust::N,胸,piept
31,Schulter::N,肩,umăr
32,Schulter::N,肩,spate
33,Arm::N,腕,braț
34,Ellenbogen::N,肘,cot
35,Hand::N,手,mână
36,Handfläche::N,手のひら,palmă
37,Finger::N,指,deget
38,Fingernagel::N,爪,unghie
39,Nagel[Anatomie]::N,爪,unghie
40,Zeh::N,足の指,deget de la picior
41,Fuß::N,足,picior
42,Ferse::N,かかと,călcâi
43,Knie::N,膝,genunchi
44,Oberschenkel::N,上腿,coapsă
45,Bein::N,足,picior
46,Körper::N,体,corp
47,Haut::N,皮膚,piele
48,Blut::N,血,sânge
49,Ader::N,血管,vână
50,Ader::N,血管,arteră
51,Sehne::N,腱,tendon
52,Knochen::N,骨,os
53,Gehirn::N,脳,creier
54,Herz::N,心,inimă
55,Herz::N,心臓,inimă
56,Magen::N,胃,stomac
57,Leber::N,肝臓,ficat
58,Atem::N,息,răsuflare
59,Atem::N,息,respirație
60,Atem::N,呼吸,răsuflare
61,Atem::N,呼吸,respirație
62,Hunger::N,空腹,foame
63,Träne::N,涙,lacrimă
64,Geschmack::N,味,gust
