,Concept_ID,av,is
0,Ohr::N,гӏин,eyra
1,Nase::N,мегӏер,nef
2,Mund::N,кӏал,munnur
3,Zahn::N,гӏус,tönn
4,Zunge::N,мацӏ,tunga
5,Lippe::N,кӏветӏ,vör
6,Wange::N,гӏоно,kinn
7,Wange::N,гӏоно,vangi
8,Gesicht::N,гьумер,andlit
9,Stirn::N,нодо,enni
10,Haar::N,рас,hár
11,Schnurrbart::N,михъ,yfirskegg
12,Bart::N,мегеж,skegg
13,Kinn::N,нилъу,haka
14,Kiefer[Anatomie]::N,чанагъ,kjálki
15,Kiefer[Anatomie]::N,чанагъ,skoltur
16,Kehle::N,щекъер,kverk
17,Hals::N,габур,háls
18,Genick::N,гъванща,hnakki
19,Kopf::N,бетӏер,höfuð
20,Rücken::N,мугъ,hryggur
21,Bauch::N,чехь,kviður
22,Nabel::N,цӏину,nafli
23,Busen::N,керен,barmur
24,Brust::N,керен,brjóst
25,Schulter::N,гъажазубетӏер,öxl
26,Arm::N,гъеж,armur
27,Ellenbogen::N,гӏункӏрукь,olnbogi
28,Hand::N,квер,hönd
29,Handfläche::N,огъохъат,lófi
30,Handfläche::N,жанисахъат,lófi
31,Finger::N,килищ,fingur
32,Fingernagel::N,малъ,fingurnögl
33,Nagel[Anatomie]::N,малъ,nögl
34,Zeh::N,килищ,tá
35,Fuß::N,хӏетӏ,fótur
36,Fuß::N,хӏетӏе,fótur
37,Ferse::N,эгъе,hæll
38,Knie::N,наку,kné
39,Oberschenkel::N,мачӏ,læri
40,Bein::N,бох,fótleggur
41,Körper::N,къаркъала,búkur
42,Körper::N,къаркъала,líkami
43,Haut::N,тӏом,húð
44,Haut::N,тӏом,skinn
45,Blut::N,би,blóð
46,Ader::N,бидурихь,æð
47,Knochen::N,ракьа,bein
48,Gehirn::N,гӏадалнах,heili
49,Herz::N,ракӏ,hjarta
50,Magen::N,кванирукъ,magi
51,Leber::N,тӏул,lifur
52,Atem::N,хӏухь,andi
53,Atem::N,хӏухь,andardráttur
54,Hunger::N,ракъи,hungur
55,Träne::N,магӏу,tár
56,Geschmack::N,тату,smekkur
57,Geruch::N,махӏ,lykt
58,Schlaf::N,макьу,svefn
59,Traum::N,макьу,draumur
60,Himmel::N,зоб,himinn
61,Sonne::N,бакъ,sól
62,Mond::N,моцӏ,tungl
63,Stern::N,цӏва,stjarna
64,Luft::N,гьава,loft
65,Wind::N,гьури,vindur
66,Welle::N,карачел,alda
67,Welle::N,карачел,bylgja
68,Wasser::N,лъим,vatn
69,Stein::N,гьецӏо,steinn
70,Boden::N,ракь,botn
71,Erde::N,ракь,jörð
72,Erde::N,дуниял,jörð
73,Staub::N,хӏур,ryk
74,Staub::N,хӏур,duft
75,Rauch::N,кӏкӏуй,reykur
76,Feuer::N,цӏа,eldur
77,Licht::N,канлъи,ljós
78,Schatten::N,рагӏад,skuggi
79,Wetter::N,гьава-бакъ,veður
80,Nebel::N,гӏодобнакӏкӏ,þoka
81,Wolke::N,накӏкӏ,ský
82,Regen::N,цӏад,regn
83,Schnee::N,гӏазу,snjór
84,Eis::N,цӏер,ís
85,Frost::N,замгьари,frost
86,Kälte::N,квач,kuldi
87,Hitze::N,багӏари,hiti
88,Raureif::N,мартӏ,hrím
89,Regenbogen::N,нур,regnbogi
90,Regenbogen::N,чамбара,regnbogi
91,Donner::N,гъугъай,þruma
92,Donner::N,гъугъади,þruma
93,Strömung::N,чвахи,straumur
94,Tropfen::N,резел,dropi
95,Tropfen::N,тӏинкӏ,dropi
96,Tropfen::N,къатӏра,dropi
97,Tropfen::N,тӏенкӏел,dropi
98,Schaum::N,полоп,froða
99,Schmutz::N,чороклъи,óhreinindi
100,See::N,хӏор,stöðuvatn
101,Sumpf::N,хьуцӏ,fen
102,Wiese::N,мегъ,engi
103,Wiese::N,гӏурдаллъи,engi
104,Wald::N,рохь,skógur
105,Hügel::N,гохӏ,hæð
106,Hügel::N,гохӏ,hóll
107,Anhöhe::N,сийитма,hæð
108,Anhöhe::N,сийитма,hóll
109,Berg::N,мегӏер,fell
110,Berg::N,мегӏер,fjall
111,Gipfel::N,тӏогь,tindur
112,Höhle::N,нохъо,hellir
113,Abhang::N,лабаллъи,hlíð
114,Abhang::N,лабаллъи,brekka
115,Quelle::N,ицц,lind
116,Quelle::N,ицц,uppspretta
117,Bach::N,лъар,lækur
118,Fluss::N,гӏор,á
119,Fluss::N,гӏор,fljót
120,Ufer::N,рагӏал,árbakki
121,Ufer::N,рагӏал,sjávarbakki
122,Küste::N,рагӏал,strönd
123,Festland::N,ракь,meginland
124,Festland::N,ракъдаллъи,meginland
125,Meer::N,ралъад,haf
126,Meer::N,ралъад,sjór
127,Bucht::N,кӏветӏ,vík
128,Insel::N,чӏинкӏиллъи,eyja
129,Blume::N,тӏегь,blóm
130,Gras::N,хер,gras
131,Wurzel::N,кьибил,rót
132,Baum::N,гъветӏ,tré
133,Stamm::N,рохти,stofn
134,Rinde::N,макъар,börkur
135,Ast::N,ноцӏ,grein
136,Zweig::N,гӏаркьел,angi
137,Zweig::N,гӏаркьел,kvistur
138,Blatt::N,тӏамах,blað
139,Birke::N,мах,birki
140,Birke::N,махигъветӏ,birki
141,Kiefer[Baum]::N,накӏкӏигъветӏ,fura
142,Weide[Baum]::N,рицӏцӏ,víðir
143,Weide[Baum]::N,рицӏцӏигъветӏ,víðir
144,Tanne::N,ёлка,greni
145,Horn::N,лълъар,horn
146,Feder::N,хӏули,fjöður
147,Fell::N,тӏом,skinn
148,Fell::N,цӏоко,skinn
149,Flügel::N,кваркьи,vængur
150,Klaue::N,галъ,kló
151,Kralle::N,квачӏ,kló
152,Kralle::N,катиквачӏ,kló
153,Schwanz::N,рачӏ,rófa
154,Schwanz::N,рачӏ,skott
155,Ei::N,хоно,egg
156,Nest::N,бусен,hreiður
157,Bau::N,каратӏ,greni
158,Bau::N,каратӏ,bæli
159,Tier::N,хӏайван,dýr
160,Herde::N,рехъен,hjörð
161,Herde::N,рехъед,hjörð
162,Kuh::N,гӏака,kýr
163,Bulle::N,оц,boli
164,Pferd::N,чу,hestur
165,Schaf::N,чахъу,kind
166,Schwein::N,болъон,svín
167,Hund::N,гьой,hundur
168,Katze::N,кету,köttur
169,Bär::N,ци,björn
170,Eichhörnchen::N,гвангва,íkorni
171,Fuchs::N,цер,refur
