,Concept_ID,ro,ml
0,Auge::N,ochi,കണ്ണ്
1,Ohr::N,ureche,ചെവി
2,Nase::N,nas,മൂക്ക്
3,Mund::N,gură,വായ
4,Zahn::N,dinte,പല്ല്
5,Zunge::N,limbă,നാക്ക്
6,Lippe::N,buză,ചുണ്ട്
7,Wange::N,bucă,കവിൾത്തടം
8,Wange::N,obraz,കവിൾത്തടം
9,Gesicht::N,față,മുഖം
10,Gesicht::N,figură,മുഖം
11,Stirn::N,frunte,നെറ്റി
12,Haar::N,păr,തലമുടി
13,Schnurrbart::N,mustață,മീശ
14,Bart::N,barbă,താടിരോമം
15,Kinn::N,bărbie,താടി
16,Kiefer[Anatomie]::N,falcă,താടിയെല്ല്
17,Kehle::N,beregată,കണ്ഠനാളം
18,Hals::N,gât,കഴുത്ത്
19,Genick::N,ceafă,പിടലി
20,Kopf::N,cap,തല
21,Rücken::N,dos,മുതുക്
22,Rücken::N,spate,മുതുക്
23,Rücken::N,spinare,മുതുക്
24,Bauch::N,burtă,നയറ്
25,Bauch::N,pântece,നയറ്
26,Nabel::N,buric,നാഭി
27,Busen::N,sân,സ്തനം
28,Brust::N,piept,സ്തനം
29,Schulter::N,umăr,തോൾ
30,Schulter::N,spate,തോൾ
31,Arm::N,braț,കൈ
32,Ellenbogen::N,cot,കൈമുട്ട്
33,Hand::N,mână,കൈ
34,Handfläche::N,palmă,ഉള്ളം കൈ
35,Finger::N,deget,വിരൽ
36,Fingernagel::N,unghie,നഖം
37,Nagel[Anatomie]::N,unghie,നഖം
38,Zeh::N,deget de la picior,കാൽവിരൽ
39,Fuß::N,picior,കാൽപ്പാദം
40,Ferse::N,călcâi,ഉപ്പൂറ്റി
41,Knie::N,genunchi,കാൽമുട്ട്
42,Oberschenkel::N,coapsă,തുട
43,Bein::N,picior,കാൽ
44,Körper::N,corp,ശരീരം
45,Haut::N,piele,ചർമ്മം
46,Blut::N,sânge,രക്തം
47,Ader::N,vână,ഞരമ്പ്
48,Ader::N,arteră,ഞരമ്പ്
49,Sehne::N,tendon,സ്നായു
50,Knochen::N,os,അസ്ഥി
51,Gehirn::N,creier,തലച്ചോറ്
52,Herz::N,inimă,ഹൃദയം
53,Magen::N,stomac,വയർ
54,Leber::N,ficat,കരൾ
55,Atem::N,răsuflare,ശ്വാസം
56,Atem::N,respirație,ശ്വാസം
57,Hunger::N,foame,വിശപ്പ്
58,Träne::N,lacrimă,കണ്ണീർ
59,Geschmack::N,gust,രുചി
60,Geruch::N,miros,ഗന്ധം
61,Schlaf::N,somn,ഉറകും
62,Traum::N,vis,സ്വപ്നം
63,Himmel::N,cer,ആകാശം
64,Sonne::N,soare,സൂര്യൻ
65,Mond::N,lună,ചന്ദ്രൻ
66,Stern::N,stea,നക്ഷത്രം
67,Luft::N,aer,കാറ്റ്
68,Wind::N,vânt,കാറ്റ്
69,Welle::N,val,തിരമാല
70,Welle::N,undă,തിരമാല
71,Wasser::N,apă,വെള്ളം
72,Stein::N,piatră,ശില
73,Stein::N,piatră,കല്ല്
74,Boden::N,sol,തറ
75,Boden::N,sol,നിലം
76,Boden::N,pământ,തറ
77,Boden::N,pământ,നിലം
78,Erde::N,pământ,മണ്ണ്
79,Staub::N,praf,പൊടി
80,Rauch::N,fum,പുക
81,Funke::N,scânteie,തീപ്പൊരി
82,Feuer::N,foc,തീ
83,Licht::N,lumină,വിളക്ക്
84,Licht::N,lumină,സൂര്യപ്രകാശം
85,Schatten::N,umbră,തണൽ
86,Wetter::N,timp,കാലാവസ്ഥ
87,Wetter::N,vreme,കാലാവസ്ഥ
88,Nebel::N,ceață,മൂടൽമഞ്ഞ്
89,Nebel::N,negură,മൂടൽമഞ്ഞ്
90,Wolke::N,nor,മേഘം
91,Regen::N,ploaie,മഴ
92,Schnee::N,zăpadă,മഞ്ഞ്
93,Eis::N,gheață,ഐസ്
94,Frost::N,ger,മൂടൽമഞ്ഞ്
95,Kälte::N,frig,തണുപ്പ്
96,Hitze::N,arșiță,ചൂട്
97,Hitze::N,căldură,ചൂട്
98,Raureif::N,chiciură,കോടമഞ്ഞ്
99,Regenbogen::N,curcubeu,മഴവില്ല്
100,Donner::N,tunet,ഇടി
101,Strömung::N,curent,പ്രവാഹം
102,Tropfen::N,picătură,തുള്ളി
103,Schaum::N,spumă,നുര
104,Schmutz::N,murdărie,അഴുക്ക്
105,See::N,lac,തടാകം
106,Sumpf::N,mlaștină,ചതുപ്പുനിലം
107,Moor::N,bărăgan,പാഴ്നിലം
108,Wiese::N,fânaț,പുൽത്തകിടി
109,Wiese::N,livadă,പുൽത്തകിടി
110,Wald::N,codru,വനം
111,Wald::N,codru,കാട്
112,Wald::N,pădure,വനം
113,Wald::N,pădure,കാട്
114,Hügel::N,deal,കുന്ന്
115,Hügel::N,movilă,കുന്ന്
116,Anhöhe::N,deal,ഉയർന്ന ഭൂമി
117,Anhöhe::N,ridicătură,ഉയർന്ന ഭൂമി
118,Berg::N,munte,പർവ്വതം
119,Gipfel::N,pisc,ഉച്ചകോടി
120,Höhle::N,peșteră,ഗുഹ
121,Abhang::N,pantă,ചരിവ്
122,Abhang::N,versant,ചരിവ്
123,Quelle::N,izvor,ഉറവിടം
124,Bach::N,gârlă,അരുവി
125,Fluss::N,râu,നദി
126,Fluss::N,fluviu,നദി
127,Ufer::N,mal,തീരം
128,Ufer::N,țărm,തീരം
129,Küste::N,coastă,കടൽത്തീരം
130,Festland::N,uscat,കര
131,Meer::N,mare,കടൽ
132,Bucht::N,golf,ഉൾക്കടല്
133,Insel::N,insulă,ദ്വീപ്
134,Blume::N,floare,പൂവ്
135,Gras::N,iarbă,പുല്ല്
136,Wurzel::N,rădăcină,വേര്
137,Baum::N,copac,മരം
138,Baum::N,arbore,മരം
139,Stamm::N,tulpină,തായ്ത്തടി
140,Rinde::N,scoarță,പട്ട
141,Ast::N,cracă,ശാഖ
142,Ast::N,creangă,ശാഖ
143,Zweig::N,ramură,ശാഖ
144,Zweig::N,creangă,ശാഖ
145,Blatt::N,frunză,ഇല
146,Birke::N,mesteacăn,പൂവരശ്
147,Kiefer[Baum]::N,pin,പൈൻമരം
148,Weide[Baum]::N,salcie,വില്ലോ
149,Weide[Baum]::N,răchită,വില്ലോ
150,Tanne::N,brad,ദേവദാരു
151,Horn::N,corn,മൃഗത്തിൻറെ കൊമ്പ്
152,Feder::N,pană,തൂവൽ
153,Fell::N,piele,മൃദുരോമം
154,Flügel::N,aripă,ചിറക്
155,Klaue::N,gheară,നഖം
156,Kralle::N,labă,നഖം
157,Kralle::N,gheară,നഖം
158,Schwanz::N,coadă,വാൽ
159,Ei::N,ou,മുട്ട
160,Nest::N,cuib,കൂട്
161,Bau::N,bârlog,മാളം
162,Bau::N,vizuină,മാളം
163,Tier::N,animal,മൃഗം
164,Herde::N,turmă,കൂട്ടം
165,Herde::N,cireadă,കൂട്ടം
166,Kuh::N,vacă,പശു
167,Bulle::N,taur,കാള
168,Pferd::N,cal,കുതിര
169,Schaf::N,oaie,ആട്
170,Schwein::N,porc,പന്നി
171,Hund::N,câine,നായ്
172,Katze::N,pisică,പൂച്ച
173,Bär::N,urs,കരടി
174,Eichhörnchen::N,veveriță,അണ്ണാൻ
175,Elch::N,elan,കടമാന്
176,Fuchs::N,vulpe,കുറുക്കൻ
177,Hase::N,iepure,മുയൽ
178,Maus::N,șoarece,ചുണ്ടലി
179,Wolf::N,lup,ചെന്നായ
180,Vogel::N,pasăre,പക്ഷി
181,Schwarm::N,cârd,കൂട്ടം
182,Huhn::N,găină,കോഴി
183,Hahn::N,cocoș,പൂവൻകോഴി
184,Gans::N,gâscă,അരയന്നം
185,Adler::N,vultur,കഴുകൻ
186,Ente::N,rață,താറാവ്
187,Eule::N,bufniță,മൂങ്ങ
188,Kranich::N,cocor,കൊക്ക്
189,Krähe::N,cioară,കാക്ക
190,Kuckuck::N,cuc,കുയിൽ
191,Schwan::N,lebădă,അരയന്നം
192,Fisch::N,pește,മത്സ്യം
193,Barsch::N,biban,ഒരിനം മത്സ്യം
194,Hecht::N,știucă,ഒരു മത്സ്യം
195,Schlange[Tier]::N,șarpe,പാമ്പ്
196,Wurm::N,vierme,വിര
197,Spinne::N,păianjen,ചിലന്തി
198,Ameise::N,furnică,ഉറുമ്പ്
199,Laus::N,păduche,പേന്
200,Mücke::N,țânțar,മശകം
201,Fliege::N,muscă,ഈച്ച
202,Schmetterling::N,fluture,ചിത്രശലഭം
203,Beere::N,boabă,ബെറി
204,Apfel::N,măr,ആപ്പിൾ
205,Pilz::N,burete,കൂൺ
206,Pilz::N,ciupercă,കൂൺ
207,Zwiebel::N,ceapă,സവാള
208,Saat::N,semănătură,വിത്ത്
209,Korn::N,grâu,ധാന്യം
210,Heu::N,fân,വയ്ക്കോൽ
211,Schale::N,coajă,തൊലി
212,Grube::N,groapă,കുഴി
213,Falle::N,cursă,കെണി
214,Falle::N,capcană,കെണി
