,Concept_ID,uk,fa
0,Auge::N,око,چشم
1,Ohr::N,вухо,گوش
2,Nase::N,ніс,بینی
3,Mund::N,рот,دهان
4,Zahn::N,зуб,دندان
5,Zunge::N,язик,زبان
6,Lippe::N,губа,لب
7,Wange::N,щока,لپ
8,Gesicht::N,обличчя,رو
9,Gesicht::N,обличчя,چهره
10,Stirn::N,лоб,پیشانی
11,Haar::N,волосся,مو
12,Schnurrbart::N,вуса,سبیل
13,Bart::N,борода,ریش
14,Kinn::N,підборіддя,چانه
15,Kiefer[Anatomie]::N,щелепа,فک
16,Kiefer[Anatomie]::N,щелепа,آرواره
17,Kehle::N,горло,حلق
18,Hals::N,шия,گردن
19,Genick::N,потилиця,پشت گردن
20,Kopf::N,голова,سر
21,Kopf::N,голова,کله
22,Rücken::N,спина,پشت
23,Bauch::N,живіт,شکم
24,Nabel::N,пупок,ناف
25,Busen::N,груди,پستان
26,Brust::N,груди,سینه
27,Schulter::N,плече,دوش
28,Schulter::N,плече,شانه
29,Arm::N,рука,بازو
30,Ellenbogen::N,лікоть,آرنج
31,Hand::N,рука,دست
32,Handfläche::N,долоня,کف دست
33,Finger::N,палець,انگشت
34,Fingernagel::N,ніготь,ناخن دست
35,Nagel[Anatomie]::N,ніготь,ناخن
36,Zeh::N,палець на нозі,انگشت پا
37,Fuß::N,нога,پا
38,Ferse::N,п’ятка,پاشنه
39,Knie::N,коліно,زانو
40,Oberschenkel::N,стегно,ران
41,Bein::N,нога,پا
42,Bein::N,нога,لنگ
43,Körper::N,тіло,تن
44,Körper::N,тіло,بدن
45,Haut::N,шкіра,پوست
46,Blut::N,кров,خون
47,Ader::N,вена,رگ
48,Sehne::N,сухожилля,زردپی
49,Knochen::N,кістка,استخوان
50,Gehirn::N,мозок,مخ
51,Gehirn::N,мозок,مغز
52,Herz::N,серце,دل
53,Herz::N,серце,قلب
54,Magen::N,шлунок,معده
55,Leber::N,печінка,کبد
56,Atem::N,дихання,نفس
57,Hunger::N,голод,گرسنگی
58,Träne::N,сльоза,اشک
59,Geschmack::N,смак,مزه
60,Geruch::N,запах,بو
61,Schlaf::N,сон,خواب
62,Schlaf::N,сплячка,خواب
63,Traum::N,сон,رؤیا
64,Himmel::N,небо,فلک
65,Himmel::N,небо,آسمان
66,Sonne::N,сонце,آفتاب
67,Sonne::N,сонце,خورشید
68,Mond::N,місяць,ماه
69,Stern::N,зірка,ستاره
70,Luft::N,повітря,هوا
71,Wind::N,вітер,باد
72,Welle::N,хвиля,موج
