,Concept_ID,tr,pt
0,Auge::N,göz,olho
1,Ohr::N,kulak,orelha
2,Nase::N,burun,nariz
3,Mund::N,ağız,boca
4,Zahn::N,diş,dente
5,Zunge::N,dil,língua
6,Lippe::N,dudak,lábio
7,Wange::N,yanak,face
8,Gesicht::N,yüz,cara
9,Gesicht::N,yüz,rosto
10,Stirn::N,alın,testa
11,Haar::N,saç,cabelo
12,Schnurrbart::N,bıyık,bigode
13,Bart::N,sakal,barba
14,Kinn::N,çene,queixo
15,Kiefer[Anatomie]::N,çene,maxila
16,Kiefer[Anatomie]::N,çene,mandíbula
17,Kehle::N,boğaz,garganta
18,Hals::N,boyun,colo
19,Hals::N,boyun,pescoço
20,Hals::N,gerdan,colo
21,Hals::N,gerdan,pescoço
22,Genick::N,ense,nuca
23,Kopf::N,baş,cabeça
24,Kopf::N,kafa,cabeça
25,Rücken::N,arka,dorso
26,Rücken::N,arka,costas
27,Bauch::N,karın,ventre
28,Bauch::N,karın,barriga
29,Nabel::N,göbek,umbigo
30,Busen::N,koyun,seio
31,Brust::N,göğüs,peito
32,Schulter::N,omuz,ombro
33,Arm::N,kol,braço
34,Ellenbogen::N,dirsek,cotovelo
35,Hand::N,el,mão
36,Handfläche::N,avuç,palma
37,Handfläche::N,avuç,palma da mão
38,Handfläche::N,el ayası,palma
39,Handfläche::N,el ayası,palma da mão
40,Finger::N,parmak,dedo
41,Fingernagel::N,el tırnağı,unha
42,Nagel[Anatomie]::N,tırnak,unha
43,Zeh::N,ayak parmağı,dedo do pé
44,Fuß::N,ayak,pé
45,Ferse::N,topuk,calcanhar
46,Knie::N,diz,joelho
47,Oberschenkel::N,uyluk,coxa
48,Bein::N,bacak,perna
49,Körper::N,vücut,corpo
50,Haut::N,cilt,pele
51,Blut::N,kan,sangue
52,Ader::N,damar,veia
53,Sehne::N,kiriş,tendão
54,Knochen::N,kemik,osso
55,Gehirn::N,beyin,cérebro
56,Herz::N,kalp,coração
57,Herz::N,yürek,coração
58,Magen::N,mide,estômago
59,Leber::N,karaciğer,fígado
60,Atem::N,nefes,fôlego
61,Hunger::N,açlık,fome
62,Träne::N,gözyaşı,lágrima
63,Geschmack::N,tat,gosto
64,Geschmack::N,lezzet,gosto
65,Geruch::N,koku,odor
66,Geruch::N,koku,cheiro
67,Schlaf::N,uyku,sono
68,Traum::N,düş,sonho
69,Traum::N,rüya,sonho
70,Himmel::N,gök,céu
71,Sonne::N,güneş,sol
72,Mond::N,ay,lua
73,Stern::N,yıldız,estrela
74,Luft::N,hava,ar
75,Wind::N,yel,vento
76,Wind::N,rüzgâr,vento
77,Welle::N,dalga,onda
78,Wasser::N,su,água
79,Stein::N,taş,pedra
80,Boden::N,yer,solo
81,Boden::N,zemin,solo
82,Erde::N,toprak,terra
83,Staub::N,toz,pó
84,Rauch::N,duman,fumo
85,Funke::N,kıvılcım,faísca
86,Funke::N,kıvılcım,centelha
87,Feuer::N,ateş,fogo
88,Licht::N,ışık,luz
89,Schatten::N,gölge,sombra
90,Wetter::N,hava,tempo
91,Nebel::N,pus,nevoeiro
92,Wolke::N,bulut,nuvem
93,Regen::N,yağmur,chuva
94,Schnee::N,kar,neve
95,Eis::N,buz,gelo
96,Frost::N,don,gelo
97,Frost::N,don,geada
98,Kälte::N,soğukluk,frio
99,Hitze::N,sıcaklık,ardor
100,Raureif::N,kırç,geada
101,Regenbogen::N,gökkuşağı,arco-iris
102,Donner::N,gök gürlemesi,trovão
103,Strömung::N,akıntı,corrente
104,Strömung::N,cereyan,corrente
105,Tropfen::N,damla,gota
106,Schaum::N,köpük,espuma
107,Schmutz::N,çamur,sujidade
108,Schmutz::N,çamur,imundície
109,Schmutz::N,pislik,sujidade
110,Schmutz::N,pislik,imundície
111,See::N,göl,lago
112,Sumpf::N,batak,charco
113,Sumpf::N,batak,pântano
114,Moor::N,cılgıt,pântano
115,Wiese::N,çimen,prado
116,Wald::N,koru,bosque
117,Wald::N,koru,floresta
118,Wald::N,orman,bosque
119,Wald::N,orman,floresta
120,Hügel::N,tepe,colina
121,Anhöhe::N,tümsek,alto
122,Anhöhe::N,tümsek,outeiro
123,Anhöhe::N,yükseklik,alto
124,Anhöhe::N,yükseklik,outeiro
125,Berg::N,dağ,monte
126,Berg::N,dağ,montanha
127,Gipfel::N,zirve,pico
128,Höhle::N,in,caverna
129,Höhle::N,mağara,caverna
130,Abhang::N,bayır,encosta
131,Quelle::N,pınar,fonte
132,Quelle::N,kaynak,fonte
133,Bach::N,çay,regato
134,Bach::N,çay,ribeiro
135,Bach::N,dere,regato
136,Bach::N,dere,ribeiro
137,Fluss::N,nehir,rio
138,Ufer::N,kıyı,beira
139,Ufer::N,sahil,beira
140,Küste::N,kıyı,costa
141,Küste::N,sahil,costa
142,Festland::N,kara,terra firme
143,Meer::N,deniz,mar
144,Bucht::N,koy,baía
145,Bucht::N,körfez,baía
146,Insel::N,ada,ilha
147,Blume::N,çiçek,flor
148,Gras::N,ot,erva
149,Gras::N,çim,erva
150,Wurzel::N,kök,raiz
151,Baum::N,ağaç,árvore
152,Stamm::N,gövde,tronco
153,Rinde::N,kabuk,casca
154,Ast::N,dal,ramo
155,Ast::N,budak,ramo
156,Zweig::N,dal,galho
157,Blatt::N,yaprak,folha
158,Birke::N,huş,bétula
159,Kiefer[Baum]::N,çam,pinheiro
160,Weide[Baum]::N,söğüt,salgueiro
161,Tanne::N,çam,abeto
162,Tanne::N,köknar,abeto
163,Horn::N,boynuz,corno
164,Horn::N,boynuz,chifre
165,Feder::N,tüy,pena
166,Fell::N,post,pele
167,Flügel::N,kanat,asa
168,Klaue::N,pençe,pata
169,Kralle::N,tırnak,unha
170,Kralle::N,tırnak,garra
171,Schwanz::N,kuyruk,rabo
172,Schwanz::N,kuyruk,cauda
173,Ei::N,yumurta,ovo
174,Nest::N,yuva,ninho
175,Bau::N,in,toca
176,Bau::N,in,covil
177,Tier::N,hayvan,animal
178,Herde::N,sürü,rebanho
179,Kuh::N,inek,vaca
180,Bulle::N,boğa,touro
181,Pferd::N,at,cavalo
182,Pferd::N,beygir,cavalo
183,Schaf::N,koyun,ovelha
184,Schwein::N,domuz,porco
185,Hund::N,it,cão
186,Hund::N,köpek,cão
187,Katze::N,kedi,gata
188,Bär::N,ayı,urso
189,Eichhörnchen::N,sincap,esquilo
190,Elch::N,büyük kuzey geyiği,alce
191,Fuchs::N,tilki,raposa
192,Hase::N,tavşan,lebre
193,Maus::N,fare,rato
194,Maus::N,sıçan,rato
195,Wolf::N,kurt,lobo
196,Vogel::N,kuş,ave
197,Vogel::N,kuş,pássaro
198,Schwarm::N,sürü,bando
199,Schwarm::N,sürü,enxame
200,Huhn::N,tavuk,galinha
201,Hahn::N,horoz,galo
202,Gans::N,kaz,ganso
203,Adler::N,kartal,águia
204,Adler::N,karakuş,águia
205,Ente::N,ördek,pata
206,Eule::N,baykuş,mocho
207,Eule::N,baykuş,coruja
208,Kranich::N,turna,grou
209,Krähe::N,karga,gralha
210,Kuckuck::N,guguk,cuco
211,Schwan::N,kuğu,cisne
212,Fisch::N,balık,peixe
213,Barsch::N,hani,perca
214,Barsch::N,levrek,perca
215,Hecht::N,turnabalığı,lúcio
216,Schlange[Tier]::N,yılan,serpente
217,Wurm::N,kurt,verme
218,Wurm::N,solucan,verme
219,Spinne::N,örümcek,aranha
220,Ameise::N,karınca,formiga
221,Laus::N,bit,piolho
222,Mücke::N,sivrisinek,mosquito
223,Fliege::N,sinek,mosca
224,Schmetterling::N,kelebek,borboleta
225,Beere::N,tane,bago
226,Apfel::N,elma,maçã
227,Pilz::N,mantar,fungo
228,Pilz::N,mantar,cogumelo
229,Zwiebel::N,soğan,cebola
230,Saat::N,ekin,sementeira
231,Korn::N,tane,grão
232,Heu::N,kuru ot,feno
