,Concept_ID,mhr,uz
0,Auge::N,шинча́,ko'z
1,Ohr::N,пы́лыш,quloq
2,Nase::N,нер,burun
3,Mund::N,умша́,og'iz
4,Zahn::N,пӱй,tish
5,Zunge::N,йы́лме,til
6,Lippe::N,тӱ́рвӧ,dudoq
7,Wange::N,шӱ́ргӧ,bet
8,Gesicht::N,чури́й,yuz
9,Stirn::N,саҥга́,manglay
10,Haar::N,ӱп,soch
11,Schnurrbart::N,ӧ́рыш,mo'ylov
12,Bart::N,понда́ш,soqol
13,Kinn::N,оҥыла́ш,ängak
14,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,iyak
15,Kiefer[Anatomie]::N,пӱйората́,iyak
16,Kehle::N,лога́р,bo'g'iz
17,Hals::N,шӱй,bo'yin
18,Genick::N,шӱйло́дыш,gardan
19,Kopf::N,вуй,bosh
20,Rücken::N,туп,orqa
21,Bauch::N,мӱ́шкыр,qorin
22,Nabel::N,кы́лымде,kindik
23,Busen::N,чы́зе,ämchak
24,Brust::N,оҥ,ko'krak
25,Schulter::N,ва́че,elka
26,Arm::N,кид,bilak
27,Ellenbogen::N,кынерву́й,tirsak
28,Hand::N,кид,qo'l
29,Hand::N,копа́,qo'l
30,Handfläche::N,со́во,kaft
31,Finger::N,парня́,barmoq
32,Fingernagel::N,кидкӱ́ч,tirnoq
33,Fingernagel::N,парнягӱ́ч,tirnoq
34,Nagel[Anatomie]::N,кӱч,tirnoq
35,Zeh::N,йолварня́,oyoq barmog'i
36,Fuß::N,йол,oyoq
37,Fuß::N,йолкопа́,oyoq
38,Ferse::N,тага́н,tovon
39,Knie::N,пулву́й,tiz
40,Oberschenkel::N,э́рде,son
41,Bein::N,йол,oyoq
42,Körper::N,кап,badna
43,Haut::N,кова́ште,teri
44,Blut::N,вӱр,qon
45,Ader::N,шӧн,qon tomir
46,Sehne::N,шӧн,tomir
47,Sehne::N,кӱсе́н,tomir
48,Knochen::N,лу,suyak
49,Gehirn::N,вем,miya
50,Gehirn::N,вуйве́м,miya
51,Herz::N,шӱм,qalb
52,Magen::N,пага́р,oshqozon
53,Leber::N,мокш,bag'ir
54,Atem::N,шӱ́лыш,dam
55,Hunger::N,шужыма́ш,ochlik
56,Träne::N,шинчавӱ́д,yosh
57,Geschmack::N,там,tam
58,Geruch::N,пуш,jid
59,Schlaf::N,о́мо,uyqu
60,Traum::N,йӱдо́мо,tush
61,Himmel::N,кава́,osmon
62,Sonne::N,ке́че,quyosh
63,Mond::N,ты́лзе,oy
64,Stern::N,шӱ́дыр,yulduz
65,Luft::N,юж,havo
66,Wind::N,марде́ж,el
67,Welle::N,то́лкын,to'lqin
68,Wasser::N,вӱд,suv
69,Stein::N,кӱ,tosh
70,Boden::N,рок,tuproq
71,Erde::N,мла́нде,er
72,Staub::N,пура́к,chang
73,Rauch::N,шикш,tutun
74,Funke::N,сеске́м,yalt
75,Funke::N,тулйы́п,yalt
76,Feuer::N,тул,o't
77,Licht::N,со́то,yorug'
78,Schatten::N,ӱ́мыл,soya
79,Wetter::N,иге́че,havo
80,Nebel::N,тӱтыра́,tuman
81,Wolke::N,пыл,bulut
82,Regen::N,йӱр,yomg'ir
83,Schnee::N,лум,qor
84,Eis::N,ий,muz
85,Frost::N,чатлама́,ajoz
86,Kälte::N,йӱ́штӧ,ajoz
87,Hitze::N,шо́кшо,issiq
88,Raureif::N,пӧрш,qirov
89,Raureif::N,по́кшым,qirov
90,Regenbogen::N,шонанпы́л,kamalak
91,Donner::N,кӱ́дырчӧ,guldur
92,Strömung::N,йо́гын,oqim
93,Tropfen::N,чӱча́лтыш,tomchi
94,Schaum::N,шоҥ,ko'pik
95,Schmutz::N,лавыра́,gard
96,See::N,ер,ko'l
97,Sumpf::N,лӱ́кӧ,botqoq
98,Moor::N,куп,qir-adir
99,Wiese::N,о́лык,o'tzor
100,Wald::N,чодыра́,o'rmon
101,Hügel::N,арка́,tepa
102,Anhöhe::N,тӧва́,adir
103,Anhöhe::N,кӱкшака́,adir
104,Berg::N,ку́рык,tog'
105,Gipfel::N,чаҥга́,cho'qqi
106,Gipfel::N,курыкву́й,cho'qqi
107,Höhle::N,пеще́р,kavak
108,Höhle::N,курыкпо́мыш,kavak
109,Abhang::N,та́йыл,to'sh
110,Quelle::N,важ,buloq
111,Quelle::N,вӱдшинча́,buloq
112,Bach::N,изэҥе́р,o'zan
113,Fluss::N,эҥе́р,daryo
114,Ufer::N,сер,sohil
115,Küste::N,вӱдтӱ́р,qirg'oq
116,Festland::N,мла́нде,materik
117,Meer::N,те́ҥыз,dengiz
118,Bucht::N,икса́,qo'ltiq
119,Insel::N,отро́,orol
120,Blume::N,пеле́дыш,gul
121,Gras::N,шу́до,sabza
122,Wurzel::N,вож,tub
123,Wurzel::N,вож,tomir
124,Baum::N,пуше́ҥге,daraxt
125,Stamm::N,йы́тыр,o'simta
126,Rinde::N,шӱм,qobiq
127,Ast::N,укш,shox
128,Zweig::N,торма́к,butoq
129,Blatt::N,лышта́ш,barg
130,Birke::N,куэ́,qayin
131,Kiefer[Baum]::N,пӱ́нчӧ,qarag'ay
132,Weide[Baum]::N,уа́,shum
133,Tanne::N,кож,archa
134,Horn::N,шур,mugiz
135,Feder::N,пы́стыл,par
136,Fell::N,кова́ште,mo'yna
137,Flügel::N,шу́лдыр,qanot
138,Klaue::N,кӱч,tirnoq
139,Kralle::N,ла́па,tirnoq
140,Kralle::N,копа́,tirnoq
141,Schwanz::N,поч,quyruq
142,Ei::N,му́но,tuxum
143,Nest::N,пыжа́ш,oshyon
144,Bau::N,пыжа́ш,o'pqon
145,Tier::N,я́нлык,hayvon
146,Tier::N,живо́тный,hayvon
147,Herde::N,кӱ́тӱ,gala
148,Herde::N,тӱшка́,gala
149,Kuh::N,ушка́л,inak
150,Bulle::N,ӱ́шкыж,ho'kiz
151,Pferd::N,и́мне,ot
152,Schaf::N,шо́рык,qo'y
153,Schwein::N,сӧсна́,cho'chqa
154,Hund::N,пий,it
155,Katze::N,пы́рыс,mushuk
156,Bär::N,маска́,ayiq
157,Eichhörnchen::N,ур,tiyin
158,Elch::N,шо́рдо,los
159,Fuchs::N,ры́выж,tulki
160,Hase::N,мера́ҥ,kuyon
161,Maus::N,коля́,sichqon
162,Wolf::N,пи́ре,bo'ri
163,Vogel::N,ка́йык,qush
164,Schwarm::N,каша́к,to'da
165,Huhn::N,чы́ве,tovuq
166,Hahn::N,агыта́н,xo'roz
167,Gans::N,ко́мбо,g'oz
168,Adler::N,карагу́ш,burgut
169,Ente::N,лу́до,o'rdak
170,Eule::N,тумна́,boyo'g'li
171,Kranich::N,турня́,turna
172,Krähe::N,кора́к,qarg'a
173,Kuckuck::N,куку́,kakku
174,Schwan::N,йӱ́ксӧ,oqkush
175,Fisch::N,кол,baliq
176,Barsch::N,ола́ҥге,olabug'a
177,Hecht::N,нуж,cho'rtan
178,Hecht::N,чорта́н,cho'rtan
179,Schlange[Tier]::N,ки́шке,ilon
180,Wurm::N,шукш,qurt
181,Spinne::N,эҥыре́мыш,o'rgimchak
182,Ameise::N,ку́тко,chumoli
183,Laus::N,тий,bit
184,Mücke::N,шыҥа́,chivin
185,Fliege::N,ка́рме,pashsha
186,Schmetterling::N,лы́ве,kapalak
187,Beere::N,мӧр,meva
188,Apfel::N,олма́,olma
189,Pilz::N,по́ҥго,qo'ziqorin
190,Zwiebel::N,шога́н,piyoz
191,Saat::N,нӧ́шмӧ,äkin
192,Saat::N,туш,äkin
193,Korn::N,шу́рно,zarra
194,Heu::N,шу́до,xashak
195,Schale::N,шӱм,po'choq
196,Grube::N,выне́м,co'ra
197,Falle::N,лӧ́дӧ,qopqon
198,Schlinge::N,о́птыш,sirtmoq
199,Schlinge::N,шӧрга́лтыш,sirtmoq
200,Spur::N,кыша́,iz
201,Asche::N,ло́мыж,kul
202,Dreck::N,лавыра́,kir
203,Eisen::N,кӱ́ртньӧ,temir
204,Gold::N,шӧ́ртньӧ,tilla
205,Silber::N,ший,kumush
206,Kohle::N,мландышӱ́й,ko'mir
207,Glas::N,янда́,oyna
208,Lehm::N,шун,loy
209,Sand::N,ошма́,qum
210,Mensch::N,еҥ,odam
211,Mensch::N,айде́ме,odam
212,Mann::N,пӧръе́ҥ,ärkak
213,Frau::N,ӱдырама́ш,ayol
214,Kind::N,аза́,bola
215,Kind::N,аза́,kichkintoy
216,Junge::N,рве́зе,bola
217,Mädchen::N,ӱдыра́ш,qiz
218,Familie::N,еш,oila
219,Großvater::N,коча́,buva
220,Großvater::N,коча́,katta ota
221,Großmutter::N,кова́,buvi
222,Großmutter::N,кова́,katta oyi
223,Eltern::N,ача́-ава́,ota-ona
224,Vater::N,ача́,ota
225,Mutter::N,ава́,ona
226,Sohn::N,э́рге,o'g'il
227,Tochter::N,ӱ́дыр,qiz
228,Bruder::N,иза́,og'a
229,Bruder::N,иза́,uka
230,Bruder::N,шо́льо,og'a
231,Bruder::N,шо́льо,uka
232,Schwester::N,ака́,opa
233,Schwester::N,ака́,singil
234,Onkel::N,иза́,amaki
235,Tante::N,кока́,amma
236,Tante::N,кока́,xola
237,Ehemann::N,мари́й,är
238,Ehefrau::N,ва́те,rafiqa
239,Freude::N,куа́н,ayish
240,Freude::N,куаныма́ш,ayish
241,Gelächter::N,во́штылтыш,kulgi
242,Glück::N,пиа́л,saodat
243,Kummer::N,о́йго,g'am
244,Wunsch::N,ку́мыл,orzu
245,Lust::N,ку́мыл,rag'bat
246,Geist::N,ӧрт,ruh
247,Geist::N,чон,ruh
248,Gedanke::N,ой,fikr
249,Gedanke::N,шоныма́ш,fikr
250,Gedächtnis::N,шарныма́ш,äs
251,Verstand::N,уш,aql
