,Concept_ID,mrj,te
0,Auge::N,сӹнзӓ,కన్ను
1,Ohr::N,пӹлӹш,చెవి
2,Nase::N,нер,ముక్కు
3,Mund::N,ышма,నోరు
4,Zahn::N,пӱ,పల్లు
5,Zunge::N,йӹлмӹ,నాలుక
6,Lippe::N,тӹрвӹ,పెదవి
7,Wange::N,шӹргӹ,చెంప
8,Gesicht::N,лицӓ,ముఖము
9,Stirn::N,лепкӓ,నుదురు
10,Haar::N,ӱп,వెండ్రుక
11,Schnurrbart::N,öрш,మీసము
12,Bart::N,пандаш,గడ్డము
13,Kinn::N,онгылаш,గడ్డము
14,Kiefer[Anatomie]::N,пӱ арата,దౌడ
15,Kehle::N,логер,గొంతు
16,Hals::N,шӱ,మెడ
17,Genick::N,ланга,మూపు
18,Kopf::N,вуй,తల
19,Rücken::N,туп,వెన్ను
20,Bauch::N,мӹшкӹр,కడుపు
21,Nabel::N,кӹлӹмдӹ,బొడ్డు
22,Busen::N,цӹзӹ,స్తనము
23,Brust::N,мел,ఱొమ్ము
24,Schulter::N,ӹнгӹжӓ,భుజము
25,Arm::N,кид,చేయి
26,Ellenbogen::N,кӹнервуй,మోచేయి
27,Hand::N,лапа,చేయి
28,Handfläche::N,кид лапа,అరచేయు
29,Finger::N,парня,చేతిప్రేలు
30,Fingernagel::N,кӹч,గోరు
31,Nagel[Anatomie]::N,кӹч,గోరు
32,Zeh::N,парня,కాలిప్రేలు
33,Fuß::N,ял лапа,అడుగు
34,Ferse::N,ялгавал,మడమ
35,Ferse::N,ял кавал,మడమ
36,Knie::N,пылвуй,మోకాలు
37,Oberschenkel::N,ӓрдӹ,తొడ
38,Bein::N,ял,కాలు
39,Körper::N,монгыр,కాయము
40,Haut::N,кавашты,చర్మము
41,Blut::N,вӹр,రక్తము
42,Ader::N,вӹршӓр,సిర
43,Sehne::N,кукшышӱн,స్నాయువు
44,Knochen::N,лу,ఎముక
45,Gehirn::N,вим,మెదడు
46,Herz::N,шӱм,హృదయము
47,Magen::N,шӱм,కడుపు
48,Leber::N,мокш,కాలేయము
49,Atem::N,шӱлӹш,ఉపిరి
50,Hunger::N,шужымаш,ఆకలి
51,Träne::N,сӹнзӓвӹд,కన్నీటిచుక్క
52,Geschmack::N,тот,రుచి
53,Geruch::N,пыш,వాసన
54,Schlaf::N,ом,నిద్ర
55,Traum::N,ом,కల
56,Himmel::N,пӹлгом,ఆకాశము
57,Sonne::N,кечӹ,సూర్యుడు
58,Mond::N,тӹлзӹ,చంద్రుడు
59,Stern::N,шӹдӹр,నక్షత్రము
60,Luft::N,юж,గాలి
61,Luft::N,воздух,గాలి
62,Wind::N,мардеж,వీచుచున్నగాలి
63,Welle::N,ко,అల
64,Welle::N,коэ,అల
65,Wasser::N,вӹд,నీరు
66,Stein::N,кӱ,ఱాయి
67,Boden::N,рок,నేల
68,Erde::N,свет,మన్ను
69,Staub::N,пырак,దుమ్ము
70,Rauch::N,шӹкш,పొగ
71,Funke::N,ип,అగ్నికణము
72,Funke::N,тылип,అగ్నికణము
73,Feuer::N,тыл,అగ్ని
74,Licht::N,соты,కాంతి
75,Licht::N,валгыды,కాంతి
76,Schatten::N,ӹмӹл,నీడ
77,Wetter::N,игечӹ,వాతావరణ స్థితి
78,Nebel::N,тӹтӹрӓ,పొగమంచు
79,Wolke::N,пӹл,మేఘము
80,Regen::N,юр,వాన
81,Schnee::N,лым,హిమము
82,Eis::N,и,మంచుగడ్డ
83,Frost::N,ӱштӹ,పేరిన మంచు
84,Kälte::N,ӱштӹ,చలి
85,Hitze::N,шокшы,వేడిమి
86,Raureif::N,пöрш,మంచు
87,Regenbogen::N,шанавӹл,ఇంద్రధనుస్సు
88,Donner::N,хӹдӹртӹш,ఉరుము
89,Strömung::N,йогы,ప్రవాహము
90,Tropfen::N,капльы,చుక్క
91,Tropfen::N,капльык,చుక్క
92,Schaum::N,шонг,నురుగు
93,Schmutz::N,лявӹрӓ,మైల
94,See::N,йӓр,సరస్సు
