,Concept_ID,sq,kn
0,Auge::N,sy,ಕಣ್ಣು
1,Ohr::N,vesh,ಕಿವಿ
2,Nase::N,hundë,ಮೂಗು
3,Mund::N,gojë,ಬಾಯಿ
4,Zahn::N,dhëmb,ಹಲ್ಲು
5,Zunge::N,gjuhë,ನಾಲಿಗೆ
6,Lippe::N,buzë,ತುಟಿ
7,Wange::N,faqe,ಗಲ್ಲ
8,Wange::N,mollëz,ಗಲ್ಲ
9,Gesicht::N,fytyrë,ಮುಖ
10,Stirn::N,ballë,ಹಣೆ
11,Haar::N,flokë,ಕೂದಲು
12,Schnurrbart::N,mustaqe,ಮೀಸೆ
13,Bart::N,mjekër,ಗಡ್ಡ
14,Kinn::N,mjekër,ಗದ್ದ
15,Kiefer[Anatomie]::N,nofull,ದವಡೆ
16,Kehle::N,fyt,ಗಂಟಲು
17,Kehle::N,grykë,ಗಂಟಲು
18,Hals::N,qafë,ಕೊರಳು
19,Genick::N,arrëz,ಹಿಂಗತ್ತು
20,Kopf::N,kokë,ತಲೆ
21,Rücken::N,kurriz,ಬೆನ್ನು
22,Bauch::N,bark,ಹೊಟ್ಟೆ
23,Nabel::N,kërthizë,ಹೊಕ್ಕುಳು
24,Busen::N,gji,ಸ್ತನ
25,Brust::N,gjoks,ಎದೆ
26,Brust::N,kraharor,ಎದೆ
27,Schulter::N,sup,ಭುಜ
28,Schulter::N,krah,ಭುಜ
29,Arm::N,krah,ತೋಳು
30,Ellenbogen::N,bërryl,ಮೊಣಕೈ
31,Hand::N,dorë,ಕೈ
32,Handfläche::N,pëllëmbë,ಅಂಗೈ
33,Finger::N,gisht,ಕೈಬೆರಳು
34,Fingernagel::N,thua,ಉಗುರು
35,Nagel[Anatomie]::N,thua,ಉಗುರು
36,Zeh::N,gisht i këmbës,ಕಾಲ್ಬೆರಳು
37,Fuß::N,këmbë,ಪಾದ
38,Ferse::N,thembër,ಹಿಮ್ಮಡಿ
39,Knie::N,gju,ಮಂಡಿ
40,Oberschenkel::N,kofshë,ತೊಡೆ
41,Bein::N,këmbë,ಕಾಲು
42,Körper::N,trup,ದೇಹ
43,Haut::N,lëkurë,ಚರ್ಮ
44,Blut::N,gjak,ರಕ್ತ
45,Ader::N,venë,ನರ
46,Sehne::N,dell,ನರ
