,Concept_ID,sl,cy
0,Auge::N,okó,llygad
1,Ohr::N,uhó,clust
2,Nase::N,nós,trwyn
3,Mund::N,ústa,ceg
4,Zahn::N,zób,dant
5,Zunge::N,jêzik,tafod
6,Lippe::N,ústnica,gwefus
7,Wange::N,líce,boch
8,Gesicht::N,oblíčje,wyneb
9,Stirn::N,čêlo,talcen
10,Haar::N,lás,blew
11,Schnurrbart::N,bŕki,mwstas
12,Bart::N,bráda,barf
13,Kinn::N,bráda,gên
14,Kiefer[Anatomie]::N,čeljúst,gên
15,Kehle::N,gŕlo,gwddf
16,Hals::N,vrát,gwddf
17,Genick::N,zatílnik,gwar
18,Genick::N,zatílnik,gwegil
19,Kopf::N,gláva,pen
20,Rücken::N,hrbèt,cefn
21,Bauch::N,trébuh,bol
22,Nabel::N,pópek,bogail
23,Busen::N,nédrja,bron
24,Brust::N,pŕsi,brest
25,Schulter::N,ráma,ysgwydd
26,Schulter::N,plêče,ysgwydd
27,Arm::N,rôka,braich
28,Ellenbogen::N,komólec,penelin
29,Hand::N,rôka,llaw
30,Handfläche::N,dlán,palf
31,Finger::N,pŕst,bys
32,Fingernagel::N,nóht na rôki,ewin
33,Nagel[Anatomie]::N,nóht,ewin
34,Zeh::N,pŕst na nôgi,bys troed
35,Fuß::N,nôga,troed
36,Ferse::N,pêta,sawdl
37,Knie::N,koléno,glin
38,Oberschenkel::N,stêgno,clun
39,Bein::N,nôga,coes
40,Körper::N,teló,corff
41,Haut::N,kóža,croen
42,Blut::N,krí,gwaed
43,Ader::N,žíla,gwythïen
44,Sehne::N,kíta,gewyn
45,Knochen::N,kóst,asgwrn
46,Gehirn::N,možgáni,ymennydd
47,Herz::N,srcé,calon
48,Magen::N,želódec,cylla
49,Magen::N,želódec,stumog
50,Leber::N,jétra,iau
51,Atem::N,díh,anadl
52,Hunger::N,glád,newyn
53,Träne::N,sólza,deigryn
54,Geschmack::N,okús,cyflas
55,Geruch::N,vónj,aroglau
56,Schlaf::N,sèn,cwsg
57,Schlaf::N,spánec,cwsg
58,Traum::N,sánje,breuddwyd
59,Himmel::N,nebó,awyr
60,Sonne::N,sónce,haul
61,Mond::N,lúna,lleuad
62,Mond::N,mésec,lleuad
63,Stern::N,zvézda,seren
64,Luft::N,zràk,awyr
65,Wind::N,véter,gwynt
66,Welle::N,vál,ton
67,Wasser::N,vôda,dŵr
68,Stein::N,kámen,carreg
69,Boden::N,tlà,llawr
70,Erde::N,pŕst,pridd
71,Erde::N,zêmlja,pridd
72,Staub::N,práh,llwch
