,Concept_ID,hu,udm
0,Auge::N,szem,син
1,Ohr::N,fül,пель
2,Nase::N,orr,ныр
3,Mund::N,száj,ым
4,Zahn::N,fog,пинь
5,Zunge::N,nyelv,кыл
6,Lippe::N,ajak,ымдур
7,Wange::N,orca,бам
8,Gesicht::N,arc,ымныр
9,Stirn::N,homlok,кымес
10,Haar::N,haj,йырси
11,Schnurrbart::N,bajusz,мыйык
12,Bart::N,szakáll,туш
13,Kinn::N,áll,ангес
14,Kiefer[Anatomie]::N,állkapocs,ан
15,Kiefer[Anatomie]::N,állkapocs,анлы
16,Kehle::N,gége,гульым
17,Kehle::N,torok,гульым
18,Hals::N,nyak,чырты
19,Genick::N,tarkó,йырбер
20,Kopf::N,fő,йыр
21,Kopf::N,fej,йыр
22,Rücken::N,hát,мыш
23,Bauch::N,has,кӧт
24,Nabel::N,köldök,гогы
25,Busen::N,mell,ноны
26,Busen::N,kebel,ноны
27,Brust::N,mell,мӧля
28,Schulter::N,váll,пельпум
29,Arm::N,kar,суй
30,Ellenbogen::N,könyök,гырпум
31,Hand::N,kéz,ки
32,Handfläche::N,tenyér,ки пыдэс
33,Handfläche::N,tenyér,кырым пыдэс
34,Finger::N,ujj,чиньы
35,Fingernagel::N,köröm,гижы
36,Fingernagel::N,köröm,гиждӥнь
37,Nagel[Anatomie]::N,köröm,гижы
38,Zeh::N,lábujj,пыдчиньы
39,Fuß::N,láb,пыд
40,Ferse::N,sarok,пыдбер
41,Knie::N,térd,пыдес
42,Oberschenkel::N,comb,макес
43,Bein::N,láb,пыд
44,Bein::N,lábszár,пыд
45,Körper::N,test,мугор
46,Körper::N,test,вылтыр
47,Haut::N,bőr,ку
48,Blut::N,vér,вир
49,Ader::N,ér,вирсэр
50,Sehne::N,ín,вуж
51,Knochen::N,csont,лы
52,Gehirn::N,agy,вим
53,Gehirn::N,agyvelő,вим
54,Herz::N,szív,сюлэм
55,Magen::N,gyomor,ӝуш
56,Leber::N,máj,мус
57,Atem::N,lehelet,лул
58,Atem::N,lehelet,шокан
59,Atem::N,lélegzet,лул
60,Atem::N,lélegzet,шокан
61,Hunger::N,éhség,кӧтсюман
62,Träne::N,könny,синкыли
63,Geschmack::N,íz,шӧм
64,Geruch::N,szag,зын
65,Schlaf::N,álom,вӧт
66,Schlaf::N,alvás,вӧт
67,Traum::N,álom,уйвӧт
68,Himmel::N,ég,ин
69,Himmel::N,menny,ин
70,Sonne::N,nap,шунды
71,Mond::N,hold,толэзь
72,Stern::N,csillag,кизили
73,Luft::N,levegő,омыр
74,Wind::N,szél,тӧл
75,Welle::N,hullám,тулкым
76,Wasser::N,víz,ву
77,Stein::N,kő,из
78,Boden::N,föld,музъем
79,Boden::N,talaj,музъем
80,Erde::N,föld,му
81,Staub::N,por,пыль
82,Rauch::N,füst,ӵын
83,Funke::N,szikra,гизьы
84,Feuer::N,tűz,тыл
85,Licht::N,fény,тыл
86,Schatten::N,árnyék,вужер
87,Wetter::N,idő,куазь
88,Wetter::N,időjárás,куазь
89,Nebel::N,köd,бус
90,Wolke::N,felhő,пилем
91,Regen::N,eső,зор
92,Schnee::N,hó,лымы
93,Eis::N,jég,йӧ
94,Frost::N,fagy,кезьыт
95,Kälte::N,hideg,кезьыт
96,Hitze::N,hő,пӧсь
97,Hitze::N,hőség,пӧсь
98,Raureif::N,zúzmara,гӧр
99,Regenbogen::N,szivárvány,вуюись
100,Donner::N,dörgés,гудыри
101,Donner::N,mennydörgés,гудыри
102,Strömung::N,áramlat,бызён
103,Tropfen::N,csepp,шапык
104,Schaum::N,hab,шукы
105,Schaum::N,tajték,шукы
106,Schmutz::N,piszok,нӧд
107,Schmutz::N,piszok,дэри
108,See::N,tó,ты
109,Sumpf::N,mocsár,нюр
110,Moor::N,láp,нюр
111,Wiese::N,rét,возь
112,Wiese::N,rét,возьвыл
113,Wiese::N,mező,возь
114,Wiese::N,mező,возьвыл
115,Wald::N,erdő,сик
116,Wald::N,erdő,нюлэс
117,Hügel::N,domb,выр
118,Hügel::N,domb,вырйыл
119,Anhöhe::N,magaslat,выр
120,Anhöhe::N,magaslat,вырйыл
121,Berg::N,hegy,гурезь
122,Gipfel::N,csúcs,йыл
123,Höhle::N,barlang,гу
124,Abhang::N,lejtő,бам
125,Quelle::N,forrás,ошмес
126,Bach::N,patak,пичи шур
127,Fluss::N,folyó,шур
128,Ufer::N,part,ярдур
129,Küste::N,tengerpart,вудур
130,Festland::N,szárazföld,мувыр
131,Meer::N,tenger,зарезь
132,Bucht::N,öböl,вукож
133,Insel::N,sziget,вумуӵ
134,Insel::N,sziget,шормуӵ
135,Blume::N,virág,сяська
136,Gras::N,fű,турын
137,Wurzel::N,gyökér,выжы
138,Baum::N,fa,пу
139,Stamm::N,tő,модос
140,Stamm::N,törzs,модос
141,Rinde::N,kéreg,сул
142,Ast::N,ág,ул
143,Zweig::N,gally,вай
144,Blatt::N,levél,куар
145,Birke::N,nyír,кызьпу
146,Kiefer[Baum]::N,fenyő,пужым
147,Weide[Baum]::N,fűz,бадьпу
148,Tanne::N,fenyő,кыз
149,Horn::N,szarv,сюр
150,Feder::N,toll,тылы
151,Fell::N,szőr,ку
152,Fell::N,bunda,ку
153,Flügel::N,szárny,бурд
154,Klaue::N,köröm,гижы
155,Kralle::N,karom,пыд
156,Schwanz::N,farok,быж
157,Ei::N,tojás,пуз
158,Ei::N,tojás,кукей
159,Nest::N,fészek,кар
160,Nest::N,fészek,пузкар
161,Bau::N,odú,кар
162,Bau::N,odú,гу
163,Tier::N,állat,пӧйшур
164,Herde::N,nyáj,уллё
165,Herde::N,csorda,уллё
166,Kuh::N,tehén,скал
167,Bulle::N,bika,ош
168,Bulle::N,bika,пороз
169,Pferd::N,ló,вал
170,Schaf::N,juh,ыж
171,Schaf::N,birka,ыж
172,Schwein::N,sertés,парсь
173,Hund::N,eb,пуны
174,Hund::N,kutya,пуны
175,Katze::N,macska,коӵыш
176,Bär::N,medve,гондыр
177,Eichhörnchen::N,mókus,коньы
178,Elch::N,jávorszarvas,койык
179,Fuchs::N,róka,ӟичы
180,Hase::N,nyúl,кеч
181,Maus::N,egér,шыр
182,Wolf::N,farkas,кион
183,Vogel::N,madár,тылобурдо
184,Schwarm::N,raj,уллё
185,Huhn::N,tyúk,курег
186,Hahn::N,kakas,атас
187,Gans::N,lúd,ӟазег
188,Gans::N,liba,ӟазег
189,Adler::N,sas,ӧрзи
190,Ente::N,kacsa,ӵӧж
191,Eule::N,bagoly,кучыран
192,Kranich::N,daru,тури
193,Krähe::N,varjú,куака
194,Kuckuck::N,kakukk,кикы
195,Schwan::N,hattyú,юсь
196,Fisch::N,hal,чорыг
197,Barsch::N,sügér,юш
198,Hecht::N,csuka,чипей
199,Schlange[Tier]::N,kígyó,кый
200,Wurm::N,kukac,нумыр
201,Spinne::N,pók,чонари
202,Ameise::N,hangya,кузьыли
203,Laus::N,tetű,тэй
204,Mücke::N,szúnyog,нымы
205,Mücke::N,szúnyog,чибинь
206,Fliege::N,légy,кут
207,Schmetterling::N,lepke,бубыли
208,Schmetterling::N,pillangó,бубыли
209,Beere::N,bogyó,узы-боры
210,Apfel::N,alma,яблок
211,Pilz::N,gomba,губи
212,Zwiebel::N,hagyma,сугон
213,Saat::N,vetőmag,кидыс
214,Korn::N,mag,тысь
215,Korn::N,szem,тысь
216,Heu::N,széna,турын
217,Schale::N,héj,кыд
218,Grube::N,verem,гу
219,Grube::N,verem,гоп
220,Falle::N,csapda,налик
221,Schlinge::N,tőr,гиӟ
222,Schlinge::N,tőr,герд
223,Spur::N,nyom,пытьы
224,Spur::N,nyom,бервыл
225,Asche::N,hamu,пень
226,Dreck::N,sár,дэри
227,Dreck::N,piszok,дэри
228,Eisen::N,vas,корт
229,Gold::N,arany,зарни
230,Silber::N,ezüst,азвесь
231,Kohle::N,szén,эгыр
232,Glas::N,üveg,стекло
233,Glas::N,üveg,пияла
234,Lehm::N,agyag,сюй
235,Lehm::N,vályog,сюй
236,Sand::N,homok,луо
237,Mensch::N,ember,мурт
238,Mensch::N,ember,адями
239,Mann::N,úr,воргорон
240,Mann::N,férfi,воргорон
241,Frau::N,nő,кышномурт
242,Frau::N,asszony,кышномурт
243,Kind::N,gyerek,нуны
244,Kind::N,gyerek,пинал
245,Kind::N,gyermek,нуны
246,Kind::N,gyermek,пинал
247,Junge::N,fiú,пи
248,Mädchen::N,lány,ныл
249,Familie::N,család,семья
250,Großvater::N,nagyapa,песятай
251,Großvater::N,nagyapa,пересь атай
252,Großmutter::N,nagyanya,песянай
253,Großmutter::N,nagyanya,пересь анай
254,Eltern::N,szülők,атай-анай
255,Eltern::N,szülők,бубы-мумы
256,Vater::N,apa,айы
257,Vater::N,apa,атай
258,Vater::N,atya,айы
259,Vater::N,atya,атай
260,Mutter::N,anya,мумы
261,Sohn::N,fiú,пи
262,Tochter::N,lány,ныл
263,Bruder::N,fivér,агай
264,Bruder::N,testvér,агай
265,Schwester::N,nővér,апа
266,Schwester::N,nővér,сузэр
267,Schwester::N,lánytestvér,апа
268,Schwester::N,lánytestvér,сузэр
269,Onkel::N,nagybácsi,агай
270,Tante::N,nagynéni,апа
271,Tante::N,nagynéni,кенак
272,Ehemann::N,férj,карт
273,Ehefrau::N,feleség,кышно
274,Freude::N,öröm,шумпотон
275,Gelächter::N,nevetés,горем
276,Gelächter::N,hahotázás,горем
277,Glück::N,boldogság,шуд
278,Kummer::N,bánat,кайгу
279,Kummer::N,bánat,куректон
280,Wunsch::N,óhaj,мылпотон
281,Lust::N,kedv,потон
282,Geist::N,elme,лул
283,Geist::N,szellem,лул
284,Gedanke::N,gondolat,малпан
285,Gedächtnis::N,emlékezet,йырсазь
286,Gedächtnis::N,emlékezet,тодэваён
287,Verstand::N,ész,йырвизь
288,Verstand::N,értelem,йырвизь
289,Sinn::N,értelem,смысл
