,Concept_ID,sk,te
0,Auge::N,oko,కన్ను
1,Ohr::N,ucho,చెవి
2,Nase::N,nos,ముక్కు
3,Mund::N,ústa,నోరు
4,Zahn::N,zub,పల్లు
5,Zunge::N,jazyk,నాలుక
6,Lippe::N,pera,పెదవి
7,Wange::N,líce,చెంప
8,Gesicht::N,tvár,ముఖము
9,Gesicht::N,obličaj,ముఖము
10,Stirn::N,čelo,నుదురు
11,Haar::N,vlas,వెండ్రుక
12,Schnurrbart::N,fúzy,మీసము
13,Bart::N,brada,గడ్డము
14,Kinn::N,brada,గడ్డము
15,Kiefer[Anatomie]::N,čeľusť,దౌడ
16,Kehle::N,hrdlo,గొంతు
17,Hals::N,krk,మెడ
18,Genick::N,väzy,మూపు
19,Kopf::N,hlava,తల
20,Rücken::N,chrbát,వెన్ను
21,Bauch::N,brucho,కడుపు
22,Nabel::N,pupok,బొడ్డు
23,Busen::N,prsia,స్తనము
24,Brust::N,hruď,ఱొమ్ము
25,Schulter::N,plece,భుజము
26,Arm::N,rameno,చేయి
27,Ellenbogen::N,lakeť,మోచేయి
28,Hand::N,ruka,చేయి
29,Handfläche::N,dlaň,అరచేయు
30,Finger::N,prst,చేతిప్రేలు
31,Fingernagel::N,necht,గోరు
32,Nagel[Anatomie]::N,necht,గోరు
33,Zeh::N,prst na nohe,కాలిప్రేలు
34,Fuß::N,noha,అడుగు
35,Ferse::N,päta,మడమ
36,Knie::N,koleno,మోకాలు
37,Oberschenkel::N,stehno,తొడ
38,Bein::N,noha,కాలు
39,Körper::N,telo,కాయము
40,Haut::N,koža,చర్మము
41,Blut::N,krv,రక్తము
42,Ader::N,žila,సిర
43,Sehne::N,šľacha,స్నాయువు
44,Knochen::N,kosť,ఎముక
45,Gehirn::N,mozog,మెదడు
46,Herz::N,srdce,హృదయము
47,Magen::N,žalúdok,కడుపు
48,Leber::N,pečeň,కాలేయము
49,Atem::N,dych,ఉపిరి
50,Hunger::N,hlad,ఆకలి
51,Träne::N,slza,కన్నీటిచుక్క
52,Geschmack::N,chuť,రుచి
53,Geruch::N,pach,వాసన
54,Schlaf::N,spánok,నిద్ర
55,Traum::N,sen,కల
56,Himmel::N,nebo,ఆకాశము
57,Sonne::N,slnko,సూర్యుడు
58,Mond::N,mesiac,చంద్రుడు
59,Stern::N,hviezda,నక్షత్రము
60,Luft::N,vzduch,గాలి
61,Wind::N,vietor,వీచుచున్నగాలి
62,Welle::N,vlna,అల
63,Wasser::N,voda,నీరు
64,Stein::N,kameň,ఱాయి
65,Boden::N,zem,నేల
66,Boden::N,pôda,నేల
67,Erde::N,zem,మన్ను
68,Staub::N,prach,దుమ్ము
69,Rauch::N,dym,పొగ
70,Funke::N,iskra,అగ్నికణము
71,Feuer::N,oheň,అగ్ని
72,Licht::N,svetlo,కాంతి
73,Schatten::N,tieň,నీడ
74,Wetter::N,počasie,వాతావరణ స్థితి
75,Nebel::N,hmla,పొగమంచు
76,Wolke::N,oblak,మేఘము
77,Wolke::N,mračno,మేఘము
78,Regen::N,dážď,వాన
79,Schnee::N,sneh,హిమము
80,Eis::N,ľad,మంచుగడ్డ
81,Frost::N,mráz,పేరిన మంచు
82,Kälte::N,zima,చలి
83,Kälte::N,chlad,చలి
84,Hitze::N,horúčava,వేడిమి
85,Raureif::N,srieň,మంచు
86,Raureif::N,inovať,మంచు
87,Regenbogen::N,dúha,ఇంద్రధనుస్సు
88,Donner::N,hrom,ఉరుము
89,Strömung::N,prúdenie,ప్రవాహము
90,Tropfen::N,kvapka,చుక్క
91,Schaum::N,pena,నురుగు
92,Schmutz::N,špina,మైల
93,Schmutz::N,nečistota,మైల
94,See::N,jazero,సరస్సు
95,Sumpf::N,bahno,చిత్తడినేల
96,Moor::N,močiar,చిత్తడినేల
97,Wiese::N,lúka,పచ్చిక బయలు
98,Wald::N,les,అడవి
99,Wald::N,hora,అడవి
100,Hügel::N,vŕšok,చివ్నకొండ
101,Anhöhe::N,výšina,కొండ
102,Anhöhe::N,vyvýšenina,కొండ
103,Berg::N,hora,పర్వతము
104,Gipfel::N,vrchol,శిఖరము
105,Höhle::N,jaskyňa,గుహ
106,Abhang::N,úbočie,ఏటవాలు
107,Quelle::N,prameň,మూలము
108,Bach::N,potok,కాలువ
109,Fluss::N,rieka,నది
110,Ufer::N,breh,తీరము
111,Küste::N,pobrežie,తీరము
112,Festland::N,pevnina,భూమి
113,Meer::N,more,సముద్రము
114,Bucht::N,záliv,మరుగు
115,Bucht::N,zátoka,మరుగు
116,Insel::N,ostrov,దీవి
117,Blume::N,kvet,పుష్పము
118,Blume::N,kvetina,పుష్పము
119,Gras::N,tráva,పచ్చగడ్డి
120,Wurzel::N,koreň,వేరు
121,Baum::N,strom,చెట్టు
122,Stamm::N,kmeň,చెట్టుబోదె
123,Rinde::N,kôra,చెట్టుపట్ట
124,Ast::N,konár,కొమ్మ
125,Zweig::N,vetva,చివుకు
126,Blatt::N,list,ఆకు
127,Birke::N,breza,తరహా చెట్టు
128,Kiefer[Baum]::N,sosna,దేవదారు చెట్టు
129,Kiefer[Baum]::N,borovica,దేవదారు చెట్టు
130,Weide[Baum]::N,vŕba,జాతిచెట్టు
131,Tanne::N,jedľa,దేవదారుచెట్టు
132,Horn::N,roh,కొమ్ము
133,Feder::N,pero,ఈక
134,Fell::N,koža,తోలు
135,Fell::N,kožušina,తోలు
136,Flügel::N,krídlo,ఱెక్క
137,Klaue::N,paznecht,వంకరగోరు
138,Kralle::N,pazúr,వంకరగోరు
139,Schwanz::N,chvost,తోక
140,Ei::N,vajce,గ్రుడ్డు
141,Ei::N,vajíčko,గ్రుడ్డు
142,Nest::N,hniezdo,పక్షిగూడు
143,Bau::N,nora,గుహ
144,Tier::N,zviera,జంతువు
145,Herde::N,stádo,మంద
146,Kuh::N,krava,ఆవు
147,Bulle::N,býk,గిత్త
148,Pferd::N,kôň,గుఱ్ఱము
149,Schaf::N,ovca,గొఱ్ఱె
150,Schwein::N,sviňa,పంది
151,Hund::N,pes,కుక్క
152,Katze::N,mačka,పిల్లి
