,Concept_ID,ro,cy
0,Auge::N,ochi,llygad
1,Ohr::N,ureche,clust
2,Nase::N,nas,trwyn
3,Mund::N,gură,ceg
4,Zahn::N,dinte,dant
5,Zunge::N,limbă,tafod
6,Lippe::N,buză,gwefus
7,Wange::N,bucă,boch
8,Wange::N,obraz,boch
9,Gesicht::N,față,wyneb
10,Gesicht::N,figură,wyneb
11,Stirn::N,frunte,talcen
12,Haar::N,păr,blew
13,Schnurrbart::N,mustață,mwstas
14,Bart::N,barbă,barf
15,Kinn::N,bărbie,gên
16,Kiefer[Anatomie]::N,falcă,gên
17,Kehle::N,beregată,gwddf
18,Hals::N,gât,gwddf
19,Genick::N,ceafă,gwar
20,Genick::N,ceafă,gwegil
21,Kopf::N,cap,pen
22,Rücken::N,dos,cefn
23,Rücken::N,spate,cefn
24,Rücken::N,spinare,cefn
25,Bauch::N,burtă,bol
26,Bauch::N,pântece,bol
27,Nabel::N,buric,bogail
28,Busen::N,sân,bron
29,Brust::N,piept,brest
30,Schulter::N,umăr,ysgwydd
31,Schulter::N,spate,ysgwydd
32,Arm::N,braț,braich
33,Ellenbogen::N,cot,penelin
34,Hand::N,mână,llaw
35,Handfläche::N,palmă,palf
36,Finger::N,deget,bys
37,Fingernagel::N,unghie,ewin
38,Nagel[Anatomie]::N,unghie,ewin
39,Zeh::N,deget de la picior,bys troed
40,Fuß::N,picior,troed
41,Ferse::N,călcâi,sawdl
42,Knie::N,genunchi,glin
43,Oberschenkel::N,coapsă,clun
44,Bein::N,picior,coes
45,Körper::N,corp,corff
46,Haut::N,piele,croen
47,Blut::N,sânge,gwaed
48,Ader::N,vână,gwythïen
49,Ader::N,arteră,gwythïen
50,Sehne::N,tendon,gewyn
51,Knochen::N,os,asgwrn
52,Gehirn::N,creier,ymennydd
53,Herz::N,inimă,calon
54,Magen::N,stomac,cylla
55,Magen::N,stomac,stumog
56,Leber::N,ficat,iau
57,Atem::N,răsuflare,anadl
58,Atem::N,respirație,anadl
59,Hunger::N,foame,newyn
60,Träne::N,lacrimă,deigryn
61,Geschmack::N,gust,cyflas
62,Geruch::N,miros,aroglau
63,Schlaf::N,somn,cwsg
64,Traum::N,vis,breuddwyd
65,Himmel::N,cer,awyr
66,Sonne::N,soare,haul
67,Mond::N,lună,lleuad
68,Stern::N,stea,seren
69,Luft::N,aer,awyr
70,Wind::N,vânt,gwynt
71,Welle::N,val,ton
72,Welle::N,undă,ton
73,Wasser::N,apă,dŵr
74,Stein::N,piatră,carreg
75,Boden::N,sol,llawr
76,Boden::N,pământ,llawr
77,Erde::N,pământ,pridd
78,Staub::N,praf,llwch
79,Rauch::N,fum,mwg
80,Funke::N,scânteie,gwreichioni
81,Feuer::N,foc,tân
82,Licht::N,lumină,golau
83,Schatten::N,umbră,cysgod
84,Wetter::N,timp,tywydd
85,Wetter::N,vreme,tywydd
86,Nebel::N,ceață,niwl
87,Nebel::N,negură,niwl
88,Wolke::N,nor,cwmwl
89,Regen::N,ploaie,glaw
90,Schnee::N,zăpadă,ôd
91,Schnee::N,zăpadă,eira
92,Eis::N,gheață,iâ
93,Frost::N,ger,rhew
94,Kälte::N,frig,oerni
95,Kälte::N,frig,annwyd
96,Hitze::N,arșiță,gwres
97,Hitze::N,căldură,gwres
98,Raureif::N,chiciură,barrug
99,Regenbogen::N,curcubeu,enfys
100,Donner::N,tunet,tyrfau
101,Strömung::N,curent,cerrynt
102,Tropfen::N,picătură,dafn
103,Tropfen::N,picătură,diferyn
104,Schaum::N,spumă,ewyn
105,Schmutz::N,murdărie,baw
106,Schmutz::N,murdărie,budreddi
107,See::N,lac,llyn
108,Sumpf::N,mlaștină,cors
109,Moor::N,bărăgan,rhos
110,Wiese::N,fânaț,dôl
111,Wiese::N,livadă,dôl
112,Wald::N,codru,coedwig
113,Wald::N,pădure,coedwig
114,Hügel::N,deal,bryn
115,Hügel::N,movilă,bryn
116,Anhöhe::N,deal,bryn
117,Anhöhe::N,ridicătură,bryn
118,Berg::N,munte,mynydd
119,Gipfel::N,pisc,copa
120,Höhle::N,peșteră,ogof
121,Abhang::N,pantă,llethr
122,Abhang::N,versant,llethr
123,Quelle::N,izvor,tarddiad
124,Quelle::N,izvor,ffynhonnell
125,Bach::N,gârlă,nant
126,Bach::N,gârlă,afonig
127,Bach::N,gârlă,cornant
128,Fluss::N,râu,afon
129,Fluss::N,fluviu,afon
130,Ufer::N,mal,glan
131,Ufer::N,țărm,glan
132,Küste::N,coastă,traeth
133,Küste::N,coastă,arfordir
134,Festland::N,uscat,tir
135,Meer::N,mare,môr
136,Bucht::N,golf,bae
137,Insel::N,insulă,ynys
138,Blume::N,floare,blodyn
139,Gras::N,iarbă,glaswellt
140,Wurzel::N,rădăcină,gwreiddyn
141,Baum::N,copac,coeden
142,Baum::N,arbore,coeden
143,Stamm::N,tulpină,colfen
144,Stamm::N,tulpină,boncyff
145,Rinde::N,scoarță,rhisgl
146,Ast::N,cracă,cangen
147,Ast::N,creangă,cangen
148,Zweig::N,ramură,cainc
149,Zweig::N,ramură,cangen
150,Zweig::N,creangă,cainc
151,Zweig::N,creangă,cangen
152,Blatt::N,frunză,deilen
153,Birke::N,mesteacăn,bedwen
154,Kiefer[Baum]::N,pin,pinwydden
155,Weide[Baum]::N,salcie,helygen
156,Weide[Baum]::N,răchită,helygen
157,Tanne::N,brad,ffynidwydden
158,Horn::N,corn,corn
159,Feder::N,pană,plufyn
160,Fell::N,piele,ffwr
161,Flügel::N,aripă,adain
162,Klaue::N,gheară,crafanc
163,Kralle::N,labă,ewin
164,Kralle::N,gheară,ewin
165,Schwanz::N,coadă,cwt
166,Schwanz::N,coadă,cynffon
167,Ei::N,ou,wy
168,Nest::N,cuib,nyth
169,Bau::N,bârlog,ffau
170,Bau::N,vizuină,ffau
171,Tier::N,animal,anifail
172,Herde::N,turmă,praidd
173,Herde::N,turmă,diadell
174,Herde::N,cireadă,praidd
175,Herde::N,cireadă,diadell
176,Kuh::N,vacă,buwch
177,Bulle::N,taur,tarw
178,Pferd::N,cal,ceffyl
179,Schaf::N,oaie,dafad
180,Schwein::N,porc,mochyn
181,Hund::N,câine,ci
182,Katze::N,pisică,cath
183,Bär::N,urs,arth
184,Eichhörnchen::N,veveriță,gwiwer
185,Elch::N,elan,elc
186,Fuchs::N,vulpe,cadno
187,Hase::N,iepure,ysgyfarnog
188,Maus::N,șoarece,llygoden
189,Wolf::N,lup,blaidd
190,Vogel::N,pasăre,aderyn
191,Schwarm::N,cârd,haid
192,Huhn::N,găină,cyw
193,Hahn::N,cocoș,ceiliog
194,Gans::N,gâscă,gŵydd
195,Adler::N,vultur,eryr
196,Ente::N,rață,hwyad
197,Eule::N,bufniță,tylluan
198,Kranich::N,cocor,garan
199,Kranich::N,cocor,crychydd
200,Krähe::N,cioară,brân
201,Kuckuck::N,cuc,cog
202,Kuckuck::N,cuc,cwcw
203,Schwan::N,lebădă,alarch
204,Fisch::N,pește,pysgod
205,Barsch::N,biban,draenog
206,Hecht::N,știucă,penhwyad
207,Schlange[Tier]::N,șarpe,neidr
208,Wurm::N,vierme,abwydyn
209,Wurm::N,vierme,pryf genwair
210,Spinne::N,păianjen,cor
211,Spinne::N,păianjen,pryf copyn
212,Ameise::N,furnică,morgrugyn
213,Laus::N,păduche,lleuen
214,Mücke::N,țânțar,gwybedyn
215,Fliege::N,muscă,cleren
216,Schmetterling::N,fluture,glöyn byw
217,Schmetterling::N,fluture,iâr fach yr haf
218,Beere::N,boabă,aeronen
219,Apfel::N,măr,afal
220,Pilz::N,burete,madarch
221,Pilz::N,ciupercă,madarch
222,Zwiebel::N,ceapă,nionyn
223,Zwiebel::N,ceapă,winwnsyn
224,Saat::N,semănătură,had
225,Korn::N,grâu,grawn
226,Heu::N,fân,gwair
227,Schale::N,coajă,croen
228,Schale::N,coajă,plisgyn
229,Grube::N,groapă,pwll
230,Grube::N,groapă,pydew
231,Falle::N,cursă,magl
232,Falle::N,capcană,magl
233,Schlinge::N,laț,cwlwm rhedeg
234,Spur::N,dâră,ôl
235,Asche::N,cenușă,lludw
236,Dreck::N,noroi,baw
237,Dreck::N,noroi,budreddi
238,Dreck::N,murdărie,baw
239,Dreck::N,murdărie,budreddi
240,Eisen::N,fier,haearn
241,Gold::N,aur,aur
242,Silber::N,argint,arian
243,Kohle::N,cărbune,glo
244,Glas::N,sticlă,gwydr
245,Lehm::N,lut,clai
246,Lehm::N,humă,clai
247,Sand::N,nisip,tywod
248,Mensch::N,om,dyn
249,Mensch::N,persoană,dyn
250,Mann::N,om,dyn
251,Mann::N,bărbat,dyn
252,Frau::N,femeie,merch
253,Frau::N,femeie,gwraig
254,Kind::N,copil,plentyn
255,Junge::N,băiat,hogyn
256,Junge::N,băiat,bachgen
257,Junge::N,flăcău,hogyn
258,Junge::N,flăcău,bachgen
259,Mädchen::N,fată,merch
260,Mädchen::N,fată,geneth
261,Familie::N,familie,teulu
262,Familie::N,familie,tylwyth
263,Großvater::N,bunic,taid
264,Großvater::N,bunic,tad-cu
265,Großvater::N,tată mare,taid
266,Großvater::N,tată mare,tad-cu
267,Großmutter::N,bunică,nain
268,Großmutter::N,bunică,mam-gu
269,Großmutter::N,mamă mare,nain
270,Großmutter::N,mamă mare,mam-gu
271,Eltern::N,părinți,rhieni
272,Vater::N,tată,tad
273,Vater::N,părinte,tad
274,Mutter::N,mamă,mam
275,Sohn::N,fiu,mab
276,Sohn::N,fecior,mab
277,Tochter::N,fiică,merch
278,Bruder::N,frate,brawd
279,Schwester::N,soră,chwaer
280,Onkel::N,unchi,ewythr
281,Tante::N,mătușă,modryb
282,Ehemann::N,soț,gŵr
