,Concept_ID,he,sl
0,Auge::N,עין,okó
1,Ohr::N,אזן,uhó
2,Nase::N,אף,nós
3,Nase::N,חטם,nós
4,Mund::N,פה,ústa
5,Zahn::N,שן,zób
6,Zunge::N,לשון,jêzik
7,Lippe::N,שפה,ústnica
8,Wange::N,לחי,líce
9,Gesicht::N,פנים,oblíčje
10,Stirn::N,מצח,čêlo
11,Haar::N,שערה,lás
12,Schnurrbart::N,שפם,bŕki
13,Bart::N,זקן,bráda
14,Kinn::N,סנטר,bráda
15,Kiefer[Anatomie]::N,לסת,čeljúst
16,Kehle::N,גרון,gŕlo
17,Hals::N,צואר,vrát
18,Genick::N,ערף,zatílnik
19,Kopf::N,ראש,gláva
20,Rücken::N,גב,hrbèt
21,Bauch::N,בטן,trébuh
22,Nabel::N,טבור,pópek
23,Busen::N,שד,nédrja
24,Brust::N,חזה,pŕsi
25,Schulter::N,כתף,ráma
26,Schulter::N,כתף,plêče
27,Arm::N,זרוע,rôka
28,Ellenbogen::N,מרפק,komólec
29,Hand::N,יד,rôka
30,Handfläche::N,כף יד,dlán
31,Finger::N,אצבע,pŕst
32,Fingernagel::N,צפרן,nóht na rôki
33,Nagel[Anatomie]::N,צפרן,nóht
34,Zeh::N,אצבע,pŕst na nôgi
35,Fuß::N,רגל,nôga
36,Ferse::N,עקב,pêta
37,Knie::N,ברך,koléno
38,Oberschenkel::N,ירך,stêgno
39,Bein::N,רגל,nôga
40,Körper::N,גוף,teló
41,Haut::N,עור,kóža
42,Blut::N,דם,krí
43,Ader::N,וריד,žíla
44,Sehne::N,גיד,kíta
45,Knochen::N,עצם,kóst
46,Gehirn::N,מוח,možgáni
47,Herz::N,לב,srcé
48,Magen::N,קבה,želódec
49,Leber::N,כבד,jétra
50,Atem::N,נשימה,díh
51,Hunger::N,רעב,glád
52,Träne::N,דמעה,sólza
53,Geschmack::N,טעם,okús
54,Geruch::N,ריח,vónj
55,Schlaf::N,שנה,sèn
56,Schlaf::N,שנה,spánec
57,Traum::N,חלום,sánje
58,Himmel::N,שמים,nebó
59,Sonne::N,שמש,sónce
60,Mond::N,ירח,lúna
61,Mond::N,ירח,mésec
62,Stern::N,כוכב,zvézda
63,Luft::N,אויר,zràk
64,Wind::N,רוח,véter
65,Welle::N,גל,vál
66,Wasser::N,מים,vôda
67,Stein::N,אבן,kámen
68,Boden::N,קרקע,tlà
69,Erde::N,אדמה,pŕst
70,Erde::N,אדמה,zêmlja
71,Staub::N,אבק,práh
72,Rauch::N,עשן,dìm
73,Funke::N,ניצוץ,ískra
74,Feuer::N,אש,ôgenj
75,Licht::N,אור,lúč
76,Schatten::N,צל,sénca
77,Wetter::N,מזג אויר,vrême
78,Nebel::N,ערפל,meglà
79,Wolke::N,ענן,oblák
80,Regen::N,גשם,dèž
81,Schnee::N,שלג,snég
82,Eis::N,קרח,léd
83,Frost::N,צנה,zmrzál
84,Kälte::N,קר,mràz
85,Hitze::N,חם,pripéka
86,Raureif::N,כפור,ívje
87,Raureif::N,כפור,slána
88,Regenbogen::N,קשת,mávrica
89,Donner::N,רעם,gròm
90,Strömung::N,זרימה,strúja
91,Tropfen::N,טפה,káplja
92,Schaum::N,קצף,péna
93,Schmutz::N,לכלוך,nesnága
94,See::N,אגם,jézero
95,Sumpf::N,בצה,močvírje
96,Moor::N,בצה,bárje
97,Wiese::N,מרעה,trávnik
98,Wald::N,יער,lés
99,Wald::N,יער,gòzd
100,Hügel::N,תל,brég
101,Hügel::N,תל,goríca
102,Anhöhe::N,מעלה,gríč
103,Anhöhe::N,מעלה,višína
104,Berg::N,הר,gôra
105,Berg::N,הר,planína
106,Gipfel::N,פסגה,vŕh
107,Höhle::N,מערה,jáma
108,Höhle::N,מערה,votlína
109,Abhang::N,מדרון,pobóčje
110,Abhang::N,שפוע,pobóčje
111,Quelle::N,מעין,izvír
112,Bach::N,נחל,pôtok
113,Fluss::N,נהר,réka
114,Ufer::N,גדה,brég
115,Küste::N,חוף,obála
116,Küste::N,חוף,obréžje
117,Festland::N,יבשה,celína
118,Festland::N,יבשה,kopnína
119,Meer::N,ים,mórje
120,Bucht::N,מפרץ,zalív
121,Insel::N,אי,ôtok
122,Blume::N,פרח,cvetlíca
123,Gras::N,דשא,tráva
124,Wurzel::N,שרש,korenína
125,Baum::N,עץ,drevó
126,Stamm::N,גזע,dêblo
127,Rinde::N,קלפת עץ,lúbje
128,Rinde::N,קלפת עץ,skórja
129,Ast::N,ענף,véja
130,Zweig::N,ענף,véja
131,Blatt::N,עלה,líst
132,Birke::N,שדר,bréza
133,Kiefer[Baum]::N,ארן,bòr
134,Weide[Baum]::N,ערבה,vŕba
135,Tanne::N,אשוח,hója
136,Horn::N,קרן,róg
137,Feder::N,נוצה,peró
138,Fell::N,פרוה,kŕzno
139,Flügel::N,כנף,krílo
140,Klaue::N,טלף,párkelj
141,Kralle::N,טפר,krémpelj
142,Schwanz::N,זנב,rèp
143,Ei::N,ביצה,jájce
144,Nest::N,קן,gnézdo
145,Bau::N,מחלה,brlòg
146,Tier::N,חיה,živál
147,Herde::N,עדר,čréda
148,Kuh::N,פרה,kráva
149,Bulle::N,פר,bìk
150,Pferd::N,סוס,kònj
151,Schaf::N,כבשה,ôvca
152,Schwein::N,חזיר,svínja
153,Hund::N,כלב,pès
154,Katze::N,חתול,máčka
155,Bär::N,דב,mêdved
156,Eichhörnchen::N,סנאי,véverica
157,Elch::N,דישון,lós
158,Fuchs::N,שועל,lisíca
159,Hase::N,ארנב,zájec
160,Maus::N,עכבר,mìš
161,Wolf::N,זאב,vólk
162,Vogel::N,צפור,ptìč
163,Vogel::N,צפור,ptíca
164,Schwarm::N,נחיל,játa
165,Schwarm::N,להקה,játa
166,Huhn::N,תרנגלת,kokóš
167,Hahn::N,תרנגול,petêlin
168,Gans::N,אוז,gós
169,Adler::N,עיט,ôrel
170,Ente::N,ברוז,ráca
171,Eule::N,ינשוף,sôva
172,Kranich::N,עגור,žerjàv
173,Kranich::N,כרוכיה,žerjàv
174,Krähe::N,עורב,vrána
175,Kuckuck::N,קוקיה,kúkavica
176,Schwan::N,ברבור,labód
177,Fisch::N,דג,ríba
178,Barsch::N,אוקונוס,ostríž
179,Hecht::N,זאב הים,ščúka
180,Schlange[Tier]::N,נחש,káča
181,Wurm::N,תולעת,čr̀v
182,Wurm::N,תולעת,glísta
183,Spinne::N,עכביש,pájek
184,Ameise::N,נמלה,mrávlja
185,Laus::N,כנה,úš
186,Mücke::N,יתוש,komár
187,Fliege::N,זבוב,múha
188,Schmetterling::N,פרפר,metúlj
189,Beere::N,ענבה,jágoda
190,Apfel::N,תפוח,jábolko
191,Pilz::N,פטריה,góba
192,Zwiebel::N,בצל,čebúla
193,Saat::N,זרעים,séme
194,Korn::N,גרעין,zŕno
195,Heu::N,חציר,senó
196,Schale::N,קלפה,lupína
197,Grube::N,בור,jáma
198,Grube::N,שוחה,jáma
199,Falle::N,מלכדת,pást
200,Schlinge::N,לולאה,zánka
201,Schlinge::N,לולאה,pêtlja
202,Spur::N,עקבה,sléd
203,Asche::N,אפר,pepél
204,Dreck::N,זהמה,bláto
205,Eisen::N,ברזל,želézo
206,Gold::N,זהב,zlató
207,Silber::N,כסף,srebró
208,Kohle::N,פחם,ógel
209,Glas::N,זכוכית,stêklo
210,Lehm::N,חרסית,ílo
211,Sand::N,חול,pések
212,Mensch::N,אדם,člôvek
213,Mann::N,איש,móž
214,Mann::N,איש,môški
215,Mann::N,גבר,móž
216,Mann::N,גבר,môški
217,Frau::N,אשה,gospá
218,Frau::N,אשה,žénska
219,Frau::N,גברת,gospá
220,Frau::N,גברת,žénska
221,Kind::N,ילד,déte
222,Kind::N,ילד,otròk
223,Junge::N,ילד,fànt
224,Junge::N,ילד,déček
225,Mädchen::N,נערה,deklè
226,Mädchen::N,נערה,déklica
227,Familie::N,משפחה,družína
228,Großvater::N,סבא,dèd
229,Großvater::N,סבא,dédek
230,Großmutter::N,סבתא,bábica
231,Eltern::N,הורים,stárši
232,Vater::N,אב,ôče
233,Mutter::N,אם,máma
234,Sohn::N,בן,sín
235,Tochter::N,בת,hčí
236,Tochter::N,בת,hčérka
237,Bruder::N,אח,bràt
238,Schwester::N,אחות,sêstra
239,Onkel::N,דוד,újec
240,Onkel::N,דוד,stríc
241,Tante::N,דודה,têta
242,Tante::N,דודה,strína
243,Ehemann::N,איש,móž
244,Ehemann::N,איש,sopróg
245,Ehemann::N,בעל,móž
246,Ehemann::N,בעל,sopróg
247,Ehefrau::N,אשה,žêna
248,Ehefrau::N,אשה,sopróga
249,Freude::N,שמחה,rádost
250,Freude::N,שמחה,vesêlje
251,Gelächter::N,צחוק,sméh
252,Gelächter::N,צחוק,grohòt
253,Glück::N,אשר,sréča
254,Kummer::N,יגון,gorjé
255,Kummer::N,עגמה,gorjé
256,Wunsch::N,אחול,žêlja
257,Wunsch::N,משאלה,žêlja
258,Lust::N,חשק,poželênje
259,Lust::N,תשוקה,poželênje
260,Geist::N,רוח,dúša
261,Gedanke::N,מחשבה,mísel
262,Gedächtnis::N,זכרון,pámet
263,Verstand::N,שכל,
264,Sinn::N,מובן,pomèn
265,Sinn::N,מובן,smísel
266,Sinn::N,משמעות,pomèn
267,Sinn::N,משמעות,smísel
268,Grund::N,סבה,vzròk
269,Wahrheit::N,אמת,resníca
270,Gespräch::N,דיון,pogóvor
271,Märchen::N,אגדה,právljica
272,Erzählung::N,ספור,povést
273,Nachricht::N,ידיעה,sporočílo
274,Neuigkeit::N,חדשה,novóst
275,Name::N,שם,imé
276,Rätsel::N,תעלומה,ugánka
277,Rede::N,נאום,góvor
278,Sprache::N,לשון,jêzik
279,Stimme::N,קול,glás
280,Wort::N,מלה,beséda
281,Zeichen::N,סימן,znák
282,Ruf::N,קריאה,klíc
283,Lärm::N,רעש,hrúp
284,Lärm::N,רעש,trúšč
285,Laut::N,הגה,glás
286,Ton::N,צליל,tón
287,Lied::N,שיר,pésem
288,Ruhe::N,שלוה,pokòj
289,Leute::N,אנשים,ljudjé
290,Volk::N,עם,národ
291,Arbeit::N,עבודה,délo
292,Gast::N,אורח,gòst
293,Geschenk::N,מתנה,darílo
294,Spiel::N,משחק,ígra
295,Gesellschaft::N,חברה,drúžba
296,Hilfe::N,עזרה,pomóč
297,Freund::N,חבר,prijátelj
298,Freund::N,ידיד,prijátelj
299,Kamerad::N,רע,továriš
300,Angelegenheit::N,ענין,zadéva
301,Anzahl::N,מספר,števílo
302,Art::N,סוג,vŕsta
303,Stück::N,חתיכה,kós
304,Teil::N,פרק,dél
305,Hälfte::N,חצי,polovíca
306,Kreis::N,מעגל,króg
307,Kreis::N,מעגל,kolobár
308,Kreuz::N,צלב,kríž
309,Linie::N,קו,próga
310,Strich::N,קו קצר,čŕta
311,Abstand::N,מרחק,preslédek
312,Entfernung::N,מרחק,oddáljenost
313,Gegend::N,נוף,kràj
314,Gegend::N,נוף,dežêla
315,Platz::N,שטח,prôstor
316,Ort::N,אתר,mésto
317,Ort::N,מקום,mésto
318,Seite::N,צד,bòk
319,Seite::N,צד,strán
320,Mitte::N,אמצע,sredína
321,Gegenstand::N,אוביקט,prédmet
322,Sache::N,דבר,réč
323,Sache::N,דבר,stvár
324,Rand::N,פרור,kràj
325,Kante::N,קצה,rób
326,Ecke::N,פנה,vogál
327,Spitze::N,קצה,óst
328,Ende::N,סוף,kônec
329,Loch::N,חר,lúknja
330,Winkel::N,פנה,kót
331,Muster::N,תבנית,vzórec
332,Größe::N,גדל,veličína
333,Länge::N,ארך,dolžína
334,Höhe::N,קומה,vršína
335,Höhe::N,גבה,vršína
336,Gewicht::N,משקל,téža
337,Menge::N,כמות,količína
338,Haufen::N,ערמה,kùp
339,Haufen::N,ערמה,kopíca
340,Reihe::N,רצף,níz
341,Reihe::N,רצף,vŕsta
342,Boot::N,סירה,čóln
343,Ruder::N,משוט,vêslo
344,Schlitten::N,מזחלת,saní
345,Ski::N,מגלשים,smučí
346,Lagerfeuer::N,מדורה,táborni ôgenj
347,Last::N,משא,tôvor
348,Gang::N,הליכה,hòd
349,Schritt::N,צעד,korák
350,Norden::N,צפון,séver
351,Süden::N,דרום,júg
352,Westen::N,מערב,zapàd
353,Osten::N,מזרח,vzhòd
354,Holz::N,עץ,lés
355,Brett::N,קרש,deskà
356,Platte::N,לוח,plôča
357,Stütze::N,משען,opóra
358,Stütze::N,משען,zaslómba
359,Stange::N,מוט,gréd
360,Stock::N,מקל,pálica
361,Stab::N,מוט,pálica
362,Rohr::N,צנור,cév
363,Haus::N,בית,híša
364,Heim::N,בית,dóm
365,Ofen::N,תנור,péč
366,Fußboden::N,רצפה,pòd
367,Tisch::N,שלחן,míza
368,Stuhl::N,כסא,stòl
369,Wiege::N,ערש,zíbel
370,Bett::N,מטה,póstelja
371,Regal::N,מדף,políca
372,Kiste::N,תבה,zabòj
373,Kiste::N,ארגז,zabòj
374,Fenster::N,חלון,ôkno
375,Tür::N,דלת,vráta
376,Tor::N,שער,velíka vráta
377,Zaun::N,גדר,ográja
378,Dach::N,גג,stréha
379,Leiter::N,סלם,léstev
380,Besen::N,מטאטא,mêtla
381,Spaten::N,את,lopáta
382,Schaufel::N,את,lopáta
383,Gabel::N,מזלג,vílice
384,Löffel::N,כף,žlíca
385,Messer::N,סכין,nòž
386,Nagel::N,מסמר,žebèlj
387,Netz::N,רשת,mréža
388,Haken::N,וו,kljúka
389,Haken::N,קרס,kljúka
390,Griff::N,ידית,ročáj
391,Griff::N,ידית,oprijèm
392,Schloss::N,מנעול,ključávnica
393,Bild::N,תמונה,slíka
394,Figur::N,פסל,figúra
395,Figur::N,פסל,postáva
396,Puppe::N,בבה,lútka
397,Beutel::N,שק,môšnja
398,Bündel::N,צרור,cúla
399,Bündel::N,צרור,svéženj
400,Tasche::N,שקית,tórba
401,Tasche::N,שקית,tobôlec
402,Eimer::N,דלי,vêdro
403,Deckel::N,מכסה,pokròv
404,Deckel::N,מכסה,poklópec
405,Geschirr::N,כלים,posóda
406,Sack::N,שק,vréča
407,Tasse::N,ספל,skodélica
408,Topf::N,סיר,lônec
