,Concept_ID,la,he
0,Auge::N,oculus,עין
1,Ohr::N,auris,אזן
2,Nase::N,nasus,אף
3,Nase::N,nasus,חטם
4,Mund::N,os,פה
5,Zahn::N,dens,שן
6,Zunge::N,lingua,לשון
7,Lippe::N,labrum,שפה
8,Wange::N,gena,לחי
9,Gesicht::N,vultus,פנים
10,Stirn::N,frons,מצח
11,Haar::N,capillus,שערה
12,Schnurrbart::N,barba labri superioris,שפם
13,Bart::N,barba,זקן
14,Kinn::N,mentum,סנטר
15,Kiefer[Anatomie]::N,mala,לסת
16,Kehle::N,iugulums,גרון
17,Hals::N,collum,צואר
18,Genick::N,cervices,ערף
19,Kopf::N,caput,ראש
20,Rücken::N,tergum,גב
21,Bauch::N,venter,בטן
22,Nabel::N,umbilicus,טבור
23,Busen::N,sinus,שד
24,Brust::N,pectus,חזה
25,Schulter::N,umerus,כתף
26,Arm::N,bracchium,זרוע
27,Ellenbogen::N,cubitum,מרפק
28,Hand::N,manus,יד
29,Handfläche::N,palma,כף יד
30,Finger::N,digitus,אצבע
31,Fingernagel::N,unguiculus,צפרן
32,Nagel[Anatomie]::N,unguis,צפרן
33,Zeh::N,digitus,אצבע
34,Fuß::N,pes,רגל
35,Ferse::N,calx,עקב
36,Knie::N,genu,ברך
37,Oberschenkel::N,femur,ירך
38,Bein::N,crus,רגל
39,Körper::N,corpus,גוף
40,Haut::N,cutis,עור
41,Haut::N,pellis,עור
42,Blut::N,sanguis,דם
43,Ader::N,vena,וריד
44,Sehne::N,nervus,גיד
45,Knochen::N,os,עצם
46,Gehirn::N,cerebrum,מוח
47,Herz::N,cor,לב
48,Herz::N,animus,לב
49,Magen::N,stomachus,קבה
50,Leber::N,iecur,כבד
51,Atem::N,spiritus,נשימה
52,Hunger::N,fames,רעב
53,Träne::N,lacrima,דמעה
54,Geschmack::N,sapor,טעם
55,Geschmack::N,gustus,טעם
56,Geruch::N,odor,ריח
57,Schlaf::N,somnus,שנה
58,Traum::N,somnium,חלום
59,Himmel::N,caelum,שמים
60,Sonne::N,sol,שמש
61,Mond::N,luna,ירח
62,Stern::N,sidus,כוכב
63,Stern::N,stella,כוכב
64,Luft::N,aer,אויר
65,Wind::N,ventus,רוח
66,Welle::N,unda,גל
67,Wasser::N,aqua,מים
68,Stein::N,lapis,אבן
69,Boden::N,solum,קרקע
70,Erde::N,terra,אדמה
71,Staub::N,pulvis,אבק
72,Rauch::N,fumus,עשן
73,Funke::N,scintilla,ניצוץ
74,Feuer::N,ignis,אש
75,Licht::N,lux,אור
76,Licht::N,lumen,אור
77,Schatten::N,umbra,צל
78,Wetter::N,caelum,מזג אויר
79,Wetter::N,tempestas,מזג אויר
80,Nebel::N,nebula,ערפל
81,Wolke::N,nubes,ענן
82,Regen::N,imber,גשם
83,Regen::N,pluvia,גשם
84,Schnee::N,nix,שלג
85,Eis::N,glacies,קרח
86,Frost::N,gelu,צנה
87,Kälte::N,frigus,קר
88,Hitze::N,calor,חם
89,Hitze::N,aestus,חם
90,Raureif::N,pruina,כפור
91,Regenbogen::N,arcus,קשת
92,Donner::N,tonitrus,רעם
93,Strömung::N,fluctus,זרימה
94,Tropfen::N,gutta,טפה
95,Schaum::N,spuma,קצף
96,Schmutz::N,sordes,לכלוך
97,Schmutz::N,squalor,לכלוך
98,See::N,lacus,אגם
99,Sumpf::N,palus,בצה
100,Moor::N,palus,בצה
101,Wiese::N,pratum,מרעה
102,Wald::N,silva,יער
103,Hügel::N,collis,תל
104,Anhöhe::N,specula,מעלה
105,Berg::N,mons,הר
106,Gipfel::N,vertex,פסגה
107,Höhle::N,caverna,מערה
108,Höhle::N,spelunca,מערה
109,Abhang::N,declivum,מדרון
110,Abhang::N,declivum,שפוע
111,Quelle::N,fons,מעין
112,Bach::N,rivus,נחל
113,Fluss::N,flumen,נהר
114,Ufer::N,ripa,גדה
115,Küste::N,litus,חוף
116,Festland::N,continens,יבשה
117,Meer::N,mare,ים
118,Bucht::N,sinus,מפרץ
119,Insel::N,insula,אי
120,Blume::N,flos,פרח
121,Gras::N,herba,דשא
122,Gras::N,gramen,דשא
123,Wurzel::N,radix,שרש
124,Baum::N,arbor,עץ
125,Stamm::N,truncus,גזע
126,Rinde::N,cortex,קלפת עץ
127,Ast::N,ramus,ענף
128,Zweig::N,ramus,ענף
129,Blatt::N,folium,עלה
130,Birke::N,betulla,שדר
131,Kiefer[Baum]::N,pinus,ארן
132,Weide[Baum]::N,salix,ערבה
133,Tanne::N,abies,אשוח
134,Horn::N,cornu,קרן
135,Feder::N,penna,נוצה
136,Fell::N,pellis,פרוה
137,Flügel::N,ala,כנף
138,Klaue::N,unguis,טלף
139,Kralle::N,unguis,טפר
140,Schwanz::N,cauda,זנב
