,Concept_ID,pl,ml
0,Auge::N,oko,കണ്ണ്
1,Ohr::N,ucho,ചെവി
2,Nase::N,nos,മൂക്ക്
3,Mund::N,usta,വായ
4,Zahn::N,ząb,പല്ല്
5,Zunge::N,język,നാക്ക്
6,Lippe::N,warga,ചുണ്ട്
7,Wange::N,policzek,കവിൾത്തടം
8,Gesicht::N,twarz,മുഖം
9,Stirn::N,czoło,നെറ്റി
10,Haar::N,włos,തലമുടി
11,Haar::N,włosy,തലമുടി
12,Schnurrbart::N,wąsy,മീശ
13,Bart::N,broda,താടിരോമം
14,Kinn::N,podbródek,താടി
15,Kiefer[Anatomie]::N,czeluść,താടിയെല്ല്
16,Kehle::N,gardło,കണ്ഠനാളം
17,Hals::N,szyja,കഴുത്ത്
18,Genick::N,kark,പിടലി
19,Kopf::N,głowa,തല
20,Rücken::N,plecy,മുതുക്
21,Rücken::N,grzbiet,മുതുക്
22,Bauch::N,brzuch,നയറ്
23,Nabel::N,pępek,നാഭി
24,Busen::N,biust,സ്തനം
25,Brust::N,pierś,സ്തനം
26,Schulter::N,bark,തോൾ
27,Schulter::N,ramię,തോൾ
28,Arm::N,ręka,കൈ
29,Arm::N,ramię,കൈ
30,Ellenbogen::N,łokieć,കൈമുട്ട്
31,Hand::N,dłoń,കൈ
32,Handfläche::N,dłoń,ഉള്ളം കൈ
33,Finger::N,palec,വിരൽ
34,Fingernagel::N,paznokieć,നഖം
35,Nagel[Anatomie]::N,paznokieć,നഖം
36,Zeh::N,palec,കാൽവിരൽ
37,Fuß::N,stopa,കാൽപ്പാദം
38,Ferse::N,pięta,ഉപ്പൂറ്റി
39,Knie::N,kolano,കാൽമുട്ട്
40,Oberschenkel::N,udo,തുട
41,Bein::N,noga,കാൽ
42,Körper::N,ciało,ശരീരം
43,Haut::N,skóra,ചർമ്മം
44,Blut::N,krew,രക്തം
45,Ader::N,żyła,ഞരമ്പ്
46,Sehne::N,ścięgno,സ്നായു
47,Knochen::N,kość,അസ്ഥി
48,Gehirn::N,mózg,തലച്ചോറ്
49,Herz::N,serce,ഹൃദയം
50,Magen::N,żołądek,വയർ
51,Leber::N,wątroba,കരൾ
52,Atem::N,dech,ശ്വാസം
53,Atem::N,oddech,ശ്വാസം
54,Hunger::N,głód,വിശപ്പ്
55,Träne::N,łza,കണ്ണീർ
56,Geschmack::N,smak,രുചി
57,Geruch::N,woń,ഗന്ധം
58,Geruch::N,zapach,ഗന്ധം
59,Schlaf::N,sen,ഉറകും
60,Traum::N,sen,സ്വപ്നം
61,Himmel::N,niebo,ആകാശം
62,Sonne::N,słońce,സൂര്യൻ
63,Mond::N,księżyc,ചന്ദ്രൻ
64,Stern::N,gwiazda,നക്ഷത്രം
65,Luft::N,powietrze,കാറ്റ്
66,Wind::N,wiatr,കാറ്റ്
67,Welle::N,fala,തിരമാല
68,Wasser::N,woda,വെള്ളം
69,Stein::N,kamień,ശില
70,Stein::N,kamień,കല്ല്
71,Boden::N,grunt,തറ
72,Boden::N,grunt,നിലം
73,Erde::N,ziemia,മണ്ണ്
74,Staub::N,pył,പൊടി
75,Staub::N,kurz,പൊടി
76,Rauch::N,dym,പുക
77,Funke::N,iskra,തീപ്പൊരി
78,Feuer::N,ogień,തീ
79,Licht::N,światło,വിളക്ക്
80,Licht::N,światło,സൂര്യപ്രകാശം
81,Schatten::N,cień,തണൽ
82,Wetter::N,pogoda,കാലാവസ്ഥ
83,Nebel::N,mgła,മൂടൽമഞ്ഞ്
84,Wolke::N,obłok,മേഘം
85,Wolke::N,chmura,മേഘം
86,Regen::N,deszcz,മഴ
87,Schnee::N,śnieg,മഞ്ഞ്
88,Eis::N,lód,ഐസ്
89,Frost::N,mróz,മൂടൽമഞ്ഞ്
90,Kälte::N,chłód,തണുപ്പ്
91,Hitze::N,gorąco,ചൂട്
92,Raureif::N,szron,കോടമഞ്ഞ്
93,Regenbogen::N,tęcza,മഴവില്ല്
94,Donner::N,grzmot,ഇടി
95,Strömung::N,nurt,പ്രവാഹം
96,Tropfen::N,kropla,തുള്ളി
97,Schaum::N,piana,നുര
98,Schmutz::N,brud,അഴുക്ക്
99,See::N,jezioro,തടാകം
100,Sumpf::N,bagno,ചതുപ്പുനിലം
101,Moor::N,bagno,പാഴ്നിലം
102,Wiese::N,łąka,പുൽത്തകിടി
103,Wald::N,las,വനം
104,Wald::N,las,കാട്
105,Hügel::N,pagórek,കുന്ന്
106,Anhöhe::N,wzgórze,ഉയർന്ന ഭൂമി
107,Berg::N,góra,പർവ്വതം
108,Gipfel::N,szczyt,ഉച്ചകോടി
109,Gipfel::N,wierzchołek,ഉച്ചകോടി
110,Höhle::N,pieczara,ഗുഹ
111,Abhang::N,stok,ചരിവ്
112,Abhang::N,zbocze,ചരിവ്
113,Quelle::N,zdrój,ഉറവിടം
114,Quelle::N,źródło,ഉറവിടം
115,Bach::N,potok,അരുവി
116,Bach::N,strumień,അരുവി
117,Fluss::N,rzeka,നദി
118,Ufer::N,brzeg,തീരം
119,Küste::N,wybrzeże,കടൽത്തീരം
120,Festland::N,ląd,കര
121,Meer::N,morze,കടൽ
122,Bucht::N,zatoka,ഉൾക്കടല്
123,Insel::N,wyspa,ദ്വീപ്
124,Blume::N,kwiat,പൂവ്
125,Gras::N,trawa,പുല്ല്
126,Wurzel::N,korzeń,വേര്
127,Baum::N,drzewo,മരം
128,Stamm::N,pień,തായ്ത്തടി
129,Rinde::N,kora,പട്ട
130,Ast::N,gałąź,ശാഖ
131,Zweig::N,gałąź,ശാഖ
132,Blatt::N,liść,ഇല
133,Birke::N,brzoza,പൂവരശ്
134,Kiefer[Baum]::N,sosna,പൈൻമരം
135,Weide[Baum]::N,wierzba,വില്ലോ
136,Tanne::N,jodła,ദേവദാരു
137,Horn::N,róg,മൃഗത്തിൻറെ കൊമ്പ്
138,Feder::N,pióro,തൂവൽ
139,Fell::N,futro,മൃദുരോമം
140,Flügel::N,skrzydło,ചിറക്
141,Klaue::N,szpon,നഖം
142,Kralle::N,pazur,നഖം
143,Schwanz::N,ogon,വാൽ
144,Ei::N,jajko,മുട്ട
145,Nest::N,gniazdo,കൂട്
146,Bau::N,nora,മാളം
147,Tier::N,zwierzę,മൃഗം
148,Herde::N,stado,കൂട്ടം
149,Herde::N,trzoda,കൂട്ടം
150,Kuh::N,krowa,പശു
151,Bulle::N,byk,കാള
152,Pferd::N,koń,കുതിര
153,Schaf::N,owca,ആട്
154,Schwein::N,świnia,പന്നി
155,Hund::N,pies,നായ്
156,Katze::N,kot,പൂച്ച
157,Katze::N,kotka,പൂച്ച
158,Bär::N,niedźwiedż,കരടി
159,Eichhörnchen::N,wiewiórka,അണ്ണാൻ
160,Elch::N,łóś,കടമാന്
161,Fuchs::N,lis,കുറുക്കൻ
162,Hase::N,zając,മുയൽ
163,Maus::N,mysz,ചുണ്ടലി
164,Wolf::N,wilk,ചെന്നായ
165,Vogel::N,ptak,പക്ഷി
166,Schwarm::N,stado,കൂട്ടം
167,Huhn::N,kura,കോഴി
168,Hahn::N,kogut,പൂവൻകോഴി
169,Gans::N,gęś,അരയന്നം
170,Adler::N,orzeł,കഴുകൻ
171,Ente::N,kaczka,താറാവ്
172,Eule::N,sowa,മൂങ്ങ
173,Kranich::N,żuraw,കൊക്ക്
174,Krähe::N,wrona,കാക്ക
175,Kuckuck::N,kukułka,കുയിൽ
176,Schwan::N,łabędż,അരയന്നം
177,Fisch::N,ryba,മത്സ്യം
178,Barsch::N,okoń,ഒരിനം മത്സ്യം
179,Hecht::N,szczupak,ഒരു മത്സ്യം
180,Schlange[Tier]::N,wąż,പാമ്പ്
181,Schlange[Tier]::N,żmija,പാമ്പ്
182,Wurm::N,robak,വിര
183,Spinne::N,pająk,ചിലന്തി
184,Ameise::N,mrówka,ഉറുമ്പ്
185,Laus::N,wesz,പേന്
186,Mücke::N,komar,മശകം
187,Fliege::N,mucha,ഈച്ച
188,Schmetterling::N,motyl,ചിത്രശലഭം
189,Beere::N,jagoda,ബെറി
190,Apfel::N,jabłko,ആപ്പിൾ
191,Pilz::N,grzyb,കൂൺ
192,Zwiebel::N,cebula,സവാള
193,Saat::N,siew,വിത്ത്
194,Korn::N,ziarno,ധാന്യം
195,Heu::N,siano,വയ്ക്കോൽ
196,Schale::N,łupina,തൊലി
197,Grube::N,dół,കുഴി
198,Grube::N,jama,കുഴി
199,Falle::N,pułapka,കെണി
200,Schlinge::N,sidła,കുടുക്ക്
201,Spur::N,ślad,ചുവട്
