,Concept_ID,es,eu
0,Auge::N,ojo,begi
1,Ohr::N,oreja,belarri
2,Nase::N,nariz,sudur
3,Mund::N,boca,aho
4,Zahn::N,diente,hortz
5,Zunge::N,lengua,mihi
6,Lippe::N,labio,ezpain
7,Wange::N,mejilla,masail
8,Gesicht::N,cara,aurpegi
9,Stirn::N,frente,bekoki
10,Haar::N,cabello,ile
11,Haar::N,cabello,bilo
12,Schnurrbart::N,bigote,bibote
13,Schnurrbart::N,bigote,sudurpeko
14,Bart::N,barba,bizar
15,Kinn::N,barbilla,kokots
16,Kiefer[Anatomie]::N,mandíbula,masailezur
17,Kehle::N,garganta,eztarri
18,Hals::N,cuello,sama
19,Genick::N,nuca,garondo
20,Genick::N,cerviz,garondo
21,Kopf::N,cabeza,buru
22,Rücken::N,espalda,bizkar
23,Bauch::N,vientre,sabel
24,Nabel::N,ombligo,zilbor
25,Busen::N,pecho,titi
26,Busen::N,pecho,ugatz
27,Brust::N,pecho,bular
28,Schulter::N,hombro,besaburu
29,Arm::N,brazo,beso
30,Ellenbogen::N,codo,ukondo
31,Hand::N,mano,esku
32,Handfläche::N,palma,ahur
33,Finger::N,dedo,hatz
34,Fingernagel::N,uña,azazkal
35,Nagel[Anatomie]::N,uña,azazkal
36,Zeh::N,dedo del pie,behatz
37,Fuß::N,pie,oin
38,Ferse::N,talón,orpo
39,Ferse::N,talón,oinburu
40,Knie::N,rodilla,belaun
41,Oberschenkel::N,muslo,izter
42,Bein::N,pierna,zango
43,Körper::N,cuerpo,soin
44,Haut::N,piel,azal
45,Blut::N,sangre,odol
46,Ader::N,vena,zain
47,Sehne::N,tendón,gihar-zain
48,Knochen::N,hueso,hezur
49,Gehirn::N,cerebro,garun
50,Gehirn::N,cerebro,burmuin
51,Gehirn::N,encéfalo,garun
52,Gehirn::N,encéfalo,burmuin
53,Herz::N,corazón,bihotz
54,Magen::N,estómago,urdail
55,Leber::N,hígado,gibel
56,Atem::N,aliento,hats
57,Atem::N,aliento,arnasa
58,Hunger::N,hambre,gose
59,Träne::N,lágrima,malko
60,Geschmack::N,gusto,dasta
61,Geruch::N,olor,usain
62,Schlaf::N,sueño,lo
63,Traum::N,sueño,amets
64,Traum::N,ensueño,amets
65,Himmel::N,cielo,zeru
66,Sonne::N,sol,eguzki
67,Mond::N,luna,ilargi
68,Stern::N,estrella,izar
69,Luft::N,aire,aire
70,Wind::N,viento,haize
71,Welle::N,ola,uhin
72,Welle::N,ola,olatu
73,Welle::N,onda,uhin
74,Welle::N,onda,olatu
75,Wasser::N,agua,ur
76,Stein::N,piedra,harri
77,Boden::N,suelo,lur
78,Boden::N,suelo,zoru
79,Erde::N,tierra,lur
80,Staub::N,polvo,hauts
81,Rauch::N,humo,ke
82,Funke::N,chispa,zirta
83,Funke::N,chispa,txinparta
84,Feuer::N,fuego,su
85,Licht::N,luz,argi
86,Schatten::N,sombra,itzal
87,Schatten::N,sombra,geriza
88,Wetter::N,tiempo,eguraldi
89,Nebel::N,niebla,laino
90,Wolke::N,nube,hodei
91,Regen::N,lluvia,euri
92,Schnee::N,nieve,elur
93,Eis::N,hielo,horma
94,Frost::N,helada,izotzaldi
95,Kälte::N,frío,hotz
96,Hitze::N,calor,bero
97,Raureif::N,escarcha,antzigar
98,Regenbogen::N,arco iris,ostadar
99,Regenbogen::N,arco iris,ortzadar
100,Donner::N,trueno,ostots
101,Donner::N,trueno,ihurtzuri
102,Strömung::N,corriente,laster
103,Tropfen::N,gota,xorta
104,Schaum::N,espuma,bits
105,Schmutz::N,suciedad,lohi
106,Schmutz::N,suciedad,zikin
107,See::N,lago,laku
108,See::N,lago,aintzira
109,Sumpf::N,pantano,zingira
110,Moor::N,turbera,zohikaztegi
111,Wiese::N,prado,larre
112,Wiese::N,prado,belardi
113,Wiese::N,pradera,larre
114,Wiese::N,pradera,belardi
115,Wald::N,bosque,baso
116,Wald::N,bosque,oihan
117,Hügel::N,colina,muino
118,Hügel::N,colina,pentoka
119,Anhöhe::N,cerro,garai
120,Anhöhe::N,cerro,goragune
121,Berg::N,monte,mendi
122,Berg::N,montaña,mendi
123,Gipfel::N,cima,gain
124,Gipfel::N,cima,tontor
125,Gipfel::N,cumbre,gain
126,Gipfel::N,cumbre,tontor
127,Höhle::N,cueva,kobazulo
128,Höhle::N,caverna,kobazulo
129,Abhang::N,cuesta,aldapa
130,Abhang::N,declive,aldapa
131,Quelle::N,fuente,iturri
132,Quelle::N,fuente,iturbegi
133,Quelle::N,manantial,iturri
134,Quelle::N,manantial,iturbegi
135,Bach::N,arroyo,lats
136,Bach::N,arroyo,erreka
137,Fluss::N,río,ibai
138,Fluss::N,río,uhaitz
139,Ufer::N,orilla,bazter
140,Küste::N,costa,itsasalde
141,Festland::N,tierra firme,lehor
142,Meer::N,mar,itsaso
143,Bucht::N,cala,golko
144,Bucht::N,bahía,golko
145,Insel::N,isla,irla
146,Insel::N,isla,uharte
147,Blume::N,flor,lili
148,Gras::N,hierba,belar
149,Wurzel::N,raíz,zuztar
