,Concept_ID,cy,uz
0,Auge::N,llygad,ko'z
1,Ohr::N,clust,quloq
2,Nase::N,trwyn,burun
3,Mund::N,ceg,og'iz
4,Zahn::N,dant,tish
5,Zunge::N,tafod,til
6,Lippe::N,gwefus,dudoq
7,Wange::N,boch,bet
8,Gesicht::N,wyneb,yuz
9,Stirn::N,talcen,manglay
10,Haar::N,blew,soch
11,Schnurrbart::N,mwstas,mo'ylov
12,Bart::N,barf,soqol
13,Kinn::N,gên,ängak
14,Kiefer[Anatomie]::N,gên,iyak
15,Kehle::N,gwddf,bo'g'iz
16,Hals::N,gwddf,bo'yin
17,Genick::N,gwar,gardan
18,Genick::N,gwegil,gardan
19,Kopf::N,pen,bosh
20,Rücken::N,cefn,orqa
21,Bauch::N,bol,qorin
22,Nabel::N,bogail,kindik
23,Busen::N,bron,ämchak
24,Brust::N,brest,ko'krak
25,Schulter::N,ysgwydd,elka
26,Arm::N,braich,bilak
27,Ellenbogen::N,penelin,tirsak
28,Hand::N,llaw,qo'l
29,Handfläche::N,palf,kaft
30,Finger::N,bys,barmoq
31,Fingernagel::N,ewin,tirnoq
32,Nagel[Anatomie]::N,ewin,tirnoq
33,Zeh::N,bys troed,oyoq barmog'i
34,Fuß::N,troed,oyoq
35,Ferse::N,sawdl,tovon
36,Knie::N,glin,tiz
37,Oberschenkel::N,clun,son
38,Bein::N,coes,oyoq
39,Körper::N,corff,badna
40,Haut::N,croen,teri
41,Blut::N,gwaed,qon
42,Ader::N,gwythïen,qon tomir
43,Sehne::N,gewyn,tomir
44,Knochen::N,asgwrn,suyak
45,Gehirn::N,ymennydd,miya
46,Herz::N,calon,qalb
47,Magen::N,cylla,oshqozon
48,Magen::N,stumog,oshqozon
49,Leber::N,iau,bag'ir
50,Atem::N,anadl,dam
51,Hunger::N,newyn,ochlik
52,Träne::N,deigryn,yosh
53,Geschmack::N,cyflas,tam
54,Geruch::N,aroglau,jid
55,Schlaf::N,cwsg,uyqu
56,Traum::N,breuddwyd,tush
57,Himmel::N,awyr,osmon
58,Sonne::N,haul,quyosh
59,Mond::N,lleuad,oy
60,Stern::N,seren,yulduz
61,Luft::N,awyr,havo
62,Wind::N,gwynt,el
63,Welle::N,ton,to'lqin
64,Wasser::N,dŵr,suv
65,Stein::N,carreg,tosh
66,Boden::N,llawr,tuproq
67,Erde::N,pridd,er
68,Staub::N,llwch,chang
69,Rauch::N,mwg,tutun
70,Funke::N,gwreichioni,yalt
71,Feuer::N,tân,o't
72,Licht::N,golau,yorug'
73,Schatten::N,cysgod,soya
74,Wetter::N,tywydd,havo
75,Nebel::N,niwl,tuman
76,Wolke::N,cwmwl,bulut
77,Regen::N,glaw,yomg'ir
78,Schnee::N,ôd,qor
79,Schnee::N,eira,qor
80,Eis::N,iâ,muz
81,Frost::N,rhew,ajoz
82,Kälte::N,oerni,ajoz
83,Kälte::N,annwyd,ajoz
84,Hitze::N,gwres,issiq
85,Raureif::N,barrug,qirov
86,Regenbogen::N,enfys,kamalak
87,Donner::N,tyrfau,guldur
88,Strömung::N,cerrynt,oqim
89,Tropfen::N,dafn,tomchi
90,Tropfen::N,diferyn,tomchi
91,Schaum::N,ewyn,ko'pik
92,Schmutz::N,baw,gard
93,Schmutz::N,budreddi,gard
94,See::N,llyn,ko'l
95,Sumpf::N,cors,botqoq
96,Moor::N,rhos,qir-adir
97,Wiese::N,dôl,o'tzor
98,Wald::N,coedwig,o'rmon
99,Hügel::N,bryn,tepa
100,Anhöhe::N,bryn,adir
