,Concept_ID,ko,mrj
0,Auge::N,눈,сӹнзӓ
1,Ohr::N,귀,пӹлӹш
2,Nase::N,코,нер
3,Mund::N,입,ышма
4,Zahn::N,이,пӱ
5,Zunge::N,혀,йӹлмӹ
6,Lippe::N,입술,тӹрвӹ
7,Wange::N,뺨,шӹргӹ
8,Gesicht::N,얼굴,лицӓ
9,Stirn::N,이마,лепкӓ
10,Haar::N,털,ӱп
11,Schnurrbart::N,윗수몀,öрш
12,Schnurrbart::N,코밑수염,öрш
13,Bart::N,수엄,пандаш
14,Kinn::N,아래턱,онгылаш
15,Kiefer[Anatomie]::N,턱,пӱ арата
16,Kehle::N,인후,логер
17,Hals::N,목,шӱ
18,Genick::N,먹덜이,ланга
19,Kopf::N,머리,вуй
20,Rücken::N,든,туп
21,Bauch::N,배,мӹшкӹр
22,Nabel::N,배꼽,кӹлӹмдӹ
23,Busen::N,가슴속,цӹзӹ
24,Brust::N,가슴,мел
25,Schulter::N,어깨,ӹнгӹжӓ
26,Arm::N,팔,кид
27,Ellenbogen::N,팔쿰치,кӹнервуй
28,Hand::N,손,лапа
29,Handfläche::N,손바닥,кид лапа
30,Finger::N,속가락,парня
31,Fingernagel::N,손톱,кӹч
32,Nagel[Anatomie]::N,손톱,кӹч
33,Zeh::N,발가락,парня
34,Fuß::N,발,ял лапа
35,Ferse::N,발꿈치,ялгавал
36,Ferse::N,발꿈치,ял кавал
37,Knie::N,무릎,пылвуй
38,Oberschenkel::N,허벅다리,ӓрдӹ
39,Bein::N,다리,ял
40,Körper::N,구간,монгыр
41,Haut::N,살갗,кавашты
42,Blut::N,피,вӹр
43,Ader::N,정맥,вӹршӓр
44,Sehne::N,현,кукшышӱн
45,Knochen::N,뼈,лу
46,Gehirn::N,뇌,вим
47,Gehirn::N,뇌수,вим
48,Herz::N,염통,шӱм
49,Magen::N,위,шӱм
50,Leber::N,간,мокш
51,Atem::N,기식,шӱлӹш
52,Hunger::N,공복,шужымаш
53,Träne::N,눈물,сӹнзӓвӹд
54,Geschmack::N,기호,тот
55,Geruch::N,냄새,пыш
56,Schlaf::N,수면,ом
57,Traum::N,쿰,ом
58,Himmel::N,하늘,пӹлгом
59,Sonne::N,해,кечӹ
60,Mond::N,달,тӹлзӹ
61,Stern::N,별,шӹдӹр
62,Luft::N,동준,юж
63,Luft::N,동준,воздух
64,Luft::N,가스채,юж
65,Luft::N,가스채,воздух
66,Wind::N,바람,мардеж
67,Welle::N,물결,ко
68,Welle::N,물결,коэ
69,Wasser::N,물,вӹд
70,Stein::N,돌,кӱ
71,Boden::N,바닥,рок
72,Erde::N,흙,свет
73,Staub::N,먼지,пырак
74,Rauch::N,연기,шӹкш
75,Funke::N,불티,ип
76,Funke::N,불티,тылип
77,Feuer::N,불,тыл
78,Licht::N,불,соты
79,Licht::N,불,валгыды
80,Schatten::N,어스레함,ӹмӹл
81,Wetter::N,기상,игечӹ
82,Nebel::N,안개,тӹтӹрӓ
83,Wolke::N,구름,пӹл
84,Regen::N,비,юр
85,Schnee::N,눈,лым
86,Eis::N,얼음,и
87,Frost::N,혹한,ӱштӹ
88,Kälte::N,추위,ӱштӹ
89,Kälte::N,차가움,ӱштӹ
90,Hitze::N,고온,шокшы
91,Hitze::N,더위,шокшы
92,Regenbogen::N,무지개,шанавӹл
93,Donner::N,뇌명,хӹдӹртӹш
94,Strömung::N,유동,йогы
95,Tropfen::N,물방울,капльы
96,Tropfen::N,물방울,капльык
97,Schaum::N,포말,шонг
98,Schmutz::N,때,лявӹрӓ
99,See::N,호수,йӓр
100,Sumpf::N,습지,лӱкӹ
101,Moor::N,저습지,куп
102,Wiese::N,목초지,алык
103,Wald::N,숲,шӹргӹ
104,Hügel::N,언덕,пӱгӹрикӓ
105,Anhöhe::N,언덕,кӱкшикӓ
106,Berg::N,산,кырык
107,Gipfel::N,졀졍,неркӓ
108,Höhle::N,공동,ы́раж
109,Abhang::N,몰매,полом
110,Quelle::N,근원,вӹдсӹнзӓ
111,Bach::N,내,ӓнгӹр
112,Fluss::N,강,вӹд
113,Ufer::N,강변,сир
114,Ufer::N,바닷가,сир
115,Küste::N,해변,сир
116,Küste::N,해변가,сир
117,Festland::N,본토,мӱлӓндӹ
118,Meer::N,바다,тангыж
119,Bucht::N,협만,вӹдъял
120,Insel::N,섬,острок
121,Blume::N,꽃,пеледӹш
122,Gras::N,풀,шуды
123,Wurzel::N,뿌리,важ
124,Baum::N,나무,пушӓнгӹ
125,Stamm::N,대,пушӓнгӹ тӹнг
126,Rinde::N,나무껍질,каргыж
127,Ast::N,가지,укш
128,Zweig::N,가지,укш
129,Blatt::N,잎,листӹ
130,Birke::N,자작나무,куги
131,Kiefer[Baum]::N,소나무,йӓктӹ
132,Weide[Baum]::N,쉬양버들,уа
133,Tanne::N,전나무,кож
134,Horn::N,뿔,шур
135,Feder::N,깃털,пын
136,Fell::N,피혁모피,кавашты
137,Flügel::N,날개,шылдыр
138,Klaue::N,갈고리 발톺,кӹч
139,Kralle::N,발툭,лапа
140,Schwanz::N,꼬리,пач
141,Ei::N,알,мыны
142,Nest::N,보금자리,пӹжӓш
143,Bau::N,굴,ыраж
144,Tier::N,짐승,во́льык
145,Herde::N,가축의떼,кӹтö
146,Kuh::N,암소,ышкал
147,Bulle::N,황소,ӱшкӱж
148,Pferd::N,말,имни
149,Schaf::N,양,шарык
150,Schwein::N,돼지,сасна
151,Hund::N,개,пи
152,Katze::N,고양이,коти
153,Bär::N,콤,мöскӓ
154,Eichhörnchen::N,다람쥐,ур
155,Elch::N,고라니,шарды
156,Fuchs::N,여우,рӹвӹж
157,Hase::N,토끼,морен
158,Maus::N,쥐,каля
159,Wolf::N,늑대,пирӹ
160,Vogel::N,새,кек
161,Schwarm::N,뗴,цуца
162,Huhn::N,암탉,цӹвӹ
163,Hahn::N,수탉,ӓптӓн
164,Gans::N,거위,комбы
165,Adler::N,수리,кучкыж
166,Ente::N,오리,лыды
167,Eule::N,부엉이,тымана
168,Kranich::N,두루미,тырня
169,Kranich::N,두루미,тыртня
170,Krähe::N,까마귀,лудыгарак
171,Kuckuck::N,뻐꾸기,куку
172,Schwan::N,배조,йӱксӹ
173,Fisch::N,물고기,кол
174,Barsch::N,농어,алангы
175,Hecht::N,에속스,нуж
176,Hecht::N,에속스,нужгол
177,Schlange[Tier]::N,뱀,кӹшкы
178,Wurm::N,벌레,шукш
179,Spinne::N,거미,ӓнгӹремшӹ
180,Ameise::N,개미,кыткы
181,Laus::N,이,ти
182,Mücke::N,모기,кужнер
183,Mücke::N,모기,кужынер
184,Fliege::N,날기,шӹнгӓ
185,Schmetterling::N,나비,лӹпӹ
186,Beere::N,장과,мöр
187,Apfel::N,사과,олма
188,Pilz::N,고방이,понгы
189,Zwiebel::N,양파,охыра
190,Saat::N,씨,нӱшмӹ
191,Saat::N,씨,нӱшмӱ
192,Korn::N,알맹이,пӹрцӹ
193,Heu::N,건초,шуды
194,Schale::N,피상,аваха
195,Schale::N,피상,карлангы
196,Falle::N,함정,лӱдӹ
197,Falle::N,함정,лӱдӹш
198,Schlinge::N,올가미,онгы
199,Schlinge::N,멜빵붕대,онгы
200,Spur::N,발지국,кишӓ
201,Asche::N,재,ломых
202,Asche::N,재,ломпыж
203,Dreck::N,똥,лявӹрӓ
204,Dreck::N,오물,лявӹрӓ
205,Eisen::N,쇠,кӹртни
206,Eisen::N,철,кӹртни
207,Gold::N,항금,шöртни
208,Gold::N,항금,шöртньӹ
209,Silber::N,은,ши
210,Kohle::N,슻,шӱ
211,Glas::N,유리,охоница
212,Lehm::N,찰흙,шун
213,Sand::N,모래,ошма
214,Mensch::N,사람,эдем
215,Mann::N,남자,пӱэргӹ
216,Frau::N,여자,ӹдӹрӓмӓш
217,Kind::N,아이,ӓзӓ
218,Kind::N,아이,шачшы
219,Junge::N,소녁,рвезӹ
220,Junge::N,소녁,ӹрвезӹ
221,Mädchen::N,소녀,ӹдӹрӓш
222,Familie::N,가족,йиш
223,Familie::N,가족,семня
224,Großvater::N,할아버지,тьоти
225,Großmutter::N,할머니,папа
226,Eltern::N,어버오,ӓтя-ӓвӓ
227,Vater::N,아버지,ӓтя
228,Mutter::N,어머니,ӓвӓ
229,Sohn::N,아들,эргӹ
230,Tochter::N,딸기,ӹдӹр
231,Bruder::N,형제,ӹза
232,Schwester::N,누이,ӓкӓ
233,Onkel::N,백부,кугуза
234,Tante::N,아주머니,куака
235,Ehemann::N,남편,мары
236,Ehefrau::N,아내,вӓтӹ
237,Freude::N,기쁨,ӹвӹртӹмӓш
238,Gelächter::N,웃음,ваштылмаш
239,Glück::N,즐거움,пиӓл
240,Kummer::N,슬픔,ясы
241,Wunsch::N,소망,охата
242,Wunsch::N,소망,шанымаш
243,Geist::N,할기,тух
244,Gedanke::N,상념,шанымаш
245,Gedächtnis::N,기억,ӓш
246,Verstand::N,분별,ыш
247,Verstand::N,지능,ыш
248,Sinn::N,센스,кын
249,Grund::N,까닭,вир
250,Wahrheit::N,참,тöр
251,Wahrheit::N,진실,тöр
252,Gespräch::N,대화,хытырымаш
253,Märchen::N,동화,ямак
254,Erzählung::N,이야기,шайыштмаш
255,Neuigkeit::N,뉴스,увер
256,Name::N,이름,лӹм
257,Rätsel::N,수수께끼,тышты
258,Rede::N,연설,шая
259,Rede::N,연설,шамак
260,Sprache::N,말,йӹлмӹ
261,Stimme::N,목소리,юк
262,Wort::N,낱말,шамак
263,Zeichen::N,신호,палӹ
264,Ruf::N,부름,сӹгӹрӹмӓш
265,Lärm::N,소동,юкланымащ
266,Laut::N,음성,юк
267,Ton::N,목소리,юк
268,Lied::N,노래,мыры
269,Ruhe::N,쉼,тыр
270,Leute::N,사람들,эдемвлӓ
271,Volk::N,국중,халык
272,Arbeit::N,근로,пӓшӓ
273,Arbeit::N,너무,пӓшӓ
274,Gast::N,손님,хына
275,Geschenk::N,행하,подарка
276,Spiel::N,무리,мадыш
277,Gesellschaft::N,교제,йӓл
278,Gesellschaft::N,교제,йӓлвлӓ
279,Hilfe::N,거들음,палшык
280,Hilfe::N,보좌,палшык
281,Freund::N,친구,тӓнг
282,Kamerad::N,동실자,тос
283,Angelegenheit::N,용무,дела
284,Angelegenheit::N,용무,йела
285,Angelegenheit::N,용무,йыла
286,Angelegenheit::N,용무,пӓшӓ
287,Anzahl::N,어떤,шот
288,Anzahl::N,수,шот
289,Art::N,정류,цӹре
290,Stück::N,일부분,лаштык
291,Teil::N,몱,пай
292,Teil::N,몱,часть
293,Teil::N,구훠,пай
294,Teil::N,구훠,часть
295,Hälfte::N,2분의,пел
296,Kreis::N,고리,тӹртӹш
297,Kreuz::N,열십자,крестӹ
298,Linie::N,선,
299,Strich::N,스침,
300,Abstand::N,거리,ло
301,Entfernung::N,거리,ло
302,Gegend::N,곳,вӓр
303,Gegend::N,부금,вӓр
304,Platz::N,장소,вӓр
305,Ort::N,장소,вӓр
306,Seite::N,옆면,öрдӹж
307,Mitte::N,궁간,ло
308,Gegenstand::N,항목,хӓдӹр
309,Sache::N,뭉에,хӓдӹр
310,Rand::N,가,шöр
311,Kante::N,귀퉁,шöр
312,Ecke::N,구석,лык
313,Spitze::N,끝,вуй
314,Spitze::N,참단,вуй
315,Ende::N,말당,вуй
316,Ende::N,말당,мычаш
317,Loch::N,빙옷,ыраж
318,Winkel::N,각도,лык
319,Muster::N,본,тӹрлец
320,Muster::N,견복,тӹрлец
321,Größe::N,신장,кӱкшӹц
322,Länge::N,길이긺,кыт
323,Höhe::N,높이,кӱкшӹц
324,Gewicht::N,추,нелӹц
325,Menge::N,수양,шот
326,Haufen::N,퇴적,ара
327,Reihe::N,열,ряд
328,Boot::N,보트,пыш
329,Ruder::N,노,вешлӓ
330,Schlitten::N,썰매,тир
331,Ski::N,스키,ечӹ
332,Lagerfeuer::N,캠프의 모닥불,тыл
333,Last::N,무거운짐,нелӹц
334,Gang::N,걸음,ход
335,Schritt::N,보조,ашкыл
336,Norden::N,북쪽 ,йыдпелвел
337,Süden::N,남쪽,кечӹвӓлвел
338,Westen::N,서쪽,кечӹ шӹцмӹ
339,Osten::N,동쪽,ирвел
340,Osten::N,동쪽,кечӹ лӱлтмӹ
341,Holz::N,목재,пушӓнгӹ
342,Brett::N,마루널,ханга
343,Platte::N,탤,плитӓ
344,Platte::N,금속판,плитӓ
345,Stütze::N,버팀목,цӓрӓк
346,Stange::N,장대,равы
347,Stange::N,장대,намаш
348,Stock::N,막대기,панды
349,Stab::N,작대기,равы
350,Rohr::N,갈대,пыч
351,Haus::N,집,пöрт
352,Heim::N,집,пöрт
353,Ofen::N,아궁이,камака
354,Fußboden::N,마루,седӹрӓ
355,Tisch::N,탁자,стöл
356,Stuhl::N,의자,пöкен
357,Wiege::N,발상지,шипкӓ
358,Bett::N,침대,койка
359,Bett::N,침대,кравать
360,Regal::N,서가,полицӓ
361,Kiste::N,짐궤,шӱ́ндӹк
362,Fenster::N,눔,окня
363,Tür::N,문,амаса
364,Tor::N,대문,хапка
365,Zaun::N,담장,забор
366,Dach::N,지붕,левӓш
367,Leiter::N,사닥다리,ташкалтыш
368,Besen::N,비,сало
369,Besen::N,비,салко
370,Spaten::N,가래,кольмы
371,Schaufel::N,삽,лоток
372,Gabel::N,갈래,ви́лка
373,Löffel::N,숟가락,савала
374,Messer::N,나이프,кӹзӹ
375,Nagel::N,발툽,пыда
376,Netz::N,그물,вӓпш
377,Haken::N,갈고리,крӱк
378,Haken::N,갈고리,кагак
379,Griff::N,움켜쥠,кычем
380,Schloss::N,자물쇠,замок
381,Schloss::N,자물쇠,сыравач
382,Bild::N,그림,картин
383,Figur::N,몸메,кӓн
384,Puppe::N,인형,поханя
385,Beutel::N,클,мешӓк
386,Bündel::N,자근다발,топ
387,Bündel::N,자근다발,пидӹш
388,Bündel::N,자근다발,кӹлдӹш
