,Concept_ID,lt,lt
0,Auge::N,akis,akis
1,Ohr::N,ausis,ausis
2,Nase::N,nosis,nosis
3,Mund::N,burna,burna
4,Zahn::N,dantis,dantis
5,Zunge::N,liežuvis,liežuvis
6,Lippe::N,lūpa,lūpa
7,Wange::N,žandas,žandas
8,Wange::N,žandas,skruostas
9,Wange::N,skruostas,žandas
10,Wange::N,skruostas,skruostas
11,Gesicht::N,veidas,veidas
12,Stirn::N,kakta,kakta
13,Haar::N,plaukai,plaukai
14,Schnurrbart::N,ūsai,ūsai
15,Bart::N,barzda,barzda
16,Kinn::N,smakras,smakras
17,Kiefer[Anatomie]::N,žandikaulis,žandikaulis
18,Kehle::N,gerklė,gerklė
19,Hals::N,kaklas,kaklas
20,Genick::N,sprandas,sprandas
21,Kopf::N,galva,galva
22,Rücken::N,nugara,nugara
23,Bauch::N,pilvas,pilvas
24,Nabel::N,bamba,bamba
25,Busen::N,krūtinė,krūtinė
26,Brust::N,krūtis,krūtis
27,Schulter::N,petys,petys
28,Arm::N,ranka,ranka
29,Ellenbogen::N,alkūnė,alkūnė
30,Hand::N,ranka,ranka
31,Hand::N,ranka,plaštaka
32,Hand::N,plaštaka,ranka
33,Hand::N,plaštaka,plaštaka
34,Handfläche::N,delnas,delnas
35,Handfläche::N,delnas,plaštaka
36,Handfläche::N,plaštaka,delnas
37,Handfläche::N,plaštaka,plaštaka
38,Finger::N,pirštas,pirštas
39,Fingernagel::N,nagas,nagas
40,Nagel[Anatomie]::N,nagas,nagas
41,Zeh::N,pirštas,pirštas
42,Fuß::N,pėda,pėda
43,Ferse::N,kulnas,kulnas
44,Knie::N,kelis,kelis
45,Oberschenkel::N,kulšis,kulšis
46,Oberschenkel::N,kulšis,šlaunis
47,Oberschenkel::N,šlaunis,kulšis
48,Oberschenkel::N,šlaunis,šlaunis
49,Bein::N,koja,koja
50,Körper::N,kūnas,kūnas
51,Haut::N,oda,oda
52,Blut::N,kraujas,kraujas
53,Ader::N,kraujagyslė,kraujagyslė
54,Sehne::N,sausgyslė,sausgyslė
55,Knochen::N,kaulas,kaulas
56,Gehirn::N,smegenys,smegenys
57,Herz::N,širdis,širdis
58,Magen::N,skrandis,skrandis
59,Leber::N,kepenys,kepenys
60,Atem::N,kvapas,kvapas
61,Hunger::N,badas,badas
62,Hunger::N,badas,alkis
63,Hunger::N,alkis,badas
64,Hunger::N,alkis,alkis
65,Träne::N,ašara,ašara
66,Geschmack::N,skonis,skonis
67,Geruch::N,kvapas,kvapas
68,Schlaf::N,miegas,miegas
69,Traum::N,sapnas,sapnas
70,Himmel::N,dangus,dangus
71,Sonne::N,saulė,saulė
72,Mond::N,mėnulis,mėnulis
73,Stern::N,žvaigždė,žvaigždė
74,Luft::N,oras,oras
75,Wind::N,vėjas,vėjas
76,Welle::N,banga,banga
77,Welle::N,banga,vilnis
78,Welle::N,vilnis,banga
79,Welle::N,vilnis,vilnis
80,Wasser::N,vanduo,vanduo
81,Stein::N,akmuo,akmuo
82,Boden::N,žemė,žemė
83,Boden::N,žemė,dugnas
84,Boden::N,dugnas,žemė
85,Boden::N,dugnas,dugnas
86,Erde::N,žemė,žemė
87,Staub::N,dulkės,dulkės
88,Rauch::N,dūmai,dūmai
89,Funke::N,kibirkštis,kibirkštis
90,Feuer::N,ugnis,ugnis
91,Licht::N,šviesa,šviesa
92,Schatten::N,paūksmė,paūksmė
93,Wetter::N,oras,oras
94,Nebel::N,migla,migla
95,Nebel::N,migla,rūkas
96,Nebel::N,rūkas,migla
97,Nebel::N,rūkas,rūkas
98,Wolke::N,debesis,debesis
99,Regen::N,lietus,lietus
100,Schnee::N,sniegas,sniegas
101,Eis::N,ledas,ledas
102,Frost::N,šalna,šalna
103,Kälte::N,šaltis,šaltis
104,Hitze::N,karštis,karštis
105,Raureif::N,šerkšnas,šerkšnas
106,Regenbogen::N,vaivorykštė,vaivorykštė
107,Donner::N,perkūnas,perkūnas
108,Donner::N,perkūnas,griaustinis
109,Donner::N,griaustinis,perkūnas
110,Donner::N,griaustinis,griaustinis
111,Strömung::N,tėkmė,tėkmė
