,Concept_ID,en,uz
0,Auge::N,eye,ko'z
1,Ohr::N,ear,quloq
2,Nase::N,nose,burun
3,Mund::N,mouth,og'iz
4,Zahn::N,tooth,tish
5,Zunge::N,tongue,til
6,Lippe::N,lip,dudoq
7,Wange::N,cheek,bet
8,Gesicht::N,face,yuz
9,Stirn::N,forehead,manglay
10,Haar::N,hair,soch
11,Schnurrbart::N,moustache,mo'ylov
12,Bart::N,beard,soqol
13,Kinn::N,chin,ängak
14,Kiefer[Anatomie]::N,jaw,iyak
15,Kehle::N,throat,bo'g'iz
16,Hals::N,neck,bo'yin
17,Genick::N,nape,gardan
18,Kopf::N,head,bosh
19,Rücken::N,back,orqa
20,Rücken::N,spine,orqa
21,Bauch::N,belly,qorin
22,Nabel::N,navel,kindik
23,Busen::N,bosom,ämchak
24,Brust::N,chest,ko'krak
25,Brust::N,breast,ko'krak
26,Schulter::N,shoulder,elka
27,Arm::N,arm,bilak
28,Ellenbogen::N,elbow,tirsak
29,Hand::N,hand,qo'l
30,Handfläche::N,palm,kaft
31,Finger::N,finger,barmoq
32,Fingernagel::N,fingernail,tirnoq
33,Nagel[Anatomie]::N,nail,tirnoq
34,Zeh::N,toe,oyoq barmog'i
35,Fuß::N,foot,oyoq
36,Ferse::N,heel,tovon
37,Knie::N,knee,tiz
38,Oberschenkel::N,thigh,son
39,Bein::N,leg,oyoq
40,Körper::N,body,badna
41,Haut::N,skin,teri
42,Blut::N,blood,qon
43,Ader::N,vein,qon tomir
44,Sehne::N,sinew,tomir
45,Knochen::N,bone,suyak
46,Gehirn::N,brain,miya
47,Herz::N,heart,qalb
48,Magen::N,stomach,oshqozon
49,Leber::N,liver,bag'ir
50,Atem::N,breath,dam
51,Hunger::N,hunger,ochlik
52,Träne::N,tear,yosh
53,Geschmack::N,flavour,tam
54,Geschmack::N,flavor,tam
55,Geruch::N,odour,jid
56,Geruch::N,odor,jid
57,Schlaf::N,sleep,uyqu
58,Traum::N,dream,tush
59,Himmel::N,sky,osmon
60,Sonne::N,sun,quyosh
61,Mond::N,moon,oy
62,Stern::N,star,yulduz
63,Luft::N,air,havo
64,Wind::N,wind,el
65,Welle::N,wave,to'lqin
66,Wasser::N,water,suv
67,Stein::N,stone,tosh
68,Boden::N,soil,tuproq
69,Boden::N,ground,tuproq
70,Erde::N,earth,er
71,Staub::N,dust,chang
72,Rauch::N,smoke,tutun
73,Funke::N,spark,yalt
74,Feuer::N,fire,o't
75,Licht::N,light,yorug'
76,Schatten::N,shadow,soya
77,Wetter::N,weather,havo
78,Nebel::N,fog,tuman
79,Wolke::N,cloud,bulut
80,Regen::N,rain,yomg'ir
81,Schnee::N,snow,qor
82,Eis::N,ice,muz
83,Frost::N,frost,ajoz
84,Kälte::N,chill,ajoz
85,Hitze::N,heat,issiq
86,Raureif::N,hoarfrost,qirov
87,Regenbogen::N,rainbow,kamalak
88,Donner::N,thunder,guldur
89,Strömung::N,current,oqim
90,Tropfen::N,drop,tomchi
91,Schaum::N,foam,ko'pik
92,Schmutz::N,dirt,gard
93,See::N,lake,ko'l
94,Sumpf::N,swamp,botqoq
95,Moor::N,moor,qir-adir
96,Wiese::N,meadow,o'tzor
97,Wald::N,forest,o'rmon
98,Hügel::N,hill,tepa
99,Anhöhe::N,elevation,adir
100,Berg::N,mountain,tog'
101,Gipfel::N,summit,cho'qqi
102,Höhle::N,cave,kavak
103,Abhang::N,slope,to'sh
104,Quelle::N,source,buloq
105,Bach::N,brook,o'zan
106,Fluss::N,river,daryo
107,Ufer::N,shore,sohil
108,Küste::N,coast,qirg'oq
109,Festland::N,land,materik
110,Meer::N,sea,dengiz
111,Bucht::N,cove,qo'ltiq
112,Insel::N,island,orol
113,Blume::N,flower,gul
114,Gras::N,grass,sabza
115,Wurzel::N,root,tub
116,Wurzel::N,root,tomir
117,Baum::N,tree,daraxt
118,Stamm::N,trunk,o'simta
119,Rinde::N,bark,qobiq
120,Ast::N,limb,shox
121,Zweig::N,branch,butoq
122,Blatt::N,leaf,barg
123,Birke::N,birch,qayin
124,Kiefer[Baum]::N,pine,qarag'ay
125,Weide[Baum]::N,willow,shum
126,Tanne::N,fir,archa
127,Horn::N,horn,mugiz
128,Feder::N,feather,par
129,Fell::N,fur,mo'yna
130,Flügel::N,wing,qanot
131,Klaue::N,claw,tirnoq
132,Kralle::N,claw,tirnoq
133,Schwanz::N,tail,quyruq
134,Ei::N,egg,tuxum
135,Nest::N,nest,oshyon
136,Bau::N,lair,o'pqon
137,Tier::N,animal,hayvon
138,Herde::N,flock,gala
139,Kuh::N,cow,inak
140,Bulle::N,bull,ho'kiz
141,Pferd::N,horse,ot
142,Schaf::N,sheep,qo'y
143,Schwein::N,pig,cho'chqa
144,Hund::N,dog,it
145,Katze::N,cat,mushuk
146,Bär::N,bear,ayiq
147,Eichhörnchen::N,squirrel,tiyin
148,Elch::N,elk,los
149,Fuchs::N,fox,tulki
150,Hase::N,hare,kuyon
151,Maus::N,mouse,sichqon
152,Wolf::N,wolf,bo'ri
153,Vogel::N,bird,qush
154,Schwarm::N,swarm,to'da
155,Huhn::N,chicken,tovuq
156,Hahn::N,cock,xo'roz
157,Gans::N,goose,g'oz
158,Adler::N,eagle,burgut
159,Ente::N,duck,o'rdak
160,Eule::N,owl,boyo'g'li
161,Kranich::N,crane,turna
162,Krähe::N,crow,qarg'a
163,Kuckuck::N,cuckoo,kakku
164,Schwan::N,swan,oqkush
165,Fisch::N,fish,baliq
166,Barsch::N,perch,olabug'a
167,Hecht::N,pike,cho'rtan
168,Schlange[Tier]::N,snake,ilon
169,Wurm::N,worm,qurt
170,Spinne::N,spider,o'rgimchak
171,Ameise::N,ant,chumoli
172,Laus::N,louse,bit
173,Mücke::N,midge,chivin
174,Fliege::N,fly,pashsha
175,Schmetterling::N,butterfly,kapalak
176,Beere::N,berry,meva
177,Apfel::N,apple,olma
178,Pilz::N,mushroom,qo'ziqorin
179,Zwiebel::N,onion,piyoz
180,Saat::N,seed,äkin
181,Korn::N,grain,zarra
182,Heu::N,hay,xashak
183,Schale::N,husk,po'choq
184,Grube::N,pit,co'ra
185,Falle::N,trap,qopqon
186,Schlinge::N,noose,sirtmoq
187,Spur::N,track,iz
188,Asche::N,ashes,kul
189,Dreck::N,filth,kir
190,Eisen::N,iron,temir
191,Gold::N,gold,tilla
192,Silber::N,silver,kumush
193,Kohle::N,coal,ko'mir
194,Glas::N,glass,oyna
195,Lehm::N,clay,loy
196,Sand::N,sand,qum
197,Mensch::N,human,odam
198,Mann::N,man,ärkak
199,Frau::N,woman,ayol
200,Kind::N,child,bola
201,Kind::N,child,kichkintoy
202,Junge::N,boy,bola
203,Mädchen::N,girl,qiz
204,Familie::N,family,oila
205,Großvater::N,grandfather,buva
206,Großvater::N,grandfather,katta ota
207,Großmutter::N,grandmother,buvi
208,Großmutter::N,grandmother,katta oyi
209,Eltern::N,parents,ota-ona
210,Vater::N,father,ota
