,Concept_ID,ka,ka
0,Auge::N,თვალი,თვალი
1,Ohr::N,ყური,ყური
2,Nase::N,ცხვირი,ცხვირი
3,Mund::N,პირი,პირი
4,Zahn::N,კბილი,კბილი
5,Zunge::N,ენა,ენა
6,Lippe::N,ბაგე,ბაგე
7,Wange::N,ლოყა,ლოყა
8,Gesicht::N,სახე,სახე
9,Stirn::N,შუბლი,შუბლი
10,Haar::N,თმა,თმა
11,Schnurrbart::N,ულვაში,ულვაში
12,Bart::N,წვერი,წვერი
13,Kinn::N,ნიკაპი,ნიკაპი
14,Kiefer[Anatomie]::N,ყბა,ყბა
15,Kehle::N,ყელი,ყელი
16,Hals::N,ყელი,ყელი
17,Hals::N,ყელი,კისერი
18,Hals::N,კისერი,ყელი
19,Hals::N,კისერი,კისერი
20,Genick::N,კეფა,კეფა
21,Kopf::N,თავი,თავი
22,Rücken::N,ზურგი,ზურგი
23,Bauch::N,მუცელი,მუცელი
24,Nabel::N,ჭიპი,ჭიპი
25,Busen::N,ძუძუ,ძუძუ
26,Brust::N,მკერდი,მკერდი
27,Schulter::N,მხარი,მხარი
28,Schulter::N,მხარი,მკლავი
29,Schulter::N,მკლავი,მხარი
30,Schulter::N,მკლავი,მკლავი
31,Arm::N,ხელი,ხელი
32,Ellenbogen::N,იდაყვი,იდაყვი
33,Hand::N,ხელი,ხელი
34,Handfläche::N,ნები,ნები
35,Handfläche::N,ნები,ხელისგული
36,Handfläche::N,ხელისგული,ნები
37,Handfläche::N,ხელისგული,ხელისგული
38,Finger::N,თითი,თითი
39,Fingernagel::N,ფრჩხილი,ფრჩხილი
40,Nagel[Anatomie]::N,ფრჩხილი,ფრჩხილი
41,Zeh::N,ფეხის თითი,ფეხის თითი
42,Fuß::N,ტერფი,ტერფი
43,Fuß::N,ტერფი,ფეხისგული
44,Fuß::N,ფეხისგული,ტერფი
45,Fuß::N,ფეხისგული,ფეხისგული
46,Ferse::N,ქუსლი,ქუსლი
47,Knie::N,მუხლი,მუხლი
48,Oberschenkel::N,ბარძაყი,ბარძაყი
49,Bein::N,ფეხი,ფეხი
50,Körper::N,ტანი,ტანი
51,Körper::N,ტანი,სხეული
52,Körper::N,სხეული,ტანი
53,Körper::N,სხეული,სხეული
54,Haut::N,კანი,კანი
55,Blut::N,სისხლი,სისხლი
56,Ader::N,ძარღვი,ძარღვი
57,Sehne::N,მყესი,მყესი
58,Knochen::N,ძვალი,ძვალი
59,Gehirn::N,ტვინი,ტვინი
