,Concept_ID,kn,hr
0,Auge::N,ಕಣ್ಣು,oko
1,Ohr::N,ಕಿವಿ,uho
2,Nase::N,ಮೂಗು,nos
3,Mund::N,ಬಾಯಿ,usta
4,Zahn::N,ಹಲ್ಲು,zub
5,Zunge::N,ನಾಲಿಗೆ,jezik
6,Lippe::N,ತುಟಿ,usna
7,Wange::N,ಗಲ್ಲ,obraz
8,Gesicht::N,ಮುಖ,lice
9,Stirn::N,ಹಣೆ,čelo
10,Haar::N,ಕೂದಲು,kosa
11,Schnurrbart::N,ಮೀಸೆ,brkovi
12,Bart::N,ಗಡ್ಡ,brada
13,Kinn::N,ಗದ್ದ,brada
14,Kinn::N,ಗದ್ದ,podbradak
15,Kiefer[Anatomie]::N,ದವಡೆ,čeljust
16,Kehle::N,ಗಂಟಲು,grlo
17,Hals::N,ಕೊರಳು,vrat
18,Genick::N,ಹಿಂಗತ್ತು,zatiljak
19,Kopf::N,ತಲೆ,glava
20,Rücken::N,ಬೆನ್ನು,leđa
21,Rücken::N,ಬೆನ್ನು,hrbat
22,Bauch::N,ಹೊಟ್ಟೆ,trbuh
23,Nabel::N,ಹೊಕ್ಕುಳು,pupak
24,Busen::N,ಸ್ತನ,sisa
25,Busen::N,ಸ್ತನ,njedra
26,Brust::N,ಎದೆ,prsa
27,Schulter::N,ಭುಜ,rame
28,Schulter::N,ಭುಜ,pleći
29,Arm::N,ತೋಳು,ruka
30,Ellenbogen::N,ಮೊಣಕೈ,lakat
31,Hand::N,ಕೈ,ruka
32,Handfläche::N,ಅಂಗೈ,dlan
33,Finger::N,ಕೈಬೆರಳು,prst
34,Fingernagel::N,ಉಗುರು,nokat
35,Nagel[Anatomie]::N,ಉಗುರು,nokat
36,Zeh::N,ಕಾಲ್ಬೆರಳು,nozni prst
37,Fuß::N,ಪಾದ,noga
38,Fuß::N,ಪಾದ,stopalo
39,Ferse::N,ಹಿಮ್ಮಡಿ,peta
40,Knie::N,ಮಂಡಿ,koljeno
41,Oberschenkel::N,ತೊಡೆ,bedro
42,Bein::N,ಕಾಲು,noga
43,Körper::N,ದೇಹ,tijelo
44,Haut::N,ಚರ್ಮ,put
45,Haut::N,ಚರ್ಮ,koža
46,Blut::N,ರಕ್ತ,krv
47,Ader::N,ನರ,žila
48,Sehne::N,ನರ,tetiva
49,Knochen::N,ಮೂಳೆ,kost
50,Gehirn::N,ಮಿದುಳು,
51,Herz::N,ಹೃದಯ,srce
52,Magen::N,ಉದರ,stomak
53,Magen::N,ಉದರ,želudac
54,Leber::N,ಯಕೃತ್ತು,jetra
55,Atem::N,ಉಸಿರು,dah
56,Hunger::N,ಹಸಿವು,glad
57,Träne::N,ಕಣ್ಣೀರು,suza
58,Geschmack::N,ರುಚಿ,ukus
59,Geruch::N,ವಾಸನೆ,njuh
60,Geruch::N,ವಾಸನೆ,miris
61,Schlaf::N,ನಿದ್ರೆ,san
62,Traum::N,ಕನಸು,san
63,Himmel::N,ಬಾನು,nebo
64,Sonne::N,ಸೂರ್ಯ,sunce
