,Concept_ID,kv,ga
0,Auge::N,син,súil
1,Ohr::N,пель,cluas
2,Nase::N,ныр,soc
3,Mund::N,ӧм,béal
4,Zahn::N,пинь,fiacail
5,Zunge::N,кыв,teanga
6,Lippe::N,тырп,liopa
7,Wange::N,рожабан,grua
8,Wange::N,рожабан,leiceann
9,Gesicht::N,бан,éadan
10,Gesicht::N,бан,aghaidh
11,Stirn::N,кымӧс,baithis
12,Stirn::N,кымӧс,clár éadain
13,Haar::N,юрси,gruaig
14,Schnurrbart::N,уссэз,croiméal
15,Bart::N,тош,féasóg
16,Kinn::N,тшӧка,smig
17,Kiefer[Anatomie]::N,ан,giall
18,Kehle::N,юан,scornach
19,Hals::N,юан,muinéal
20,Genick::N,юр бӧр,baic
21,Kopf::N,юр,ceann
22,Rücken::N,мышк,droim
23,Bauch::N,кынӧм,bolg
24,Nabel::N,гӧг,imleacán
25,Busen::N,морос,cíoch
26,Brust::N,морос,brollach
27,Schulter::N,пельпон,gualainn
28,Arm::N,ки,lámh
29,Ellenbogen::N,гырдзза,uillinn
30,Hand::N,кикар,lámh
31,Handfläche::N,ки пыдӧс,bos
32,Finger::N,чунь,méar
33,Fingernagel::N,гыж,ionga
34,Nagel[Anatomie]::N,гыж,ionga
35,Zeh::N,чунь,ladhar
36,Fuß::N,кокпыдӧс,cos
37,Fuß::N,кокпыдӧс,troigh
38,Ferse::N,кокдзир,sáil
39,Knie::N,пидзӧс,glúin
40,Oberschenkel::N,лядьбей,ceathrú
41,Bein::N,кок,cos
42,Körper::N,вывтыр,corp
43,Körper::N,вывтыр,colainn
44,Haut::N,кучик,cneas
45,Haut::N,кучик,craiceann
46,Blut::N,вир,fuil
47,Ader::N,сӧн,
48,Sehne::N,жила,teannán
49,Sehne::N,жила,féitheog
50,Knochen::N,коска,cnámh
51,Gehirn::N,вем,inchinn
52,Herz::N,сьӧлӧм,croí
53,Magen::N,жӧвдӧк,bolg
54,Magen::N,жӧвдӧк,goile
55,Leber::N,мус,ae
56,Atem::N,лолалӧм,anáil
57,Hunger::N,тшыг,ocras
58,Träne::N,синва,deoir
59,Geschmack::N,кӧр,blas
60,Geruch::N,дук,boladh
61,Schlaf::N,он,suan
62,Schlaf::N,он,codladh
63,Traum::N,вӧт,taibhreamh
64,Himmel::N,небо,spéir
65,Sonne::N,шондi,grian
66,Mond::N,тӧлiсь,ré
67,Mond::N,тӧлiсь,gealach
68,Stern::N,кӧдзыв,rinn
69,Stern::N,кӧдзыв,réalta
70,Luft::N,ру,aer
71,Wind::N,тӧв,gaoth
72,Welle::N,гы,tonn
73,Wasser::N,ва,uisce
74,Stein::N,из,cloch
75,Boden::N,му,talamh
76,Erde::N,му,cré
77,Erde::N,му,ithir
78,Staub::N,бус,dusta
79,Staub::N,бус,deannach
80,Rauch::N,тшын,toit
81,Rauch::N,тшын,deatach
82,Funke::N,бичир,drithle
83,Feuer::N,би,tine
84,Licht::N,би,solas
85,Schatten::N,вуджӧр,scáth
86,Wetter::N,погоддя,aimsir
87,Nebel::N,туман,ceo
88,Wolke::N,кымӧр,néal
89,Wolke::N,кымӧр,scamall
90,Regen::N,зэр,báisteach
91,Regen::N,зэр,fearthainn
92,Schnee::N,лым,sneachta
93,Eis::N,йы,oighear
94,Frost::N,мороз,sioc
95,Kälte::N,кӧдзыт,fuacht
96,Hitze::N,ӧд,teas
97,Hitze::N,ӧд,teocht
98,Raureif::N,кижа,sioc bán
99,Regenbogen::N,енӧшка,stua ceatha
100,Regenbogen::N,енӧшка,bogha báistí
101,Donner::N,гым,toirneach
102,Strömung::N,визывтӧм,sruth
103,Tropfen::N,тёп,deoir
104,Schaum::N,быг,cúr
105,Schmutz::N,нять,salachar
106,See::N,ты,loch
107,Sumpf::N,арай,portach
108,Moor::N,нюр,caorán
109,Moor::N,нюр,móinteán
110,Wiese::N,видз,cluain
111,Wiese::N,видз,móinéar
112,Wald::N,вӧр,coill
113,Wald::N,вӧр,foraois
114,Hügel::N,мыльк,ard
115,Anhöhe::N,вывтас,ard
116,Anhöhe::N,вывтас,ardán
117,Anhöhe::N,вылынін,ard
118,Anhöhe::N,вылынін,ardán
119,Berg::N,керӧс,sliabh
120,Gipfel::N,йыв,barr
121,Gipfel::N,йыв,mullach
122,Höhle::N,нора,uaimh
123,Höhle::N,нора,pluais
124,Abhang::N,покат,fána
125,Quelle::N,больган,foinse
126,Bach::N,шор,sruthán
127,Fluss::N,ю,abhainn
128,Ufer::N,берег,bruach
129,Küste::N,берег,cósta
130,Küste::N,берег,cladach
131,Festland::N,му,míntír
132,Meer::N,море,muir
133,Meer::N,море,farraige
134,Bucht::N,курья,bá
135,Bucht::N,курья,cuan
136,Blume::N,цветок,bláth
137,Gras::N,турун,féar
138,Wurzel::N,вуж,rúta
139,Wurzel::N,вуж,fréamh
140,Baum::N,пу,crann
141,Stamm::N,мыр,stoc
142,Stamm::N,мыр,tamhan
143,Stamm::N,кер,stoc
144,Stamm::N,кер,tamhan
145,Rinde::N,кач,coirt
146,Rinde::N,кач,craiceann
147,Ast::N,ув,géag
148,Zweig::N,ув,géag
149,Zweig::N,ув,craobh
150,Blatt::N,лист,duille
151,Blatt::N,лист,duilleog
152,Birke::N,кыдз,beith
153,Birke::N,кыдз,crann beithe
154,Kiefer[Baum]::N,пожум,péine
155,Weide[Baum]::N,бадь,saileach
156,Tanne::N,кӧз,giúis
157,Horn::N,сюр,adharc
158,Feder::N,гӧн,cleite
159,Fell::N,кучик,clúmh
160,Flügel::N,борд,eite
161,Flügel::N,борд,sciathán
162,Klaue::N,гыж,crúb
163,Klaue::N,гыж,crobh
164,Kralle::N,кабыр,crobh
165,Schwanz::N,бӧж,eireaball
166,Ei::N,кольть,ubh
167,Nest::N,поз,nead
168,Bau::N,осьта,brocais
169,Bau::N,нора,brocais
170,Tier::N,зверь,ainmhí
171,Tier::N,зверь,beithíoch
172,Herde::N,гурт,tréad
173,Kuh::N,мӧс,bó
174,Bulle::N,ӧшка,tarbh
175,Pferd::N,вӧв,each
176,Pferd::N,вӧв,capall
177,Schaf::N,баля,caora
178,Schwein::N,порсь,muc
179,Hund::N,пон,madra
180,Katze::N,кань,cat
181,Bär::N,ош,béar
182,Eichhörnchen::N,ур,iora
183,Elch::N,вӧр мӧс,eilc
184,Fuchs::N,руч,sionnach
185,Fuchs::N,руч,madra rua
186,Hase::N,кӧч,giorria
187,Maus::N,шыр,luch
188,Wolf::N,кӧин,mac tíre
189,Vogel::N,кай,éan
190,Schwarm::N,стая,saithe
191,Schwarm::N,чукӧр,saithe
192,Huhn::N,курӧг,cearc
193,Hahn::N,петух,coileach
194,Hahn::N,ай курӧг,coileach
195,Gans::N,дзодзог,gé
196,Adler::N,куч,iolar
197,Adler::N,кутш,iolar
198,Ente::N,утка,lacha
199,Eule::N,тупка,ulchabhán
200,Kranich::N,тури,grús
201,Krähe::N,рака,caróg
202,Krähe::N,рака,préachán
203,Kuckuck::N,кӧк,cuach
204,Schwan::N,юсь,eala
205,Fisch::N,чери,iasc
206,Barsch::N,ёкыш,péirse
207,Hecht::N,сирпинь,liús
208,Schlange[Tier]::N,змей,nathair
209,Wurm::N,номыр,péist
210,Spinne::N,черань,damhán alla
211,Ameise::N,кӧдзывкар,seangán
212,Laus::N,ляпа той,míol
213,Mücke::N,ном,muiscít
214,Mücke::N,ном,corrmhíol
215,Fliege::N,гут,cuil
216,Fliege::N,гут,cuileog
217,Schmetterling::N,бабыв,féileacán
218,Beere::N,ягӧд,caor
219,Apfel::N,яблоко,úll
220,Pilz::N,тшак,beacán
221,Pilz::N,тшак,muisiriún
222,Zwiebel::N,грез,oinniún
223,Saat::N,кӧдзыс,síol
224,Korn::N,сю,gráinne
225,Heu::N,турун,féar
226,Schale::N,кыш,scaimh
227,Schale::N,киль,scaimh
228,Grube::N,яма,poll
229,Falle::N,нальк,gaiste
230,Falle::N,кляпча,gaiste
231,Schlinge::N,лӧч,sealán
232,Spur::N,туй,rian
233,Asche::N,пӧим,luaith
234,Dreck::N,нять,salachar
235,Eisen::N,кӧрт,iarann
236,Gold::N,зарни,ór
237,Silber::N,язісь,airgead
238,Kohle::N,шом,gual
239,Kohle::N,уголь,gual
240,Glas::N,стекло,gloine
241,Lehm::N,сёй,cré
242,Sand::N,лыа,gaineamh
243,Mensch::N,морт,duine
244,Mann::N,мужик,fear
245,Frau::N,инька,bean
246,Kind::N,кага,gasúr
247,Kind::N,кага,páiste
248,Junge::N,зонка,buachaill
249,Mädchen::N,нывкаок,cailín
250,Familie::N,семья,teaghlach
251,Familie::N,семья,comhluadar
252,Großvater::N,дед,seanathair
253,Großmutter::N,баб,seanmháthair
254,Eltern::N,ай-мам,tuismitheoirí
255,Vater::N,ай,athair
256,Mutter::N,мам,máthair
257,Sohn::N,зон,mac
258,Tochter::N,ныв,iníon
259,Bruder::N,вон,deartháir
260,Schwester::N,сой,deirfiúr
261,Onkel::N,дядь,uncail
262,Tante::N,айӧлӧн сой,aintín
263,Tante::N,ичинь,aintín
264,Ehemann::N,жӧник,fear céile
265,Ehefrau::N,инь,bean chéile
266,Freude::N,гаж,áthas
267,Freude::N,радъялӧм,áthas
268,Gelächter::N,сералӧм,gáire
269,Glück::N,мичлун,séan
270,Glück::N,мичлун,sonas
271,Kummer::N,шог,brón
272,Kummer::N,шог,buairt
273,Wunsch::N,мӧдӧм,guí
274,Wunsch::N,мӧдӧм,achainí
275,Wunsch::N,охотитӧм,guí
276,Wunsch::N,охотитӧм,achainí
277,Lust::N,охота,fonn
278,Geist::N,лов,meon
279,Geist::N,лов,spiorad
280,Gedanke::N,дума,smaoineamh
281,Gedächtnis::N,тӧдвыв,cuimhne
282,Verstand::N,вежӧр,ciall
283,Verstand::N,вежӧр,intinn
284,Sinn::N,ылӧс,brí
285,Sinn::N,ылӧс,ciall
286,Grund::N,мог,fáth
287,Wahrheit::N,правда,fírinne
288,Gespräch::N,сёрни,comhrá
289,Märchen::N,сказка,scéal
290,Erzählung::N,висьт,scéal
291,Nachricht::N,юӧр,teachtaireacht
292,Nachricht::N,висьталӧм,teachtaireacht
293,Neuigkeit::N,новость,scéala
294,Name::N,ним,ainm
295,Rätsel::N,загадка,tomhas
296,Rede::N,сёрни,óráid
297,Rede::N,сёрни,aitheasc
298,Sprache::N,кыв,teanga
299,Stimme::N,голос,guth
300,Wort::N,кыв,focal
301,Zeichen::N,пас,comhartha
302,Ruf::N,чуксӧм,glaoch
303,Ruf::N,чукӧстӧм,glaoch
304,Lärm::N,шум,torann
305,Laut::N,шы,fuaim
306,Ton::N,гор,ton
307,Lied::N,сьыланкыв,amhrán
308,Ruhe::N,спокой,suaimhneas
309,Leute::N,йӧз,muintir
310,Volk::N,йӧз,pobal
311,Volk::N,народ,pobal
312,Arbeit::N,удж,obair
313,Gast::N,гӧсь,aoi
314,Geschenk::N,гӧснеч,féirín
315,Geschenk::N,гӧснеч,bronntanas
316,Geschenk::N,подарок,féirín
317,Geschenk::N,подарок,bronntanas
318,Spiel::N,орсӧм,cluiche
319,Gesellschaft::N,компания,comhluadar
320,Hilfe::N,отсӧт,cúnamh
321,Hilfe::N,отсӧт,cabhair
322,Freund::N,модз,cara
323,Freund::N,дружок,cara
324,Kamerad::N,тӧдса,comrádaí
325,Angelegenheit::N,дело,ábhar
326,Anzahl::N,лыд,líon
327,Art::N,пӧлӧс,sórt
328,Art::N,пӧлӧс,saghas
329,Stück::N,тор,píosa
330,Teil::N,юкӧм,cuid
331,Teil::N,юкӧм,páirt
332,Hälfte::N,джын,leath
333,Kreis::N,круг,ciorcal
334,Kreuz::N,перна,cros
335,Linie::N,визь,líne
336,Strich::N,кырӧв,stríoc
337,Abstand::N,колас,achar
338,Entfernung::N,ылына,fad
339,Gegend::N,места,ceantar
340,Platz::N,места,áit
341,Platz::N,места,spás
342,Ort::N,места,áit
343,Seite::N,ладор,taobh
344,Mitte::N,шӧр,lár
345,Gegenstand::N,тор,ball
346,Gegenstand::N,тор,ábhar
347,Sache::N,тор,ní
348,Sache::N,тор,rud
349,Rand::N,дор,imeall
350,Rand::N,дор,ciumhais
351,Kante::N,ордлы,corr
352,Kante::N,ордлы,colbha
353,Ecke::N,пельӧс,coirnéal
354,Spitze::N,йыв,gob
355,Spitze::N,йыв,barr
356,Ende::N,йыв,ceann
357,Ende::N,йыв,foirceann
358,Loch::N,осьта,poll
359,Winkel::N,пельӧс,cúinne
360,Winkel::N,пельӧс,uillinn
361,Muster::N,сер,patrún
362,Größe::N,ыжда,méid
363,Größe::N,ыжда,toise
364,Länge::N,кузя,fad
365,Höhe::N,сувда,airde
366,Höhe::N,вылына,airde
367,Gewicht::N,сьӧкта,meáchan
368,Haufen::N,куча,cnap
369,Reihe::N,лёдз,líne
370,Reihe::N,лёдз,sraith
371,Boot::N,пыж,bád
372,Ruder::N,пелыс,rámh
373,Ruder::N,пелыс,maide rámha
374,Schlitten::N,додь,carr sleamhnáin
375,Ski::N,лямпа,scí
376,Lagerfeuer::N,бипур,tine champa
377,Last::N,тягота,ualach
378,Gang::N,мунӧм,siúlóid
379,Schritt::N,вожмӧв,céim
380,Schritt::N,вожмӧв,coiscéim
381,Norden::N,ой,tuaisceart
382,Süden::N,лун,deisceart
383,Westen::N,рытвыв,iarthar
384,Osten::N,асыв,oirthear
385,Holz::N,пу,adhmad
386,Brett::N,пӧв,clár
387,Platte::N,плита,leac
388,Stütze::N,пика,taca
389,Stange::N,зор,polla
390,Stange::N,зор,cuaille
391,Stange::N,потш,polla
392,Stange::N,потш,cuaille
393,Stock::N,бедь,bata
394,Stock::N,бедь,maide
395,Stab::N,шест,maide
396,Stab::N,шест,bachall
397,Rohr::N,труба,píopa
398,Haus::N,керку,teach
399,Heim::N,керку,baile
400,Ofen::N,пӧжавны,sornóg
401,Fußboden::N,джодж,urlár
402,Tisch::N,пызан,bord
403,Tisch::N,пызан,tábla
404,Stuhl::N,стул,cathaoir
405,Wiege::N,зыбка,cliabhán
406,Bett::N,кровать,leaba
407,Regal::N,джадж,seilf
408,Kiste::N,ящик,bosca
409,Fenster::N,ӧшын,fuinneoig
410,Tür::N,ыбӧс,doras
411,Tor::N,ворота,geata
412,Zaun::N,забор,fál
413,Zaun::N,забор,claí
414,Dach::N,крыша,díon
415,Leiter::N,лиснич,dréimire
416,Besen::N,рос,scuab
417,Spaten::N,зыр,spád
418,Spaten::N,зыр,rámhainn
419,Schaufel::N,зыр,sluasaid
420,Gabel::N,вила,forc
421,Gabel::N,вила,gabhlóg
422,Löffel::N,пань,spúnóg
423,Messer::N,пурт,scian
424,Nagel::N,кӧрттув,tairne
425,Netz::N,кыйӧт,líon
426,Netz::N,кыйӧт,eangach
427,Haken::N,ем,croch
428,Griff::N,пу,cos
429,Griff::N,пу,hanla
430,Schloss::N,замок,glas
431,Bild::N,картина,pictiúr
432,Figur::N,мыгӧр,fíor
433,Puppe::N,акань,bábóg
434,Beutel::N,мешӧк,mála
435,Beutel::N,мешӧк,mealbhóg
436,Bündel::N,нин,beart
437,Tasche::N,сумка,mála
438,Eimer::N,ведра,buicéad
439,Deckel::N,вевт,clár
440,Deckel::N,вевт,claibín
441,Geschirr::N,доз,soithí
442,Geschirr::N,доз,gréithe
443,Geschirr::N,бекӧрпань,soithí
444,Geschirr::N,бекӧрпань,gréithe
445,Sack::N,мешӧк,sac
446,Sack::N,мешӧк,mála
