,Concept_ID,nl,cs
0,Auge::N,oog,oko
1,Ohr::N,oor,ucho
2,Nase::N,neus,nos
3,Mund::N,mond,pusa
4,Zahn::N,tand,zub
5,Zunge::N,tong,jazyk
6,Lippe::N,lip,ret
7,Wange::N,wang,tvář
8,Gesicht::N,gelaat,obličej
9,Gesicht::N,gezicht,obličej
10,Stirn::N,voorhoofd,čelo
11,Haar::N,haar,vlas
12,Haar::N,haar,vlasy
13,Schnurrbart::N,snor,kníry
14,Bart::N,baard,vousy
15,Kinn::N,kin,brada
16,Kiefer[Anatomie]::N,kaak,čelist
17,Kehle::N,keel,hrdlo
18,Kehle::N,strot,hrdlo
19,Hals::N,hals,krk
20,Genick::N,nek,týl
21,Kopf::N,hoofd,hlava
22,Rücken::N,rug,záda
23,Rücken::N,rug,hřbet
24,Bauch::N,buik,břicho
25,Nabel::N,navel,pupek
26,Busen::N,boezem,ňadra
27,Brust::N,borst,prsa
28,Schulter::N,schouder,plece
29,Schulter::N,schouder,rameno
30,Arm::N,arm,ruka
31,Ellenbogen::N,elleboog,loket
32,Hand::N,hand,ruka
33,Handfläche::N,handpalm,dlaň
34,Finger::N,vinger,prst
35,Fingernagel::N,nagel,nehet
36,Nagel[Anatomie]::N,nagel,nehet
37,Zeh::N,teen,prst u nohy
38,Fuß::N,voet,noha
39,Ferse::N,hak,pata
40,Ferse::N,hiel,pata
41,Knie::N,knie,koleno
42,Oberschenkel::N,dij,stehno
43,Bein::N,been,noha
44,Körper::N,lichaam,tělo
45,Haut::N,huid,kůže
46,Blut::N,bloed,krev
47,Ader::N,ader,céva
48,Sehne::N,pees,šlacha
49,Knochen::N,bot,kost
50,Knochen::N,been,kost
51,Knochen::N,knook,kost
52,Gehirn::N,hersenen,mozek
53,Herz::N,hart,srdce
54,Magen::N,maag,žaludek
55,Leber::N,lever,játra
56,Atem::N,adem,dech
57,Hunger::N,honger,hlad
58,Träne::N,traan,slza
59,Geschmack::N,smaak,vkus
60,Geruch::N,geur,vůně
61,Geruch::N,geur,zápach
62,Schlaf::N,slaap,spánek
63,Traum::N,droom,sen
64,Himmel::N,hemel,nebe
65,Sonne::N,zon,slunce
66,Mond::N,maan,měsíc
67,Stern::N,ster,hvězda
68,Luft::N,lucht,vzduch
69,Wind::N,wind,vítr
70,Welle::N,golf,vlna
71,Wasser::N,water,voda
72,Stein::N,steen,kámen
73,Boden::N,grond,půda
74,Erde::N,aarde,země
75,Staub::N,stof,prach
76,Rauch::N,rook,dým
77,Rauch::N,rook,kouř
78,Funke::N,vonk,jiskra
79,Feuer::N,vuur,oheň
80,Licht::N,licht,světlo
81,Schatten::N,schaduw,stín
82,Wetter::N,weer,počasí
83,Nebel::N,mist,mlha
84,Nebel::N,nevel,mlha
85,Wolke::N,wolk,mrak
86,Wolke::N,wolk,oblak
87,Regen::N,regen,déšť
88,Schnee::N,sneeuw,sníh
89,Eis::N,ijs,led
90,Frost::N,vorst,mráz
91,Kälte::N,kou,chlad
92,Kälte::N,koude,chlad
93,Hitze::N,hitte,horko
94,Raureif::N,rijp,jinovatka
95,Regenbogen::N,regenboog,duha
96,Donner::N,donder,hrom
97,Strömung::N,stroming,proudění
98,Tropfen::N,druppel,kapka
99,Schaum::N,schuim,pěna
100,Schmutz::N,vuil,špína
101,See::N,meer,jezero
102,Sumpf::N,moeras,močál
103,Sumpf::N,moeras,bažina
104,Moor::N,veen,bažina
105,Moor::N,veen,slatina
106,Wiese::N,wei,louka
107,Wiese::N,weide,louka
108,Wald::N,bos,les
109,Hügel::N,heuvel,kopec
110,Anhöhe::N,hoogte,pahorek
111,Berg::N,berg,hora
112,Gipfel::N,top,vrchol
113,Höhle::N,hol,jeskyně
114,Abhang::N,helling,svah
115,Abhang::N,helling,stráň
116,Quelle::N,bron,pramen
117,Bach::N,beek,potok
118,Fluss::N,stroom,řeka
119,Ufer::N,wal,břeh
120,Ufer::N,oever,břeh
121,Küste::N,kust,pobřeží
122,Festland::N,vasteland,souš
123,Festland::N,vasteland,pevnina
124,Meer::N,zee,moře
125,Bucht::N,baai,záliv
126,Bucht::N,baai,zátoka
127,Bucht::N,inham,záliv
128,Bucht::N,inham,zátoka
129,Insel::N,eiland,ostrov
130,Blume::N,bloem,květina
131,Gras::N,gras,tráva
132,Wurzel::N,wortel,kořen
133,Baum::N,boom,strom
134,Stamm::N,stam,kmen
135,Rinde::N,schors,kůra
136,Ast::N,tak,větev
137,Zweig::N,twijg,větev
138,Blatt::N,blad,lupen
139,Birke::N,berk,bříza
140,Kiefer[Baum]::N,den,sosna
141,Kiefer[Baum]::N,den,borovice
142,Weide[Baum]::N,wilg,vrba
143,Tanne::N,spar,jedle
144,Horn::N,hoorn,roh
145,Feder::N,veer,pero
146,Feder::N,pluim,pero
147,Fell::N,vel,srst
148,Flügel::N,vleugel,křídlo
149,Klaue::N,klauw,dráp
150,Klaue::N,klauw,pazneht
151,Kralle::N,klauw,dráp
152,Schwanz::N,staart,ocas
153,Ei::N,ei,vejce
154,Nest::N,nest,hnízdo
155,Bau::N,hol,nora
156,Tier::N,dier,zvíře
157,Herde::N,kudde,stádo
158,Kuh::N,koe,kráva
159,Bulle::N,stier,býk
160,Pferd::N,paard,kůň
161,Schaf::N,schaap,ovce
162,Schwein::N,varken,vepř
163,Schwein::N,varken,prase
164,Hund::N,hond,pes
165,Katze::N,kat,kočka
166,Bär::N,beer,medvěd
167,Eichhörnchen::N,eekhoorntje,veverka
168,Elch::N,eland,los
169,Fuchs::N,vos,liška
170,Hase::N,haas,zajíc
171,Maus::N,muis,myš
172,Wolf::N,wolf,vlk
173,Vogel::N,vogel,pták
174,Schwarm::N,zwerm,roj
175,Schwarm::N,zwerm,hejno
176,Huhn::N,kip,kuře
177,Huhn::N,kip,slepice
178,Huhn::N,hoen,kuře
179,Huhn::N,hoen,slepice
180,Hahn::N,haan,kohout
181,Gans::N,gans,husa
182,Adler::N,arend,orel
183,Ente::N,eend,kachna
184,Eule::N,uil,sova
185,Kranich::N,kraanvogel,jeřáb
186,Krähe::N,kraai,vrána
187,Kuckuck::N,koekoek,kukačka
188,Schwan::N,zwaan,labuť
189,Fisch::N,vis,ryba
190,Barsch::N,baars,okoun
191,Hecht::N,snoek,štika
192,Schlange[Tier]::N,slang,had
193,Wurm::N,worm,červ
194,Spinne::N,spin,pavouk
195,Ameise::N,mier,mravenec
