,Concept_ID,es,lez
0,Auge::N,ojo,вил
1,Ohr::N,oreja,яб
2,Nase::N,nariz,нер
3,Mund::N,boca,сив
4,Zahn::N,diente,сас
5,Zahn::N,diente,свах
6,Zunge::N,lengua,мез
7,Lippe::N,labio,пӏуз
8,Wange::N,mejilla,хъвехъ
9,Gesicht::N,cara,ччин
10,Stirn::N,frente,пел
11,Haar::N,cabello,чӏар
12,Schnurrbart::N,bigote,спел
13,Schnurrbart::N,bigote,спелар
14,Bart::N,barba,ччуру
15,Kinn::N,barbilla,чене
16,Kiefer[Anatomie]::N,mandíbula,чене
17,Kehle::N,garganta,туьд
18,Hals::N,cuello,гардан
19,Genick::N,nuca,кьам
20,Genick::N,cerviz,кьам
21,Kopf::N,cabeza,кьил
22,Rücken::N,espalda,далу
23,Bauch::N,vientre,руфун
24,Nabel::N,ombligo,пицӏ
25,Busen::N,pecho,мам
26,Brust::N,pecho,хур
27,Schulter::N,hombro,къуьн
28,Arm::N,brazo,гъил
29,Ellenbogen::N,codo,кьуьнт
30,Hand::N,mano,капаш
31,Handfläche::N,palma,капан юкь
32,Finger::N,dedo,тӏуб
33,Fingernagel::N,uña,кек
34,Nagel[Anatomie]::N,uña,кек
35,Zeh::N,dedo del pie,кул
36,Fuß::N,pie,кӏвач
37,Ferse::N,talón,дабан
38,Knie::N,rodilla,мет
39,Oberschenkel::N,muslo,
40,Bein::N,pierna,кӏвач
41,Körper::N,cuerpo,беден
42,Haut::N,piel,хам
43,Blut::N,sangre,иви
44,Ader::N,vena,дамар
45,Sehne::N,tendón,кьуру дамар
46,Knochen::N,hueso,кӏараб
47,Gehirn::N,cerebro,мефт
48,Gehirn::N,encéfalo,мефт
49,Herz::N,corazón,рикӏ
50,Magen::N,estómago,хук
51,Leber::N,hígado,лекь
52,Atem::N,aliento,ял
53,Atem::N,aliento,нефес
54,Hunger::N,hambre,каш
55,Träne::N,lágrima,вилин нагъв
56,Geschmack::N,gusto,дад
57,Geschmack::N,gusto,тӏям
58,Geruch::N,olor,ни
59,Schlaf::N,sueño,ахвар
60,Traum::N,sueño,ахвар
61,Traum::N,ensueño,ахвар
62,Himmel::N,cielo,цав
63,Sonne::N,sol,рагъ
64,Mond::N,luna,варз
65,Stern::N,estrella,гъед
66,Luft::N,aire,гьава
67,Wind::N,viento,гар
68,Welle::N,ola,лепе
69,Welle::N,onda,лепе
70,Wasser::N,agua,яд
71,Stein::N,piedra,къван
