,Concept_ID,fa,ta
0,Auge::N,چشم,கண்
1,Ohr::N,گوش,காது
2,Nase::N,بینی,மூக்கு
3,Mund::N,دهان,வாய்
4,Zahn::N,دندان,பல்
5,Zunge::N,زبان,நாக்கு
6,Lippe::N,لب,உதடு
7,Wange::N,لپ,கன்னம்
8,Gesicht::N,رو,முகம்
9,Gesicht::N,چهره,முகம்
10,Stirn::N,پیشانی,முன்னெற்றி
11,Haar::N,مو,முடி
12,Schnurrbart::N,سبیل,மீசை
13,Bart::N,ریش,தாடி
14,Kinn::N,چانه,கீழதாடை
15,Kiefer[Anatomie]::N,فک,தாடை
16,Kiefer[Anatomie]::N,آرواره,தாடை
17,Kehle::N,حلق,தொண்டை
18,Hals::N,گردن,கழுத்து
19,Genick::N,پشت گردن,கழுத்து
20,Kopf::N,سر,தலை
21,Kopf::N,کله,தலை
22,Rücken::N,پشت,முதுகு
23,Bauch::N,شکم,வயிறு
24,Nabel::N,ناف,தொப்புள்
25,Busen::N,پستان,மார்பகம்
26,Brust::N,سینه, மார்பு
27,Schulter::N,دوش,தோள்பட்டை
28,Schulter::N,شانه,தோள்பட்டை
29,Arm::N,بازو,கரம்
30,Ellenbogen::N,آرنج,முழங்கை
31,Hand::N,دست,கை
32,Handfläche::N,کف دست,உள்ளங்கை
33,Finger::N,انگشت,விரல்
34,Fingernagel::N,ناخن دست,விரல் நகம்
35,Nagel[Anatomie]::N,ناخن,நகம்
36,Zeh::N,انگشت پا,கால்விரல்
37,Fuß::N,پا,கால்
38,Ferse::N,پاشنه,குதிகால்
39,Knie::N,زانو,முழங்கால்
40,Oberschenkel::N,ران,தொடை
41,Bein::N,پا,கால்
42,Bein::N,لنگ,கால்
43,Körper::N,تن,உடல்
44,Körper::N,بدن,உடல்
45,Haut::N,پوست,சருமம்
46,Blut::N,خون,இரத்தம்
47,Ader::N,رگ,நாளம்
48,Sehne::N,زردپی,தசைநார்
49,Knochen::N,استخوان,எலுமபு
50,Gehirn::N,مخ,மூனை
51,Gehirn::N,مغز,மூனை
52,Herz::N,دل,இதயம
53,Herz::N,قلب,இதயம
54,Magen::N,معده,வயிறு
55,Leber::N,کبد,கல்லீரல்
56,Atem::N,نفس,மூச்சு
57,Hunger::N,گرسنگی,பசி
