,Concept_ID,lbe,eu
0,Auge::N,я,begi
1,Ohr::N,вичӏи,belarri
2,Nase::N,май,sudur
3,Mund::N,кьацӏ,aho
4,Zahn::N,ккарччи,hortz
5,Zunge::N,маз,mihi
6,Lippe::N,мурччи,ezpain
7,Wange::N,чӏав,masail
8,Gesicht::N,лажин,aurpegi
9,Stirn::N,ненттабакӏ,bekoki
10,Haar::N,чӏара,ile
11,Haar::N,чӏара,bilo
12,Schnurrbart::N,ссирссилтту,bibote
13,Schnurrbart::N,ссирссилтту,sudurpeko
14,Bart::N,чӏири,bizar
15,Kinn::N,лунттубакӏ,kokots
16,Kiefer[Anatomie]::N,ххинчулул,masailezur
17,Kehle::N,кьакьари,eztarri
18,Hals::N,ссурссу,sama
19,Genick::N,махъабакӏ,garondo
20,Kopf::N,бакӏ,buru
21,Rücken::N,ттиликӏ,bizkar
22,Bauch::N,лякьа,sabel
23,Nabel::N,цӏумуккутӏ,zilbor
24,Busen::N,ккукку,titi
25,Busen::N,ккукку,ugatz
26,Brust::N,хъазам,bular
27,Schulter::N,хъачӏ,besaburu
28,Arm::N,ка,beso
29,Ellenbogen::N,ссюрхъ,ukondo
30,Hand::N,бартка,esku
31,Handfläche::N,хъат,ahur
32,Handfläche::N,битӏянхъ,ahur
33,Finger::N,кӏисса,hatz
34,Fingernagel::N,михь,azazkal
35,Nagel[Anatomie]::N,михь,azazkal
36,Zeh::N,кӏисса,behatz
37,Fuß::N,чӏанччан,oin
38,Ferse::N,никъа,orpo
39,Ferse::N,никъа,oinburu
40,Knie::N,ник,belaun
41,Oberschenkel::N,жира,izter
42,Bein::N,ччан,zango
43,Körper::N,чурх,soin
44,Haut::N,бурчу,azal
45,Blut::N,оь,odol
46,Ader::N,тунну,zain
47,Sehne::N,хьхьа,gihar-zain
48,Knochen::N,ттаркӏ,hezur
49,Gehirn::N,ня,garun
50,Gehirn::N,ня,burmuin
51,Herz::N,дакӏ,bihotz
52,Herz::N,къюкӏ,bihotz
53,Magen::N,лякьа,urdail
54,Atem::N,ссихӏ ласаву,hats
55,Atem::N,ссихӏ ласаву,arnasa
56,Atem::N,ссихӏ бигьаву,hats
57,Atem::N,ссихӏ бигьаву,arnasa
58,Hunger::N,ккаши,gose
59,Träne::N,макь,malko
60,Geschmack::N,тӏин,dasta
61,Geschmack::N,тӏааьн,dasta
62,Geruch::N,кьанкь,usain
63,Schlaf::N,шану,lo
64,Traum::N,макӏру,amets
65,Himmel::N,ссав,zeru
66,Sonne::N,баргъ,eguzki
67,Mond::N,барз,ilargi
68,Stern::N,цӏуку,izar
69,Luft::N,гьава,aire
70,Wind::N,марч,haize
71,Welle::N,щатӏи,uhin
72,Welle::N,щатӏи,olatu
73,Wasser::N,щин,ur
74,Stein::N,чару,harri
75,Boden::N,аьрщи,lur
76,Boden::N,аьрщи,zoru
77,Erde::N,аьрщи,lur
78,Staub::N,ххит,hauts
79,Rauch::N,пуркӏу,ke
80,Funke::N,пиягь,zirta
81,Funke::N,пиягь,txinparta
82,Feuer::N,цӏу,su
83,Licht::N,чани,argi
84,Schatten::N,ххют,itzal
85,Schatten::N,ххют,geriza
86,Wetter::N,гьава,eguraldi
87,Nebel::N,шархь ттурлу,laino
88,Wolke::N,ттурлу,hodei
89,Regen::N,гъарал,euri
90,Schnee::N,марххала,elur
91,Eis::N,микӏ,horma
92,Frost::N,дяркъу,izotzaldi
93,Frost::N,замгьар,izotzaldi
94,Kälte::N,дяркъу,hotz
95,Hitze::N,кӏиришиву,bero
96,Raureif::N,сил,antzigar
97,Raureif::N,бурса,antzigar
98,Regenbogen::N,ссурул ккуртта,ostadar
99,Regenbogen::N,ссурул ккуртта,ortzadar
100,Donner::N,къув,ostots
101,Donner::N,къув,ihurtzuri
102,Strömung::N,экьинанаву,laster
103,Tropfen::N,кӏунтӏ,xorta
104,Schaum::N,хьама,bits
105,Schmutz::N,кьяркьи,lohi
106,Schmutz::N,кьяркьи,zikin
107,See::N,бяр,laku
108,See::N,бяр,aintzira
109,Sumpf::N,кунцӏа,zingira
110,Wiese::N,кьан,larre
111,Wiese::N,кьан,belardi
112,Wald::N,вацӏа,baso
113,Wald::N,вацӏа,oihan
114,Hügel::N,бакӏу,muino
115,Hügel::N,бакӏу,pentoka
116,Berg::N,зунтту,mendi
117,Gipfel::N,мицӏ,gain
118,Gipfel::N,мицӏ,tontor
119,Höhle::N,нух,kobazulo
120,Abhang::N,сун,aldapa
121,Quelle::N,дайдихьу,iturri
122,Quelle::N,дайдихьу,iturbegi
123,Quelle::N,бакӏ,iturri
124,Quelle::N,бакӏ,iturbegi
125,Bach::N,чӏрир нех,lats
126,Bach::N,чӏрир нех,erreka
127,Fluss::N,нех,ibai
128,Fluss::N,нех,uhaitz
129,Ufer::N,зума,bazter
130,Küste::N,зумаинхалу,itsasalde
131,Küste::N,зуманицӏалу,itsasalde
132,Festland::N,кьири,lehor
133,Meer::N,хьхьири,itsaso
134,Insel::N,жазира,irla
135,Insel::N,жазира,uharte
136,Blume::N,тӏутӏи,lili
137,Gras::N,уртту,belar
138,Wurzel::N,мархха,zuztar
139,Wurzel::N,мархха,sustrai
140,Baum::N,мурхь,zuhaitz
141,Stamm::N,ттарцӏ,enbor
142,Rinde::N,ккамара,azal
143,Ast::N,матӏи,adar
144,Zweig::N,къяртта,abar
145,Blatt::N,чӏапӏи,hosto
146,Birke::N,кӏялахӏи,urki
147,Birke::N,кӏялахӏилул мурхь,urki
148,Kiefer[Baum]::N,ттар,ler
149,Kiefer[Baum]::N,ттарлил мурхь,ler
150,Weide[Baum]::N,щавщи,zume
151,Weide[Baum]::N,щавщи,sahats
152,Tanne::N,ттарлил мурхь,izei
153,Horn::N,хъи,adar
