,Concept_ID,udm,la
0,Auge::N,син,oculus
1,Ohr::N,пель,auris
2,Nase::N,ныр,nasus
3,Mund::N,ым,os
4,Zahn::N,пинь,dens
5,Zunge::N,кыл,lingua
6,Lippe::N,ымдур,labrum
7,Wange::N,бам,gena
8,Gesicht::N,ымныр,vultus
9,Stirn::N,кымес,frons
10,Haar::N,йырси,capillus
11,Schnurrbart::N,мыйык,barba labri superioris
12,Bart::N,туш,barba
13,Kinn::N,ангес,mentum
14,Kiefer[Anatomie]::N,ан,mala
15,Kiefer[Anatomie]::N,анлы,mala
16,Kehle::N,гульым,iugulums
17,Hals::N,чырты,collum
18,Genick::N,йырбер,cervices
19,Kopf::N,йыр,caput
20,Rücken::N,мыш,tergum
21,Bauch::N,кӧт,venter
22,Nabel::N,гогы,umbilicus
23,Busen::N,ноны,sinus
24,Brust::N,мӧля,pectus
25,Schulter::N,пельпум,umerus
26,Arm::N,суй,bracchium
27,Ellenbogen::N,гырпум,cubitum
28,Hand::N,ки,manus
29,Handfläche::N,ки пыдэс,palma
30,Handfläche::N,кырым пыдэс,palma
31,Finger::N,чиньы,digitus
32,Fingernagel::N,гижы,unguiculus
33,Fingernagel::N,гиждӥнь,unguiculus
34,Nagel[Anatomie]::N,гижы,unguis
35,Zeh::N,пыдчиньы,digitus
36,Fuß::N,пыд,pes
37,Ferse::N,пыдбер,calx
38,Knie::N,пыдес,genu
39,Oberschenkel::N,макес,femur
40,Bein::N,пыд,crus
41,Körper::N,мугор,corpus
42,Körper::N,вылтыр,corpus
43,Haut::N,ку,cutis
44,Haut::N,ку,pellis
45,Blut::N,вир,sanguis
46,Ader::N,вирсэр,vena
47,Sehne::N,вуж,nervus
48,Knochen::N,лы,os
49,Gehirn::N,вим,cerebrum
50,Herz::N,сюлэм,cor
51,Herz::N,сюлэм,animus
52,Magen::N,ӝуш,stomachus
53,Leber::N,мус,iecur
54,Atem::N,лул,spiritus
55,Atem::N,шокан,spiritus
56,Hunger::N,кӧтсюман,fames
57,Träne::N,синкыли,lacrima
58,Geschmack::N,шӧм,sapor
59,Geschmack::N,шӧм,gustus
60,Geruch::N,зын,odor
61,Schlaf::N,вӧт,somnus
62,Traum::N,уйвӧт,somnium
63,Himmel::N,ин,caelum
64,Sonne::N,шунды,sol
65,Mond::N,толэзь,luna
66,Stern::N,кизили,sidus
67,Stern::N,кизили,stella
68,Luft::N,омыр,aer
69,Wind::N,тӧл,ventus
70,Welle::N,тулкым,unda
71,Wasser::N,ву,aqua
72,Stein::N,из,lapis
73,Boden::N,музъем,solum
74,Erde::N,му,terra
75,Staub::N,пыль,pulvis
76,Rauch::N,ӵын,fumus
77,Funke::N,гизьы,scintilla
78,Feuer::N,тыл,ignis
79,Licht::N,тыл,lux
80,Licht::N,тыл,lumen
81,Schatten::N,вужер,umbra
82,Wetter::N,куазь,caelum
83,Wetter::N,куазь,tempestas
84,Nebel::N,бус,nebula
85,Wolke::N,пилем,nubes
86,Regen::N,зор,imber
87,Regen::N,зор,pluvia
88,Schnee::N,лымы,nix
89,Eis::N,йӧ,glacies
90,Frost::N,кезьыт,gelu
91,Kälte::N,кезьыт,frigus
92,Hitze::N,пӧсь,calor
93,Hitze::N,пӧсь,aestus
94,Raureif::N,гӧр,pruina
95,Regenbogen::N,вуюись,arcus
96,Donner::N,гудыри,tonitrus
97,Strömung::N,бызён,fluctus
98,Tropfen::N,шапык,gutta
99,Schaum::N,шукы,spuma
100,Schmutz::N,нӧд,sordes
101,Schmutz::N,нӧд,squalor
102,Schmutz::N,дэри,sordes
103,Schmutz::N,дэри,squalor
104,See::N,ты,lacus
105,Sumpf::N,нюр,palus
106,Moor::N,нюр,palus
107,Wiese::N,возь,pratum
108,Wiese::N,возьвыл,pratum
109,Wald::N,сик,silva
110,Wald::N,нюлэс,silva
111,Hügel::N,выр,collis
112,Hügel::N,вырйыл,collis
113,Anhöhe::N,выр,specula
114,Anhöhe::N,вырйыл,specula
115,Berg::N,гурезь,mons
116,Gipfel::N,йыл,vertex
117,Höhle::N,гу,caverna
118,Höhle::N,гу,spelunca
119,Abhang::N,бам,declivum
120,Quelle::N,ошмес,fons
121,Bach::N,пичи шур,rivus
122,Fluss::N,шур,flumen
123,Ufer::N,ярдур,ripa
124,Küste::N,вудур,litus
125,Festland::N,мувыр,continens
126,Meer::N,зарезь,mare
127,Bucht::N,вукож,sinus
128,Insel::N,вумуӵ,insula
129,Insel::N,шормуӵ,insula
130,Blume::N,сяська,flos
131,Gras::N,турын,herba
132,Gras::N,турын,gramen
133,Wurzel::N,выжы,radix
134,Baum::N,пу,arbor
135,Stamm::N,модос,truncus
136,Rinde::N,сул,cortex
137,Ast::N,ул,ramus
138,Zweig::N,вай,ramus
139,Blatt::N,куар,folium
140,Birke::N,кызьпу,betulla
141,Kiefer[Baum]::N,пужым,pinus
142,Weide[Baum]::N,бадьпу,salix
143,Tanne::N,кыз,abies
144,Horn::N,сюр,cornu
145,Feder::N,тылы,penna
146,Fell::N,ку,pellis
147,Flügel::N,бурд,ala
148,Klaue::N,гижы,unguis
149,Kralle::N,пыд,unguis
150,Schwanz::N,быж,cauda
151,Ei::N,пуз,ovum
152,Ei::N,кукей,ovum
153,Nest::N,кар,nidus
154,Nest::N,пузкар,nidus
155,Bau::N,кар,cavum
156,Bau::N,кар,latibulum
157,Bau::N,гу,cavum
158,Bau::N,гу,latibulum
159,Tier::N,пӧйшур,bestia
