,Concept_ID,ga,pt
0,Auge::N,súil,olho
1,Ohr::N,cluas,orelha
2,Nase::N,soc,nariz
3,Mund::N,béal,boca
4,Zahn::N,fiacail,dente
5,Zunge::N,teanga,língua
6,Lippe::N,liopa,lábio
7,Wange::N,grua,face
8,Wange::N,leiceann,face
9,Gesicht::N,éadan,cara
10,Gesicht::N,éadan,rosto
11,Gesicht::N,aghaidh,cara
12,Gesicht::N,aghaidh,rosto
13,Stirn::N,baithis,testa
14,Stirn::N,clár éadain,testa
15,Haar::N,gruaig,cabelo
16,Schnurrbart::N,croiméal,bigode
17,Bart::N,féasóg,barba
18,Kinn::N,smig,queixo
19,Kiefer[Anatomie]::N,giall,maxila
20,Kiefer[Anatomie]::N,giall,mandíbula
21,Kehle::N,scornach,garganta
22,Hals::N,muinéal,colo
23,Hals::N,muinéal,pescoço
24,Genick::N,baic,nuca
25,Kopf::N,ceann,cabeça
26,Rücken::N,droim,dorso
27,Rücken::N,droim,costas
28,Bauch::N,bolg,ventre
29,Bauch::N,bolg,barriga
30,Nabel::N,imleacán,umbigo
31,Busen::N,cíoch,seio
32,Brust::N,brollach,peito
33,Schulter::N,gualainn,ombro
34,Arm::N,lámh,braço
35,Ellenbogen::N,uillinn,cotovelo
36,Hand::N,lámh,mão
37,Handfläche::N,bos,palma
38,Handfläche::N,bos,palma da mão
39,Finger::N,méar,dedo
40,Fingernagel::N,ionga,unha
41,Nagel[Anatomie]::N,ionga,unha
42,Zeh::N,ladhar,dedo do pé
43,Fuß::N,cos,pé
44,Fuß::N,troigh,pé
45,Ferse::N,sáil,calcanhar
46,Knie::N,glúin,joelho
47,Oberschenkel::N,ceathrú,coxa
48,Bein::N,cos,perna
49,Körper::N,corp,corpo
50,Körper::N,colainn,corpo
51,Haut::N,cneas,pele
52,Haut::N,craiceann,pele
53,Blut::N,fuil,sangue
54,Sehne::N,teannán,tendão
55,Sehne::N,féitheog,tendão
56,Knochen::N,cnámh,osso
57,Gehirn::N,inchinn,cérebro
58,Herz::N,croí,coração
59,Magen::N,bolg,estômago
60,Magen::N,goile,estômago
61,Leber::N,ae,fígado
62,Atem::N,anáil,fôlego
63,Hunger::N,ocras,fome
64,Träne::N,deoir,lágrima
65,Geschmack::N,blas,gosto
66,Geruch::N,boladh,odor
67,Geruch::N,boladh,cheiro
68,Schlaf::N,suan,sono
69,Schlaf::N,codladh,sono
70,Traum::N,taibhreamh,sonho
71,Himmel::N,spéir,céu
72,Sonne::N,grian,sol
73,Mond::N,ré,lua
74,Mond::N,gealach,lua
75,Stern::N,rinn,estrela
76,Stern::N,réalta,estrela
77,Luft::N,aer,ar
78,Wind::N,gaoth,vento
79,Welle::N,tonn,onda
80,Wasser::N,uisce,água
81,Stein::N,cloch,pedra
82,Boden::N,talamh,solo
83,Erde::N,cré,terra
84,Erde::N,ithir,terra
85,Staub::N,dusta,pó
86,Staub::N,deannach,pó
87,Rauch::N,toit,fumo
88,Rauch::N,deatach,fumo
89,Funke::N,drithle,faísca
90,Funke::N,drithle,centelha
91,Feuer::N,tine,fogo
92,Licht::N,solas,luz
93,Schatten::N,scáth,sombra
94,Wetter::N,aimsir,tempo
95,Nebel::N,ceo,nevoeiro
96,Wolke::N,néal,nuvem
97,Wolke::N,scamall,nuvem
98,Regen::N,báisteach,chuva
99,Regen::N,fearthainn,chuva
100,Schnee::N,sneachta,neve
101,Eis::N,oighear,gelo
102,Frost::N,sioc,gelo
103,Frost::N,sioc,geada
104,Kälte::N,fuacht,frio
105,Hitze::N,teas,ardor
106,Hitze::N,teocht,ardor
107,Raureif::N,sioc bán,geada
108,Regenbogen::N,stua ceatha,arco-iris
109,Regenbogen::N,bogha báistí,arco-iris
110,Donner::N,toirneach,trovão
111,Strömung::N,sruth,corrente
112,Tropfen::N,deoir,gota
113,Schaum::N,cúr,espuma
114,Schmutz::N,salachar,sujidade
115,Schmutz::N,salachar,imundície
116,See::N,loch,lago
117,Sumpf::N,portach,charco
118,Sumpf::N,portach,pântano
119,Moor::N,caorán,pântano
120,Moor::N,móinteán,pântano
121,Wiese::N,cluain,prado
122,Wiese::N,móinéar,prado
123,Wald::N,coill,bosque
124,Wald::N,coill,floresta
125,Wald::N,foraois,bosque
126,Wald::N,foraois,floresta
127,Hügel::N,ard,colina
128,Anhöhe::N,ard,alto
129,Anhöhe::N,ard,outeiro
130,Anhöhe::N,ardán,alto
131,Anhöhe::N,ardán,outeiro
132,Berg::N,sliabh,monte
133,Berg::N,sliabh,montanha
134,Gipfel::N,barr,pico
135,Gipfel::N,mullach,pico
136,Höhle::N,uaimh,caverna
137,Höhle::N,pluais,caverna
138,Abhang::N,fána,encosta
139,Quelle::N,foinse,fonte
140,Bach::N,sruthán,regato
141,Bach::N,sruthán,ribeiro
142,Fluss::N,abhainn,rio
143,Ufer::N,bruach,beira
144,Küste::N,cósta,costa
145,Küste::N,cladach,costa
146,Festland::N,míntír,terra firme
147,Meer::N,muir,mar
148,Meer::N,farraige,mar
149,Bucht::N,bá,baía
150,Bucht::N,cuan,baía
151,Insel::N,inis,ilha
152,Insel::N,oileán,ilha
153,Blume::N,bláth,flor
154,Gras::N,féar,erva
155,Wurzel::N,rúta,raiz
156,Wurzel::N,fréamh,raiz
157,Baum::N,crann,árvore
158,Stamm::N,stoc,tronco
159,Stamm::N,tamhan,tronco
160,Rinde::N,coirt,casca
161,Rinde::N,craiceann,casca
162,Ast::N,géag,ramo
163,Zweig::N,géag,galho
164,Zweig::N,craobh,galho
165,Blatt::N,duille,folha
166,Blatt::N,duilleog,folha
167,Birke::N,beith,bétula
168,Birke::N,crann beithe,bétula
169,Kiefer[Baum]::N,péine,pinheiro
170,Weide[Baum]::N,saileach,salgueiro
171,Tanne::N,giúis,abeto
172,Horn::N,adharc,corno
173,Horn::N,adharc,chifre
174,Feder::N,cleite,pena
175,Fell::N,clúmh,pele
176,Flügel::N,eite,asa
177,Flügel::N,sciathán,asa
178,Klaue::N,crúb,pata
179,Klaue::N,crobh,pata
180,Kralle::N,crobh,unha
181,Kralle::N,crobh,garra
182,Schwanz::N,eireaball,rabo
183,Schwanz::N,eireaball,cauda
184,Ei::N,ubh,ovo
185,Nest::N,nead,ninho
186,Bau::N,brocais,toca
187,Bau::N,brocais,covil
188,Tier::N,ainmhí,animal
189,Tier::N,beithíoch,animal
190,Herde::N,tréad,rebanho
191,Kuh::N,bó,vaca
192,Bulle::N,tarbh,touro
193,Pferd::N,each,cavalo
194,Pferd::N,capall,cavalo
195,Schaf::N,caora,ovelha
196,Schwein::N,muc,porco
197,Hund::N,madra,cão
198,Katze::N,cat,gata
199,Bär::N,béar,urso
200,Eichhörnchen::N,iora,esquilo
201,Elch::N,eilc,alce
202,Fuchs::N,sionnach,raposa
203,Fuchs::N,madra rua,raposa
204,Hase::N,giorria,lebre
205,Maus::N,luch,rato
206,Wolf::N,mac tíre,lobo
207,Vogel::N,éan,ave
208,Vogel::N,éan,pássaro
209,Schwarm::N,saithe,bando
210,Schwarm::N,saithe,enxame
211,Huhn::N,cearc,galinha
212,Hahn::N,coileach,galo
213,Gans::N,gé,ganso
214,Adler::N,iolar,águia
215,Ente::N,lacha,pata
216,Eule::N,ulchabhán,mocho
217,Eule::N,ulchabhán,coruja
