,Concept_ID,hr,pt
0,Auge::N,oko,olho
1,Ohr::N,uho,orelha
2,Nase::N,nos,nariz
3,Mund::N,usta,boca
4,Zahn::N,zub,dente
5,Zunge::N,jezik,língua
6,Lippe::N,usna,lábio
7,Wange::N,obraz,face
8,Gesicht::N,lice,cara
9,Gesicht::N,lice,rosto
10,Stirn::N,čelo,testa
11,Haar::N,kosa,cabelo
12,Schnurrbart::N,brkovi,bigode
13,Bart::N,brada,barba
14,Kinn::N,brada,queixo
15,Kinn::N,podbradak,queixo
16,Kiefer[Anatomie]::N,čeljust,maxila
17,Kiefer[Anatomie]::N,čeljust,mandíbula
18,Kehle::N,grlo,garganta
19,Hals::N,vrat,colo
20,Hals::N,vrat,pescoço
21,Genick::N,zatiljak,nuca
22,Kopf::N,glava,cabeça
23,Rücken::N,leđa,dorso
24,Rücken::N,leđa,costas
25,Rücken::N,hrbat,dorso
26,Rücken::N,hrbat,costas
27,Bauch::N,trbuh,ventre
28,Bauch::N,trbuh,barriga
29,Nabel::N,pupak,umbigo
30,Busen::N,sisa,seio
31,Busen::N,njedra,seio
32,Brust::N,prsa,peito
33,Schulter::N,rame,ombro
34,Schulter::N,pleći,ombro
35,Arm::N,ruka,braço
36,Ellenbogen::N,lakat,cotovelo
37,Hand::N,ruka,mão
38,Handfläche::N,dlan,palma
39,Handfläche::N,dlan,palma da mão
40,Finger::N,prst,dedo
41,Fingernagel::N,nokat,unha
42,Nagel[Anatomie]::N,nokat,unha
43,Zeh::N,nozni prst,dedo do pé
44,Fuß::N,noga,pé
45,Fuß::N,stopalo,pé
46,Ferse::N,peta,calcanhar
47,Knie::N,koljeno,joelho
48,Oberschenkel::N,bedro,coxa
49,Bein::N,noga,perna
50,Körper::N,tijelo,corpo
51,Haut::N,put,pele
52,Haut::N,koža,pele
53,Blut::N,krv,sangue
54,Ader::N,žila,veia
55,Sehne::N,tetiva,tendão
56,Knochen::N,kost,osso
57,Herz::N,srce,coração
58,Magen::N,stomak,estômago
59,Magen::N,želudac,estômago
60,Leber::N,jetra,fígado
61,Atem::N,dah,fôlego
62,Hunger::N,glad,fome
63,Träne::N,suza,lágrima
64,Geschmack::N,ukus,gosto
65,Geruch::N,njuh,odor
66,Geruch::N,njuh,cheiro
67,Geruch::N,miris,odor
68,Geruch::N,miris,cheiro
69,Schlaf::N,san,sono
70,Traum::N,san,sonho
71,Himmel::N,nebo,céu
72,Sonne::N,sunce,sol
73,Mond::N,mjesec,lua
74,Stern::N,zvijezda,estrela
75,Luft::N,zrak,ar
76,Wind::N,vjetar,vento
77,Welle::N,val,onda
78,Welle::N,talas,onda
79,Wasser::N,voda,água
80,Stein::N,kamen,pedra
81,Boden::N,tlo,solo
82,Boden::N,zemlja,solo
83,Erde::N,zemlja,terra
84,Staub::N,prah,pó
85,Staub::N,prašina,pó
86,Rauch::N,dim,fumo
87,Funke::N,iskra,faísca
88,Funke::N,iskra,centelha
89,Funke::N,varnica,faísca
90,Funke::N,varnica,centelha
91,Feuer::N,vatra,fogo
92,Licht::N,svjetlo,luz
93,Schatten::N,hlad,sombra
94,Schatten::N,sjena,sombra
95,Wetter::N,vrijeme,tempo
96,Nebel::N,magla,nevoeiro
97,Wolke::N,oblak,nuvem
98,Regen::N,kiša,chuva
99,Schnee::N,snijeg,neve
100,Eis::N,led,gelo
101,Frost::N,mraz,gelo
102,Frost::N,mraz,geada
103,Kälte::N,studen,frio
104,Kälte::N,hladnoća,frio
105,Hitze::N,vrućina,ardor
106,Raureif::N,inje,geada
107,Regenbogen::N,duga,arco-iris
108,Donner::N,grom,trovão
109,Donner::N,grmljavina,trovão
110,Strömung::N,struja,corrente
111,Strömung::N,strujanje,corrente
112,Tropfen::N,kap,gota
113,Tropfen::N,kaplja,gota
114,Schaum::N,pjena,espuma
115,Schmutz::N,nečistoća,sujidade
116,Schmutz::N,nečistoća,imundície
117,Schmutz::N,prljavština,sujidade
118,Schmutz::N,prljavština,imundície
119,See::N,jezero,lago
120,Sumpf::N,bara,charco
121,Sumpf::N,bara,pântano
122,Moor::N,močvara,pântano
123,Wiese::N,livada,prado
124,Wald::N,šuma,bosque
125,Wald::N,šuma,floresta
126,Hügel::N,brijeg,colina
127,Hügel::N,brežuljak,colina
128,Anhöhe::N,uzvišica,alto
129,Anhöhe::N,uzvišica,outeiro
130,Berg::N,brdo,monte
131,Berg::N,brdo,montanha
132,Gipfel::N,vrh,pico
133,Höhle::N,pećina,caverna
134,Höhle::N,spilja,caverna
135,Abhang::N,obronak,encosta
136,Abhang::N,nizbrdica,encosta
137,Quelle::N,izvor,fonte
138,Quelle::N,vrelo,fonte
139,Bach::N,potok,regato
140,Bach::N,potok,ribeiro
141,Fluss::N,rijeka,rio
142,Ufer::N,obala,beira
143,Küste::N,obala,costa
144,Küste::N,morska obala,costa
145,Festland::N,kopno,terra firme
146,Meer::N,more,mar
147,Bucht::N,zaliv,baía
148,Insel::N,ada,ilha
149,Insel::N,otok,ilha
150,Blume::N,cvijet,flor
151,Gras::N,trava,erva
152,Wurzel::N,korijen,raiz
153,Baum::N,drvo,árvore
154,Baum::N,stablo,árvore
155,Stamm::N,deblo,tronco
156,Stamm::N,stablo,tronco
157,Rinde::N,kora,casca
158,Ast::N,grana,ramo
159,Zweig::N,grana,galho
160,Blatt::N,list,folha
161,Birke::N,breza,bétula
162,Kiefer[Baum]::N,bor,pinheiro
163,Weide[Baum]::N,iva,salgueiro
164,Weide[Baum]::N,vŕba,salgueiro
165,Tanne::N,jela,abeto
166,Horn::N,rog,corno
167,Horn::N,rog,chifre
168,Feder::N,pero,pena
169,Fell::N,koža,pele
170,Flügel::N,krilo,asa
171,Klaue::N,papak,pata
172,Kralle::N,pandža,unha
173,Kralle::N,pandža,garra
174,Schwanz::N,rep,rabo
175,Schwanz::N,rep,cauda
176,Ei::N,jaje,ovo
177,Nest::N,gnijezdo,ninho
178,Bau::N,jazbina,toca
179,Bau::N,jazbina,covil
180,Tier::N,životinja,animal
181,Herde::N,krdo,rebanho
182,Herde::N,stado,rebanho
183,Kuh::N,krava,vaca
184,Bulle::N,bik,touro
185,Pferd::N,konj,cavalo
186,Schaf::N,ovca,ovelha
187,Schwein::N,svinja,porco
188,Hund::N,pas,cão
189,Hund::N,pseto,cão
190,Katze::N,mačka,gata
191,Bär::N,medvjed,urso
192,Eichhörnchen::N,vjeverica,esquilo
193,Elch::N,los,alce
194,Fuchs::N,lisica,raposa
195,Hase::N,zec,lebre
196,Maus::N,miš,rato
197,Wolf::N,vuk,lobo
198,Wolf::N,kurjak,lobo
199,Vogel::N,ptica,ave
200,Vogel::N,ptica,pássaro
201,Schwarm::N,roj,bando
202,Schwarm::N,roj,enxame
203,Schwarm::N,jato,bando
204,Schwarm::N,jato,enxame
205,Huhn::N,kokoš,galinha
206,Hahn::N,kokot,galo
207,Hahn::N,pijevac,galo
208,Gans::N,guska,ganso
209,Adler::N,orao,águia
210,Ente::N,patka,pata
211,Eule::N,sova,mocho
212,Eule::N,sova,coruja
213,Kranich::N,ždral,grou
214,Krähe::N,vrana,gralha
215,Kuckuck::N,kukavica,cuco
216,Schwan::N,labud,cisne
217,Fisch::N,riba,peixe
218,Barsch::N,grgeč,perca
219,Hecht::N,štuka,lúcio
