,Concept_ID,hi,kl
0,Auge::N,आँख,isi
1,Auge::N,चक्षु,isi
2,Ohr::N,कान,siut
3,Ohr::N,कर्ण,siut
4,Nase::N,नाक,
5,Nase::N,नासा,
6,Mund::N,मुख,paaq
7,Mund::N,मुख,qaneq
8,Mund::N,मुँह,paaq
9,Mund::N,मुँह,qaneq
10,Zahn::N,दंत,kigut
11,Zahn::N,दाँत,kigut
12,Zunge::N,जीभ,oqaq
13,Zunge::N,ज़बान,oqaq
14,Zunge::N,जिह्वा,oqaq
15,Lippe::N,ओंठ,qarloq
16,Lippe::N,होंठ,qarloq
17,Wange::N,गाल,ersaq
18,Wange::N,कपोल,ersaq
19,Gesicht::N,मुँह,kiinaq
20,Gesicht::N,चेहरा,kiinaq
21,Stirn::N,माथा,qaaq
22,Stirn::N,मस्तक,qaaq
23,Haar::N,बाल,meqqoq
24,Schnurrbart::N,मूँछें,
25,Bart::N,दाढ़ी,umik
26,Kinn::N,चिबुक,talloq
27,Kiefer[Anatomie]::N,जबड़ा,alleroq
28,Kehle::N,गला,malaq
29,Hals::N,गला,qungaseq
30,Hals::N,गरदन,qungaseq
31,Genick::N,गरदन,pukusuk
32,Genick::N,ग्रीवा,pukusuk
33,Kopf::N,सिर,niaqoq
34,Kopf::N,शीर्ष,niaqoq
35,Rücken::N,पीठ,qimerlut
36,Bauch::N,उदर,naaq
37,Nabel::N,नाभि,qalaseq
38,Nabel::N,ढोंढी,qalaseq
39,Busen::N,कुच,iviangeq
40,Busen::N,स्तन,iviangeq
41,Brust::N,वक्ष,iviangeq
42,Schulter::N,कंधा,ersik
43,Schulter::N,कंधा,assaqqoq
44,Schulter::N,स्कंध,ersik
45,Schulter::N,स्कंध,assaqqoq
46,Arm::N,बाँह,taleq
47,Arm::N,बाज़ू,taleq
48,Ellenbogen::N,कुहनी,ikusik
49,Hand::N,हाथ,assak
50,Hand::N,हस्त,assak
51,Handfläche::N,हथेली,itumak
52,Finger::N,उँगली,inuak
53,Finger::N,अँगुली,inuak
54,Fingernagel::N,नख,kikiak
55,Fingernagel::N,नाख़ून,kikiak
56,Nagel[Anatomie]::N,नख,kukik
57,Nagel[Anatomie]::N,नाख़ून,kukik
58,Zeh::N,उँगली,isigak
59,Zeh::N,पाँव की उँगली,isigak
60,Fuß::N,चरण,
61,Fuß::N,पाँव,
62,Ferse::N,एड़ी,kimmik
63,Knie::N,जानु,seeqqoq
64,Knie::N,घुटना,seeqqoq
65,Oberschenkel::N,उरु,uppat
66,Oberschenkel::N,उरु,quttoraq
67,Bein::N,टाँग,isigak
68,Körper::N,तन,timi
69,Körper::N,देह,timi
70,Körper::N,शरीर,timi
71,Haut::N,चर्म,mattak
72,Haut::N,त्वचा,mattak
73,Blut::N,लहू,aak
74,Blut::N,ख़ून,aak
75,Ader::N,रग,taqaq
76,Ader::N,शिरा,taqaq
77,Sehne::N,कंडरा,ujalu
78,Sehne::N,कंडरा,ujaloq
79,Sehne::N,स्नायु,ujalu
80,Sehne::N,स्नायु,ujaloq
81,Knochen::N,अस्थि,saanikut
82,Gehirn::N,दिमाग़,qarasaq
83,Gehirn::N,मस्तिष्क,qarasaq
84,Herz::N,दिल,uummat
85,Herz::N,हृदय,uummat
86,Magen::N,मेदा,aqajaroq
87,Magen::N,अमाशय,aqajaroq
88,Leber::N,जिगर,tinguk
89,Leber::N,यकृत्,tinguk
90,Atem::N,दम,anerneq
91,Atem::N,साँस,anerneq
92,Atem::N,श्वास,anerneq
93,Hunger::N,भूख,kaanneq
94,Hunger::N,क्षुधा,kaanneq
95,Träne::N,आँसू,qia
96,Träne::N,आँसू,qiak
97,Träne::N,अश्रु,qia
98,Träne::N,अश्रु,qiak
99,Geschmack::N,स्वाद,qilanaartuut
100,Geschmack::N,ज़ायक़ा,qilanaartuut
101,Geruch::N,बू,tipi
102,Geruch::N,बू,tipik
103,Geruch::N,गंध,tipi
104,Geruch::N,गंध,tipik
105,Schlaf::N,नींद,
106,Schlaf::N,निद्रा,
107,Traum::N,सपना,sinnattoq
108,Traum::N,सपना,sinnattugaq
109,Traum::N,स्वप्न,sinnattoq
110,Traum::N,स्वप्न,sinnattugaq
111,Himmel::N,आकाश,qilak
112,Himmel::N,आसमान,qilak
113,Sonne::N,रवि,seqineq
114,Sonne::N,सूरज,seqineq
115,Sonne::N,सूर्य,seqineq
116,Mond::N,चाँद,qaammat
