,Concept_ID,en,hu
0,Auge::N,eye,szem
1,Ohr::N,ear,fül
2,Nase::N,nose,orr
3,Mund::N,mouth,száj
4,Zahn::N,tooth,fog
5,Zunge::N,tongue,nyelv
6,Lippe::N,lip,ajak
7,Wange::N,cheek,orca
8,Gesicht::N,face,arc
9,Stirn::N,forehead,homlok
10,Haar::N,hair,haj
11,Schnurrbart::N,moustache,bajusz
12,Bart::N,beard,szakáll
13,Kinn::N,chin,áll
14,Kiefer[Anatomie]::N,jaw,állkapocs
15,Kehle::N,throat,gége
16,Kehle::N,throat,torok
17,Hals::N,neck,nyak
18,Genick::N,nape,tarkó
19,Kopf::N,head,fő
20,Kopf::N,head,fej
21,Rücken::N,back,hát
22,Rücken::N,spine,hát
23,Bauch::N,belly,has
24,Nabel::N,navel,köldök
25,Busen::N,bosom,mell
26,Busen::N,bosom,kebel
27,Brust::N,chest,mell
28,Brust::N,breast,mell
29,Schulter::N,shoulder,váll
30,Arm::N,arm,kar
31,Ellenbogen::N,elbow,könyök
32,Hand::N,hand,kéz
33,Handfläche::N,palm,tenyér
34,Finger::N,finger,ujj
35,Fingernagel::N,fingernail,köröm
36,Nagel[Anatomie]::N,nail,köröm
37,Zeh::N,toe,lábujj
38,Fuß::N,foot,láb
39,Ferse::N,heel,sarok
40,Knie::N,knee,térd
41,Oberschenkel::N,thigh,comb
42,Bein::N,leg,láb
43,Bein::N,leg,lábszár
44,Körper::N,body,test
45,Haut::N,skin,bőr
46,Blut::N,blood,vér
47,Ader::N,vein,ér
48,Sehne::N,sinew,ín
49,Knochen::N,bone,csont
50,Gehirn::N,brain,agy
51,Gehirn::N,brain,agyvelő
52,Herz::N,heart,szív
53,Magen::N,stomach,gyomor
54,Leber::N,liver,máj
55,Atem::N,breath,lehelet
56,Atem::N,breath,lélegzet
57,Hunger::N,hunger,éhség
58,Träne::N,tear,könny
59,Geschmack::N,flavour,íz
60,Geschmack::N,flavor,íz
61,Geruch::N,odour,szag
62,Geruch::N,odor,szag
63,Schlaf::N,sleep,álom
64,Schlaf::N,sleep,alvás
65,Traum::N,dream,álom
66,Himmel::N,sky,ég
67,Himmel::N,sky,menny
68,Sonne::N,sun,nap
69,Mond::N,moon,hold
70,Stern::N,star,csillag
71,Luft::N,air,levegő
72,Wind::N,wind,szél
73,Welle::N,wave,hullám
74,Wasser::N,water,víz
75,Stein::N,stone,kő
76,Boden::N,soil,föld
77,Boden::N,soil,talaj
78,Boden::N,ground,föld
79,Boden::N,ground,talaj
80,Erde::N,earth,föld
81,Staub::N,dust,por
82,Rauch::N,smoke,füst
83,Funke::N,spark,szikra
84,Feuer::N,fire,tűz
85,Licht::N,light,fény
86,Schatten::N,shadow,árnyék
87,Wetter::N,weather,idő
88,Wetter::N,weather,időjárás
89,Nebel::N,fog,köd
90,Wolke::N,cloud,felhő
91,Regen::N,rain,eső
92,Schnee::N,snow,hó
93,Eis::N,ice,jég
94,Frost::N,frost,fagy
95,Kälte::N,chill,hideg
96,Hitze::N,heat,hő
97,Hitze::N,heat,hőség
98,Raureif::N,hoarfrost,zúzmara
99,Regenbogen::N,rainbow,szivárvány
100,Donner::N,thunder,dörgés
101,Donner::N,thunder,mennydörgés
