,Concept_ID,uk,bg
0,Auge::N,око,око
1,Ohr::N,вухо,ухо
2,Nase::N,ніс,нос
3,Mund::N,рот,уста
4,Zahn::N,зуб,зъб
5,Zunge::N,язик,език
6,Lippe::N,губа,устна
7,Wange::N,щока,буза
8,Gesicht::N,обличчя,лице
9,Gesicht::N,обличчя,образ
10,Stirn::N,лоб,чело
11,Haar::N,волосся,коса
12,Haar::N,волосся,косъм
13,Schnurrbart::N,вуса,мустаци
14,Bart::N,борода,брада
15,Kinn::N,підборіддя,брада
16,Kinn::N,підборіддя,брадичка
17,Kiefer[Anatomie]::N,щелепа,челюст
18,Kehle::N,горло,гърло
19,Hals::N,шия,врат
20,Genick::N,потилиця,тил
21,Kopf::N,голова,глава
22,Rücken::N,спина,гръб
23,Bauch::N,живіт,корем
24,Nabel::N,пупок,пъп
25,Busen::N,груди,бозка
26,Brust::N,груди,гръд
27,Schulter::N,плече,рамо
28,Schulter::N,плече,плещи
29,Arm::N,рука,ръка
30,Ellenbogen::N,лікоть,лакът
31,Hand::N,рука,ръка
32,Hand::N,рука,китка
33,Handfläche::N,долоня,длан
34,Finger::N,палець,пръст
35,Fingernagel::N,ніготь,нокът
36,Nagel[Anatomie]::N,ніготь,нокът
37,Zeh::N,палець на нозі,пръст на крак
38,Fuß::N,нога,крак
39,Fuß::N,нога,нога
40,Ferse::N,п’ятка,пета
41,Knie::N,коліно,коляно
42,Oberschenkel::N,стегно,бедро
43,Bein::N,нога,крак
44,Bein::N,нога,нога
45,Körper::N,тіло,тяло
46,Haut::N,шкіра,кожа
47,Blut::N,кров,кръв
48,Ader::N,вена,вена
49,Ader::N,вена,артерия
50,Sehne::N,сухожилля,жила
51,Sehne::N,сухожилля,сухожилие
52,Knochen::N,кістка,кост
53,Gehirn::N,мозок,мозък
54,Herz::N,серце,сърце
55,Magen::N,шлунок,стомах
56,Leber::N,печінка,черен дроб
57,Atem::N,дихання,дишане
58,Hunger::N,голод,глад
59,Träne::N,сльоза,сълза
60,Geschmack::N,смак,вкус
61,Geruch::N,запах,миризма
62,Schlaf::N,сон,сън
63,Schlaf::N,сплячка,сън
64,Traum::N,сон,сън
65,Himmel::N,небо,небе
66,Sonne::N,сонце,слънце
67,Mond::N,місяць,луна
68,Mond::N,місяць,месец
69,Stern::N,зірка,звезда
70,Luft::N,повітря,въздух
71,Wind::N,вітер,вятър
72,Welle::N,хвиля,вълна
73,Wasser::N,вода,вода
74,Stein::N,камінь,камък
75,Boden::N,ґрунт,земя
76,Boden::N,ґрунт,почва
77,Erde::N,земля,земя
78,Erde::N,земля,почва
79,Staub::N,пил,прах
80,Rauch::N,дим,дим
81,Rauch::N,дим,пушек
82,Funke::N,іскра,искра
83,Feuer::N,вогонь,огън
84,Licht::N,світло,светлина
85,Schatten::N,тінь,сянка
86,Wetter::N,погода,време
87,Nebel::N,туман,мъгла
88,Wolke::N,хмара,облак
89,Regen::N,дощ,дъжд
90,Schnee::N,сніг,сняг
91,Eis::N,лід,лед
92,Frost::N,мороз,мраз
93,Kälte::N,холод,студ
94,Hitze::N,жар,жега
95,Hitze::N,жар,горещина
96,Raureif::N,іній,скреж
97,Raureif::N,іній,слана
98,Regenbogen::N,райдуга,дъга
99,Donner::N,грім,гръм
100,Strömung::N,струмина,течение
101,Tropfen::N,крапля,капка
102,Schaum::N,піна,пяна
103,Schmutz::N,бруд,кал
104,Schmutz::N,бруд,мръсотия
105,See::N,озеро,езеро
106,Sumpf::N,драговина,блато
107,Moor::N,болото,мочурище
108,Wiese::N,луг,ливада
109,Wiese::N,лука,ливада
110,Wald::N,ліс,гора
111,Hügel::N,горб,рид
112,Hügel::N,горб,хълм
113,Anhöhe::N,височина,могила
114,Anhöhe::N,височина,възвишение
115,Berg::N,гора,планина
116,Gipfel::N,вершина,връх
117,Höhle::N,печера,пещера
118,Abhang::N,схил,склон
119,Abhang::N,схил,стръмнина
120,Quelle::N,джерело,извор
121,Bach::N,струмок,поток
122,Fluss::N,річка,река
123,Ufer::N,берег,бряг
124,Küste::N,узбережжя,бряг
125,Küste::N,узбережжя,крайбрежие
126,Festland::N,суша,суша
127,Meer::N,море,море
128,Bucht::N,бухта,залив
129,Bucht::N,затока,залив
130,Insel::N,острів,остров
131,Blume::N,квітка,цвете
132,Gras::N,трава,трева
133,Wurzel::N,корінь,корен
134,Baum::N,дерево,дърво
135,Stamm::N,стовбур,стъбло
136,Rinde::N,кора,кора
137,Ast::N,гілка,клон
138,Zweig::N,галузь,клон
139,Blatt::N,лист,лист
140,Birke::N,береза,бреза
141,Kiefer[Baum]::N,сосна,бор
142,Weide[Baum]::N,верба,върба
143,Tanne::N,ялиця,ела
144,Horn::N,ріг,рог
145,Feder::N,перо,перо
146,Fell::N,хутро,кожа
147,Flügel::N,крило,крило
148,Klaue::N,кіготь,нокът
149,Kralle::N,лапа,нокът
150,Schwanz::N,хвіст,опашка
151,Ei::N,яйце,яйце
152,Nest::N,гніздо,гнездо
153,Bau::N,лігво,дупка
154,Tier::N,тварина,животно
155,Herde::N,стадо,стадо
156,Kuh::N,корова,крава
157,Bulle::N,бик,бик
158,Bulle::N,бугай,бик
159,Pferd::N,кінь,кон
160,Schaf::N,вівця,овца
161,Schwein::N,свиня,свиня
162,Hund::N,собака,куче
163,Katze::N,кішка,котка
164,Bär::N,ведмідь,мечка
165,Eichhörnchen::N,білка,катерица
166,Elch::N,лось,лос
167,Fuchs::N,лисиця,лисица
168,Hase::N,заєць,заек
169,Maus::N,миша,мишка
170,Wolf::N,вовк,вълк
171,Vogel::N,птах,птица
172,Schwarm::N,зграя,рой
173,Schwarm::N,зграя,рояк
174,Huhn::N,курка,кокошка
175,Hahn::N,півень,петел
176,Gans::N,гуска,гъска
177,Adler::N,орел,орел
178,Ente::N,качка,патица
179,Eule::N,сова,сова
180,Kranich::N,журавель,жерав
181,Krähe::N,ворона,врана
182,Kuckuck::N,зозуля,кукувица
183,Schwan::N,лебідь,лебед
184,Fisch::N,риба,риба
185,Barsch::N,окунь,костур
186,Hecht::N,щука,щука
187,Schlange[Tier]::N,змія,змия
188,Wurm::N,черв’як,червей
189,Spinne::N,павук,паяк
190,Ameise::N,мурашка,мравка
191,Laus::N,воша,въшка
192,Mücke::N,комар,комар
193,Fliege::N,муха,муха
194,Schmetterling::N,метелик,пеперуда
195,Beere::N,ягода,плод
196,Apfel::N,яблуко,ябълка
197,Pilz::N,гриб,гъба
198,Zwiebel::N,цибуля,лук
199,Zwiebel::N,цибуля,кромид
200,Saat::N,сім’я,семе
201,Korn::N,зерно,зърно
202,Heu::N,сіно,сено
203,Schale::N,шкірка,кора
204,Grube::N,яма,яма
205,Grube::N,яма,дупка
206,Falle::N,пастка,примка
207,Schlinge::N,петля,клуп
208,Spur::N,слід,диря
209,Spur::N,слід,следа
210,Asche::N,зола,пепел
211,Asche::N,попіл,пепел
212,Dreck::N,бруд,кал
213,Eisen::N,залізо,желязо
214,Gold::N,золото,злато
215,Silber::N,срібло,сребро
216,Kohle::N,вугілля,въглища
217,Glas::N,скло,стъкло
218,Lehm::N,глина,глина
219,Sand::N,пісок,пясък
220,Mensch::N,людина,човек
221,Mann::N,чоловік,мъж
222,Frau::N,жінка,жена
223,Kind::N,дитина,дете
224,Junge::N,хлопець,момче
225,Mädchen::N,дівчина,момиче
226,Familie::N,сім’я,фамилия
227,Familie::N,сім’я,семейство
228,Familie::N,родина,фамилия
229,Familie::N,родина,семейство
230,Großvater::N,дідусь,дядо
231,Großmutter::N,бабуся,баба
232,Eltern::N,батьки,родители
233,Vater::N,батько,баща
234,Mutter::N,мати,майка
235,Sohn::N,син,син
236,Tochter::N,дочка,дъщеря
237,Bruder::N,брат,брат
238,Schwester::N,сестра,сестра
239,Onkel::N,дядько,чичо
240,Onkel::N,дядько,вуйчо
241,Tante::N,тітка,леля
242,Ehemann::N,чоловік,съпруг
243,Ehefrau::N,жінка,съпруга
244,Ehefrau::N,дружина,съпруга
245,Freude::N,радощі,радост
246,Gelächter::N,сміх,смях
247,Glück::N,щастя,щастие
248,Kummer::N,горе,тъга
249,Wunsch::N,бажання,желание
250,Lust::N,бажання,желание
251,Geist::N,дух,дух
252,Gedanke::N,думка,мисъл
253,Gedächtnis::N,пам’ять,памет
254,Verstand::N,розум,ум
255,Verstand::N,розум,разум
256,Sinn::N,зміст,смисъл
257,Sinn::N,значення,смисъл
258,Grund::N,причина,причина
259,Wahrheit::N,правда,правда
260,Gespräch::N,розмова,разговор
261,Märchen::N,байка,приказка
262,Erzählung::N,повість,разказ
263,Erzählung::N,оповідання,разказ
264,Nachricht::N,повідомлення,вест
265,Nachricht::N,повідомлення,известие
266,Neuigkeit::N,новина,новина
267,Name::N,ім’я,име
268,Rätsel::N,загадка,гатанка
269,Rede::N,промова,реч
270,Rede::N,промова,слово
271,Sprache::N,мова,език
272,Stimme::N,голос,глас
273,Wort::N,слово,дума
274,Zeichen::N,знак,знак
275,Ruf::N,оклик,зов
276,Lärm::N,шум,шум
277,Lärm::N,шум,глъчка
278,Laut::N,звук,звук
279,Ton::N,тон,тон
280,Lied::N,пісня,песен
281,Ruhe::N,спокій,тишина
282,Ruhe::N,спокій,спокойствие
283,Leute::N,люди,хора
284,Volk::N,народ,народ
285,Arbeit::N,робота,труд
286,Arbeit::N,робота,работа
287,Gast::N,гість,гост
288,Geschenk::N,подарунок,дар
289,Geschenk::N,подарунок,подарък
290,Spiel::N,гра,игра
291,Gesellschaft::N,товариство,общество
292,Hilfe::N,допомога,помощ
293,Freund::N,друг,приятел
294,Freund::N,приятель,приятел
295,Kamerad::N,товариш,другар
296,Angelegenheit::N,справа,работа
297,Anzahl::N,число,брой
298,Anzahl::N,число,количество
299,Art::N,рід,вид
300,Stück::N,кусок,къс
301,Stück::N,кусок,парче
302,Teil::N,частина,дял
303,Teil::N,частина,част
304,Hälfte::N,половина,половина
305,Kreis::N,круг,кръг
306,Kreis::N,коло,кръг
307,Kreuz::N,хрест,кръст
308,Linie::N,лінія,черта
309,Strich::N,штрих,щрих
310,Strich::N,штрих,черта
311,Abstand::N,проміжок,дистанция
312,Abstand::N,проміжок,разстояние
313,Entfernung::N,відстань,разстояние
314,Gegend::N,місцевість,местност
315,Platz::N,площа,място
316,Ort::N,місце,място
317,Seite::N,сторона,страна
318,Mitte::N,середина,среда
319,Gegenstand::N,предмет,предмет
320,Sache::N,річ,вещ
321,Rand::N,край,ръб
322,Kante::N,ребро,ръб
323,Kante::N,ребро,кант
324,Ecke::N,ріг,ъгъл
325,Spitze::N,кінчик,връх
326,Spitze::N,кінчик,острие
327,Ende::N,кінець,край
328,Loch::N,діра,дупка
329,Winkel::N,куток,кът
330,Winkel::N,куток,ъгъл
331,Muster::N,узор,десен
332,Muster::N,узор,образец
333,Größe::N,розмір,големина
334,Länge::N,довжина,дължина
335,Höhe::N,висота,висота
336,Höhe::N,висота,височина
337,Gewicht::N,вага,тегло
338,Gewicht::N,вага,тежест
339,Menge::N,кількість,количество
340,Haufen::N,купа,куп
341,Haufen::N,купа,грамада
342,Reihe::N,ряд,ред
343,Reihe::N,ряд,редица
344,Boot::N,човен,лодка
345,Ruder::N,весло,весло
346,Ruder::N,весло,гребло
347,Schlitten::N,сани,шейна
348,Ski::N,лижа,ски
349,Lagerfeuer::N,вогнище,огнище
350,Last::N,тягар,товар
351,Last::N,вантаж,товар
352,Gang::N,хід,ход
353,Gang::N,хід,вървеж
354,Schritt::N,крок,стъпка
355,Norden::N,північ,север
356,Süden::N,південь,юг
357,Westen::N,захід,запад
358,Osten::N,схід,изток
359,Holz::N,дрова,дърво
360,Brett::N,дошка,дъска
361,Platte::N,плита,
362,Stütze::N,підпірка,
363,Stange::N,жердина,прът
364,Stange::N,жердина,върлина
365,Stock::N,палиця,прът
366,Stock::N,палиця,тояга
367,Stab::N,палиця,прът
368,Rohr::N,труба,цев
369,Rohr::N,труба,тръба
370,Haus::N,дім,къща
371,Haus::N,хата,къща
372,Heim::N,житло,дом
373,Ofen::N,піч,печка
374,Fußboden::N,підлога,под
375,Tisch::N,стіл,маса
376,Stuhl::N,стілець,стол
377,Wiege::N,колиска,люлка
378,Bett::N,ліжко,легло
379,Bett::N,ліжко,креват
380,Bett::N,постіль,легло
381,Bett::N,постіль,креват
382,Regal::N,полиця,рафт
383,Regal::N,полиця,етажерка
384,Kiste::N,ящик,кутия
385,Kiste::N,ящик,сандък
386,Fenster::N,вікно,прозорец
387,Tür::N,двері,врата
388,Tor::N,ворота,врата
389,Zaun::N,паркан,ограда
390,Zaun::N,огорожа,ограда
391,Dach::N,дах,покрив
392,Leiter::N,драбина,стълба
393,Besen::N,мітла,метла
394,Spaten::N,заступ,лопата
395,Schaufel::N,совок,лопата
396,Schaufel::N,лопата,лопата
397,Gabel::N,виделка,вилица
398,Löffel::N,ложка,лъжица
399,Messer::N,ніж,нож
400,Nagel::N,цвях,гвоздей
401,Netz::N,сіть,мрежа
402,Haken::N,крюк,кука
403,Haken::N,крюк,закачалка
404,Griff::N,ручка,ръчка
405,Griff::N,ручка,дръжка
406,Griff::N,держак,ръчка
407,Griff::N,держак,дръжка
408,Schloss::N,замок,брава
409,Schloss::N,замок,ключалка
410,Bild::N,картина,картина
411,Figur::N,фігура,фигура
412,Puppe::N,лялька,кукла
413,Beutel::N,мішечок,кесия
414,Beutel::N,торбинка,кесия
415,Bündel::N,в’язка,връзка
416,Tasche::N,сумка,чанта
417,Eimer::N,відро,кофа
418,Deckel::N,кришка,капак
419,Deckel::N,кришка,похлупак
420,Geschirr::N,посуд,съдове
421,Sack::N,мішок,чувал
422,Tasse::N,чашка,чаша
423,Topf::N,горщик,гърне
424,Topf::N,горщик,тенджера
425,Kessel::N,котел,котел
426,Essen::N,їжа,ядене
427,Nahrung::N,харч,храна
428,Speise::N,страва,ястие
429,Fleisch::N,м’ясо,месо
430,Getreide::N,хліб,зърнено храни
431,Getreide::N,збіжжя,зърнено храни
432,Brei::N,каша,каша
433,Brot::N,хліб,хляб
434,Scheibe::N,скибочка,резен
435,Fett::N,жир,мазнина
436,Butter::N,масло,масло
437,Öl::N,олія,олио
438,Öl::N,олія,оливия
439,Salz::N,сіль,сол
440,Suppe::N,суп,супа
441,Honig::N,мед,мед
442,Milch::N,молоко,мляко
443,Tee::N,чай,чай
444,Leder::N,шкіра,кожа
445,Wolle::N,шерсть,вълна
446,Stoff::N,тканина,плат
447,Stoff::N,тканина,материал
448,Nadel::N,голка,игла
449,Faden::N,нитка,конец
450,Knopf::N,ґудзик,копче
451,Knoten::N,вузол,възел
452,Farbe::N,фарба,боя
453,Kleidung::N,одяг,дрехи
454,Kleidung::N,одяг,облекло
455,Kleidung::N,убрання,дрехи
456,Kleidung::N,убрання,облекло
457,Hemd::N,сорочка,риза
458,Kragen::N,комір,яка
459,Ärmel::N,рукав,ръкав
460,Hose::N,брюки,панталони
461,Gürtel::N,пояс,пояс
462,Gürtel::N,пояс,колан
463,Mütze::N,шапка,каскет
464,Mütze::N,шапка,фуражка
465,Schuh::N,ботинок,обувка
466,Stiefel::N,чобіт,ботуш
467,Ring::N,кільце,пръстен
468,Band::N,стрічка,лента
469,Band::N,стрічка,връзка
470,Kamm::N,гребінець,гребен
471,Spiegel::N,дзеркало,огледало
472,Riemen::N,ремінь,каиш
473,Riemen::N,ремінь,ремък
474,Schnur::N,вірьовка,връв
475,Leine::N,шворка,връв
476,Leine::N,шворка,въже
477,Decke::N,ковдра,покривка
478,Kissen::N,подушка,възглавница
479,Tuch::N,хустка,сукно
480,Handtuch::N,рушник,пешкир
481,Handtuch::N,рушник,кърпа за лице
482,Kraft::N,сила,мощ
483,Kraft::N,сила,сила
484,Stärke::N,сила,сила
485,Gesundheit::N,здоров’я,здраве
486,Krankheit::N,хвороба,болест
487,Schmerz::N,біль,болка
488,Wunde::N,рана,рана
489,Fieber::N,гарячка,треска
490,Fieber::N,гарячка,температура
491,Arznei::N,ліки,лек
492,Arznei::N,ліки,лекарство
493,Brücke::N,міст,мост
494,Brunnen::N,колодязь,чешма
495,Brunnen::N,колодязь,кладенец
496,Weide::N,пасовище,паша
497,Weide::N,пасовище,пасище
498,Pfad::N,стежка,пътека
499,Weg::N,шлях,път
500,Weg::N,дорога,път
501,Straße::N,вулиця,шосе
502,Dorf::N,село,село
503,Stadt::N,місто,град
504,Brief::N,лист,писмо
505,Buch::N,книга,книга
506,Buch::N,книжка,книга
507,Buchstabe::N,буква,буква
508,Buchstabe::N,літера,буква
509,Zeitung::N,газета,вестник
510,Leben::N,життя,живот
511,Tod::N,смерть,смърт
512,Grab::N,могила,гроб
513,Kirche::N,церква,църква
514,Sünde::N,гріх,грях
515,Gott::N,бог,бог
516,Arbeiter::N,робітник,работник
517,Chef::N,хазяїн,шеф
518,Chef::N,хазяїн,началник
519,Meister::N,умілець,майстор
520,Arzt::N,лікар,лекар
521,Lehrer::N,вчитель,учител
522,Geld::N,гроші,пари
523,Geschäft::N,заняття,сделка
524,Laden::N,магазин,дюкян
525,Laden::N,магазин,магазин
526,Laden::N,крамниця,дюкян
527,Laden::N,крамниця,магазин
528,Preis::N,ціна,цена
529,Ware::N,товар,стока
530,Nutzen::N,вигода,полза
531,Nutzen::N,вигода,облага
532,Nutzen::N,користь,полза
533,Nutzen::N,користь,облага
534,Reichtum::N,багатство,богатство
535,Welt::N,світ,свят
536,Land::N,країна,страна
537,Staat::N,держава,щат
538,Staat::N,держава,държава
539,König::N,король,крал
540,Macht::N,влада,мощ
541,Macht::N,влада,власт
542,Grenze::N,кордон,граница
543,Krieg::N,війна,война
544,Feind::N,ворог,враг
545,Feind::N,ворог,неприятел
546,Gewalt::N,насильство,сила
547,Gewalt::N,насильство,насилие
548,Kampf::N,бій,борба
549,Kampf::N,бій,сражение
550,Kampf::N,боротьба,борба
551,Kampf::N,боротьба,сражение
552,Bogen[Waffe]::N,лук,лък
553,Pfeil::N,стріла,стрела
554,Gewehr::N,рушниця,пушка
555,Gewehr::N,гвинтівка,пушка
556,Fehler::N,помилка,грешка
557,Lüge::N,брехня,лъжа
558,Schaden::N,шкода,повреда
559,Schaden::N,збиток,повреда
560,Unglück::N,нещастя,нещастие
561,Schuld::N,провина,вина
562,Alter::N,вік,възраст
563,Alter::N,літа,възраст
564,Schluss::N,кінець,край
565,Zeit::N,час,време
566,Tag::N,день,ден
567,Morgen::N,ранок,утро
568,Morgen::N,ранок,сутрин
569,Mittag::N,південь,обед
570,Mittag::N,південь,пладне
571,Abend::N,вечір,вечер
572,Nacht::N,ніч,нощ
573,Woche::N,тиждень,седмица
574,Monat::N,місяць,месец
575,Jahr::N,рік,година
576,Frühling::N,весна,пролет
577,Sommer::N,літо,лято
578,Herbst::N,осінь,есен
579,Winter::N,зима,зима
580,Januar::N,січень,януари
581,Februar::N,лютий,февруари
582,März::N,березень,март
583,April::N,квітень,април
584,Mai::N,травень,май
585,Juni::N,червень,юни
586,Juli::N,липень,юли
587,August::N,серпень,август
588,September::N,вересень,септември
589,Oktober::N,жовтень,октомври
590,November::N,листопад,ноември
591,Dezember::N,грудень,декември
592,Montag::N,понеділок,понеделник
593,Dienstag::N,вівторок,вторник
594,Mittwoch::N,середа,сряда
595,Donnerstag::N,четвер,четвъртък
596,Freitag::N,п’ятниця,петък
597,Samstag::N,субота,събота
598,Sonntag::N,неділя,неделя
599,groß::A,великий,едър
600,groß::A,великий,голям
601,klein::A,малий,малък
602,klein::A,малий,дребен
603,klein::A,маленький,малък
604,klein::A,маленький,дребен
605,lang::A,довгий,дълъг
606,kurz::A,короткий,къс
607,breit::A,широкий,широк
608,schmal::A,вузький,тесен
609,dicht::A,густий,гъст
610,dick[Gegenstand]::A,товстий,дебел
611,dünn::A,тонкий,тънък
612,fein::A,дрібний,фин
613,fein::A,дрібний,тънък
614,fest::A,міцний,твърд
615,fest::A,міцний,плътен
616,flach::A,плоский,равен
617,flach::A,плоский,плосък
618,glatt::A,рівний,гладък
619,glatt::A,гладенький,гладък
620,hart::A,твердий,твърд
621,hart::A,твердий,корав
622,weich::A,м’який,мек
623,rund::A,круглий,кръгъл
624,spitz::A,гострокінцевий,островръх
625,scharf::A,гострий,остър
626,stumpf::A,тупий,тъп
627,schwer::A,важкий,тежък
628,schön::A,вродливий,хубав
629,schön::A,вродливий,красив
630,heiß::A,жаркий,жарък
631,heiß::A,гарячий,жарък
632,warm::A,теплий,топъл
