,Concept_ID,eu,se
0,Auge::N,begi,tjelmie
1,Auge::N,begi,tjalmme
2,Auge::N,begi,čalbmi
3,Auge::N,begi,čalme
4,Auge::N,begi,čâ´lmm
5,Auge::N,begi,ча̄лльм
6,Ohr::N,belarri,bieljie
7,Ohr::N,belarri,biellje
8,Ohr::N,belarri,beallji
9,Ohr::N,belarri,pelji
10,Ohr::N,belarri,pe´llj
11,Ohr::N,belarri,пе̄лльй
12,Nase::N,sudur,njuenie
13,Nase::N,sudur,njunnje
14,Nase::N,sudur,njunni
15,Nase::N,sudur,njuṇe
16,Nase::N,sudur,njuu´nn
17,Nase::N,sudur,нюннҍ
18,Mund::N,aho,njaelmie
19,Mund::N,aho,njálmme
20,Mund::N,aho,njálbmi
21,Mund::N,aho,njälmi
22,Mund::N,aho,njä´lmm
23,Mund::N,aho,ня̄лльм
24,Zahn::N,hortz,baenie
25,Zahn::N,hortz,bádne
26,Zahn::N,hortz,bátni
27,Zahn::N,hortz,pääṇi
28,Zahn::N,hortz,pää´nn
29,Zahn::N,hortz,па̄ннҍ
30,Zunge::N,mihi,njoektjeme
31,Zunge::N,mihi,njuovtjav
32,Zunge::N,mihi,njuovčča
33,Zunge::N,mihi,njuovčâ
34,Zunge::N,mihi,njuhččâm
35,Zunge::N,mihi,нюхчем
36,Lippe::N,ezpain,bangseme
37,Lippe::N,ezpain,njálmmerabdda
38,Lippe::N,ezpain,bavssa
39,Lippe::N,ezpain,poovsâ
40,Lippe::N,ezpain,põõus
41,Lippe::N,ezpain,пэ̄кс
42,Wange::N,masail,skiehrie
43,Wange::N,masail,nierra
44,Wange::N,masail,muohtu
45,Wange::N,masail,nieṛâ
46,Wange::N,masail,njiõrr
47,Wange::N,masail,нӣрр
48,Gesicht::N,aurpegi,ååredæjja
49,Gesicht::N,aurpegi,muohto
50,Gesicht::N,aurpegi,muođut
51,Gesicht::N,aurpegi,ámadadju
52,Gesicht::N,aurpegi,muáđuh
53,Gesicht::N,aurpegi,muâđ
54,Gesicht::N,aurpegi,ка̄ссв
55,Stirn::N,bekoki,gaalloe
56,Stirn::N,bekoki,gállo
57,Stirn::N,bekoki,gállu
58,Stirn::N,bekoki,kállu
59,Stirn::N,bekoki,käll
60,Stirn::N,bekoki,вуэххьц
61,Haar::N,ile,voepte
62,Haar::N,ile,vuoppta
63,Haar::N,ile,vuokta
64,Haar::N,ile,vuop'tâ
65,Haar::N,ile,vuõpt
66,Haar::N,ile,вӯппт
67,Haar::N,bilo,voepte
68,Haar::N,bilo,vuoppta
69,Haar::N,bilo,vuokta
70,Haar::N,bilo,vuop'tâ
71,Haar::N,bilo,vuõpt
72,Haar::N,bilo,вӯппт
73,Schnurrbart::N,bibote,bijjie-skaavtjoe
74,Schnurrbart::N,bibote,njunjevuolskávttjá
75,Schnurrbart::N,bibote,seamu
76,Schnurrbart::N,bibote,siämu
77,Schnurrbart::N,bibote,ää´bben
78,Schnurrbart::N,bibote,о̄а̄бпан
79,Schnurrbart::N,sudurpeko,bijjie-skaavtjoe
80,Schnurrbart::N,sudurpeko,njunjevuolskávttjá
81,Schnurrbart::N,sudurpeko,seamu
82,Schnurrbart::N,sudurpeko,siämu
83,Schnurrbart::N,sudurpeko,ää´bben
84,Schnurrbart::N,sudurpeko,о̄а̄бпан
85,Bart::N,bizar,skaavtja
86,Bart::N,bizar,skaavtjoe
87,Bart::N,bizar,skávttjá
88,Bart::N,bizar,seamu
89,Bart::N,bizar,siämu
90,Bart::N,bizar,seäm
91,Bart::N,bizar,ся̄м
92,Kinn::N,kokots,gaejpie
93,Kinn::N,kokots,gájbbe
94,Kinn::N,kokots,gáibi
95,Kinn::N,kokots,käibi
96,Kinn::N,kokots,käi´bb
97,Kinn::N,kokots,ка̄ййп
98,Kiefer[Anatomie]::N,masailezur,gaejpie
99,Kiefer[Anatomie]::N,masailezur,oalol
100,Kiefer[Anatomie]::N,masailezur,oaloldákte
101,Kiefer[Anatomie]::N,masailezur,gáibi
102,Kiefer[Anatomie]::N,masailezur,uá'lultähti
103,Kiefer[Anatomie]::N,masailezur,vuâl'lõš
104,Kiefer[Anatomie]::N,masailezur,вуаллнешш
105,Kehle::N,eztarri,gealoe
106,Kehle::N,eztarri,tjåttå
107,Kehle::N,eztarri,njiello
108,Kehle::N,eztarri,čotta
109,Kehle::N,eztarri,čuudâ
110,Kehle::N,eztarri,čoodd
111,Kehle::N,eztarri,чонт
112,Kehle::N,eztarri,кэ̄ҏс
113,Hals::N,sama,tjeapohke
114,Hals::N,sama,tjiebet
115,Hals::N,sama,čeabet
116,Hals::N,sama,čiäppát
117,Hals::N,sama,čeäppat
118,Hals::N,sama,ча̄пэх
119,Genick::N,garondo,tjovrese
120,Genick::N,garondo,nisske
121,Genick::N,garondo,niehkki
122,Genick::N,garondo,niski
123,Genick::N,garondo,niek'ki
124,Genick::N,garondo,nji´šǩǩmaadd
125,Genick::N,garondo,нышшькмоант
126,Kopf::N,buru,åejjie
127,Kopf::N,buru,oajvve
128,Kopf::N,buru,oaivi
129,Kopf::N,buru,uái'vi
130,Kopf::N,buru,vuei´vv
131,Kopf::N,buru,вуэййв
132,Rücken::N,bizkar,rudtje
133,Rücken::N,bizkar,hárddo
134,Rücken::N,bizkar,tjavelk
135,Rücken::N,bizkar,sealgi
136,Rücken::N,bizkar,selgi
137,Rücken::N,bizkar,čielgi
138,Rücken::N,bizkar,seä´lǧǧ
139,Rücken::N,bizkar,се̄лльк
140,Bauch::N,sabel,tjåejjie
141,Bauch::N,sabel,tjoajvve
142,Bauch::N,sabel,čoavji
143,Bauch::N,sabel,čuáv'ji
144,Bauch::N,sabel,čåu´jj
145,Bauch::N,sabel,чо̄ввьй
146,Nabel::N,zilbor,naepie
147,Nabel::N,zilbor,náhpe
148,Nabel::N,zilbor,náhpi
149,Nabel::N,zilbor,nääpi
150,Nabel::N,zilbor,nää´pp
151,Nabel::N,zilbor,на̄бпь
152,Busen::N,titi,boenge
153,Busen::N,titi,bållå
154,Busen::N,titi,čižži
155,Busen::N,titi,njamma
156,Busen::N,titi,njižže
157,Busen::N,titi,nje´ǯǯ
158,Busen::N,titi,раннҍт
159,Busen::N,ugatz,boenge
160,Busen::N,ugatz,bållå
161,Busen::N,ugatz,čižži
162,Busen::N,ugatz,njamma
163,Busen::N,ugatz,njižže
164,Busen::N,ugatz,nje´ǯǯ
165,Busen::N,ugatz,раннҍт
166,Brust::N,bular,mïelke
167,Brust::N,bular,radde
168,Brust::N,bular,mielgga
169,Brust::N,bular,raddi
170,Brust::N,bular,radde
171,Brust::N,bular,râ´dd
172,Brust::N,bular,раннҍт
173,Schulter::N,besaburu,åelkie
174,Schulter::N,besaburu,oalgge
175,Schulter::N,besaburu,hárdu
176,Schulter::N,besaburu,ärdee
177,Schulter::N,besaburu,uál'gi
178,Schulter::N,besaburu,a´rddi
179,Schulter::N,besaburu,vuä´lǧǧ
180,Schulter::N,besaburu,вуэллык
181,Arm::N,beso,gïete
182,Arm::N,beso,giehta
183,Arm::N,beso,giehta
184,Arm::N,beso,kietâ
185,Arm::N,beso,kie'tâkaaṿâ
186,Arm::N,beso,ǩiõtt
187,Arm::N,beso,кӣдт
188,Ellenbogen::N,ukondo,gernjere
189,Ellenbogen::N,ukondo,garŋŋel
190,Ellenbogen::N,ukondo,gargŋil
191,Ellenbogen::N,ukondo,käŋŋir
192,Ellenbogen::N,ukondo,kõõnjâr
193,Ellenbogen::N,ukondo,карьнэль
194,Hand::N,esku,gïete
195,Hand::N,esku,giehta
196,Hand::N,esku,giehta
197,Hand::N,esku,kietâ
198,Hand::N,esku,ǩiõtt
199,Hand::N,esku,кӣдт
200,Handfläche::N,ahur,gïeten-låapoe
