,Concept_ID,sk,be
0,Auge::N,oko,вока
1,Ohr::N,ucho,вуха
2,Nase::N,nos,нос
3,Mund::N,ústa,рот
4,Zahn::N,zub,зуб
5,Zunge::N,jazyk,язык
6,Lippe::N,pera,губа
7,Wange::N,líce,шчака
8,Gesicht::N,tvár,твар
9,Gesicht::N,obličaj,твар
10,Stirn::N,čelo,лоб
11,Haar::N,vlas,волас
12,Haar::N,vlas,валасы
13,Schnurrbart::N,fúzy,вус
14,Schnurrbart::N,fúzy,вусы
15,Bart::N,brada,барада
16,Kinn::N,brada,падбародак
17,Kiefer[Anatomie]::N,čeľusť,сківіца
18,Kehle::N,hrdlo,горла
19,Hals::N,krk,шыя
20,Genick::N,väzy,патыліца
21,Kopf::N,hlava,галава
22,Rücken::N,chrbát,спіна
23,Bauch::N,brucho,жывот
24,Nabel::N,pupok,пупок
25,Busen::N,prsia,грудзі
26,Brust::N,hruď,грудзі
27,Schulter::N,plece,плячо
28,Arm::N,rameno,рука
29,Ellenbogen::N,lakeť,локаць
30,Hand::N,ruka,кісць
31,Handfläche::N,dlaň,далонь
32,Finger::N,prst,палец
33,Fingernagel::N,necht,ногаць
34,Nagel[Anatomie]::N,necht,ногаць
35,Zeh::N,prst na nohe,палец
36,Fuß::N,noha,нага
37,Ferse::N,päta,пята
38,Ferse::N,päta,пятка
39,Knie::N,koleno,калена
40,Oberschenkel::N,stehno,бядро
41,Oberschenkel::N,stehno,сцягно
42,Bein::N,noha,нага
43,Körper::N,telo,цела
44,Haut::N,koža,скура
45,Blut::N,krv,кроў
46,Ader::N,žila,вена
47,Ader::N,žila,сасуд
48,Sehne::N,šľacha,жыла
49,Sehne::N,šľacha,цеціва
50,Sehne::N,šľacha,сухажылле
51,Knochen::N,kosť,косць
52,Gehirn::N,mozog,мозг
53,Herz::N,srdce,сэрца
54,Magen::N,žalúdok,страўнік
55,Leber::N,pečeň,печань
56,Atem::N,dych,дыханне
57,Hunger::N,hlad,голад
58,Träne::N,slza,сляза
59,Geschmack::N,chuť,смак
60,Geruch::N,pach,пах
61,Schlaf::N,spánok,сон
62,Traum::N,sen,сон
63,Himmel::N,nebo,неба
64,Sonne::N,slnko,сонца
65,Mond::N,mesiac,месяц
66,Stern::N,hviezda,зорка
67,Luft::N,vzduch,паветра
68,Wind::N,vietor,вецер
69,Welle::N,vlna,хваля
70,Wasser::N,voda,вада
71,Stein::N,kameň,камень
72,Boden::N,zem,глеба
73,Boden::N,pôda,глеба
74,Erde::N,zem,зямля
75,Staub::N,prach,пыл
76,Rauch::N,dym,дым
77,Funke::N,iskra,іскра
78,Feuer::N,oheň,агонь
79,Licht::N,svetlo,святло
80,Schatten::N,tieň,цень
81,Wetter::N,počasie,пагода
82,Wetter::N,počasie,надворʼе
83,Nebel::N,hmla,туман
84,Wolke::N,oblak,воблака
85,Wolke::N,mračno,воблака
86,Regen::N,dážď,дождж
87,Schnee::N,sneh,снег
88,Eis::N,ľad,лёд
89,Frost::N,mráz,мароз
90,Kälte::N,zima,холад
91,Kälte::N,chlad,холад
92,Hitze::N,horúčava,спёка
93,Raureif::N,srieň,іней
94,Raureif::N,inovať,іней
95,Regenbogen::N,dúha,вясёлка
96,Donner::N,hrom,гром
97,Strömung::N,prúdenie,цячэнне
98,Tropfen::N,kvapka,кропля
99,Schaum::N,pena,пена
100,Schmutz::N,špina,гразь
101,Schmutz::N,nečistota,гразь
102,See::N,jazero,возера
103,Sumpf::N,bahno,багна
104,Moor::N,močiar,балота
105,Wiese::N,lúka,луг
106,Wald::N,les,лес
107,Wald::N,hora,лес
108,Hügel::N,vŕšok,узгорак
109,Anhöhe::N,výšina,узвышша
110,Anhöhe::N,vyvýšenina,узвышша
111,Berg::N,hora,гара
112,Gipfel::N,vrchol,вяршыня
113,Höhle::N,jaskyňa,пячора
114,Abhang::N,úbočie,схіл
115,Quelle::N,prameň,крыніца
116,Bach::N,potok,ручай
117,Fluss::N,rieka,рака
118,Ufer::N,breh,бераг
119,Küste::N,pobrežie,узбярэжжа
120,Festland::N,pevnina,суша
121,Meer::N,more,мора
122,Bucht::N,záliv,бухта
123,Bucht::N,zátoka,бухта
124,Insel::N,ostrov,востраў
125,Blume::N,kvet,кветка
126,Blume::N,kvetina,кветка
127,Gras::N,tráva,трава
128,Wurzel::N,koreň,корань
129,Baum::N,strom,дрэва
130,Stamm::N,kmeň,ствол
131,Rinde::N,kôra,кара
132,Ast::N,konár,сук
133,Zweig::N,vetva,галіна
134,Blatt::N,list,ліст
135,Birke::N,breza,бяроза
136,Kiefer[Baum]::N,sosna,хвоя
137,Kiefer[Baum]::N,sosna,сасна
138,Kiefer[Baum]::N,borovica,хвоя
139,Kiefer[Baum]::N,borovica,сасна
