,Concept_ID,ady,mhr
0,Auge::N,нэ,шинча́
1,Ohr::N,тхьакӏу́м,пы́лыш
2,Nase::N,пэ,нер
3,Mund::N,жэ,умша́
4,Zahn::N,цэ,пӱй
5,Zunge::N,бзэгу,йы́лме
6,Lippe::N,ӏупшӏэ́,тӱ́рвӧ
7,Wange::N,нэкӏу́шъу,шӱ́ргӧ
8,Gesicht::N,нэ́гу,чури́й
9,Stirn::N,натӏэ́,саҥга́
10,Haar::N,шъхьацы́,ӱп
11,Bart::N,жакӏэ́,понда́ш
12,Kinn::N,жэкӏэпэпкъ,оҥыла́ш
13,Kiefer[Anatomie]::N,жэпкъы́,пӱйдӱ́ҥ
14,Kiefer[Anatomie]::N,жэпкъы́,пӱйората́
15,Kehle::N,чый,лога́р
16,Hals::N,пшъэ,шӱй
17,Genick::N,шъхьэпхэтыку,шӱйло́дыш
18,Kopf::N,шъхьэ́,вуй
19,Rücken::N,кӏыбы́,туп
20,Bauch::N,ныбэ́,мӱ́шкыр
21,Busen::N,бгъэ́,чы́зе
22,Brust::N,бгъэ́,оҥ
23,Schulter::N,блыпкъ,ва́че
24,Arm::N,ӏэ,кид
25,Ellenbogen::N,ӏэнтэ́гъу,кынерву́й
26,Hand::N,ӏэтхьэцу,кид
27,Hand::N,ӏэтхьэцу,копа́
28,Handfläche::N,ӏэ́гу,со́во
29,Finger::N,ӏэхъуа́мб,парня́
30,Fingernagel::N,ӏэбжъа́н,кидкӱ́ч
31,Fingernagel::N,ӏэбжъа́н,парнягӱ́ч
32,Nagel[Anatomie]::N,ӏэбжъа́н,кӱч
33,Zeh::N,ӏэхъуа́мб,йолварня́
34,Fuß::N,лъэгу,йол
35,Fuß::N,лъэгу,йолкопа́
36,Ferse::N,лъэдакъэ,тага́н
37,Knie::N,лъагуа́ндж,пулву́й
38,Oberschenkel::N,ко,э́рде
39,Bein::N,лъакъо́,йол
40,Körper::N,пкъышъол,кап
41,Haut::N,кӏы́шъу,кова́ште
42,Blut::N,лъы,вӱр
43,Ader::N,льытф,шӧн
44,Sehne::N,фэ,шӧн
45,Sehne::N,фэ,кӱсе́н
46,Knochen::N,къупшъхьэ́,лу
47,Gehirn::N,куцӏы,вем
48,Gehirn::N,куцӏы,вуйве́м
49,Herz::N,гу,шӱм
50,Magen::N,мышкӏу,пага́р
51,Leber::N,шӏу,мокш
52,Atem::N,къэщэныр,шӱ́лыш
53,Hunger::N,гъаблэ́,шужыма́ш
54,Träne::N,нэпсы,шинчавӱ́д
55,Geschmack::N,ӏэшӏугъа́кӏ,там
56,Geruch::N,мэ,пуш
57,Schlaf::N,пчыхьы́пӏ,о́мо
58,Traum::N,пчыхьы́пӏ,йӱдо́мо
59,Himmel::N,уашъо́,кава́
60,Sonne::N,тыгъэ,ке́че
61,Mond::N,мазэ,ты́лзе
62,Stern::N,жъуагъо́,шӱ́дыр
63,Luft::N,жьы,юж
64,Wind::N,жьыбгъэ́,марде́ж
65,Welle::N,ор,то́лкын
66,Welle::N,оры,то́лкын
67,Wasser::N,псы,вӱд
68,Stein::N,мыжъо́,кӱ
