,Concept_ID,no,lez
0,Auge::N,øye,вил
1,Ohr::N,øre,яб
2,Nase::N,nese,нер
3,Mund::N,munn,сив
4,Zahn::N,tann,сас
5,Zahn::N,tann,свах
6,Zunge::N,tunge,мез
7,Lippe::N,leppe,пӏуз
8,Wange::N,kinn,хъвехъ
9,Gesicht::N,fjes,ччин
10,Gesicht::N,ansikt,ччин
11,Stirn::N,panne,пел
12,Haar::N,hår,чӏар
13,Schnurrbart::N,bart,спел
14,Schnurrbart::N,bart,спелар
15,Bart::N,skjegg,ччуру
16,Kinn::N,hake,чене
17,Kiefer[Anatomie]::N,kjeve,чене
18,Kehle::N,strupe,туьд
19,Hals::N,hals,гардан
20,Genick::N,nakke,кьам
21,Kopf::N,hode,кьил
22,Rücken::N,rygg,далу
23,Bauch::N,buk,руфун
24,Bauch::N,mage,руфун
25,Nabel::N,navle,пицӏ
26,Busen::N,barm,мам
27,Brust::N,bryst,хур
28,Schulter::N,skulder,къуьн
29,Arm::N,arm,гъил
30,Ellenbogen::N,albue,кьуьнт
31,Hand::N,hånd,капаш
32,Handfläche::N,håndflate,капан юкь
33,Finger::N,finger,тӏуб
34,Fingernagel::N,fingernegl,кек
35,Nagel[Anatomie]::N,negl,кек
36,Zeh::N,tå,кул
37,Fuß::N,fot,кӏвач
38,Ferse::N,hæl,дабан
39,Knie::N,kne,мет
40,Oberschenkel::N,lår,
41,Bein::N,bein,кӏвач
42,Körper::N,kropp,беден
43,Körper::N,legeme,беден
44,Haut::N,hud,хам
45,Haut::N,skinn,хам
46,Blut::N,blod,иви
47,Ader::N,åre,дамар
48,Sehne::N,sene,кьуру дамар
49,Knochen::N,bein,кӏараб
50,Knochen::N,knokkel,кӏараб
51,Gehirn::N,hjerne,мефт
52,Herz::N,hjerte,рикӏ
53,Magen::N,mage,хук
54,Leber::N,lever,лекь
55,Atem::N,pust,ял
56,Atem::N,pust,нефес
57,Hunger::N,sult,каш
58,Träne::N,tåre,вилин нагъв
59,Geschmack::N,smak,дад
60,Geschmack::N,smak,тӏям
61,Geruch::N,lukt,ни
62,Schlaf::N,søvn,ахвар
63,Traum::N,drøm,ахвар
64,Himmel::N,himmel,цав
65,Sonne::N,sol,рагъ
66,Mond::N,måne,варз
67,Stern::N,stjerne,гъед
68,Luft::N,luft,гьава
69,Wind::N,vind,гар
70,Welle::N,bølge,лепе
71,Wasser::N,vann,яд
72,Stein::N,stein,къван
73,Boden::N,bakke,накьв
74,Erde::N,jord,ччил
75,Staub::N,støv,руг
76,Rauch::N,røyk,гум
77,Funke::N,gnist,цӏелхем
78,Feuer::N,ild,цӏай
79,Licht::N,lys,экв
80,Schatten::N,skygge,серин
81,Wetter::N,vær,гьава
82,Nebel::N,tåke,ччилин циф
83,Wolke::N,sky,циф
84,Regen::N,regn,марф
85,Schnee::N,snø,жив
86,Eis::N,is,мурк
87,Frost::N,frost,аяз
88,Kälte::N,kulde,мекь
89,Kälte::N,kulde,мекьивал
90,Hitze::N,hete,зегьем
91,Raureif::N,rimfrost,къирав
92,Regenbogen::N,regnbue,яргъируш
93,Donner::N,torden,цавун ван
94,Strömung::N,strømning,
95,Tropfen::N,dråpe,стӏал
96,Schaum::N,skum,каф
97,Schmutz::N,søl,чирк
98,Schmutz::N,søl,кьуруш
99,Schmutz::N,skitt,чирк
100,Schmutz::N,skitt,кьуруш
101,See::N,sjø,вир
