,Concept_ID,sl,te
0,Auge::N,okó,కన్ను
1,Ohr::N,uhó,చెవి
2,Nase::N,nós,ముక్కు
3,Mund::N,ústa,నోరు
4,Zahn::N,zób,పల్లు
5,Zunge::N,jêzik,నాలుక
6,Lippe::N,ústnica,పెదవి
7,Wange::N,líce,చెంప
8,Gesicht::N,oblíčje,ముఖము
9,Stirn::N,čêlo,నుదురు
10,Haar::N,lás,వెండ్రుక
11,Schnurrbart::N,bŕki,మీసము
12,Bart::N,bráda,గడ్డము
13,Kinn::N,bráda,గడ్డము
14,Kiefer[Anatomie]::N,čeljúst,దౌడ
15,Kehle::N,gŕlo,గొంతు
16,Hals::N,vrát,మెడ
17,Genick::N,zatílnik,మూపు
18,Kopf::N,gláva,తల
19,Rücken::N,hrbèt,వెన్ను
20,Bauch::N,trébuh,కడుపు
21,Nabel::N,pópek,బొడ్డు
22,Busen::N,nédrja,స్తనము
23,Brust::N,pŕsi,ఱొమ్ము
24,Schulter::N,ráma,భుజము
25,Schulter::N,plêče,భుజము
26,Arm::N,rôka,చేయి
27,Ellenbogen::N,komólec,మోచేయి
28,Hand::N,rôka,చేయి
29,Handfläche::N,dlán,అరచేయు
30,Finger::N,pŕst,చేతిప్రేలు
31,Fingernagel::N,nóht na rôki,గోరు
32,Nagel[Anatomie]::N,nóht,గోరు
33,Zeh::N,pŕst na nôgi,కాలిప్రేలు
34,Fuß::N,nôga,అడుగు
35,Ferse::N,pêta,మడమ
36,Knie::N,koléno,మోకాలు
37,Oberschenkel::N,stêgno,తొడ
38,Bein::N,nôga,కాలు
39,Körper::N,teló,కాయము
40,Haut::N,kóža,చర్మము
41,Blut::N,krí,రక్తము
42,Ader::N,žíla,సిర
43,Sehne::N,kíta,స్నాయువు
44,Knochen::N,kóst,ఎముక
45,Gehirn::N,možgáni,మెదడు
46,Herz::N,srcé,హృదయము
47,Magen::N,želódec,కడుపు
48,Leber::N,jétra,కాలేయము
49,Atem::N,díh,ఉపిరి
50,Hunger::N,glád,ఆకలి
51,Träne::N,sólza,కన్నీటిచుక్క
52,Geschmack::N,okús,రుచి
53,Geruch::N,vónj,వాసన
54,Schlaf::N,sèn,నిద్ర
55,Schlaf::N,spánec,నిద్ర
56,Traum::N,sánje,కల
57,Himmel::N,nebó,ఆకాశము
58,Sonne::N,sónce,సూర్యుడు
59,Mond::N,lúna,చంద్రుడు
60,Mond::N,mésec,చంద్రుడు
61,Stern::N,zvézda,నక్షత్రము
62,Luft::N,zràk,గాలి
63,Wind::N,véter,వీచుచున్నగాలి
64,Welle::N,vál,అల
65,Wasser::N,vôda,నీరు
66,Stein::N,kámen,ఱాయి
67,Boden::N,tlà,నేల
68,Erde::N,pŕst,మన్ను
69,Erde::N,zêmlja,మన్ను
70,Staub::N,práh,దుమ్ము
71,Rauch::N,dìm,పొగ
72,Funke::N,ískra,అగ్నికణము
73,Feuer::N,ôgenj,అగ్ని
74,Licht::N,lúč,కాంతి
75,Schatten::N,sénca,నీడ
76,Wetter::N,vrême,వాతావరణ స్థితి
77,Nebel::N,meglà,పొగమంచు
78,Wolke::N,oblák,మేఘము
79,Regen::N,dèž,వాన
80,Schnee::N,snég,హిమము
81,Eis::N,léd,మంచుగడ్డ
82,Frost::N,zmrzál,పేరిన మంచు
83,Kälte::N,mràz,చలి
84,Hitze::N,pripéka,వేడిమి
85,Raureif::N,ívje,మంచు
