,Concept_ID,lt,da
119,Ufer::N,krantas,bred
120,Küste::N,pajūris,kyst
121,Festland::N,sausuma,fastland
122,Meer::N,jūra,hav
123,Bucht::N,įlanka,bugt
124,Bucht::N,užutekis,bugt
125,Insel::N,sala,ø
126,Blume::N,gėlė,blomst
127,Gras::N,žolė,græs
128,Wurzel::N,šaknis,rod
129,Baum::N,medis,træ
130,Stamm::N,kamienas,stamme
131,Rinde::N,žievė,bark
132,Ast::N,šaka,gren
133,Zweig::N,šakelė,kvist
134,Blatt::N,lapas,blad
135,Birke::N,beržas,birk
136,Kiefer[Baum]::N,pušis,fyrretræ
137,Weide[Baum]::N,karklas,piletræ
138,Tanne::N,eglė,gran
139,Tanne::N,kėnis,gran
140,Horn::N,ragas,horn
141,Feder::N,plunksna,fjer
142,Fell::N,kailis,skind
143,Flügel::N,sparnas,vinge
144,Klaue::N,kanopa,klov
145,Kralle::N,nagas,klo
146,Schwanz::N,uodega,hale
147,Ei::N,kiaušinis,æg
148,Nest::N,gūžta,rede
149,Nest::N,lizdas,rede
150,Bau::N,ola,bo
151,Tier::N,gyvūnas,dyr
152,Herde::N,banda,flok
153,Herde::N,kaimenė,flok
154,Kuh::N,karvė,ko
155,Bulle::N,bulius,tyr
156,Pferd::N,arklys,hest
157,Schaf::N,avis,får
158,Schwein::N,kiaulė,gris
159,Hund::N,šuo,hund
160,Katze::N,katė,kat
161,Bär::N,lokys,bjørn
162,Eichhörnchen::N,voveraitė,egern
163,Elch::N,briedis,elg
164,Fuchs::N,lapė,ræv
165,Hase::N,kiškas,hare
166,Maus::N,pelė,mus
167,Wolf::N,vilkas,ulv
168,Vogel::N,paukštis,fugl
169,Schwarm::N,spiečius,sværm
170,Huhn::N,višta,høne
171,Hahn::N,gaidys,hane
172,Gans::N,žąsis,gås
173,Adler::N,erelis,ørn
174,Ente::N,antis,and
175,Eule::N,pelėda,ugle
176,Kranich::N,gervė,trane
177,Krähe::N,varna,krage
178,Kuckuck::N,gegužė,gøg
179,Schwan::N,gulbė,svane
180,Fisch::N,žuvis,fisk
181,Barsch::N,ešerys,aborre
182,Hecht::N,lydeka,gedde
183,Schlange[Tier]::N,gyvatė,slange
184,Wurm::N,kirmėlė,orm
185,Spinne::N,voras,edderkop
186,Ameise::N,skruzdė,myre
187,Laus::N,utėlė,lus
188,Mücke::N,uodas,myg
189,Fliege::N,musė,flue
190,Schmetterling::N,drugys,sommerfugl
191,Schmetterling::N,peteliškė,sommerfugl
192,Beere::N,uoga,bær
193,Apfel::N,obuolys,æble
194,Pilz::N,grybas,svamp
195,Zwiebel::N,svogūnas,løg
196,Saat::N,sėkla,sæd
197,Korn::N,grūdai,korn
198,Heu::N,šienas,hø
199,Schale::N,žievelė,skræl
200,Grube::N,duobė,grav
201,Falle::N,pinklės,fælde
202,Falle::N,žabangai,fælde
203,Schlinge::N,kilpa,snare
204,Spur::N,vėžė,spor
205,Spur::N,pėdos,spor
206,Spur::N,pėdsakas,spor
207,Asche::N,pelenai,aske
208,Dreck::N,purvas,snavs
209,Eisen::N,geležis,jern
210,Gold::N,auksas,guld
211,Silber::N,sidabras,sølv
212,Kohle::N,anglis,kul
213,Glas::N,stiklas,glas
214,Lehm::N,molis,ler
215,Sand::N,smėlis,sand
216,Mensch::N,žmogus,mennesge
217,Mann::N,vyras,mand
218,Mann::N,vyriškis,mand
219,Frau::N,moteris,kvinde
220,Kind::N,vaikas,barn
221,Junge::N,vaikinas,dreng
222,Junge::N,berniukas,dreng
223,Mädchen::N,mergytė,pige
224,Mädchen::N,mergaitė,pige
225,Familie::N,šeima,familie
226,Großvater::N,senelis,bedstefar
227,Großmutter::N,senelė,bedstemor
228,Eltern::N,tėvai,forældre
229,Vater::N,tėvas,far
230,Mutter::N,motina,mor
231,Sohn::N,sūnus,søn
232,Tochter::N,duktė,datter
233,Bruder::N,brolis,bror
234,Schwester::N,sesuo,søster
235,Onkel::N,dėdė,onkel
236,Tante::N,teta,tante
237,Ehemann::N,vyras,ægtemand
238,Ehefrau::N,žmona,hustru
239,Freude::N,džiaugsmas,glæde
240,Gelächter::N,juokas,latter
241,Glück::N,laimė,lykke
242,Kummer::N,vargas,sorg
243,Kummer::N,rūpestis,sorg
244,Wunsch::N,troškimas,ønske
245,Wunsch::N,pageidavimas,ønske
246,Lust::N,noras,lyst
247,Lust::N,geidulys,lyst
248,Geist::N,dvasia,ånd
249,Gedanke::N,mintis,tanke
250,Gedächtnis::N,atmintis,hukommelse
251,Verstand::N,protas,forstand
252,Sinn::N,prasmė,mening
253,Sinn::N,prasmė,betydning
254,Grund::N,priežastis,grund
255,Wahrheit::N,tiesa,sandhed
256,Wahrheit::N,teisybė,sandhed
257,Gespräch::N,pokalbis,samtale
258,Märchen::N,pasaka,eventyr
259,Erzählung::N,apsakymas,fortælling
260,Erzählung::N,pasakojimas,fortælling
261,Nachricht::N,žinia,efterretning
262,Neuigkeit::N,naujiena,nyhed
263,Name::N,vardas,navn
264,Rätsel::N,mįslė,gåde
265,Rede::N,kalba,tale
266,Sprache::N,kalba,sprog
267,Stimme::N,balsas,stemme
268,Wort::N,žodis,ord
269,Zeichen::N,žymė,tegn
270,Zeichen::N,ženklas,tegn
271,Ruf::N,šauksmas,råb
272,Lärm::N,triukšmas,larm
273,Laut::N,garsas,lyd
274,Ton::N,tonas,tone
275,Ton::N,garsas,tone
276,Lied::N,daina,sang
277,Lied::N,giesmė,sang
278,Ruhe::N,ramybė,ro
279,Ruhe::N,ramybė,hvile
280,Ruhe::N,ramumas,ro
281,Ruhe::N,ramumas,hvile
282,Leute::N,žmonės,folk
283,Leute::N,žmonės,mennesker
284,Volk::N,tauta,folk
285,Arbeit::N,darbas,arbejde
286,Arbeit::N,triūsas,arbejde
287,Gast::N,svečias,gæst
288,Geschenk::N,dovana,gave
289,Spiel::N,žaismas,leg
290,Spiel::N,žaidimas,leg
291,Gesellschaft::N,draugija,selskab
292,Gesellschaft::N,kompanija,selskab
293,Hilfe::N,pagalba,hjælp
294,Freund::N,draugas,ven
295,Freund::N,bičiulis,ven
296,Kamerad::N,draugas,kammerat
297,Angelegenheit::N,dalykas,sag
298,Angelegenheit::N,dalykas,anliggende
299,Angelegenheit::N,reikalas,sag
300,Angelegenheit::N,reikalas,anliggende
301,Anzahl::N,kiekis,antal
302,Anzahl::N,skaičius,antal
303,Art::N,rūšis,art
304,Stück::N,gabalas,stykke
305,Teil::N,dalis,del
306,Hälfte::N,pusė,halvdel
307,Kreis::N,ratas,cirkel
308,Kreis::N,apskritis,cirkel
309,Kreis::N,apskritimas,cirkel
310,Kreuz::N,kryžius,kors
311,Kreuz::N,kryžius,kryds
312,Linie::N,linija,linie
313,Strich::N,brėžis,streg
314,Strich::N,brūkšnys,streg
315,Abstand::N,atstumas,afstand
316,Entfernung::N,atstumas,afstand
317,Gegend::N,vietovė,egn
318,Platz::N,vieta,plads
319,Ort::N,vieta,sted
320,Ort::N,vietovė,sted
321,Seite::N,pusė,side
322,Seite::N,šonas,side
323,Mitte::N,vidurys,midte
324,Gegenstand::N,dalykas,genstand
325,Sache::N,daiktas,sag
326,Rand::N,kraštas,rand
327,Rand::N,pakraštys,rand
328,Kante::N,kraštas,kant
329,Ecke::N,kertė,hjørne
330,Ecke::N,kampas,hjørne
331,Spitze::N,priekis,spids
332,Spitze::N,priešakys,spids
333,Ende::N,galas,ende
334,Loch::N,skylė,hul
335,Winkel::N,kampas,vinkel
336,Winkel::N,kampelis,vinkel
337,Muster::N,raštas,mønster
338,Größe::N,dydis,størrelse
339,Größe::N,didumas,størrelse
340,Länge::N,ilgis,længde
341,Länge::N,ilgumas,længde
342,Höhe::N,aukštis,højde
343,Höhe::N,aukštuma,højde
344,Gewicht::N,svoris,vægt
345,Gewicht::N,svarstis,vægt
346,Menge::N,kiekis,mængde
347,Menge::N,daugybė,mængde
348,Haufen::N,krūva,bunke
349,Haufen::N,šūsnis,bunke
350,Reihe::N,greta,række
351,Boot::N,valtis,båd
352,Boot::N,laivelis,båd
353,Ruder::N,irklas,åre
354,Schlitten::N,rogės,kælk
355,Schlitten::N,rogės,slæde
356,Schlitten::N,rogutės,kælk
357,Schlitten::N,rogutės,slæde
358,Ski::N,slidė,ski
359,Lagerfeuer::N,laužas,lejrbål
360,Last::N,našta,last
361,Last::N,našta,byrde
362,Last::N,nešulys,last
363,Last::N,nešulys,byrde
364,Gang::N,eisena,gang
365,Schritt::N,žingsnis,skridt
366,Norden::N,šiaurė,nord
367,Norden::N,žiemiai,nord
368,Süden::N,pietūs,syd
369,Westen::N,vakarai,vest
370,Osten::N,rytai,øst
371,Holz::N,mediena,træ
372,Brett::N,lenta,bræt
373,Platte::N,plokštė,plade
374,Stütze::N,atrama,støtte
375,Stütze::N,atspara,støtte
376,Stange::N,lazda,stang
377,Stange::N,kartis,stang
378,Stock::N,lazda,stok
379,Stab::N,kartis,stav
380,Rohr::N,vamzdis,rør
381,Haus::N,namas,hus
382,Heim::N,namai,hjem
383,Ofen::N,krosnis,ovn
384,Fußboden::N,grindys,gulv
385,Tisch::N,stalas,bord
386,Stuhl::N,kėdė,stol
387,Wiege::N,lopšys,vugge
388,Bett::N,lova,seng
389,Bett::N,patalai,seng
390,Regal::N,lentyna,reol
391,Kiste::N,dėžė,kasse
392,Fenster::N,langas,vindue
393,Tür::N,durys,dør
394,Tor::N,vartai,port
395,Zaun::N,tvora,stakit
396,Dach::N,stogas,tag
397,Leiter::N,kopėčios,stige
398,Besen::N,šluota,kost
399,Spaten::N,lopeta,spade
400,Spaten::N,kastuvas,spade
401,Schaufel::N,semtuvas,skovl
402,Gabel::N,šakutė,gaffel
403,Löffel::N,šaukštas,ske
404,Messer::N,peilis,kniv
405,Nagel::N,vinis,søm
406,Netz::N,tinklas,net
407,Haken::N,vagis,krog
408,Haken::N,kablys,krog
409,Griff::N,kotas,tag
410,Griff::N,kotas,håndtag
411,Griff::N,rankena,tag
412,Griff::N,rankena,håndtag
413,Schloss::N,spyna,lås
414,Schloss::N,užraktas,lås
415,Bild::N,paveikslas,billede
416,Figur::N,figūra,figur
417,Puppe::N,lėlė,dukke
418,Beutel::N,krepšys,pose
419,Beutel::N,maišelis,pose
420,Bündel::N,ryšulys,bylt
421,Bündel::N,ryšulys,bundt
422,Tasche::N,krepšelis,taske
423,Eimer::N,kibiras,spand
424,Deckel::N,dangtis,låg
425,Geschirr::N,indai,husgeråd
426,Sack::N,maišas,sæk
427,Tasse::N,puodukas,kop
428,Topf::N,puodas,gryde
429,Kessel::N,katilas,kedel
430,Essen::N,valgis,måltid
431,Nahrung::N,penas,mad
432,Nahrung::N,penas,næring
433,Nahrung::N,maistas,mad
434,Nahrung::N,maistas,næring
435,Speise::N,patiekalas,ret
436,Fleisch::N,mėsa,kød
437,Getreide::N,javai,korn
438,Brei::N,košė,grød
439,Brot::N,duona,brød
440,Scheibe::N,riekė,skive
441,Fett::N,taukai,fedt
442,Fett::N,riebalai,fedt
443,Butter::N,sviestas,smør
444,Öl::N,aliejus,olie
445,Salz::N,druska,salt
446,Suppe::N,sriuba,suppe
447,Honig::N,medus,honning
448,Milch::N,pienas,mælk
449,Tee::N,arbata,te
450,Leder::N,oda,skind
451,Wolle::N,vilna,uld
452,Stoff::N,audeklas,stof
453,Nadel::N,adata,nål
454,Faden::N,gija,tråd
455,Faden::N,siūlas,tråd
456,Knopf::N,saga,knap
457,Knoten::N,mazgas,knude
458,Farbe::N,dažai,farve
459,Kleidung::N,rūbai,påklædning
460,Kleidung::N,drabužiai,påklædning
461,Hemd::N,marškiniai,skjorte
462,Kragen::N,apykaklė,krave
463,Ärmel::N,rankovė,ærme
464,Hose::N,kelnės,bukser
465,Gürtel::N,juosta,bælte
466,Gürtel::N,diržas,bælte
467,Mütze::N,kepurė,hue
468,Schuh::N,batas,sko
469,Stiefel::N,auliniai batai,støvle
470,Ring::N,žiedas,ring
471,Band::N,kaspinas,bånd
472,Kamm::N,šukos,kam
473,Spiegel::N,veidrodis,spejl
474,Riemen::N,diržas,rem
475,Schnur::N,virvė,snor
476,Leine::N,pavadėlis,snor
477,Decke::N,antklodė,tæppe
478,Kissen::N,pagalvė,pude
479,Kissen::N,priegalvis,pude
480,Tuch::N,skarelė,sjaltørklæde
481,Handtuch::N,rankšluostis,håndklæde
482,Kraft::N,jėga,kraft
483,Stärke::N,stiprumas,styrke
484,Gesundheit::N,sveikata,sundhed
485,Krankheit::N,liga,sygdom
486,Schmerz::N,skausmas,smerte
487,Wunde::N,žaizda,sår
488,Fieber::N,karštis,feber
489,Arznei::N,vaistas,medicin
490,Arznei::N,vaistas,lægemiddel
491,Brücke::N,tiltas,bro
492,Brunnen::N,šulinys,brønd
493,Weide::N,ganykla,græsgang
494,Weide::N,gluosnis,græsgang
495,Pfad::N,takas,sti
496,Weg::N,kelias,vej
497,Straße::N,gatvė,gade
498,Dorf::N,kaimas,landsby
499,Dorf::N,sodžius,landsby
500,Stadt::N,miestas,by
501,Brief::N,laiškas,brev
502,Buch::N,knyga,bog
503,Buchstabe::N,raidė,bogstav
504,Zeitung::N,laikraštis,avis
505,Leben::N,gyvybė,liv
506,Leben::N,gyvenimas,liv
507,Tod::N,mirtis,død
508,Grab::N,kapas,grav
509,Kirche::N,bažnyčia,kirke
510,Sünde::N,nuodėmė,synd
511,Sünde::N,nusidėjimas,synd
512,Gott::N,dievas,gud
513,Arbeiter::N,darbininkas,arbejder
514,Chef::N,šefas,chef
515,Chef::N,vadovas,chef
516,Chef::N,viršininkas,chef
517,Meister::N,meistras,mester
518,Arzt::N,gydytojas,læge
519,Lehrer::N,mokytojas,lærer
520,Geld::N,pinigai,penge
521,Geschäft::N,biznis,forretning
522,Laden::N,krautuvė,butik
523,Laden::N,krautuvė,forretning
524,Laden::N,parduotuvė,butik
525,Laden::N,parduotuvė,forretning
526,Preis::N,kaina,pris
527,Ware::N,prekė,vare
528,Nutzen::N,nauda,nytte
529,Nutzen::N,pelnas,nytte
530,Reichtum::N,turtas,rigdom
531,Welt::N,pasaulis,verden
532,Land::N,žemė,land
533,Land::N,šalis,land
534,Staat::N,valstija,stat
535,König::N,karalius,konge
536,Macht::N,galia,magt
537,Macht::N,valdžia,magt
538,Grenze::N,riba,grænse
539,Grenze::N,siena,grænse
540,Krieg::N,karas,krig
541,Feind::N,priešas,fjende
542,Gewalt::N,jėga,vold
543,Gewalt::N,smurtas,vold
544,Gewalt::N,prievarta,vold
545,Kampf::N,kova,kamp
546,Bogen[Waffe]::N,lankas,bue
547,Pfeil::N,strėlė,pil
548,Gewehr::N,šautuvas,gevær
549,Fehler::N,klaida,fejl
550,Lüge::N,melas,løgn
551,Schaden::N,nuostolis,skade
552,Schaden::N,apgadinimas,skade
553,Unglück::N,nelaimė,uheld
554,Unglück::N,nelaimė,ulykke
555,Schuld::N,kaltė,skyld
556,Alter::N,amžius,alder
557,Schluss::N,pabaiga,slut
558,Schluss::N,pabaiga,slutning
559,Zeit::N,laikas,tid
560,Tag::N,diena,dag
561,Morgen::N,rytas,morgen
562,Mittag::N,vidurdienis,middag
563,Abend::N,vakaras,aften
564,Nacht::N,naktis,nat
565,Woche::N,savaitė,uge
566,Monat::N,mėnuo,måned
567,Jahr::N,metai,år
568,Frühling::N,pavasaris,forår
569,Sommer::N,vasara,sommer
570,Herbst::N,ruduo,efterår
571,Winter::N,žiema,vinter
572,Januar::N,sausis,januar
573,Februar::N,vasaris,februar
574,März::N,kovas,marts
575,April::N,balandis,april
576,Mai::N,gegužė,maj
577,Juni::N,birželis,juni
578,Juli::N,liepa,juli
579,August::N,rugpjūtis,august
580,September::N,rugsėjis,september
581,Oktober::N,spalis,oktober
582,November::N,lapkritis,november
583,Dezember::N,gruodis,december
584,Montag::N,pirmadienis,mandag
585,Dienstag::N,antradienis,tirsdag
586,Mittwoch::N,trečiadienis,onsdag
587,Donnerstag::N,ketvirtadienis,torsdag
588,Freitag::N,penktadienis,fredag
589,Samstag::N,šeštadienis,lørdag
590,Sonntag::N,sekmadienis,søndag
591,groß::A,didis,stor
592,groß::A,didelis,stor
593,klein::A,mažas,lille
594,lang::A,ilgas,lang
595,kurz::A,trumpas,kort
596,breit::A,platus,bred
597,schmal::A,smulkus,smal
598,dicht::A,tankus,tæt
599,dick[Gegenstand]::A,storas,tyk
600,dünn::A,plonas,tynd
601,fein::A,smulkus,fin
602,fest::A,kietas,fast
603,fest::A,tvirtas,fast
604,flach::A,lėkštas,flad
605,flach::A,plokščias,flad
606,glatt::A,slidus,glat
607,hart::A,kietas,hård
608,weich::A,minkštas,blød
609,rund::A,apvalus,rund
610,rund::A,apskritas,rund
611,spitz::A,aštrus,spids
612,spitz::A,smailus,spids
613,scharf::A,aštrus,skarp
614,stumpf::A,bukas,sløv
615,stumpf::A,bukas,stump
616,stumpf::A,atšipęs,sløv
617,stumpf::A,atšipęs,stump
618,schwer::A,sunkus,tung
619,schön::A,gražus,skøn
620,heiß::A,karštas,hed
621,warm::A,šiltas,varm
622,kalt::A,šaltas,kold
623,kühl::A,vėsus,kølig
624,kühl::A,bejausmis,kølig
625,frisch::A,šviežias,frisk
626,feucht::A,drėgnas,fugtig
627,nass::A,šlapias,våd
628,trocken::A,sausas,tør
629,voll::A,pilnas,fuld
630,leer::A,tuščias,tom
631,offen::A,atviras,åben
632,geschlossen::A,uždaras,lukket
633,geschlossen::A,uždarytas,lukket
634,sauber::A,švarus,ren
635,schmutzig::A,nešvarus,snavset
636,schmutzig::A,purvinas,snavset
637,roh::A,žalias,rå
638,reif::A,prinokęs,moden
639,reif::A,pribrendęs,moden
640,lecker::A,gardus,lækker
641,süß::A,saldus,sød
642,bitter::A,kartus,bitter
643,sauer::A,gižus,sur
644,sauer::A,rūgštus,sur
645,hell::A,šviesus,lys
646,hell::A,skaistus,lys
647,dunkel::A,tamsus,mørk
648,schwarz::A,juodas,sort
649,weiß::A,baltas,hvid
650,rot::A,raudonas,rød
651,gelb::A,geltonas,gul
652,blau::A,mėlynas,blå
653,grün::A,žalias,grøn
654,grau::A,pilkas,grå
655,bunt::A,margas,broget
656,bunt::A,spalvotas,broget
657,billig::A,pigus,billig
658,teuer::A,brangus,dyr
659,wertvoll::A,vertingas,værdifuld
660,blind::A,aklas,blind
661,taub::A,kurčias,døv
662,kräftig::A,stiprus,kraftig
663,stark::A,stiprus,stærk
664,schwach::A,silpnas,svag
665,fett::A,riebus,fed
666,schlank::A,laibas,slank
667,schlank::A,lieknas,slank
668,hübsch::A,gražus,køn
669,böse::A,blogas,ond
670,böse::A,blogas,slem
671,dumm::A,paikas,dum
672,dumm::A,kvailas,dum
673,faul::A,tingus,doven
674,fleißig::A,stropus,flittig
675,fleißig::A,kruopštus,flittig
676,geizig::A,šykštus,gerrig
677,klug::A,sumanus,klog
678,klug::A,protingas,klog
679,geschickt::A,apsukrus,dygtig
680,geschickt::A,apsukrus,behændig
681,lieb::A,mielas,rar
682,lustig::A,smagus,lystig
683,lustig::A,linksmas,lystig
684,sanft::A,švelnus,blid
685,sanft::A,minkštas,blid
686,hungrig::A,alkanas,sulten
687,krank::A,ligotas,syg
688,krank::A,sergantis,syg
689,nackt::A,nuogas,nøgen
690,traurig::A,liūdnas,bedrøvet
691,lebendig::A,gyvas,levende
692,gut::A,geras,god
693,schlecht::A,blogas,dårlig
694,schlecht::A,prastas,dårlig
695,richtig::A,tikras,rigtig
696,richtig::A,teisingas,rigtig
697,schlimm::A,blogas,slem
698,schlimm::A,prastas,slem
699,wahr::A,tikras,sand
700,alt::A,senas,gammel
701,neu::A,naujas,ny
702,ehemalig::A,buvęs,forhenværende
703,alt[Lebewesen]::A,pagyvenęs,gammel
704,jung::A,jaunas,ung
705,arm::A,neturtingas,fattig
706,reich::A,turtingas,rig
707,bekannt::A,žinomas,kendt
708,bekannt::A,pažįstamas,kendt
709,berühmt::A,žymus,berømt
710,berühmt::A,garsus,berømt
711,fremd::A,svetimas,fremmed
712,verschieden::A,įvairus,forskellig
713,nah::A,artimas,nær
714,fern::A,tolimas,fjern
715,linker::A,kairys,venstre
716,rechter::A,dešinys,højre
717,anderer::A,kitas,anden
718,erster::A,pirmas,første
719,zweiter::A,antras,anden
720,dritter::A,trečias,tredje
721,letzter::A,paskutinis,sidste
722,allein::ADV,vienas,alene
723,auf einmal::ADV,iš karto,på én gang
724,zusammen::ADV,kartu,sammen
725,zusammen::ADV,drauge,sammen
726,lange::ADV,ilgai,længe
727,plötzlich::ADV,staiga,pludselig
728,sofort::ADV,tuojau,straks
729,später::ADV,vėliau,senere
730,später::ADV,paskiau,senere
731,jetzt::ADV,dabãr,nu
732,heute::ADV,šiandien,i dag
733,morgen::ADV,rytoj,i morgen
734,bald::ADV,greitai,snart
735,bald::ADV,netrukus,snart
736,dann::ADV,po to,så
737,gestern::ADV,vakar,i går
738,einst::ADV,kadaise,engang
739,einst::ADV,kitą kartą,engang
740,damals::ADV,anuomet,dengang
741,damals::ADV,anuokart,dengang
742,danach::ADV,po to,derefter
743,danach::ADV,paskui,derefter
744,vorher::ADV,anksčiau,før
745,vorher::ADV,anksčiau,forud
746,zuerst::ADV,pirma,først
747,zuerst::ADV,iš pradžių̃,først
748,einmal::ADV,kartą,en gang
749,einmal::ADV,vieną kartą,en gang
750,manchmal::ADV,kai kada,sommetider
751,oft::ADV,dažnai,ofte
752,immer::ADV,visada,altid
753,immer::ADV,visuomet,altid
754,niemals::ADV,niekada,aldrig
755,niemals::ADV,niekuomet,aldrig
756,hier::ADV,čia,her
757,hierhin::ADV,šen,hid
758,hierhin::ADV,šen,herhen
759,hierhin::ADV,čionai,hid
760,hierhin::ADV,čionai,herhen
761,von hier::ADV,iš čia,herfra
762,dort::ADV,ten,der
763,dort::ADV,tenai,der
764,dorthin::ADV,ten,derhen
765,dorthin::ADV,ten link,derhen
766,geradeaus::ADV,tiesiai,lige ud
767,vorwärts::ADV,pirmyn,fremad
768,rückwärts::ADV,atbulai,baglæns
769,zurück::ADV,atgal,tilbage
770,unten::ADV,žemai,nede
771,unten::ADV,žemai,forneden
772,unten::ADV,apačioje,nede
773,unten::ADV,apačioje,forneden
774,hinab::ADV,žemyn,ned
775,hinab::ADV,žemyn,nedad
776,oben::ADV,viršuj,oppe
777,oben::ADV,viršuj,ovenpå
778,hinauf::ADV,aukštyn,op
779,hinauf::ADV,aukštyn,opad
780,hinauf::ADV,į viršų,op
781,hinauf::ADV,į viršų,opad
782,überall::ADV,visur,overalt
783,nicht::ADV,ne,ikke
784,ein wenig::ADV,truputį,lidt
785,kaum::ADV,vos,knap
786,kaum::ADV,vos,næppe
787,sehr::ADV,labai,meget
788,sehr::ADV,baisiai,meget
789,so::ADV,taip,så
790,noch::ADV,dar,endnu
791,nur::ADV,tik,kun
792,nur::ADV,tik,bare
793,nur::ADV,vien,kun
794,nur::ADV,vien,bare
795,schon::ADV,jau,alt
796,schon::ADV,jau,allerede
797,wieder::ADV,vėl,igen
798,wieder::ADV,iš naujo,igen
799,vergebens::ADV,veltui,forgæves
800,vergebens::ADV,bergždžiai,forgæves
801,vor::PRP,prieš,foran
802,vor::PRP,prieš,uden for
803,hinter::PRP,už,bag
804,hinter::PRP,už,bagved
805,unter::PRP,po,under
806,durch::PRP,pro,gennem
807,durch::PRP,pro,igennem
808,durch::PRP,per,gennem
809,durch::PRP,per,igennem
810,neben::PRP,prie,ved siden af
811,neben::PRP,šalia,ved siden af
812,zwischen::PRP,tarp,mellem
813,wegen::PRP,dėl,på grund af
814,wegen::PRP,dėlei,på grund af
815,dies::PRN,šis,dette
816,dies::PRN,šitas,dette
817,das::PRN,tat,det
818,alles::PRN,visas,alt
819,ich::PRN,aš,jeg
820,du::PRN,tu,du
